mc	mn	mc_onset	mn_onset	timesig	staff	voice	label	offset_x	offset_y	offset	alt_label	globalkey	localkey	pedal	chord	special	numeral	form	figbass	changes	relativeroot	pedalend	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note	n_colored	n_untouched	count_ratio	dur_colored	dur_untouched	dur_ratio
1	0	0	1/2	3/4	2	1	e.iv7{	-1.4443	3.5	/		e	i		iv7		iv		7					{	mm7	1	1	3, 0, 4, 1		3	3	3	7	0.3	0.375	2.875	0.11538461538461539
3	2	0	0	3/4	2	1	i6					e	i		i6		i		6						m	1	1	1, 5, 4		4	1	1	5	0.16666666666666666	0.125	2.125	0.05555555555555555
4	3	0	0	3/4	2	1	ii%43/VII					e	i		ii%43/VII		ii	%	43		VII				%7	1	1	-2, 2, 4, 1		4	-2	3	6	0.3333333333333333	0.375	2.625	0.125
5	4	0	0	3/4	2	1	V/VII				IV	e	i		V/VII		V				VII				M	1	1	3, 7, 4		3	3	1	5	0.16666666666666666	0.125	2.125	0.05555555555555555
6	5	0	0	3/4	2	1	VI					e	i		VI		VI								M	1	1	0, 4, 1		0	0	2	8	0.2	0.25	4.25	0.05555555555555555
7	6	0	0	3/4	2	1	V7/V					e	i		V7/V		V		7		V				Mm7	1	1	6, 10, 7, 4		6	6	0	7	0.0	0.0	2.75	0.0
8	7	0	0	3/4	2	1	V7					e	i		V7		V		7						Mm7	1	1	5, 9, 6, 3		5	5	3	8	0.2727272727272727	0.375	3.375	0.1
9	8	0	0	3/4	2	1	i|PAC}					e	i		i		i						PAC	}	m	1	1	4, 1, 5		4	4	1	6	0.14285714285714285	0.125	2.625	0.045454545454545456
10	9	0	0	3/4	2	1	iv43					e	i		iv43		iv		43						mm7	1	1	4, 1, 3, 0		3	4	4	8	0.3333333333333333	0.5	2.5	0.16666666666666666
11	10	0	0	3/4	2	1	IIIM43					e	i		IIIM43		III	M	43						MM7	1	1	2, 6, 1, 5		1	2	3	7	0.3	0.375	2.625	0.125
12	11	0	0	3/4	2	1	ii%43					e	i		ii%43		ii	%	43						%7	1	1	0, 4, 6, 3		6	0	4	8	0.3333333333333333	0.5	2.5	0.16666666666666666
13	12	0	0	3/4	2	1	i43					e	i		i43		i		43						mm7	1	1	5, 2, 4, 1		4	5	3	7	0.3	0.375	2.625	0.125
14	13	0	0	3/4	2	1	#viio43					e	i		#viio43		#vii	o	43						o7	1	1	3, 0, 9, 6		9	3	4	8	0.3333333333333333	0.5	2.5	0.16666666666666666
15	14	0	0	3/4	2	1	#vi%43				ii%43/V	e	i		#vi%43		#vi	%	43						%7	1	1	1, 5, 7, 4		7	1	4	8	0.3333333333333333	0.5	2.5	0.16666666666666666
16	15	0	0	3/4	2	1	V64					e	i		V64		V		64						M	1	1	6, 5, 9		5	6	1	4	0.2	0.125	1.5	0.07692307692307693
16	15	1/4	1/4	3/4	2	1	V2					e	i		V2		V		2						Mm7	1	1	3, 5, 9, 6		5	3	0	2	0.0	0.0	0.375	0.0
16	15	1/2	1/2	3/4	2	1	Ger2(2)					e	i		Ger2(2)	Ger	vii	o	2	b32	V				Ger	1	1	1, 5, 0, 4		10	1	0	4	0.0	0.0	0.875	0.0
16	15	5/8	5/8	3/4	2	1	Ger2					e	i		Ger2	Ger	vii	o	2	b3	V				Ger	1	1	1, 10, 0, 4		10	1	0	1	0.0	0.0	0.125	0.0
17	16	0	0	3/4	2	1	V|HC}					e	i		V		V						HC	}	M	1	1	5, 9, 6		5	5	0	11	0.0	0.0	2.0	0.0
17	16	1/2	1/2	3/4	2	1	Ger2					e	i		Ger2	Ger	vii	o	2	b3	V				Ger	1	1	1, 10, 0, 4		10	1	1	4	0.2	0.125	0.875	0.125
18	17	0	0	3/4	2	1	V|HC					e	i		V		V						HC		M	1	1	5, 9, 6		5	5	3	14	0.17647058823529413	0.375	2.375	0.13636363636363635
