mc	mn	mc_onset	mn_onset	timesig	staff	voice	label	offset_x	offset_y	minDistance	offset	alt_label	globalkey	localkey	pedal	chord	special	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note	n_colored	n_untouched	count_ratio	dur_colored	dur_untouched	dur_ratio
1	1	0	0	6/8	2	1	C.I[I{						C	I	I	I		I						{	M	0	0	0, 4, 1		0.0	0.0	0	2	0.0	0.0	1.125	0.0
1	1	3/8	3/8	6/8	2	1	IM7					I(7)	C	I	I	IM7		I	M	7					MM7	0	0	0, 4, 1, 5		0.0	0.0	1	2	0.3333333333333333	0.125	0.5	0.2
2	2	0	0	6/8	2	1	IVM43					I(6+4)	C	I	I	IVM43		IV	M	43					MM7	0	0	0, 4, -1, 3		-1.0	0.0	0	6	0.0	0.0	1.875	0.0
2	2	3/8	3/8	6/8	2	1	V6(6)						C	I	I	V6(6)		V		6	6				M	0	0	5, 4, 1		1.0	5.0	0	3	0.0	0.0	0.875	0.0
2	2	1/2	1/2	6/8	2	1	V6						C	I	I	V6		V		6					M	0	0	5, 2, 1		1.0	5.0	1	3	0.25	0.0	0.25	0.0
3	3	0	0	6/8	2	1	I(9)						C	I	I	I(9)		I			9				M	0	0	0, 4, 1	2	0.0	0.0	0	5	0.0	0.0	1.875	0.0
3	3	3/8	3/8	6/8	2	1	IV64(6)					I(964)	C	I	I	IV64(6)		IV		64	6				M	0	0	2, -1, 3		-1.0	2.0	0	3	0.0	0.0	0.875	0.0
3	3	1/2	1/2	6/8	2	1	IV64					I(64)	C	I	I	IV64		IV		64					M	0	0	0, -1, 3		-1.0	0.0	0	2	0.0	0.0	0.25	0.0
4	4	0	0	6/8	2	1	ii65					I(964)	C	I	I	ii65		ii		65					mm7	0	0	-1, 3, 0, 2		2.0	-1.0	0	6	0.0	0.0	1.875	0.0
4	4	3/8	3/8	6/8	2	1	IM7					I(7)	C	I	I	IM7		I	M	7					MM7	0	0	0, 4, 1, 5		0.0	0.0	0	5	0.0	0.0	1.125	0.0
5	5	0	0	6/8	2	1	vii%65						C	I	I	vii%65		vii	%	65					%7	0	0	2, -1, 3, 5		5.0	2.0	1	4	0.2	0.75	1.125	0.4
5	5	3/8	3/8	6/8	2	1	I(6)						C	I	I	I(6)		I			6				M	0	0	0, 4, 3		0.0	0.0	0	3	0.0	0.0	0.875	0.0
5	5	1/2	1/2	6/8	2	1	I]						C	I	I	I		I							M	0	0	0, 4, 1		0.0	0.0	0	2	0.0	0.0	0.25	0.0
6	6	0	0	6/8	2	1	V[V						C	I	V	V		V							M	0	0	1, 5, 2		1.0	1.0	0	6	0.0	0.0	1.875	0.0
6	6	3/8	3/8	6/8	2	1	V2(4)/V						C	I	V	V2(4)/V		V		2	4	V			Mm7	0	0	0, 2, 1, 3		2.0	0.0	0	3	0.0	0.0	0.875	0.0
6	6	1/2	1/2	6/8	2	1	V2/V						C	I	V	V2/V		V		2		V			Mm7	0	0	0, 2, 6, 3		2.0	0.0	2	2	0.5	0.125	0.125	0.5
7	7	0	0	6/8	2	1	V						C	I	V	V		V							M	0	0	1, 5, 2		1.0	1.0	0	6	0.0	0.0	1.875	0.0
7	7	3/8	3/8	6/8	2	1	V2(4)/V						C	I	V	V2(4)/V		V		2	4	V			Mm7	0	0	0, 2, 1, 3		2.0	0.0	0	3	0.0	0.0	0.875	0.0
7	7	1/2	1/2	6/8	2	1	V2/V						C	I	V	V2/V		V		2		V			Mm7	0	0	0, 2, 6, 3		2.0	0.0	2	2	0.5	0.125	0.125	0.5
8	8	0	0	6/8	2	1	V]|HC}						C	I	V	V		V					HC	}	M	0	0	1, 5, 2		1.0	1.0	0	10	0.0	0.0	3.0	0.0
9	9	0	0	6/8	2	1	I[I{						C	I	I	I		I						{	M	0	0	0, 4, 1		0.0	0.0	0	2	0.0	0.0	1.125	0.0
9	9	3/8	3/8	6/8	2	1	IM7					I(7)	C	I	I	IM7		I	M	7					MM7	0	0	0, 4, 1, 5		0.0	0.0	1	2	0.3333333333333333	0.125	0.5	0.2
10	10	0	0	6/8	2	1	IVM43					I(6+4)	C	I	I	IVM43		IV	M	43					MM7	0	0	0, 4, -1, 3		-1.0	0.0	0	6	0.0	0.0	1.875	0.0
10	10	3/8	3/8	6/8	2	1	V6(6)						C	I	I	V6(6)		V		6	6				M	0	0	5, 4, 1		1.0	5.0	0	3	0.0	0.0	0.875	0.0
10	10	1/2	1/2	6/8	2	1	V6						C	I	I	V6		V		6					M	0	0	5, 2, 1		1.0	5.0	1	3	0.25	0.0	0.25	0.0
11	11	0	0	6/8	2	1	I(9)						C	I	I	I(9)		I			9				M	0	0	0, 4, 1	2	0.0	0.0	0	5	0.0	0.0	1.875	0.0
11	11	3/8	3/8	6/8	2	1	IV64(6)					I(964)	C	I	I	IV64(6)		IV		64	6				M	0	0	2, -1, 3		-1.0	2.0	0	3	0.0	0.0	0.875	0.0
11	11	1/2	1/2	6/8	2	1	IV64					I(64)	C	I	I	IV64		IV		64					M	0	0	0, -1, 3		-1.0	0.0	0	2	0.0	0.0	0.25	0.0
12	12	0	0	6/8	2	1	ii65					I(964)	C	I	I	ii65		ii		65					mm7	0	0	-1, 3, 0, 2		2.0	-1.0	0	6	0.0	0.0	1.875	0.0
12	12	3/8	3/8	6/8	2	1	IM7					I(7)	C	I	I	IM7		I	M	7					MM7	0	0	0, 4, 1, 5		0.0	0.0	0	5	0.0	0.0	1.125	0.0
13	13	0	0	6/8	2	1	vii%65						C	I	I	vii%65		vii	%	65					%7	0	0	2, -1, 3, 5		5.0	2.0	1	4	0.2	0.75	1.125	0.4
13	13	3/8	3/8	6/8	2	1	I(6)						C	I	I	I(6)		I			6				M	0	0	0, 4, 3		0.0	0.0	0	3	0.0	0.0	0.875	0.0
13	13	1/2	1/2	6/8	2	1	I]						C	I	I	I		I							M	0	0	0, 4, 1		0.0	0.0	0	2	0.0	0.0	0.25	0.0
14	14	0	0	6/8	2	1	V[V						C	I	V	V		V							M	0	0	1, 5, 2		1.0	1.0	0	6	0.0	0.0	1.875	0.0
14	14	3/8	3/8	6/8	2	1	V2(4)/V						C	I	V	V2(4)/V		V		2	4	V			Mm7	0	0	0, 2, 1, 3		2.0	0.0	0	3	0.0	0.0	0.875	0.0
14	14	1/2	1/2	6/8	2	1	V2/V						C	I	V	V2/V		V		2		V			Mm7	0	0	0, 2, 6, 3		2.0	0.0	2	2	0.5	0.125	0.125	0.5
15	15	0	0	6/8	2	1	V						C	I	V	V		V							M	0	0	1, 5, 2		1.0	1.0	0	6	0.0	0.0	1.875	0.0
15	15	3/8	3/8	6/8	2	1	V2(4)/V						C	I	V	V2(4)/V		V		2	4	V			Mm7	0	0	0, 2, 1, 3		2.0	0.0	0	3	0.0	0.0	0.875	0.0
15	15	1/2	1/2	6/8	2	1	V2/V						C	I	V	V2/V		V		2		V			Mm7	0	0	0, 2, 6, 3		2.0	0.0	2	2	0.5	0.125	0.125	0.5
16	16	0	0	6/8	2	1	V]|HC}						C	I	V	V		V					HC	}	M	0	0	1, 5, 2		1.0	1.0	0	20	0.0	0.0	5.0	0.0
17	17	1/2	1/2	6/8	2	1	#viio43/vi{						C	I		#viio43/vi		#vii	o	43		vi		{	o7	0	0	2, -1, 8, 5		8.0	2.0	1	6	0.14285714285714285	0.125	1.25	0.09090909090909091
18	18	3/8	3/8	6/8	2	1	Ger7/vi						C	I		Ger7/vi	Ger	vii	o	7	b3	V/vi			Ger	0	0	9, -1, 3, 0		9.0	9.0	2	5	0.2857142857142857	0.125	1.0	0.1111111111111111
19	19	0	0	6/8	2	1	V/vi						C	I		V/vi		V				vi			M	0	0	4, 8, 5		4.0	4.0	1	10	0.09090909090909091	0.125	1.75	0.06666666666666667
20	20	0	0	6/8	2	1	V7(6+4)/V/vi						C	I		V7(6+4)/V/vi		V		7	6+4	V/vi			Mm7	0	0	5, 9, 8, 3	4	5.0	5.0	0	6	0.0	0.0	1.875	0.0
20	20	3/8	3/8	6/8	2	1	V7/V/vi						C	I		V7/V/vi		V		7		V/vi			Mm7	0	0	5, 9, 6, 3		5.0	5.0	2	5	0.2857142857142857	0.125	1.0	0.1111111111111111
21	21	0	0	6/8	2	1	V/vi}						C	I		V/vi		V				vi		}	M	0	0	4, 8, 5		4.0	4.0	0	13	0.0	0.0	2.5	0.0
21	21	1/2	1/2	6/8	2	1	viio43{						C	I		viio43		vii	o	43				{	o7	0	0	-1, -4, 5, 2		5.0	-1.0	1	6	0.14285714285714285	0.125	1.25	0.09090909090909091
22	22	3/8	3/8	6/8	2	1	Ger7						C	I		Ger7	Ger	vii	o	7	b3	V			Ger	0	0	6, -4, 0, -3		6.0	6.0	2	5	0.2857142857142857	0.125	1.0	0.1111111111111111
23	23	0	0	6/8	2	1	V						C	I		V		V							M	0	0	1, 5, 2		1.0	1.0	1	10	0.09090909090909091	0.125	1.75	0.06666666666666667
24	24	0	0	6/8	2	1	V7(6+4)/V						C	I		V7(6+4)/V		V		7	6+4	V			Mm7	0	0	2, 6, 5, 0	1	2.0	2.0	0	6	0.0	0.0	1.875	0.0
24	24	3/8	3/8	6/8	2	1	V7/V						C	I		V7/V		V		7		V			Mm7	0	0	2, 6, 3, 0		2.0	2.0	2	5	0.2857142857142857	0.125	1.0	0.1111111111111111
25	25	0	0	6/8	2	1	V[V						C	I	V	V		V							M	0	0	1, 5, 2		1.0	1.0	1	14	0.06666666666666667	0.0625	2.8125	0.021739130434782608
25	25	5/8	5/8	6/8	2	1	V43/V						C	I	V	V43/V		V		43		V			Mm7	0	0	3, 0, 2, 6		2.0	3.0	0	3	0.0	0.0	0.375	0.0
26	26	0	0	6/8	2	1	V						C	I	V	V		V							M	0	0	1, 5, 2		1.0	1.0	1	14	0.06666666666666667	0.0625	2.8125	0.021739130434782608
26	26	5/8	5/8	6/8	2	1	ii43						C	I	V	ii43		ii		43					mm7	0	0	3, 0, 2, -1		2.0	3.0	0	3	0.0	0.0	0.375	0.0
27	27	0	0	6/8	2	1	V						C	I	V	V		V							M	0	0	1, 5, 2		1.0	1.0	1	3	0.25	0.0625	0.5625	0.1
27	27	1/4	1/4	6/8	2	1	V43/V						C	I	V	V43/V		V		43		V			Mm7	0	0	3, 0, 2, 6		2.0	3.0	0	3	0.0	0.0	0.375	0.0
27	27	3/8	3/8	6/8	2	1	V						C	I	V	V		V							M	0	0	1, 5, 2		1.0	1.0	1	3	0.25	0.0625	0.5625	0.1
27	27	5/8	5/8	6/8	2	1	ii43						C	I	V	ii43		ii		43					mm7	0	0	3, 0, 2, -1		2.0	3.0	0	3	0.0	0.0	0.375	0.0
