mc	mn	mc_onset	mn_onset	timesig	staff	voice	label	offset_x	offset_y	minDistance	offset	alt_label	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	pedalend	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note	n_colored	n_untouched	count_ratio	dur_colored	dur_untouched	dur_ratio
1	1	0	0	4/4	2	1	D.I{						D	I		I	I							{	M	0	0	2, 6, 3		2	2	2	51	0.03773584905660377	0.16666666666666666	7.958333333333333	0.020512820512820513
4	4	0	0	4/4	2	1	I(+6)						D	I		I(+6)	I			+6					M	0	0	2, 6, 3	5	2	2	1	24	0.04	0.125	3.9375	0.03076923076923077
5	5	0	0	4/4	2	1	vi7					ii7/V	D	I		vi7	vi		7						mm7	0	0	5, 2, 6, 3		5	5	1	15	0.0625	0.125	2.375	0.05
5	5	1/2	1/2	4/4	2	1	V7(9)/V						D	I		V7(9)/V	V		7	9	V				Mm7	0	0	4, 8, 5, 2	6	4	4	1	15	0.0625	0.125	2.375	0.05
6	6	0	0	4/4	2	1	V(4)}						D	I		V(4)	V			4				}	M	0	0	3, 2, 4		3	3	0	5	0.0	0.0	1.25	0.0
6	6	1/4	1/4	4/4	2	1	V|HC						D	I		V	V						HC		M	0	0	3, 7, 4		3	3	1	14	0.06666666666666667	0.041666666666666664	1.8333333333333333	0.02222222222222222
7	7	0	0	4/4	2	1	IV						D	I		IV	IV								M	0	0	1, 5, 2		1	1	1	23	0.041666666666666664	0.125	3.625	0.03333333333333333
8	8	0	0	4/4	2	1	ii7(9)						D	I		ii7(9)	ii		7	9					mm7	0	0	4, 1, 5, 2	6	4	4	1	28	0.034482758620689655	0.125	4.625	0.02631578947368421
9	9	0	0	4/4	2	1	V7(9)						D	I		V7(9)	V		7	9					Mm7	0	0	3, 7, 4, 1	5	3	3	2	26	0.07142857142857142	0.25	4.25	0.05555555555555555
10	10	0	0	4/4	2	1	I(4)}						D	I		I(4)	I			4				}	M	0	0	2, 1, 3		2	2	0	5	0.0	0.0	1.25	0.0
10	10	1/4	1/4	4/4	2	1	I|PAC						D	I		I	I						PAC		M	0	0	2, 6, 3		2	2	2	67	0.028985507246376812	0.16666666666666666	10.208333333333334	0.01606425702811245
14	14	0	0	4/4	2	1	I(+6)						D	I		I(+6)	I			+6					M	0	0	2, 6, 3	5	2	2	1	24	0.04	0.125	3.9375	0.03076923076923077
15	15	0	0	4/4	2	1	vi7					ii7/V	D	I		vi7	vi		7						mm7	0	0	5, 2, 6, 3		5	5	1	15	0.0625	0.125	2.375	0.05
15	15	1/2	1/2	4/4	2	1	V7(9)/V						D	I		V7(9)/V	V		7	9	V				Mm7	0	0	4, 8, 5, 2	6	4	4	1	15	0.0625	0.125	2.375	0.05
16	16	0	0	4/4	2	1	V(4)}						D	I		V(4)	V			4				}	M	0	0	3, 2, 4		3	3	0	5	0.0	0.0	1.25	0.0
16	16	1/4	1/4	4/4	2	1	V|HC						D	I		V	V						HC		M	0	0	3, 7, 4		3	3	1	14	0.06666666666666667	0.041666666666666664	1.8333333333333333	0.02222222222222222
17	17	0	0	4/4	2	1	IV						D	I		IV	IV								M	0	0	1, 5, 2		1	1	1	23	0.041666666666666664	0.125	3.625	0.03333333333333333
18	18	0	0	4/4	2	1	ii7(9)						D	I		ii7(9)	ii		7	9					mm7	0	0	4, 1, 5, 2	6	4	4	1	28	0.034482758620689655	0.125	4.625	0.02631578947368421
19	19	0	0	4/4	2	1	V7(9)						D	I		V7(9)	V		7	9					Mm7	0	0	3, 7, 4, 1	5	3	3	2	26	0.07142857142857142	0.25	4.25	0.05555555555555555
