mc	mn	mc_onset	mn_onset	timesig	staff	voice	label	alt_label	globalkey	localkey	pedal	chord	special	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note	n_colored	n_untouched	count_ratio	dur_colored	dur_untouched	dur_ratio
1	1	0	0	6/8	2	1	a.i{		a	i		i		i						{	m	1	1	3, 0, 4		3	3	2	29	0.06451612903225806	0.25	5.75	0.041666666666666664
3	3	0	0	6/8	2	1	i7		a	i		i7		i		7					mm7	1	1	3, 0, 4, 1		3	3	1	30	0.03225806451612903	0.125	5.875	0.020833333333333332
5	5	0	0	6/8	2	1	v6		a	i		v6		v		6					m	1	1	1, 5, 4		4	1	0	14	0.0	0.0	3.0	0.0
6	6	0	0	6/8	2	1	ii%43(4)		a	i		ii%43(4)		ii	%	43	4				%7	1	1	-1, 3, 5, 4		5	-1	0	7	0.0	0.0	1.5	0.0
6	6	3/8	3/8	6/8	2	1	ii%43		a	i		ii%43		ii	%	43					%7	1	1	-1, 3, 5, 2		5	-1	2	8	0.2	0.125	1.375	0.08333333333333333
7	7	0	0	6/8	2	1	V		a	i		V		V							M	1	1	4, 8, 5		4	4	0	27	0.0	0.0	6.0	0.0
9	9	0	0	6/8	2	1	i/iv		a	i		i/iv		i				iv			m	1	1	2, -1, 3		2	2	2	30	0.0625	0.25	6.0	0.04
11	11	0	0	6/8	2	1	i7/iv		a	i		i7/iv		i		7		iv			mm7	1	1	2, -1, 3, 0		2	2	1	30	0.03225806451612903	0.125	5.875	0.020833333333333332
13	13	0	0	6/8	2	1	v6/iv		a	i		v6/iv		v		6		iv			m	1	1	0, 4, 3		3	0	0	14	0.0	0.0	3.0	0.0
14	14	0	0	6/8	2	1	ii%43(4)/iv		a	i		ii%43(4)/iv		ii	%	43	4	iv			%7	1	1	-2, 2, 4, 3		4	-2	0	7	0.0	0.0	1.5	0.0
14	14	3/8	3/8	6/8	2	1	ii%43/iv		a	i		ii%43/iv		ii	%	43		iv			%7	1	1	-2, 2, 4, 1		4	-2	2	8	0.2	0.125	1.375	0.08333333333333333
15	15	0	0	6/8	2	1	V/iv|HC}		a	i		V/iv		V				iv	HC	}	M	1	1	3, 7, 4		3	3	0	27	0.0	0.0	6.0	0.0
17	17	0	0	6/8	2	1	ii%43/iv{		a	i		ii%43/iv		ii	%	43		iv		{	%7	1	1	-2, 2, 4, 1		4	-2	2	37	0.05128205128205128	0.25	7.25	0.03333333333333333
19	19	0	0	6/8	2	1	ii%65/vi		a	i		ii%65/vi		ii	%	65		vi			%7	1	1	-2, -5, -1, 1		1	-2	0	18	0.0	0.0	3.75	0.0
20	20	0	0	6/8	2	1	Fr65/vi		a	i		Fr65/vi	Fr	V		65	b5	V/vi			Fr	1	1	5, -5, -1, 1		1	5	0	9	0.0	0.0	1.875	0.0
20	20	3/8	3/8	6/8	2	1	V(4)/vi		a	i		V(4)/vi		V			4	vi			M	1	1	0, -1, 1		0	0	0	9	0.0	0.0	1.875	0.0
21	21	0	0	6/8	2	1	ii%43/vi		a	i		ii%43/vi		ii	%	43		vi			%7	1	1	-5, -1, 1, -2		1	-5	2	37	0.05128205128205128	0.25	7.25	0.03333333333333333
23	23	0	0	6/8	2	1	ii%65/bi		a	i		ii%65/bi		ii	%	65		bi			%7	1	1	-5, -8, -4, -2		-2	-5	0	18	0.0	0.0	3.75	0.0
