mc	mn	mc_onset	mn_onset	timesig	staff	voice	label	offset_x	offset_y	minDistance	offset	alt_label	globalkey	localkey	pedal	chord	special	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note	n_colored	n_untouched	count_ratio	dur_colored	dur_untouched	dur_ratio
1	1	1/8	1/8	3/4	2	1	C.V{						C	I		V		V						{	M	0	0	1, 5, 2		1	1	4.0	1.0	0.8	0.5	0.125	0.8
2	2	0	0	3/4	2	1	V[ii7(9)						C	I	V	ii7(9)		ii		7	9				mm7	0	0	2, -1, 3, 0	4	2	2	1.0	6.0	0.14285714285714285	0.25	0.75	0.25
2	2	1/2	1/2	3/4	2	1	ii7						C	I	V	ii7		ii		7					mm7	0	0	2, -1, 3, 0		2	2	0.0	6.0	0.0	0.0	0.75	0.0
3	3	0	0	3/4	2	1	ii7(9)						C	I	V	ii7(9)		ii		7	9				mm7	0	0	2, -1, 3, 0	4	2	2	1.0	6.0	0.14285714285714285	0.25	0.75	0.25
3	3	1/2	1/2	3/4	2	1	ii7						C	I	V	ii7		ii		7					mm7	0	0	2, -1, 3, 0		2	2	0.0	6.0	0.0	0.0	0.75	0.0
4	4	0	0	3/4	2	1	ii7(9)						C	I	V	ii7(9)		ii		7	9				mm7	0	0	2, -1, 3, 0	4	2	2	1.0	6.0	0.14285714285714285	0.25	0.75	0.25
4	4	1/2	1/2	3/4	2	1	ii7						C	I	V	ii7		ii		7					mm7	0	0	2, -1, 3, 0		2	2	1.0	11.0	0.08333333333333333	0.25	2.0	0.1111111111111111
6	6	0	0	3/4	2	1	V7						C	I	V	V7		V		7					Mm7	0	0	1, 5, 2, -1		1	1	0.0	4.0	0.0	0.0	1.0	0.0
6	6	1/2	1/2	3/4	2	1	V7(6)						C	I	V	V7(6)		V		7	6				Mm7	0	0	1, 5, 4, -1		1	1	0.0	9.0	0.0	0.0	2.25	0.0
7	7	1/4	1/4	3/4	2	1	V7]						C	I	V	V7		V		7					Mm7	0	0	1, 5, 2, -1		1	1	1.0	9.0	0.1	0.0625	2.4375	0.025
8	8	0	0	3/4	2	1	I(764)}						C	I		I(764)		I			764			}	M	0	0	0, -1, 3	5	0	0	1.0	7.0	0.125	0.25	3.25	0.07142857142857142
9	9	0	0	3/4	2	1	I|PAC						C	I		I		I					PAC		M	0	0	0, 4, 1		0	0	0.0	7.0	0.0	0.0	2.5	0.0
10	10	0	0	3/4	2	1	V2/V{						C	I		V2/V		V		2		V		{	Mm7	0	0	0, 2, 6, 3		2	0	2.0	10.0	0.16666666666666666	0.125	1.0	0.1111111111111111
11	11	0	0	3/4	2	1	IM65/V						C	I		IM65/V		I	M	65		V			MM7	0	0	5, 2, 6, 1		1	5	0.0	13.0	0.0	0.0	1.875	0.0
12	12	0	0	3/4	2	1	IVM2/V						C	I		IVM2/V		IV	M	2		V			MM7	0	0	5, 0, 4, 1		0	5	2.0	10.0	0.16666666666666666	0.125	1.0	0.1111111111111111
13	13	0	0	3/4	2	1	vii%65/V					ii%65/vi/V	C	I		vii%65/V		vii	%	65		V			%7	0	0	3, 0, 4, 6		6	3	0.0	13.0	0.0	0.0	1.875	0.0
14	14	0	0	3/4	2	1	V2/vi/V						C	I		V2/vi/V		V		2		vi/V			Mm7	0	0	3, 5, 9, 6		5	3	2.0	10.0	0.16666666666666666	0.125	1.0	0.1111111111111111
15	15	0	0	3/4	2	1	i6/vi/V						C	I		i6/vi/V		i		6		vi/V			m	0	0	1, 5, 4		4	1	0.0	5.0	0.0	0.0	1.25	0.0
15	15	1/4	1/4	3/4	2	1	IV/vi/V						C	I		IV/vi/V		IV				vi/V			M	0	0	3, 7, 4		3	3	5.0	6.0	0.45454545454545453	0.3125	2.25	0.12195121951219512
