mc	mn	mc_onset	mn_onset	timesig	staff	voice	label	offset_x	offset_y	minDistance	offset	alt_label	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note	n_colored	n_untouched	count_ratio	dur_colored	dur_untouched	dur_ratio
1	1	0	0	3/4	2	1	bb.i6{	-0.322509	3.40951	-11.1103	/	III{	bb	i		i6	i		6				{	m	1	1	-5, -1, -2		-2.0	-5.0	0	8	0.0	0.0	1.5	0.0
2	2	0	0	3/4	2	1	i[i	0	4.13786	-6.48769	/		bb	i	i	i	i							m	1	1	-2, -5, -1		-2.0	-2.0	2	8	0.2	0.25	1.875	0.11764705882352941
2	2	1/2	1/2	3/4	2	1	i(9#64)	-2.15006	4.03751		/	ii6	bb	i	i	i(9#64)	i			9#64				m	1	1	-2, -3, -1	0, 1	-2.0	-2.0	0	3	0.0	0.0	0.375	0.0
2	2	5/8	5/8	3/4	2	1	i(#7)	-1.72005	3.97911	-0.0375146	/	V(6)	bb	i	i	i(#7)	i			#7				m	1	1	-2, -5, -1	3	-2.0	-2.0	0	3	0.0	0.0	0.375	0.0
3	3	0	0	3/4	2	1	i	0.75252	5.09037		/		bb	i	i	i	i							m	1	1	-2, -5, -1		-2.0	-2.0	3	9	0.25	0.375	2.25	0.14285714285714285
3	3	5/8	5/8	3/4	2	1	i(4#7)	-2.19471	6.80456		/	V65	bb	i	i	i(4#7)	i			4#7				m	1	1	-2, -3, -1	3	-2.0	-2.0	1	2	0.3333333333333333	0.125	0.25	0.3333333333333333
4	4	0	0	3/4	2	1	i	0.967526	6.84078		/		bb	i	i	i	i							m	1	1	-2, -5, -1		-2.0	-2.0	2	9	0.18181818181818182	0.25	2.5	0.09090909090909091
4	4	1/2	1/2	3/4	2	1	i(9#64)					ii6	bb	i	i	i(9#64)	i			9#64				m	1	1	-2, -3, -1	0, 1	-2.0	-2.0	0	4	0.0	0.0	0.4166666666666667	0.0
4	4	5/8	5/8	3/4	2	1	i(#7)	-2.28048	3.51114		/	V(6)	bb	i	i	i(#7)	i			#7				m	1	1	-2, -5, -1	3	-2.0	-2.0	0	3	0.0	0.0	0.3333333333333333	0.0
5	5	0	0	3/4	2	1	i						bb	i	i	i	i							m	1	1	-2, -5, -1		-2.0	-2.0	2	9	0.18181818181818182	0.25	1.5	0.14285714285714285
5	5	1/2	1/2	3/4	2	1	V65						bb	i	i	V65	V		65					Mm7	1	1	3, 0, -3, -1		-1.0	3.0	1	4	0.2	0.08333333333333333	0.4166666666666667	0.16666666666666666
6	6	0	0	3/4	2	1	i						bb	i	i	i	i							m	1	1	-2, -5, -1		-2.0	-2.0	1	4	0.2	0.125	0.875	0.125
6	6	1/4	1/4	3/4	2	1	i64]						bb	i	i	i64	i		64					m	1	1	-1, -2, -5		-2.0	-1.0	1	4	0.2	0.125	1.125	0.1
6	6	1/2	1/2	3/4	2	1	III64(b6)	-4.92576	5.29906		/	V6(6)	bb	i		III64(b6)	III		64	b6				M	1	1	-9, -5, -1		-5.0	-9.0	1	4	0.2	0.125	0.625	0.16666666666666666
7	7	0	0	3/4	2	1	III64	0.322509	5.03598	-2.18757	/		bb	i		III64	III		64					M	1	1	-4, -5, -1		-5.0	-4.0	2	9	0.18181818181818182	0.25	2.0	0.1111111111111111
7	7	1/2	1/2	3/4	2	1	III						bb	i		III	III							M	1	1	-5, -1, -4		-5.0	-5.0	1	5	0.16666666666666666	0.125	0.75	0.14285714285714285
8	8	1/8	1/8	3/4	2	1	ii2/III						bb	i		ii2/III	ii		2		III			mm7	1	1	-5, -3, -6, -2		-3.0	-5.0	0	3	0.0	0.0	0.625	0.0
8	8	1/4	1/4	3/4	2	1	V/III[V7/III						bb	i	V/III	V7/III	V		7		III			Mm7	1	1	-4, 0, -3, -6		-4.0	-4.0	0	2	0.0	0.0	0.625	0.0
8	8	3/8	3/8	3/4	2	1	I64/III						bb	i	V/III	I64/III	I		64		III			M	1	1	-4, -5, -1		-5.0	-4.0	0	3	0.0	0.0	0.375	0.0
8	8	1/2	1/2	3/4	2	1	ii6/III						bb	i	V/III	ii6/III	ii		6		III			m	1	1	-6, -2, -3		-3.0	-6.0	0	3	0.0	0.0	0.375	0.0
8	8	5/8	5/8	3/4	2	1	V(6)/III]	-1.07893	3.54936		/		bb	i	V/III	V(6)/III	V			6	III			M	1	1	-4, 0, -1		-4.0	-4.0	0	3	0.0	0.0	0.375	0.0
9	9	0	0	3/4	2	1	I/III						bb	i		I/III	I				III			M	1	1	-5, -1, -4		-5.0	-5.0	2	9	0.18181818181818182	0.25	2.0	0.1111111111111111
9	9	1/2	1/2	3/4	2	1	V65/III						bb	i		V65/III	V		65		III			Mm7	1	1	0, -3, -6, -4		-4.0	0.0	1	3	0.25	0.125	0.375	0.25
10	10	0	0	3/4	2	1	I/III|IAC}						bb	i		I/III	I				III	IAC	}	M	1	1	-5, -1, -4		-5.0	-5.0	0	3	0.0	0.0	0.75	0.0
10	10	1/4	1/4	3/4	2	1	I64/III	0.322509	4.25252		/		bb	i		I64/III	I		64		III			M	1	1	-4, -5, -1		-5.0	-4.0	0	5	0.0	0.0	1.25	0.0
11	11	0	0	3/4	2	1	V7(9){	-0.75252	3.71921	-9.71278	/		bb	i		V7(9)	V		7	9			{	Mm7	1	1	-1, 3, 0, -3	-6	-1.0	-1.0	1	4	0.2	0.0625	0.9375	0.0625
11	11	1/4	1/4	3/4	2	1	#viio7						bb	i		#viio7	#vii	o	7					o7	1	1	3, 0, -3, -6		3.0	3.0	1	4	0.2	0.0625	1.1875	0.05
11	11	1/2	1/2	3/4	2	1	#viio65						bb	i		#viio65	#vii	o	65					o7	1	1	0, -3, -6, 3		3.0	0.0	2	11	0.15384615384615385	0.125	2.375	0.05
12	12	1/2	1/2	3/4	2	1	#viio43						bb	i		#viio43	#vii	o	43					o7	1	1	-3, -6, 3, 0		3.0	-3.0	0	5	0.0	0.0	0.875	0.0
13	13	1/8	1/8	3/4	2	1	V2						bb	i		V2	V		2					Mm7	1	1	-3, -1, 3, 0		-1.0	-3.0	0	3	0.0	0.0	0.625	0.0
13	13	1/4	1/4	3/4	2	1	#viio43						bb	i		#viio43	#vii	o	43					o7	1	1	-3, -6, 3, 0		3.0	-3.0	2	4	0.3333333333333333	0.25	0.75	0.25
13	13	1/2	1/2	3/4	2	1	#viio2						bb	i		#viio2	#vii	o	2					o7	1	1	-6, 3, 0, -3		3.0	-6.0	2	6	0.25	0.25	0.8125	0.23529411764705882
14	14	1/8	1/8	3/4	2	1	V7						bb	i		V7	V		7					Mm7	1	1	-1, 3, 0, -3		-1.0	-1.0	0	4	0.0	0.0	0.6875	0.0
14	14	1/4	1/4	3/4	2	1	#viio43						bb	i		#viio43	#vii	o	43					o7	1	1	-3, -6, 3, 0		3.0	-3.0	1	4	0.2	0.0625	1.1875	0.05
14	14	1/2	1/2	3/4	2	1	#viio2}						bb	i		#viio2	#vii	o	2				}	o7	1	1	-6, 3, 0, -3		3.0	-6.0	0	3	0.0	0.0	0.5	0.0
15	15	0	0	3/4	2	1	#viio65/iv{	-0.107503	5.65427	-7.34771	/		bb	i		#viio65/iv	#vii	o	65		iv		{	o7	1	1	-1, -4, -7, 2		2.0	-1.0	1	4	0.2	0.0625	0.9375	0.0625
15	15	1/4	1/4	3/4	2	1	#viio7/iv						bb	i		#viio7/iv	#vii	o	7		iv			o7	1	1	2, -1, -4, -7		2.0	2.0	1	4	0.2	0.0625	1.1875	0.05
15	15	1/2	1/2	3/4	2	1	#viio65/iv						bb	i		#viio65/iv	#vii	o	65		iv			o7	1	1	-1, -4, -7, 2		2.0	-1.0	2	11	0.15384615384615385	0.125	2.625	0.045454545454545456
16	16	1/2	1/2	3/4	2	1	#viio43/iv						bb	i		#viio43/iv	#vii	o	43		iv			o7	1	1	-4, -7, 2, -1		2.0	-4.0	0	5	0.0	0.0	0.875	0.0
17	17	1/8	1/8	3/4	2	1	V2/iv						bb	i		V2/iv	V		2		iv			Mm7	1	1	-4, -2, 2, -1		-2.0	-4.0	0	3	0.0	0.0	0.625	0.0
17	17	1/4	1/4	3/4	2	1	#viio43/iv						bb	i		#viio43/iv	#vii	o	43		iv			o7	1	1	-4, -7, 2, -1		2.0	-4.0	2	4	0.3333333333333333	0.25	0.75	0.25
17	17	1/2	1/2	3/4	2	1	#viio2/iv						bb	i		#viio2/iv	#vii	o	2		iv			o7	1	1	-7, 2, -1, -4		2.0	-7.0	2	6	0.25	0.25	0.8125	0.23529411764705882
