mc	mn	mc_onset	mn_onset	timesig	staff	voice	label	alt_label	globalkey	localkey	pedal	chord	special	numeral	form	figbass	changes	relativeroot	pedalend	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note	n_colored	n_untouched	count_ratio	dur_colored	dur_untouched	dur_ratio
1	1	0	0	2/4	2	1	e.V{		e	i		V		V							{	M	1	1	5, 9, 6		5	5	0	2	0.0	0.0	1.0	0.0
2	2	1/4	1/4	2/4	2	1	V2		e	i		V2		V		2						Mm7	1	1	3, 5, 9, 6		5	3	0	2	0.0	0.0	0.125	0.0
3	3	0	0	2/4	2	1	V64	V43	e	i		V64		V		64						M	1	1	6, 5, 9		5	6	0	3	0.0	0.0	0.625	0.0
3	3	1/4	1/4	2/4	2	1	i6		e	i		i6		i		6						m	1	1	1, 5, 4		4	1	0	2	0.0	0.0	0.125	0.0
4	4	0	0	2/4	2	1	i		e	i		i		i								m	1	1	4, 1, 5		4	4	0	3	0.0	0.0	0.625	0.0
4	4	1/4	1/4	2/4	2	1	v6		e	i		v6		v		6						m	1	1	2, 6, 5		5	2	0	2	0.0	0.0	0.125	0.0
5	5	0	0	2/4	2	1	v		e	i		v		v								m	1	1	5, 2, 6		5	5	0	3	0.0	0.0	0.625	0.0
5	5	1/4	1/4	2/4	2	1	VIM7		e	i		VIM7		VI	M	7						MM7	1	1	0, 4, 1, 5		0	0	0	2	0.0	0.0	0.125	0.0
6	6	0	0	2/4	2	1	V2		e	i		V2		V		2						Mm7	1	1	3, 5, 9, 6		5	3	0	3	0.0	0.0	0.625	0.0
6	6	1/4	1/4	2/4	2	1	V64	V43	e	i		V64		V		64						M	1	1	6, 5, 9		5	6	0	3	0.0	0.0	0.625	0.0
7	7	1/4	1/4	2/4	2	1	V43(b5)}		e	i		V43(b5)		V		43	b5				}	Mm7	1	1	-1, 3, 5, 9		5	-1	0	3	0.0	0.0	0.375	0.0
9	9	0	0	2/4	2	1	i{		e	i		i		i							{	m	1	1	4, 1, 5		4	4	3	7	0.3	0.25	1.25	0.16666666666666666
12	12	0	0	2/4	2	1	V		e	i		V		V								M	1	1	5, 9, 6		5	5	1	3	0.25	0.125	0.625	0.16666666666666666
13	13	1/4	1/4	2/4	2	1	V(b5)/V		e	i		V(b5)/V		V			b5	V				M	1	1	6, 10, 0		6	6	4	11	0.26666666666666666	0.5	1.25	0.2857142857142857
17	17	0	0	2/4	2	1	V		e	i		V		V								M	1	1	5, 9, 6		5	5	0	1	0.0	0.0	0.25	0.0
17	17	1/4	1/4	2/4	2	1	i		e	i		i		i								m	1	1	4, 1, 5		4	4	1	2	0.3333333333333333	0.125	0.375	0.25
18	18	1/4	1/4	2/4	2	1	IV6		e	i		IV6		IV		6						M	1	1	7, 4, 3		3	7	0	4	0.0	0.0	0.875	0.0
20	20	1/8	1/8	2/4	2	1	iv6		e	i		iv6		iv		6						m	1	1	0, 4, 3		3	0	0	1	0.0	0.0	0.125	0.0
20	20	1/4	1/4	2/4	2	1	V		e	i		V		V								M	1	1	5, 9, 6		5	5	2	4	0.3333333333333333	0.08333333333333333	0.6666666666666666	0.1111111111111111
22	22	0	0	2/4	2	1	i		e	i		i		i								m	1	1	4, 1, 5		4	4	3	3	0.5	0.25	0.25	0.5
23	23	0	0	2/4	2	1	V43(b5)/V	Fr6	e	i		V43(b5)/V		V		43	b5	V				Mm7	1	1	0, 4, 6, 10		6	0	0	22	0.0	0.0	2.5	0.0
28	28	0	0	2/4	2	1	V		e	i		V		V								M	1	1	5, 9, 6		5	5	0	3	0.0	0.0	0.375	0.0
28	28	3/8	3/8	2/4	2	1	bV		e	i		bV		bV								M	1	1	-2, 2, -1		-2	-2	0	3	0.0	0.0	0.375	0.0
29	29	1/4	1/4	2/4	2	1	IV		e	i		IV		IV								M	1	1	3, 7, 4		3	3	0	3	0.0	0.0	0.375	0.0
30	30	1/8	1/8	2/4	2	1	bIV		e	i		bIV		bIV								M	1	1	-4, 0, -3		-4	-4	0	3	0.0	0.0	0.375	0.0
31	31	0	0	2/4	2	1	III	i6	e	i		III		III								M	1	1	1, 5, 2		1	1	0	4	0.0	0.0	0.625	0.0
32	32	1/8	1/8	2/4	2	1	V64		e	i		V64		V		64						M	1	1	6, 5, 9		5	6	0	3	0.0	0.0	0.5	0.0
33	33	1/8	1/8	2/4	2	1	V64(b5)		e	i		V64(b5)		V		64	b5					M	1	1	-1, 5, 9		5	-1	0	4	0.0	0.0	1.0	0.0
35	35	1/8	1/8	2/4	2	1	i		e	i		i		i								m	1	1	4, 1, 5		4	4	16	15	0.5161290322580645	1.3333333333333333	2.5416666666666665	0.3440860215053763
43	43	0	0	2/4	2	1	V|HC}		e	i		V		V						HC	}	M	1	1	5, 9, 6		5	5	0	4	0.0	0.0	2.0	0.0
47	47	0	0	2/4	2	1	i[i{		e	i	i	i		i							{	m	1	1	4, 1, 5		4	4	0	4	0.0	0.0	1.5	0.0
47	47	1/4	1/4	2/4	2	1	V7		e	i		V7		V		7						Mm7	1	1	5, 9, 6, 3		5	5	1	2	0.3333333333333333	0.125	0.375	0.25
48	48	0	0	2/4	2	1	i		e	i		i		i								m	1	1	4, 1, 5		4	4	0	4	0.0	0.0	1.5	0.0
48	48	1/4	1/4	2/4	2	1	V		e	i		V		V								M	1	1	5, 9, 6		5	5	0	2	0.0	0.0	0.5	0.0
49	49	0	0	2/4	2	1	i		e	i		i		i								m	1	1	4, 1, 5		4	4	0	3	0.0	0.0	1.25	0.0
49	49	1/4	1/4	2/4	2	1	V7		e	i		V7		V		7						Mm7	1	1	5, 9, 6, 3		5	5	1	4	0.2	0.125	0.375	0.25
50	50	0	0	2/4	2	1	i		e	i		i		i								m	1	1	4, 1, 5		4	4	1	4	0.2	0.125	1.375	0.08333333333333333
50	50	1/4	1/4	2/4	2	1	V		e	i		V		V								M	1	1	5, 9, 6		5	5	0	2	0.0	0.0	0.5	0.0
51	51	0	0	2/4	2	1	i]		e	i		i		i					]			m	1	1	4, 1, 5		4	4	0	5	0.0	0.0	1.75	0.0
51	51	1/4	1/4	2/4	2	1	V(b5+4)/V		e	i		V(b5+4)/V		V			b5+4	V				M	1	1	6, 10, 0	5	6	6	0	4	0.0	0.0	0.75	0.0
52	52	0	0	2/4	2	1	i6		e	i		i6		i		6						m	1	1	1, 5, 4		4	1	0	5	0.0	0.0	1.75	0.0
52	52	1/4	1/4	2/4	2	1	V(b5+4)/V		e	i		V(b5+4)/V		V			b5+4	V				M	1	1	6, 10, 0	5	6	6	0	6	0.0	0.0	0.75	0.0
53	53	0	0	2/4	2	1	i		e	i		i		i								m	1	1	4, 1, 5		4	4	1	5	0.16666666666666666	0.125	1.625	0.07142857142857142
53	53	1/4	1/4	2/4	2	1	V(b5+4)/V		e	i		V(b5+4)/V		V			b5+4	V				M	1	1	6, 10, 0	5	6	6	0	4	0.0	0.0	0.75	0.0
54	54	0	0	2/4	2	1	i6		e	i		i6		i		6						m	1	1	1, 5, 4		4	1	1	5	0.16666666666666666	0.125	1.625	0.07142857142857142
54	54	1/4	1/4	2/4	2	1	V(b5+4)/V		e	i		V(b5+4)/V		V			b5+4	V				M	1	1	6, 10, 0	5	6	6	0	4	0.0	0.0	0.75	0.0
55	55	0	0	2/4	2	1	i		e	i		i		i								m	1	1	4, 1, 5		4	4	0	6	0.0	0.0	2.25	0.0
56	56	0	0	2/4	2	1	viio65/VII		e	i		viio65/VII		vii	o	65		VII				o7	1	1	4, 1, -2, 7		7	4	1	5	0.16666666666666666	0.125	1.875	0.0625
57	57	0	0	2/4	2	1	V43/VII		e	i		V43/VII		V		43		VII				Mm7	1	1	4, 1, 3, 7		3	4	0	5	0.0	0.0	2.0	0.0
58	58	0	0	2/4	2	1	Ger7	i(6#4)	e	i		Ger7	Ger	vii	o	7	b3	V				Ger	1	1	10, 0, 4, 1		10	10	0	5	0.0	0.0	1.625	0.0
58	58	1/4	1/4	2/4	2	1	i(#4)		e	i		i(#4)		i			#4					m	1	1	4, 1, 10		4	4	1	0	1.0	0.25	0.0	1.0
58	58	3/8	3/8	2/4	2	1	i		e	i		i		i								m	1	1	4, 1, 5		4	4	0	1	0.0	0.0	0.125	0.0
59	59	0	0	2/4	2	1	V65/ii		e	i		V65/ii		V		65		ii				Mm7	1	1	11, 8, 5, 7		7	11	1	4	0.2	0.125	0.875	0.125
