mc	mn	mc_onset	mn_onset	timesig	staff	voice	label	offset_x	offset_y	minDistance	offset	alt_label	globalkey	localkey	pedal	chord	special	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note	n_colored	n_untouched	count_ratio	dur_colored	dur_untouched	dur_ratio
1	1	1/4	1/4	6/4	3	1	F#.I{						F#	I		I		I						{	M	0	0	6, 10, 7		6.0	6.0	0	30	0.0	0.0	7.5	0.0
3	3	0	0	6/4	3	1	I64						F#	I		I64		I		64					M	0	0	7, 6, 10		6.0	7.0	0	14	0.0	0.0	4.125	0.0
3	3	9/8	9/8	6/4	3	1	vi					I64(6)	F#	I		vi		vi							m	0	0	9, 6, 10		9.0	9.0	0	11	0.0	0.0	3.375	0.0
4	4	3/4	3/4	6/4	3	1	I64						F#	I		I64		I		64					M	0	0	7, 6, 10		6.0	7.0	0	4	0.0	0.0	1.125	0.0
4	4	9/8	9/8	6/4	3	1	I6						F#	I		I6		I		6					M	0	0	10, 7, 6		6.0	10.0	0	4	0.0	0.0	1.125	0.0
5	5	0	0	6/4	3	1	IV64						F#	I		IV64		IV		64					M	0	0	6, 5, 9		5.0	6.0	0	7	0.0	0.0	2.25	0.0
5	5	3/4	3/4	6/4	3	1	ii						F#	I		ii		ii							m	0	0	8, 5, 9		8.0	8.0	0	7	0.0	0.0	2.25	0.0
6	6	0	0	6/4	3	1	I6						F#	I		I6		I		6					M	0	0	10, 7, 6		6.0	10.0	0	16	0.0	0.0	5.25	0.0
7	7	0	0	6/4	3	1	I64						F#	I		I64		I		64					M	0	0	7, 6, 10		6.0	7.0	0	7	0.0	0.0	2.25	0.0
7	7	3/4	3/4	6/4	3	1	IM2						F#	I		IM2		I	M	2					MM7	0	0	11, 6, 10, 7		6.0	11.0	0	4	0.0	0.0	1.0	0.0
7	7	1	1	6/4	3	1	vi	-0.645017	7.02621		/	I64(6)	F#	I		vi		vi							m	0	0	9, 6, 10		9.0	9.0	0	4	0.0	0.0	1.0	0.0
7	7	5/4	5/4	6/4	3	1	I64						F#	I		I64		I		64					M	0	0	7, 6, 10		6.0	7.0	0	4	0.0	0.0	1.0	0.0
8	8	0	0	6/4	3	1	vi					I64(6)	F#	I		vi		vi							m	0	0	9, 6, 10		9.0	9.0	0	4	0.0	0.0	1.125	0.0
8	8	3/8	3/8	6/4	3	1	I64						F#	I		I64		I		64					M	0	0	7, 6, 10		6.0	7.0	0	4	0.0	0.0	1.125	0.0
8	8	3/4	3/4	6/4	3	1	I6						F#	I		I6		I		6					M	0	0	10, 7, 6		6.0	10.0	0	4	0.0	0.0	1.125	0.0
8	8	9/8	9/8	6/4	3	1	I						F#	I		I		I							M	0	0	6, 10, 7		6.0	6.0	0	4	0.0	0.0	1.125	0.0
9	9	0	0	6/4	3	1	IV64						F#	I		IV64		IV		64					M	0	0	6, 5, 9		5.0	6.0	0	7	0.0	0.0	2.25	0.0
9	9	3/4	3/4	6/4	3	1	IVM2						F#	I		IVM2		IV	M	2					MM7	0	0	10, 5, 9, 6		5.0	10.0	0	4	0.0	0.0	1.0	0.0
9	9	1	1	6/4	3	1	ii					IV64(6)	F#	I		ii		ii							m	0	0	8, 5, 9		8.0	8.0	0	4	0.0	0.0	1.0	0.0
9	9	5/4	5/4	6/4	3	1	IV64						F#	I		IV64		IV		64					M	0	0	6, 5, 9		5.0	6.0	0	4	0.0	0.0	1.0	0.0
10	10	0	0	6/4	3	1	I6	0.860023	5.84442	-6.59519	/		F#	I		I6		I		6					M	0	0	10, 7, 6		6.0	10.0	0	17	0.0	0.0	5.0	0.0
11	11	0	0	6/4	3	1	I+6	0.107503	6.38194	-6.05768	/	V+/vi	F#	I		I+6		I	+	6					+	0	0	10, 14, 6		6.0	10.0	0	7	0.0	0.0	2.25	0.0
11	11	3/4	3/4	6/4	3	1	I+					V+64/vi	F#	I		I+		I	+						+	0	0	6, 10, 14		6.0	6.0	0	10	0.0	0.0	2.75	0.0
12	12	0	0	6/4	3	1	vi64	0	6.59694	-5.84267	/		F#	I		vi64		vi		64					m	0	0	10, 9, 6		9.0	10.0	0	7	0.0	0.0	2.25	0.0
12	12	3/4	3/4	6/4	3	1	vi	0	5.8438	-6.05768	/		F#	I		vi		vi							m	0	0	9, 6, 10		9.0	9.0	0	7	0.0	0.0	2.25	0.0
13	13	0	0	6/4	3	1	I+6	0	6.05943	-6.38019	/	V+/vi	F#	I		I+6		I	+	6					+	0	0	10, 14, 6		6.0	10.0	0	7	0.0	0.0	2.25	0.0
13	13	3/4	3/4	6/4	3	1	I+					V+64/vi	F#	I		I+		I	+						+	0	0	6, 10, 14		6.0	6.0	4	7	0.36363636363636365	1.0	1.75	0.36363636363636365
14	14	0	0	6/4	3	1	vi64	-0.215006	6.27443	-6.16518	/		F#	I		vi64		vi		64					m	0	0	10, 9, 6		9.0	10.0	0	16	0.0	0.0	5.25	0.0
15	15	0	0	6/4	3	1	V+/vi					bVI64(b6)	F#	I		V+/vi		V	+			vi			+	0	0	10, 14, 18		10.0	10.0	8	6	0.5714285714285714	2.0	2.125	0.48484848484848486
15	15	9/8	9/8	6/4	3	1	bVI64						F#	I		bVI64		bVI		64					M	0	0	3, 2, 6		2.0	3.0	0	4	0.0	0.0	1.125	0.0
16	16	0	0	6/4	3	1	bIII+					I64(b6)/V	F#	I		bIII+		bIII	+						+	0	0	3, 7, 11		3.0	3.0	0	7	0.0	0.0	2.25	0.0
16	16	3/4	3/4	6/4	3	1	I64/V						F#	I		I64/V		I		64		V			M	0	0	8, 7, 11		7.0	8.0	0	7	0.0	0.0	2.25	0.0
17	17	0	0	6/4	3	1	V.V+						F#	V		V+		V	+						+	0	0	8, 12, 16		8.0	8.0	0	7	0.0	0.0	2.25	0.0
