mc	mn	mc_onset	mn_onset	timesig	staff	voice	label	offset_x	offset_y	offset	volta	alt_label	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note	n_colored	n_untouched	count_ratio	dur_colored	dur_untouched	dur_ratio
1	0	0	3/4	4/4	2	1	e.V{						e	i		V	V						{	M	1	1	5, 9, 6		5	5	0	1	0.0	0.0	0.25	0.0
2	1	0	0	4/4	2	1	i						e	i		i	i							m	1	1	4, 1, 5		4	4	1	2	0.3333333333333333	0.0625	0.4375	0.125
2	1	1/4	1/4	4/4	2	1	i2						e	i		i2	i		2					mm7	1	1	2, 4, 1, 5		4	2	2	3	0.4	0.125	0.9375	0.11764705882352941
2	1	1/2	1/2	4/4	2	1	#vi%7						e	i		#vi%7	#vi	%	7					%7	1	1	7, 4, 1, 5		7	7	0	4	0.0	0.0	0.75	0.0
2	1	3/4	3/4	4/4	2	1	VI						e	i		VI	VI							M	1	1	0, 4, 1		0	0	1	4	0.2	0.0625	0.9375	0.0625
3	2	0	0	4/4	2	1	v						e	i		v	v							m	1	1	5, 2, 6		5	5	1	4	0.2	0.0625	0.9375	0.0625
3	2	1/4	1/4	4/4	2	1	iv						e	i		iv	iv							m	1	1	3, 0, 4		3	3	1	4	0.2	0.0625	0.9375	0.0625
3	2	1/2	1/2	4/4	2	1	V64(6)						e	i		V64(6)	V		64	6				M	1	1	1, 5, 9		5	1	0	4	0.0	0.0	1.375	0.0
3	2	3/4	3/4	4/4	2	1	V43						e	i		V43	V		43					Mm7	1	1	6, 3, 5, 9		5	6	0	2	0.0	0.0	0.5	0.0
3	2	7/8	7/8	4/4	2	1	#viio65	0	-9	/			e	i		#viio65	#vii	o	65					o7	1	1	6, 3, 0, 9		9	6	0	1	0.0	0.0	0.125	0.0
4	3	0	0	4/4	2	1	bII						e	i		bII	bII							M	1	1	-1, 3, 0		-1	-1	1	4	0.2	0.0625	0.9375	0.0625
4	3	1/4	1/4	4/4	2	1	VIM7					IVM7/III	e	i		VIM7	VI	M	7					MM7	1	1	0, 4, 1, 5		0	0	1	4	0.2	0.0625	0.9375	0.0625
4	3	1/2	1/2	4/4	2	1	VII					V/III	e	i		VII	VII							M	1	1	2, 6, 3		2	2	1	4	0.2	0.0625	0.9375	0.0625
4	3	3/4	3/4	4/4	2	1	iv7						e	i		iv7	iv		7					mm7	1	1	3, 0, 4, 1		3	3	1	4	0.2	0.0625	0.9375	0.0625
5	4	0	0	4/4	2	1	V						e	i		V	V							M	1	1	5, 9, 6		5	5	0	4	0.0	0.0	1.0	0.0
5	4	1/4	1/4	4/4	2	1	i[i|PAC}						e	i	i	i	i					PAC	}	m	1	1	4, 1, 5		4	4	0	9	0.0	0.0	2.125	0.0
5	4	3/4	3/4	4/4	2	1	V64						e	i	i	V64	V		64					M	1	1	6, 5, 9		5	6	0	3	0.0	0.0	0.75	0.0
6	5	0	0	4/4	2	1	VIM65					i(+6)	e	i	i	VIM65	VI	M	65					MM7	1	1	4, 1, 5, 0		0	4	2	5	0.2857142857142857	0.125	1.375	0.08333333333333333
6	5	1/4	1/4	4/4	2	1	i7						e	i	i	i7	i		7					mm7	1	1	4, 1, 5, 2		4	4	3	3	0.5	0.1875	0.5625	0.25
6	5	1/2	1/2	4/4	2	1	i]						e	i	i	i	i							m	1	1	4, 1, 5		4	4	0	4	0.0	0.0	0.75	0.0
6	5	3/4	3/4	4/4	2	1	ii7(9)						e	i		ii7(9)	ii		7	9				mm7	1	1	6, 3, 7, 4	1	6	6	0	5	0.0	0.0	1.0	0.0
7	6	0	0	4/4	2	1	IIIM7						e	i		IIIM7	III	M	7					MM7	1	1	1, 5, 2, 6		1	1	1	4	0.2	0.0625	0.9375	0.0625
7	6	1/4	1/4	4/4	2	1	iv7						e	i		iv7	iv		7					mm7	1	1	3, 0, 4, 1		3	3	1	4	0.2	0.0625	0.9375	0.0625
7	6	1/2	1/2	4/4	2	1	v						e	i		v	v							m	1	1	5, 2, 6		5	5	0	4	0.0	0.0	1.375	0.0
7	6	3/4	3/4	4/4	2	1	V7/VI						e	i		V7/VI	V		7		VI			Mm7	1	1	1, 5, 2, -1		1	1	1	2	0.3333333333333333	0.125	0.5	0.2
8	7	0	0	4/4	2	1	bII					IV/VI	e	i		bII	bII							M	1	1	-1, 3, 0		-1	-1	0	4	0.0	0.0	0.6875	0.0
8	7	1/8	1/8	4/4	2	1	vii%43/VI						e	i		vii%43/VI	vii	%	43		VI			%7	1	1	-1, 3, 5, 2		5	-1	0	3	0.0	0.0	0.3125	0.0
8	7	1/4	1/4	4/4	2	1	VI					IV/III	e	i		VI	VI							M	1	1	0, 4, 1		0	0	1	4	0.2	0.0625	0.9375	0.0625
8	7	1/2	1/2	4/4	2	1	VII					V/III	e	i		VII	VII							M	1	1	2, 6, 3		2	2	0	4	0.0	0.0	0.6875	0.0
8	7	5/8	5/8	4/4	2	1	IIIM43						e	i		IIIM43	III	M	43					MM7	1	1	2, 6, 1, 5		1	2	0	3	0.0	0.0	0.3125	0.0
8	7	3/4	3/4	4/4	2	1	iv						e	i		iv	iv							m	1	1	3, 0, 4		3	3	1	4	0.2	0.0625	0.9375	0.0625
9	8	0	0	4/4	2	1	V						e	i		V	V							M	1	1	5, 9, 6		5	5	0	4	0.0	0.0	1.0	0.0
9	8	1/4	1/4	4/4	2	1	i|PAC}						e	i		i	i					PAC	}	m	1	1	4, 1, 5		4	4	0	4	0.0	0.0	2.0	0.0
10	8	0	3/4	4/4	2	1	V/III{						e	i		V/III	V				III		{	M	1	1	2, 6, 3		2	2	0	4	0.0	0.0	1.0	0.0
11	9	0	0	4/4	2	1	I/III						e	i		I/III	I				III			M	1	1	1, 5, 2		1	1	1	4	0.2	0.0625	1.1875	0.05
11	9	1/4	1/4	4/4	2	1	vii%43/V/III						e	i		vii%43/V/III	vii	%	43		V/III			%7	1	1	1, 5, 7, 4		7	1	0	4	0.0	0.0	0.75	0.0
11	9	1/2	1/2	4/4	2	1	V(6)/III						e	i		V(6)/III	V			6	III			M	1	1	2, 6, 5		2	2	3	5	0.375	0.375	0.875	0.3
11	9	3/4	3/4	4/4	2	1	V/III						e	i		V/III	V				III			M	1	1	2, 6, 3		2	2	0	4	0.0	0.0	0.75	0.0
12	10	0	0	4/4	2	1	IV/III						e	i		IV/III	IV				III			M	1	1	0, 4, 1		0	0	1	4	0.2	0.0625	1.1875	0.05
12	10	1/4	1/4	4/4	2	1	vii%43/III						e	i		vii%43/III	vii	%	43		III			%7	1	1	0, 4, 6, 3		6	0	0	4	0.0	0.0	0.75	0.0
12	10	1/2	1/2	4/4	2	1	III[I/III						e	i	III	I/III	I				III			M	1	1	1, 5, 2		1	1	0	5	0.0	0.0	1.375	0.0
12	10	3/4	3/4	4/4	2	1	V/III						e	i	III	V/III	V				III			M	1	1	2, 6, 3		2	2	0	3	0.0	0.0	0.625	0.0
13	11	0	0	4/4	2	1	vi6/III					i6	e	i	III	vi6/III	vi		6		III			m	1	1	1, 5, 4		4	1	1	4	0.2	0.0625	1.6875	0.03571428571428571
13	11	1/4	1/4	4/4	2	1	V6/III					VII6	e	i	III	V6/III	V		6		III			M	1	1	6, 3, 2		2	6	1	3	0.25	0.125	0.625	0.16666666666666666
13	11	1/2	1/2	4/4	2	1	IV6/III					VI6	e	i	III	IV6/III	IV		6		III			M	1	1	4, 1, 0		0	4	1	3	0.25	0.0625	0.6875	0.08333333333333333
13	11	3/4	3/4	4/4	2	1	iii6/III					v6	e	i	III	iii6/III	iii		6		III			m	1	1	2, 6, 5		5	2	1	3	0.25	0.125	0.625	0.16666666666666666
14	12	0	0	4/4	2	1	ii6/III					iv6	e	i	III	ii6/III	ii		6		III			m	1	1	0, 4, 3		3	0	1	3	0.25	0.5	0.75	0.4
14	12	1/4	1/4	4/4	2	1	V]						e	i	III	V	V							M	1	1	5, 9, 6		5	5	0	4	0.0	0.0	1.25	0.0
14	12	1/2	1/2	4/4	2	1	V64(#7)						e	i		V64(#7)	V		64	#7				M	1	1	6, 10, 9		5	6	0	2	0.0	0.0	0.5	0.0
14	12	3/4	3/4	4/4	2	1	V43(b5)|HC}						e	i		V43(b5)	V		43	b5		HC	}	Mm7	1	1	-1, 3, 5, 9		5	-1	1	4	0.2	0.125	0.875	0.125
15	13	0	0	4/4	2	1	i{						e	i		i	i						{	m	1	1	4, 1, 5		4	4	1	4	0.2	0.0625	0.9375	0.0625
15	13	1/4	1/4	4/4	2	1	i2						e	i		i2	i		2					mm7	1	1	2, 4, 1, 5		4	2	1	5	0.16666666666666666	0.0625	1.1875	0.05
15	13	1/2	1/2	4/4	2	1	#vi%7						e	i		#vi%7	#vi	%	7					%7	1	1	7, 4, 1, 5		7	7	0	6	0.0	0.0	1.25	0.0
15	13	3/4	3/4	4/4	2	1	VI						e	i		VI	VI							M	1	1	0, 4, 1		0	0	1	5	0.16666666666666666	0.0625	1.1875	0.05
16	14	0	0	4/4	2	1	v						e	i		v	v							m	1	1	5, 2, 6		5	5	1	5	0.16666666666666666	0.0625	1.1875	0.05
16	14	1/4	1/4	4/4	2	1	iv						e	i		iv	iv							m	1	1	3, 0, 4		3	3	1	5	0.16666666666666666	0.0625	1.1875	0.05
16	14	1/2	1/2	4/4	2	1	V64(6)						e	i		V64(6)	V		64	6				M	1	1	1, 5, 9		5	1	0	5	0.0	0.0	1.625	0.0
16	14	3/4	3/4	4/4	2	1	V43						e	i		V43	V		43					Mm7	1	1	6, 3, 5, 9		5	6	0	3	0.0	0.0	0.75	0.0
16	14	7/8	7/8	4/4	2	1	#viio65	-0.441997	-5.02202	/			e	i		#viio65	#vii	o	65					o7	1	1	6, 3, 0, 9		9	6	0	1	0.0	0.0	0.125	0.0
17	15	0	0	4/4	2	1	bII						e	i		bII	bII							M	1	1	-1, 3, 0		-1	-1	1	5	0.16666666666666666	0.0625	1.1875	0.05
17	15	1/4	1/4	4/4	2	1	VIM7					IVM7/III	e	i		VIM7	VI	M	7					MM7	1	1	0, 4, 1, 5		0	0	1	5	0.16666666666666666	0.0625	1.1875	0.05
17	15	1/2	1/2	4/4	2	1	VII					V/III	e	i		VII	VII							M	1	1	2, 6, 3		2	2	1	5	0.16666666666666666	0.0625	1.1875	0.05
17	15	3/4	3/4	4/4	2	1	iv7						e	i		iv7	iv		7					mm7	1	1	3, 0, 4, 1		3	3	1	5	0.16666666666666666	0.0625	1.1875	0.05
18	16	0	0	4/4	2	1	V				1		e	i		V	V							M	1	1	5, 9, 6		5	5	0	5	0.0	0.0	1.25	0.0
18	16	1/4	1/4	4/4	2	1	i|PAC}				1		e	i		i	i					PAC	}	m	1	1	4, 1, 5		4	4	0	5	0.0	0.0	2.5	0.0
19	16	1/4	1/4	4/4	2	1	V|HC}				2		e	i		V	V					HC	}	M	1	1	5, 9, 6		5	5	0	5	0.0	0.0	1.25	0.0
20	17	0	0	3/4	2	1	I.I[I{						e	I	I	I	I						{	M	1	0	4, 8, 5		4	4	0	12	0.0	0.0	5.5	0.0
23	20	0	0	3/4	2	1	ii64(+4)						e	I	I	ii64(+4)	ii		64	+4				m	1	0	7, 6, 3	5	6	7	2	15	0.11764705882352941	1.5	3.75	0.2857142857142857
25	22	0	0	3/4	2	1	IM7						e	I	I	IM7	I	M	7					MM7	1	0	4, 8, 5, 9		4	4	0	15	0.0	0.0	5.75	0.0
27	24	0	0	3/4	2	1	ii6(+4)						e	I	I	ii6(+4)	ii		6	+4				m	1	0	3, 7, 6	5	6	3	2	9	0.18181818181818182	1.5	2.75	0.35294117647058826
28	25	1/4	1/4	3/4	2	1	V						e	I	I	V	V							M	1	0	5, 9, 6		5	5	0	6	0.0	0.0	1.0	0.0
29	26	0	0	3/4	2	1	I]|PAC}						e	I	I	I	I					PAC	}	M	1	0	4, 8, 5		4	4	0	7	0.0	0.0	3.25	0.0
30	27	0	0	3/4	2	1	V[I/V{						e	I	V	I/V	I				V		{	M	1	0	5, 9, 6		5	5	0	9	0.0	0.0	2.25	0.0
31	28	0	0	3/4	2	1	ii64(+4)/V						e	I	V	ii64(+4)/V	ii		64	+4	V			m	1	0	8, 7, 4	6	7	8	2	17	0.10526315789473684	1.5	3.25	0.3157894736842105
33	30	0	0	3/4	2	1	IM7/V						e	I	V	IM7/V	I	M	7		V			MM7	1	0	5, 9, 6, 10		5	5	0	17	0.0	0.0	5.25	0.0
35	32	0	0	3/4	2	1	ii6(+4)/V						e	I	V	ii6(+4)/V	ii		6	+4	V			m	1	0	4, 8, 7	6	7	4	1	9	0.1	0.75	1.75	0.3
36	33	0	0	3/4	2	1	V/V						e	I	V	V/V	V				V			M	1	0	6, 10, 7		6	6	1	8	0.1111111111111111	0.75	1.5	0.3333333333333333
37	34	0	0	3/4	2	1	I/V]|PAC}						e	I	V	I/V	I				V	PAC	}	M	1	0	5, 9, 6		5	5	0	8	0.0	0.0	3.0	0.0
38	35	0	0	3/4	2	1	vii.i{						e	vii		i	i						{	m	1	1	2, -1, 3		2	2	8	0	1.0	2.5	0.0	1.0
39	36	0	0	3/4	2	1	IV						e	vii		IV	IV							M	1	1	1, 5, 2		1	1	9	0	1.0	2.75	0.0	1.0
40	37	0	0	3/4	2	1	i						e	vii		i	i							m	1	1	2, -1, 3		2	2	8	0	1.0	2.5	0.0	1.0
41	38	0	0	3/4	2	1	V						e	vii		V	V							M	1	1	3, 7, 4		3	3	7	0	1.0	3.25	0.0	1.0
42	39	0	0	3/4	2	1	i/v						e	vii		i/v	i				v			m	1	1	3, 0, 4		3	3	8	0	1.0	2.5	0.0	1.0
43	40	0	0	3/4	2	1	IV/v						e	vii		IV/v	IV				v			M	1	1	2, 6, 3		2	2	9	0	1.0	2.75	0.0	1.0
44	41	0	0	3/4	2	1	i/v						e	vii		i/v	i				v			m	1	1	3, 0, 4		3	3	8	0	1.0	2.5	0.0	1.0
45	42	0	0	3/4	2	1	V/v						e	vii		V/v	V				v			M	1	1	4, 8, 5		4	4	7	0	1.0	3.25	0.0	1.0
46	43	0	0	3/4	2	1	i/ii						e	vii		i/ii	i				ii			m	1	1	4, 1, 5		4	4	8	0	1.0	2.5	0.0	1.0
47	44	0	0	3/4	2	1	IV/ii						e	vii		IV/ii	IV				ii			M	1	1	3, 7, 4		3	3	9	0	1.0	2.75	0.0	1.0
48	45	0	0	3/4	2	1	i/ii						e	vii		i/ii	i				ii			m	1	1	4, 1, 5		4	4	8	0	1.0	2.5	0.0	1.0
49	46	0	0	3/4	2	1	V/ii						e	vii		V/ii	V				ii			M	1	1	5, 9, 6		5	5	7	0	1.0	3.25	0.0	1.0
50	47	0	0	3/4	2	1	i/#vi						e	vii		i/#vi	i				#vi			m	1	1	5, 2, 6		5	5	8	0	1.0	2.5	0.0	1.0
51	48	0	0	3/4	2	1	IV/#vi						e	vii		IV/#vi	IV				#vi			M	1	1	4, 8, 5		4	4	9	0	1.0	2.75	0.0	1.0
