mc	mn	mc_onset	mn_onset	timesig	staff	voice	label	alt_label	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note	n_colored	n_untouched	count_ratio	dur_colored	dur_untouched	dur_ratio
1	1	0	0	4/4	2	1	Eb.I{		Eb	I		I	I						{	M	0	0	-3, 1, -2		-3.0	-3.0	0	8	0.0	0.0	4.0	0.0
3	3	0	0	4/4	2	1	ii43		Eb	I		ii43	ii		43					mm7	0	0	0, -3, -1, -4		-1.0	0.0	0	3	0.0	0.0	0.5625	0.0
3	3	3/16	3/16	4/4	2	1	I64		Eb	I		I64	I		64					M	0	0	-2, -3, 1		-3.0	-2.0	0	3	0.0	0.0	0.1875	0.0
3	3	1/4	1/4	4/4	2	1	IV		Eb	I		IV	IV							M	0	0	-4, 0, -3		-4.0	-4.0	0	4	0.0	0.0	0.5	0.0
3	3	3/8	3/8	4/4	2	1	I6		Eb	I		I6	I		6					M	0	0	1, -2, -3		-3.0	1.0	0	4	0.0	0.0	0.5	0.0
3	3	1/2	1/2	4/4	2	1	ii7		Eb	I		ii7	ii		7					mm7	0	0	-1, -4, 0, -3		-1.0	-1.0	0	4	0.0	0.0	1.0	0.0
3	3	3/4	3/4	4/4	2	1	V		Eb	I		V	V							M	0	0	-2, 2, -1		-2.0	-2.0	0	4	0.0	0.0	1.0	0.0
4	4	0	0	4/4	2	1	I|IAC}		Eb	I		I	I					IAC	}	M	0	0	-3, 1, -2		-3.0	-3.0	0	4	0.0	0.0	2.0	0.0
5	5	0	0	4/4	2	1	iii.i{		Eb	iii		i	i						{	m	0	1	1, -2, 2		1.0	1.0	0	8	0.0	0.0	4.0	0.0
7	7	0	0	4/4	2	1	ii%43		Eb	iii		ii%43	ii	%	43					%7	0	1	-3, 1, 3, 0		3.0	-3.0	0	3	0.0	0.0	0.5625	0.0
7	7	3/16	3/16	4/4	2	1	i64		Eb	iii		i64	i		64					m	0	1	2, 1, -2		1.0	2.0	0	3	0.0	0.0	0.1875	0.0
7	7	1/4	1/4	4/4	2	1	iv		Eb	iii		iv	iv							m	0	1	0, -3, 1		0.0	0.0	0	4	0.0	0.0	0.5	0.0
7	7	3/8	3/8	4/4	2	1	i6		Eb	iii		i6	i		6					m	0	1	-2, 2, 1		1.0	-2.0	0	4	0.0	0.0	0.5	0.0
7	7	1/2	1/2	4/4	2	1	ii%7		Eb	iii		ii%7	ii	%	7					%7	0	1	3, 0, -3, 1		3.0	3.0	0	4	0.0	0.0	1.0	0.0
7	7	3/4	3/4	4/4	2	1	V		Eb	iii		V	V							M	0	1	2, 6, 3		2.0	2.0	0	4	0.0	0.0	1.0	0.0
8	8	0	0	4/4	2	1	i|IAC}		Eb	iii		i	i					IAC	}	m	0	1	1, -2, 2		1.0	1.0	0	4	0.0	0.0	2.0	0.0
9	9	0	0	4/4	2	1	I.V43{		Eb	I		V43	V		43				{	Mm7	0	0	-1, -4, -2, 2		-2.0	-1.0	0	4	0.0	0.0	1.5	0.0
9	9	3/8	3/8	4/4	2	1	I(4)		Eb	I		I(4)	I			4				M	0	0	-3, -4, -2		-3.0	-3.0	0	4	0.0	0.0	0.5	0.0
9	9	1/2	1/2	4/4	2	1	V65		Eb	I		V65	V		65					Mm7	0	0	2, -1, -4, -2		-2.0	2.0	0	4	0.0	0.0	1.0	0.0
9	9	3/4	3/4	4/4	2	1	I		Eb	I		I	I							M	0	0	-3, 1, -2		-3.0	-3.0	0	4	0.0	0.0	1.0	0.0
10	10	0	0	4/4	2	1	V2(6)		Eb	I		V2(6)	V		2	6				Mm7	0	0	-4, -2, 2, 1		-2.0	-4.0	0	4	0.0	0.0	0.875	0.0
10	10	1/8	1/8	4/4	2	1	V2		Eb	I		V2	V		2					Mm7	0	0	-4, -2, 2, -1		-2.0	-4.0	0	5	0.0	0.0	2.125	0.0
10	10	3/4	3/4	4/4	2	1	I6		Eb	I		I6	I		6					M	0	0	1, -2, -3		-3.0	1.0	0	3	0.0	0.0	0.75	0.0
