mc	mn	mc_onset	mn_onset	timesig	staff	voice	label	offset_x	offset_y	offset	volta	alt_label	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	pedalend	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note	n_colored	n_untouched	count_ratio	dur_colored	dur_untouched	dur_ratio
1	1	0	0	2/4	2	1	C.V7(9)	0	-3.78453	/			C	I		V7(9)	V		7	9					Mm7	0	0	1, 5, 2, -1	3	1.0	1.0	0	10	0.0	0.0	1.25	0.0
3	3	0	0	2/4	2	1	I[I{						C	I	I	I	I							{	M	0	0	0, 4, 1		0.0	0.0	0	9	0.0	0.0	1.0625	0.0
5	5	0	0	2/4	2	1	V7						C	I		V7	V		7						Mm7	0	0	1, 5, 2, -1		1.0	1.0	3	8	0.2727272727272727	0.1875	1.125	0.14285714285714285
6	6	0	0	2/4	2	1	I						C	I		I	I								M	0	0	0, 4, 1		0.0	0.0	0	6	0.0	0.0	0.625	0.0
6	6	1/4	1/4	2/4	2	1	vi65					I(+6)	C	I		vi65	vi		65						mm7	0	0	0, 4, 1, 3		3.0	0.0	0	5	0.0	0.0	0.6875	0.0
7	7	0	0	2/4	2	1	V7(9)						C	I		V7(9)	V		7	9					Mm7	0	0	1, 5, 2, -1	3	1.0	1.0	3	9	0.25	0.1875	1.0625	0.15
8	8	0	0	2/4	2	1	V						C	I		V	V								M	0	0	1, 5, 2		1.0	1.0	1	5	0.16666666666666666	0.0625	0.5625	0.1
8	8	1/4	1/4	2/4	2	1	I|PAC}						C	I		I	I						PAC	}	M	0	0	0, 4, 1		0.0	0.0	0	5	0.0	0.0	0.5625	0.0
9	9	0	0	2/4	2	1	V7						C	I		V7	V		7						Mm7	0	0	1, 5, 2, -1		1.0	1.0	3	9	0.25	0.1875	1.0625	0.15
10	10	0	0	2/4	2	1	I						C	I		I	I								M	0	0	0, 4, 1		0.0	0.0	1	6	0.14285714285714285	0.0625	0.5	0.1111111111111111
10	10	1/4	1/4	2/4	2	1	vi65					I(+6)	C	I		vi65	vi		65						mm7	0	0	0, 4, 1, 3		3.0	0.0	0	5	0.0	0.0	0.6875	0.0
11	11	0	0	2/4	2	1	V7(9)						C	I		V7(9)	V		7	9					Mm7	0	0	1, 5, 2, -1	3	1.0	1.0	4	10	0.2857142857142857	0.25	0.875	0.2222222222222222
12	12	0	0	2/4	2	1	V						C	I		V	V								M	0	0	1, 5, 2		1.0	1.0	2	5	0.2857142857142857	0.125	0.4375	0.2222222222222222
12	12	1/4	1/4	2/4	2	1	I]|PAC}						C	I		I	I					]	PAC	}	M	0	0	0, 4, 1		0.0	0.0	0	4	0.0	0.0	0.5	0.0
13	13	0	0	2/4	2	1	V.I{						C	V		I	I							{	M	0	0	1, 5, 2		1.0	1.0	0	6	0.0	0.0	0.5	0.0
13	13	1/4	1/4	2/4	2	1	V[V						C	V	V	V	V								M	0	0	2, 6, 3		2.0	2.0	0	10	0.0	0.0	1.5	0.0
15	15	0	0	2/4	2	1	I						C	V		I	I								M	0	0	1, 5, 2		1.0	1.0	0	9	0.0	0.0	0.9375	0.0
15	15	1/4	1/4	2/4	2	1	IVM43(+2)					I(+64)	C	V		IVM43(+2)	IV	M	43	+2					MM7	0	0	1, 5, 0, 4	2	0.0	1.0	0	9	0.0	0.0	0.9375	0.0
16	16	0	0	2/4	2	1	I						C	V		I	I								M	0	0	1, 5, 2		1.0	1.0	0	12	0.0	0.0	1.625	0.0
17	17	0	0	2/4	2	1	V/V.I						C	V/V		I	I								M	0	0	2, 6, 3		2.0	2.0	0	6	0.0	0.0	0.5	0.0
17	17	1/4	1/4	2/4	2	1	V[V						C	V/V	V	V	V								M	0	0	3, 7, 4		3.0	3.0	0	10	0.0	0.0	1.5	0.0
19	19	0	0	2/4	2	1	I						C	V/V		I	I								M	0	0	2, 6, 3		2.0	2.0	0	9	0.0	0.0	0.9375	0.0
19	19	1/4	1/4	2/4	2	1	IVM43(+2)					I(+64)	C	V/V		IVM43(+2)	IV	M	43	+2					MM7	0	0	2, 6, 1, 5	3	1.0	2.0	0	9	0.0	0.0	0.9375	0.0
20	20	0	0	2/4	2	1	I]}						C	V/V		I	I					]		}	M	0	0	2, 6, 3		2.0	2.0	0	12	0.0	0.0	1.625	0.0
21	21	0	0	2/4	2	1	V.V{						C	V		V	V							{	M	0	0	2, 6, 3		2.0	2.0	0	6	0.0	0.0	0.5625	0.0
21	21	1/4	1/4	2/4	2	1	#vii%2/vi						C	V		#vii%2/vi	#vii	%	2		vi				%7	0	0	7, 9, 6, 3		9.0	7.0	0	6	0.0	0.0	0.5625	0.0
22	22	0	0	2/4	2	1	vii%43						C	V		vii%43	vii	%	43						%7	0	0	0, 4, 6, 3		6.0	0.0	0	6	0.0	0.0	0.5625	0.0
22	22	1/4	1/4	2/4	2	1	#vii%2/vi						C	V		#vii%2/vi	#vii	%	2		vi				%7	0	0	7, 9, 6, 3		9.0	7.0	1	5	0.16666666666666666	0.0625	0.5	0.1111111111111111
23	23	0	0	2/4	2	1	V						C	V		V	V								M	0	0	2, 6, 3		2.0	2.0	0	6	0.0	0.0	0.5625	0.0
23	23	1/4	1/4	2/4	2	1	#vii%7/vi						C	V		#vii%7/vi	#vii	%	7		vi				%7	0	0	9, 6, 3, 7		9.0	9.0	0	6	0.0	0.0	0.5625	0.0
24	24	0	0	2/4	2	1	vii%65						C	V		vii%65	vii	%	65						%7	0	0	3, 0, 4, 6		6.0	3.0	0	12	0.0	0.0	1.875	0.0
25	25	0	0	2/4	2	1	V						C	V		V	V								M	0	0	2, 6, 3		2.0	2.0	0	6	0.0	0.0	0.5625	0.0
25	25	1/4	1/4	2/4	2	1	#vii%2/vi						C	V		#vii%2/vi	#vii	%	2		vi				%7	0	0	7, 9, 6, 3		9.0	7.0	0	6	0.0	0.0	0.5625	0.0
26	26	0	0	2/4	2	1	vii%43						C	V		vii%43	vii	%	43						%7	0	0	0, 4, 6, 3		6.0	0.0	0	6	0.0	0.0	0.5625	0.0
