mc	mn	mc_onset	mn_onset	timesig	staff	voice	label	offset_x	offset_y	offset	alt_label	globalkey	localkey	pedal	chord	special	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note	n_colored	n_untouched	count_ratio	dur_colored	dur_untouched	dur_ratio
1	0	0	3/4	4/4	2	1	e.III{	-0.454353	-3.2771	/	i6{	e	i		III		III						{	M	1	1	1, 5, 2		1	1	0	2	0.0	0.0	0.5	0.0
2	1	0	0	4/4	2	1	V/V					e	i		V/V		V				V			M	1	1	6, 10, 7		6	6	0	2	0.0	0.0	0.5	0.0
2	1	1/4	1/4	4/4	2	1	bII64					e	i		bII64		bII		64					M	1	1	0, -1, 3		-1	0	0	3	0.0	0.0	0.75	0.0
2	1	1/2	1/2	4/4	2	1	I64					e	i		I64		I		64					M	1	1	5, 4, 8		4	5	0	3	0.0	0.0	0.75	0.0
2	1	3/4	3/4	4/4	2	1	#VII6				IV6/bV	e	i		#VII6		#VII		6					M	1	1	13, 10, 9		9	13	4	0	1.0	1.0	0.0	1.0
3	2	0	0	4/4	2	1	ii%7/bV					e	i		ii%7/bV		ii	%	7		bV			%7	1	1	0, -3, -6, -2		0	0	3	1	0.75	1.0	0.375	0.7272727272727273
3	2	1/4	1/4	4/4	2	1	Ger2/iv				V43/bV	e	i		Ger2/iv	Ger	vii	o	2	b3	V/iv			Ger	1	1	0, 9, -1, 3		9	0	0	2	0.0	0.0	0.5	0.0
3	2	3/8	3/8	4/4	2	1	V7(b5)					e	i		V7(b5)		V		7	b5				Mm7	1	1	5, 9, -1, 3		5	5	0	1	0.0	0.0	0.125	0.0
3	2	1/2	1/2	4/4	2	1	i					e	i		i		i							m	1	1	4, 1, 5		4	4	0	5	0.0	0.0	1.25	0.0
3	2	3/4	3/4	4/4	2	1	V					e	i		V		V							M	1	1	5, 9, 6		5	5	0	1	0.0	0.0	0.25	0.0
4	3	0	0	4/4	2	1	iv6					e	i		iv6		iv		6					m	1	1	0, 4, 3		3	0	0	4	0.0	0.0	1.25	0.0
4	3	1/4	1/4	4/4	2	1	V7					e	i		V7		V		7					Mm7	1	1	5, 9, 6, 3		5	5	0	3	0.0	0.0	0.75	0.0
4	3	1/2	1/2	4/4	2	1	i					e	i		i		i							m	1	1	4, 1, 5		4	4	0	4	0.0	0.0	1.0	0.0
4	3	3/4	3/4	4/4	2	1	v6					e	i		v6		v		6					m	1	1	2, 6, 5		5	2	1	1	0.5	0.125	0.125	0.5
5	4	0	0	4/4	2	1	iv6(4)					e	i		iv6(4)		iv		6	4				m	1	1	2, 4, 3		3	2	0	4	0.0	0.0	1.125	0.0
5	4	1/8	1/8	4/4	2	1	iv6					e	i		iv6		iv		6					m	1	1	0, 4, 3		3	0	0	1	0.0	0.0	0.125	0.0
5	4	1/4	1/4	4/4	2	1	V7					e	i		V7		V		7					Mm7	1	1	5, 9, 6, 3		5	5	1	3	0.25	0.125	0.625	0.16666666666666666
5	4	1/2	1/2	4/4	2	1	i|IAC}					e	i		i		i					IAC	}	m	1	1	4, 1, 5		4	4	0	4	0.0	0.0	1.0	0.0
5	4	3/4	3/4	4/4	2	1	iv.III{				i6{	e	iv		III		III						{	M	1	1	0, 4, 1		0	0	0	2	0.0	0.0	0.5	0.0
6	5	0	0	4/4	2	1	V/V					e	iv		V/V		V				V			M	1	1	5, 9, 6		5	5	0	2	0.0	0.0	0.5	0.0
6	5	1/4	1/4	4/4	2	1	bII64					e	iv		bII64		bII		64					M	1	1	-1, -2, 2		-2	-1	0	3	0.0	0.0	0.75	0.0
6	5	1/2	1/2	4/4	2	1	I64					e	iv		I64		I		64					M	1	1	4, 3, 7		3	4	0	3	0.0	0.0	0.75	0.0
6	5	3/4	3/4	4/4	2	1	#VII6				IV6/bV	e	iv		#VII6		#VII		6					M	1	1	12, 9, 8		8	12	4	0	1.0	1.0	0.0	1.0
7	6	0	0	4/4	2	1	ii%7/bV					e	iv		ii%7/bV		ii	%	7		bV			%7	1	1	-1, -4, -7, -3		-1	-1	3	1	0.75	1.0	0.375	0.7272727272727273
7	6	1/4	1/4	4/4	2	1	Ger2/iv				V43/bV	e	iv		Ger2/iv	Ger	vii	o	2	b3	V/iv			Ger	1	1	-1, 8, -2, 2		8	-1	0	2	0.0	0.0	0.5	0.0
7	6	3/8	3/8	4/4	2	1	V7(b5)					e	iv		V7(b5)		V		7	b5				Mm7	1	1	4, 8, -2, 2		4	4	0	1	0.0	0.0	0.125	0.0
7	6	1/2	1/2	4/4	2	1	i					e	iv		i		i							m	1	1	3, 0, 4		3	3	0	4	0.0	0.0	1.0	0.0
7	6	3/4	3/4	4/4	2	1	V					e	iv		V		V							M	1	1	4, 8, 5		4	4	0	1	0.0	0.0	0.25	0.0
8	7	0	0	4/4	2	1	iv6					e	iv		iv6		iv		6					m	1	1	-1, 3, 2		2	-1	0	4	0.0	0.0	1.25	0.0
8	7	1/4	1/4	4/4	2	1	V7					e	iv		V7		V		7					Mm7	1	1	4, 8, 5, 2		4	4	0	3	0.0	0.0	0.75	0.0
8	7	1/2	1/2	4/4	2	1	i					e	iv		i		i							m	1	1	3, 0, 4		3	3	0	3	0.0	0.0	0.75	0.0
8	7	3/4	3/4	4/4	2	1	v6					e	iv		v6		v		6					m	1	1	1, 5, 4		4	1	1	1	0.5	0.125	0.125	0.5
9	8	0	0	4/4	2	1	iv6(4)					e	iv		iv6(4)		iv		6	4				m	1	1	1, 3, 2		2	1	0	4	0.0	0.0	1.125	0.0
9	8	1/8	1/8	4/4	2	1	iv6					e	iv		iv6		iv		6					m	1	1	-1, 3, 2		2	-1	0	1	0.0	0.0	0.125	0.0
9	8	1/4	1/4	4/4	2	1	V7					e	iv		V7		V		7					Mm7	1	1	4, 8, 5, 2		4	4	1	3	0.25	0.125	0.625	0.16666666666666666
9	8	1/2	1/2	4/4	2	1	i|IAC}					e	iv		i		i					IAC	}	m	1	1	3, 0, 4		3	3	4	6	0.4	0.5	1.5	0.25
10	9	1/4	1/4	4/4	2	1	v.V(6)					e	v		V(6)		V			6				M	1	1	6, 10, 2		6	6	0	5	0.0	0.0	2.75	0.0
10	9	1/2	1/2	4/4	2	1	V(#7)					e	v		V(#7)		V			#7				M	1	1	6, 10, 7	11	6	6	0	2	0.0	0.0	0.5	0.0
10	9	3/4	3/4	4/4	2	1	V7(b5)					e	v		V7(b5)		V		7	b5				Mm7	1	1	6, 10, 0, 4		6	6	0	2	0.0	0.0	0.5	0.0
11	10	0	0	4/4	2	1	V(94)					e	v		V(94)		V			94				M	1	1	6, 5, 7	1	6	6	0	5	0.0	0.0	0.75	0.0
11	10	1/8	1/8	4/4	2	1	V					e	v		V		V							M	1	1	6, 10, 7		6	6	0	2	0.0	0.0	0.25	0.0
11	10	1/4	1/4	4/4	2	1	i(64)}					e	v		i(64)		i			64			}	m	1	1	5, 4, 1		5	5	0	4	0.0	0.0	1.375	0.0
11	10	3/8	3/8	4/4	2	1	I(6)					e	v		I(6)		I			6				M	1	1	5, 9, 1		5	5	0	1	0.0	0.0	0.125	0.0
11	10	1/2	1/2	4/4	2	1	i|PAC					e	v		i		i					PAC		m	1	1	5, 2, 6		5	5	0	2	0.0	0.0	0.5	0.0
12	10	0	3/4	4/4	2	1	VII.iv6{					e	VII		iv6		iv		6				{	m	1	0	-2, 2, 1		1	-2	1	0	1.0	0.25	0.0	1.0
13	11	0	0	4/4	2	1	v6					e	VII		v6		v		6					m	1	0	0, 4, 3		3	0	0	1	0.0	0.0	0.25	0.0
13	11	1/4	1/4	4/4	2	1	V6					e	VII		V6		V		6					M	1	0	7, 4, 3		3	7	0	2	0.0	0.0	0.5	0.0
13	11	1/2	1/2	4/4	2	1	bVI6					e	VII		bVI6		bVI		6					M	1	0	2, -1, -2		-2	2	0	2	0.0	0.0	0.5	0.0
13	11	3/4	3/4	4/4	2	1	IV(#5)					e	VII		IV(#5)		IV			#5				M	1	0	1, 5, 9		1	1	0	3	0.0	0.0	0.75	0.0
14	12	0	0	4/4	2	1	V(#5)/V					e	VII		V(#5)/V		V			#5	V			M	1	0	4, 8, 12		4	4	1	2	0.3333333333333333	0.25	0.5	0.3333333333333333
14	12	1/4	1/4	4/4	2	1	V7					e	VII		V7		V		7					Mm7	1	0	3, 7, 4, 1		3	3	0	3	0.0	0.0	0.75	0.0
14	12	1/2	1/2	4/4	2	1	I					e	VII		I		I							M	1	0	2, 6, 3		2	2	0	4	0.0	0.0	1.0	0.0
14	12	3/4	3/4	4/4	2	1	V					e	VII		V		V							M	1	0	3, 7, 4		3	3	0	1	0.0	0.0	0.25	0.0
15	13	0	0	4/4	2	1	IV6					e	VII		IV6		IV		6					M	1	0	5, 2, 1		1	5	0	4	0.0	0.0	1.25	0.0
15	13	1/4	1/4	4/4	2	1	V7					e	VII		V7		V		7					Mm7	1	0	3, 7, 4, 1		3	3	0	3	0.0	0.0	0.75	0.0
15	13	1/2	1/2	4/4	2	1	I					e	VII		I		I							M	1	0	2, 6, 3		2	2	0	4	0.0	0.0	1.0	0.0
15	13	3/4	3/4	4/4	2	1	V6					e	VII		V6		V		6					M	1	0	7, 4, 3		3	7	1	1	0.5	0.125	0.125	0.5
16	14	0	0	4/4	2	1	IV6					e	VII		IV6		IV		6					M	1	0	5, 2, 1		1	5	1	4	0.2	0.125	1.125	0.1
16	14	1/4	1/4	4/4	2	1	V7					e	VII		V7		V		7					Mm7	1	0	3, 7, 4, 1		3	3	1	3	0.25	0.125	0.625	0.16666666666666666
16	14	1/2	1/2	4/4	2	1	I|IAC}					e	VII		I		I					IAC	}	M	1	0	2, 6, 3		2	2	0	4	0.0	0.0	1.0	0.0
16	14	3/4	3/4	4/4	2	1	V/VII.iv6{					e	V/VII		iv6		iv		6				{	m	1	0	-1, 3, 2		2	-1	1	0	1.0	0.25	0.0	1.0
17	15	0	0	4/4	2	1	v6					e	V/VII		v6		v		6					m	1	0	1, 5, 4		4	1	0	1	0.0	0.0	0.25	0.0
17	15	1/4	1/4	4/4	2	1	V6					e	V/VII		V6		V		6					M	1	0	8, 5, 4		4	8	0	2	0.0	0.0	0.5	0.0
17	15	1/2	1/2	4/4	2	1	bVI6					e	V/VII		bVI6		bVI		6					M	1	0	3, 0, -1		-1	3	0	2	0.0	0.0	0.5	0.0
17	15	3/4	3/4	4/4	2	1	IV(#5)					e	V/VII		IV(#5)		IV			#5				M	1	0	2, 6, 10		2	2	0	3	0.0	0.0	0.75	0.0
18	16	0	0	4/4	2	1	V(#5)/V					e	V/VII		V(#5)/V		V			#5	V			M	1	0	5, 9, 13		5	5	1	2	0.3333333333333333	0.25	0.5	0.3333333333333333
18	16	1/4	1/4	4/4	2	1	V7					e	V/VII		V7		V		7					Mm7	1	0	4, 8, 5, 2		4	4	0	3	0.0	0.0	0.75	0.0
18	16	1/2	1/2	4/4	2	1	I					e	V/VII		I		I							M	1	0	3, 7, 4		3	3	0	4	0.0	0.0	1.0	0.0
18	16	3/4	3/4	4/4	2	1	V					e	V/VII		V		V							M	1	0	4, 8, 5		4	4	0	1	0.0	0.0	0.25	0.0
19	17	0	0	4/4	2	1	IV6					e	V/VII		IV6		IV		6					M	1	0	6, 3, 2		2	6	0	4	0.0	0.0	1.25	0.0
19	17	1/4	1/4	4/4	2	1	V7					e	V/VII		V7		V		7					Mm7	1	0	4, 8, 5, 2		4	4	0	3	0.0	0.0	0.75	0.0
19	17	1/2	1/2	4/4	2	1	I					e	V/VII		I		I							M	1	0	3, 7, 4		3	3	0	4	0.0	0.0	1.0	0.0
19	17	3/4	3/4	4/4	2	1	V6					e	V/VII		V6		V		6					M	1	0	8, 5, 4		4	8	1	1	0.5	0.125	0.125	0.5
20	18	0	0	4/4	2	1	IV6					e	V/VII		IV6		IV		6					M	1	0	6, 3, 2		2	6	1	4	0.2	0.125	1.125	0.1
20	18	1/4	1/4	4/4	2	1	V7					e	V/VII		V7		V		7					Mm7	1	0	4, 8, 5, 2		4	4	1	3	0.25	0.125	0.625	0.16666666666666666
20	18	1/2	1/2	4/4	2	1	I|IAC}					e	V/VII		I		I					IAC	}	M	1	0	3, 7, 4		3	3	0	4	0.0	0.0	1.0	0.0
20	18	3/4	3/4	4/4	2	1	iii/V/VII.i{				VI6{	e	iii/V/VII		i		i						{	m	1	1	7, 4, 8		7	7	0	4	0.0	0.0	1.0	0.0
21	19	1/4	1/4	4/4	2	1	iv6					e	iii/V/VII		iv6		iv		6					m	1	1	3, 7, 6		6	3	0	3	0.0	0.0	0.75	0.0
21	19	1/2	1/2	4/4	2	1	V					e	iii/V/VII		V		V							M	1	1	8, 12, 9		8	8	0	4	0.0	0.0	1.0	0.0
21	19	3/4	3/4	4/4	2	1	i					e	iii/V/VII		i		i							m	1	1	7, 4, 8		7	7	3	3	0.5	0.25	0.5	0.3333333333333333
22	20	1/4	1/4	4/4	2	1	iv6					e	iii/V/VII		iv6		iv		6					m	1	1	3, 7, 6		6	3	1	5	0.16666666666666666	0.125	0.875	0.125
22	20	1/2	1/2	4/4	2	1	V					e	iii/V/VII		V		V							M	1	1	8, 12, 9		8	8	1	4	0.2	0.125	0.75	0.14285714285714285
22	20	3/4	3/4	4/4	2	1	I.ii6					e	I		ii6		ii		6					m	1	0	3, 7, 6		6	3	0	5	0.0	0.0	1.5	0.0
23	21	1/2	1/2	4/4	2	1	V(b6)					e	I		V(b6)		V			b6				M	1	0	5, 9, 1		5	5	0	4	0.0	0.0	1.5	0.0
23	21	3/4	3/4	4/4	2	1	V7(#9)					e	I		V7(#9)		V		7	#9				Mm7	1	0	5, 9, 6, 3	14	5	5	1	1	0.5	0.25	0.25	0.5
24	22	0	0	4/4	2	1	I(64)}					e	I		I(64)		I			64			}	M	1	0	4, 3, 7		4	4	1	4	0.2	0.125	1.375	0.08333333333333333
24	22	1/4	1/4	4/4	2	1	I(#7)					e	I		I(#7)		I			#7				M	1	0	4, 8, 5	16	4	4	1	2	0.3333333333333333	0.125	0.625	0.16666666666666666
24	22	3/8	3/8	4/4	2	1	I(64)					e	I		I(64)		I			64				M	1	0	4, 3, 7		4	4	0	2	0.0	0.0	0.25	0.0
24	22	1/2	1/2	4/4	2	1	I|PAC					e	I		I		I					PAC		M	1	0	4, 8, 5		4	4	0	2	0.0	0.0	0.5	0.0
24	22	3/4	3/4	4/4	2	1	iv.III{				i6{	e	iv		III		III						{	M	1	1	0, 4, 1		0	0	0	2	0.0	0.0	0.5	0.0
25	23	0	0	4/4	2	1	V/V					e	iv		V/V		V				V			M	1	1	5, 9, 6		5	5	0	2	0.0	0.0	0.5	0.0
25	23	1/4	1/4	4/4	2	1	bII64					e	iv		bII64		bII		64					M	1	1	-1, -2, 2		-2	-1	0	3	0.0	0.0	0.75	0.0
25	23	1/2	1/2	4/4	2	1	I64					e	iv		I64		I		64					M	1	1	4, 3, 7		3	4	0	3	0.0	0.0	0.75	0.0
25	23	3/4	3/4	4/4	2	1	#VII6				IV6/bV	e	iv		#VII6		#VII		6					M	1	1	12, 9, 8		8	12	4	0	1.0	1.0	0.0	1.0
26	24	0	0	4/4	2	1	ii%7/bV					e	iv		ii%7/bV		ii	%	7		bV			%7	1	1	-1, -4, -7, -3		-1	-1	3	1	0.75	1.0	0.375	0.7272727272727273
26	24	1/4	1/4	4/4	2	1	Ger2/iv				V43/bV	e	iv		Ger2/iv	Ger	vii	o	2	b3	V/iv			Ger	1	1	-1, 8, -2, 2		8	-1	0	2	0.0	0.0	0.5	0.0
26	24	3/8	3/8	4/4	2	1	V7(b5)					e	iv		V7(b5)		V		7	b5				Mm7	1	1	4, 8, -2, 2		4	4	0	1	0.0	0.0	0.125	0.0
26	24	1/2	1/2	4/4	2	1	i					e	iv		i		i							m	1	1	3, 0, 4		3	3	0	4	0.0	0.0	1.0	0.0
26	24	3/4	3/4	4/4	2	1	V					e	iv		V		V							M	1	1	4, 8, 5		4	4	0	1	0.0	0.0	0.25	0.0
27	25	0	0	4/4	2	1	iv6					e	iv		iv6		iv		6					m	1	1	-1, 3, 2		2	-1	0	4	0.0	0.0	1.25	0.0
27	25	1/4	1/4	4/4	2	1	V7					e	iv		V7		V		7					Mm7	1	1	4, 8, 5, 2		4	4	0	3	0.0	0.0	0.75	0.0
27	25	1/2	1/2	4/4	2	1	i					e	iv		i		i							m	1	1	3, 0, 4		3	3	0	4	0.0	0.0	1.0	0.0
27	25	3/4	3/4	4/4	2	1	v6					e	iv		v6		v		6					m	1	1	1, 5, 4		4	1	1	1	0.5	0.125	0.125	0.5
28	26	0	0	4/4	2	1	iv6					e	iv		iv6		iv		6					m	1	1	-1, 3, 2		2	-1	1	4	0.2	0.125	1.125	0.1
28	26	1/4	1/4	4/4	2	1	V7					e	iv		V7		V		7					Mm7	1	1	4, 8, 5, 2		4	4	1	3	0.25	0.125	0.625	0.16666666666666666
