mc	mn	mc_onset	mn_onset	timesig	staff	voice	label	offset_x	offset_y	minDistance	offset	alt_label	globalkey	localkey	pedal	chord	special	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note	n_colored	n_untouched	count_ratio	dur_colored	dur_untouched	dur_ratio
1	0	0	1/2	3/4	2	1	d.i6{						d	i		i6		i		6				{	m	1	1	-1, 3, 2		2.0	-1.0	0	4	0.0	0.0	0.5	0.0
2	1	0	0	3/4	2	1	ii%43						d	i		ii%43		ii	%	43					%7	1	1	-2, 2, 4, 1		4.0	-2.0	0	4	0.0	0.0	1.5	0.0
2	1	1/4	1/4	3/4	2	1	ii%65						d	i		ii%65		ii	%	65					%7	1	1	1, -2, 2, 4		4.0	1.0	0	2	0.0	0.0	0.5	0.0
2	1	1/2	1/2	3/4	2	1	#viio6						d	i		#viio6		#vii	o	6					o	1	1	4, 1, 7		7.0	4.0	0	4	0.0	0.0	0.5	0.0
3	2	0	0	3/4	2	1	i6						d	i		i6		i		6					m	1	1	-1, 3, 2		2.0	-1.0	0	4	0.0	0.0	1.5	0.0
3	2	1/4	1/4	3/4	2	1	i						d	i		i		i							m	1	1	2, -1, 3		2.0	2.0	1	4	0.2	0.08333333333333333	0.6666666666666666	0.1111111111111111
4	3	0	0	3/4	2	1	V[v7(4)						d	i	V	v7(4)		v		7	4				mm7	1	1	3, 2, 4, 1		3.0	3.0	1	5	0.16666666666666666	0.08333333333333333	1.6666666666666667	0.047619047619047616
4	3	1/4	1/4	3/4	2	1	v7						d	i	V	v7		v		7					mm7	1	1	3, 0, 4, 1		3.0	3.0	0	2	0.0	0.0	0.5	0.0
4	3	1/2	1/2	3/4	2	1	VI6						d	i	V	VI6		VI		6					M	1	1	2, -1, -2		-2.0	2.0	1	4	0.2	0.08333333333333333	0.6666666666666666	0.1111111111111111
5	4	0	0	3/4	2	1	V(94)}						d	i	V	V(94)		V			94			}	M	1	1	3, 2, 4	-2	3.0	3.0	1	5	0.16666666666666666	0.08333333333333333	1.1666666666666667	0.06666666666666667
