mc	mn	mc_onset	mn_onset	timesig	staff	voice	label	offset_x	offset_y	minDistance	offset	alt_label	globalkey	localkey	pedal	chord	special	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note	n_colored	n_untouched	count_ratio	dur_colored	dur_untouched	dur_ratio
38	38	5/8	5/8	3/4	2	1	iv7						e	i		iv7		iv		7					mm7	1	1	3, 0, 4, 1		3.0	3.0	0	1	0.0	0.0	0.125	0.0
39	39	0	0	3/4	2	1	i|PC}						e	i		i		i					PC	}	m	1	1	4, 1, 5		4.0	4.0	0	28	0.0	0.0	21.0	0.0
43	43	0	0	3/4	2	1	v{						e	i		v		v						{	m	1	1	5, 2, 6		5.0	5.0	3	15	0.16666666666666666	0.625	4.125	0.13157894736842105
45	45	1/4	1/4	3/4	2	1	#viio2(b8)/v						e	i		#viio2(b8)/v		#vii	o	2	b8	v			o7	1	1	1, 10, 7, 4		10.0	1.0	2	6	0.25	0.75	1.5	0.3333333333333333
46	46	1/4	1/4	3/4	2	1	#viio2/v						e	i		#viio2/v		#vii	o	2		v			o7	1	1	1, 10, 7, 4		10.0	1.0	4	20	0.16666666666666666	0.5	5.25	0.08695652173913043
49	49	0	0	3/4	2	1	v}						e	i		v		v						}	m	1	1	5, 2, 6		5.0	5.0	0	12	0.0	0.0	1.5	0.0
51	51	0	0	3/4	2	1	ii43/VII{						e	i		ii43/VII		ii		43		VII		{	mm7	1	1	5, 2, 4, 1		4.0	5.0	0	10	0.0	0.0	3.0	0.0
52	52	1/4	1/4	3/4	2	1	V7/VII						e	i		V7/VII		V		7		VII			Mm7	1	1	3, 7, 4, 1		3.0	3.0	3	9	0.25	0.625	2.125	0.22727272727272727
53	53	1/4	1/4	3/4	2	1	IM43/VII						e	i		IM43/VII		I	M	43		VII			MM7	1	1	3, 7, 2, 6		2.0	3.0	0	10	0.0	0.0	2.75	0.0
54	54	1/4	1/4	3/4	2	1	IVM7/VII						e	i		IVM7/VII		IV	M	7		VII			MM7	1	1	1, 5, 2, 6		1.0	1.0	1	10	0.09090909090909091	0.375	2.5	0.13043478260869565
55	55	1/4	1/4	3/4	2	1	vii%43(9)/VII						e	i		vii%43(9)/VII		vii	%	43	9	VII			%7	1	1	1, 5, 7, 4	2	7.0	1.0	0	18	0.0	0.0	4.125	0.0
57	57	0	0	3/4	2	1	II}					V/V}	e	i		II		II						}	M	1	1	6, 10, 7		6.0	6.0	1	13	0.07142857142857142	0.125	4.125	0.029411764705882353
59	59	1/4	1/4	3/4	2	1	IIM7	-2.88861	3.5		/	V(#7)/V	e	i		IIM7		II	M	7					MM7	1	1	6, 10, 7, 11		6.0	6.0	0	4	0.0	0.0	0.75	0.0
59	59	1/2	1/2	3/4	2	1	vii%7/II	-11.4024	3.19594		/	vii%7/V/V	e	i		vii%7/II		vii	%	7		II			%7	1	1	11, 8, 5, 9		11.0	11.0	0	4	0.0	0.0	0.75	0.0
60	60	0	0	3/4	2	1	II					V/V	e	i		II		II							M	1	1	6, 10, 7		6.0	6.0	1	3	0.25	0.125	0.625	0.16666666666666666
