mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	tied	tpc	midi	name	octave	chord_id
1	1	0	0	4.0	0	0	4/4	2	2	1		1	1		9	63	D#4	4	13
1	1	0	0	1.0	0	0	4/4	2	1	1/4		1/4	1		10	70	A#4	4	8
1	1	0	0	3.0	0	0	4/4	1	2	3/4		1/2	3/2		9	75	D#5	5	6
1	1	0	0	1.0	0	0	4/4	1	1	1/4		1/4	1		6	78	F#5	5	0
1	1	1	1	0.5	1/4	1/4	4/4	2	1	1/8		1/8	1		8	68	G#4	4	9
1	1	1	1	0.5	1/4	1/4	4/4	1	1	1/8		1/8	1		8	80	G#5	5	1
1	1	3/2	3/2	0.5	3/8	3/8	4/4	2	1	1/8		1/8	1		6	66	F#4	4	10
1	1	3/2	3/2	0.5	3/8	3/8	4/4	1	1	1/8		1/8	1		10	82	A#5	5	2
1	1	2	2	1.0	1/2	1/2	4/4	2	1	1/4		1/4	1		10	70	A#4	4	11
1	1	2	2	1.0	1/2	1/2	4/4	1	1	1/4		1/4	1		6	78	F#5	5	3
1	1	3	3	1.0	3/4	3/4	4/4	2	1	1/4		1/4	1		6	66	F#4	4	12
1	1	3	3	1.0	3/4	3/4	4/4	1	2	1/4		1/4	1		9	75	D#5	5	7
1	1	3	3	0.5	3/4	3/4	4/4	1	1	1/8		1/8	1		10	82	A#5	5	4
1	1	7/2	7/2	0.5	7/8	7/8	4/4	1	1	1/8		1/8	1		5	83	B5	5	5
2	2	4	4	2.0	0	0	4/4	2	2	1/2		1/2	1		10	58	A#3	3	24
2	2	4	4	2.0	0	0	4/4	2	1	1/2		1/2	1		6	66	F#4	4	21
2	2	4	4	2.0	0	0	4/4	1	2	1/2		1/2	1		7	73	C#5	5	19
2	2	4	4	1.0	0	0	4/4	1	1	1/4		1/4	1		7	85	C#6	6	14
2	2	5	5	0.5	1/4	1/4	4/4	1	1	1/8		1/8	1		7	85	C#6	6	15
2	2	11/2	11/2	0.5	3/8	3/8	4/4	1	1	1/8		1/8	1		5	83	B5	5	16
2	2	6	6	2.0	1/2	1/2	4/4	2	2	1/2		1/2	1		7	61	C#4	4	25
2	2	6	6	1.0	1/2	1/2	4/4	2	1	1/4		1/4	1		11	65	E#4	4	22
2	2	6	6	2.0	1/2	1/2	4/4	1	2	1/2		1/2	1		7	73	C#5	5	20
2	2	6	6	1.5	1/2	1/2	4/4	1	1	3/8		1/4	3/2		8	80	G#5	5	17
2	2	7	7	1.0	3/4	3/4	4/4	2	1	1/4		1/4	1		4	64	E4	4	23
2	2	15/2	15/2	0.5	7/8	7/8	4/4	1	1	1/8		1/8	1		10	82	A#5	5	18
3	3	8	8	1.0	0	0	4/4	2	1	1/4		1/4	1		8	56	G#3	3	39
3	3	8	8	1.0	0	0	4/4	2	1	1/4		1/4	1		9	63	D#4	4	39
3	3	8	8	1.0	0	0	4/4	1	2	1/4		1/4	1		5	71	B4	4	34
3	3	8	8	0.5	0	0	4/4	1	1	1/8		1/8	1		5	83	B5	5	26
3	3	17/2	17/2	0.5	1/8	1/8	4/4	1	1	1/8		1/8	1		10	82	A#5	5	27
3	3	9	9	1.0	1/4	1/4	4/4	2	1	1/4		1/4	1		5	59	B3	3	40
3	3	9	9	1.0	1/4	1/4	4/4	2	1	1/4		1/4	1		9	63	D#4	4	40
3	3	9	9	1.0	1/4	1/4	4/4	1	2	1/4		1/4	1		5	71	B4	4	35
3	3	9	9	0.5	1/4	1/4	4/4	1	1	1/8		1/8	1		6	78	F#5	5	28
3	3	19/2	19/2	0.5	3/8	3/8	4/4	1	1	1/8		1/8	1		8	80	G#5	5	29
3	3	10	10	1.0	1/2	1/2	4/4	2	1	1/4		1/4	1		6	54	F#3	3	41
3	3	10	10	1.0	1/2	1/2	4/4	2	1	1/4		1/4	1		7	61	C#4	4	41
3	3	10	10	1.0	1/2	1/2	4/4	1	2	1/4		1/4	1		10	70	A#4	4	36
3	3	10	10	0.5	1/2	1/2	4/4	1	1	1/8		1/8	1		10	82	A#5	5	30
3	3	21/2	21/2	0.5	5/8	5/8	4/4	1	1	1/8		1/8	1		7	73	C#5	5	31
3	3	11	11	0.0	3/4	3/4	4/4	1	2	0	acciaccatura	1/8	1	1	7	73	C#5	5	37
3	3	11	11	1.0	3/4	3/4	4/4	2	1	1/4		1/4	1		9	51	D#3	3	42
3	3	11	11	1.0	3/4	3/4	4/4	2	1	1/4		1/4	1		6	66	F#4	4	42
3	3	11	11	1.0	3/4	3/4	4/4	1	2	1/4		1/4	1	-1	7	73	C#5	5	38
3	3	11	11	0.5	3/4	3/4	4/4	1	1	1/8		1/8	1		6	78	F#5	5	32
3	3	23/2	23/2	0.5	7/8	7/8	4/4	1	1	1/8		1/8	1		11	77	E#5	5	33
4	4	12	12	1.0	0	0	4/4	2	2	1/4		1/4	1		8	56	G#3	3	52
4	4	12	12	2.0	0	0	4/4	2	1	1/2		1/2	1		6	66	F#4	4	50
4	4	12	12	0.5	0	0	4/4	1	2	1/8		1/8	1		12	72	B#4	4	47
4	4	12	12	1.0	0	0	4/4	1	1	1/4		1/4	1		9	75	D#5	5	43
4	4	25/2	25/2	0.5	1/8	1/8	4/4	1	2	1/8		1/8	1		10	70	A#4	4	48
4	4	13	13	2.0	1/4	1/4	4/4	2	2	1/2		1/2	1		7	61	C#4	4	53
4	4	13	13	3.0	1/4	1/4	4/4	1	2	3/4		1/2	3/2		8	68	G#4	4	49
4	4	13	13	2.0	1/4	1/4	4/4	1	1	1/2		1/2	1	1	7	73	C#5	5	44
4	4	14	14	2.0	1/2	1/2	4/4	2	1	1/2		1/2	1		11	65	E#4	4	51
4	4	15	15	1.0	3/4	3/4	4/4	2	2	1/4		1/4	1		12	60	B#3	3	54
4	4	15	15	0.5	3/4	3/4	4/4	1	1	1/8		1/8	1	-1	7	73	C#5	5	45
4	4	31/2	31/2	0.5	7/8	7/8	4/4	1	1	1/8		1/8	1		14	74	C##5	5	46
5	5	16	16	4.0	0	0	4/4	2	2	1		1	1	1	5	59	B3	3	68
5	5	16	16	1.0	0	0	4/4	2	1	1/4		1/4	1		6	66	F#4	4	63
5	5	16	16	3.0	0	0	4/4	1	2	3/4		1/2	3/2		5	71	B4	4	61
5	5	16	16	1.0	0	0	4/4	1	1	1/4		1/4	1		9	75	D#5	5	55
5	5	17	17	0.5	1/4	1/4	4/4	2	1	1/8		1/8	1		11	65	E#4	4	64
5	5	17	17	0.5	1/4	1/4	4/4	1	1	1/8		1/8	1		11	77	E#5	5	56
5	5	35/2	35/2	0.5	3/8	3/8	4/4	2	1	1/8		1/8	1		9	63	D#4	4	65
5	5	35/2	35/2	0.5	3/8	3/8	4/4	1	1	1/8		1/8	1		6	78	F#5	5	57
5	5	18	18	1.0	1/2	1/2	4/4	2	1	1/4		1/4	1		6	66	F#4	4	66
5	5	18	18	1.0	1/2	1/2	4/4	1	1	1/4		1/4	1		9	75	D#5	5	58
5	5	19	19	1.0	3/4	3/4	4/4	2	1	1/4		1/4	1		9	63	D#4	4	67
5	5	19	19	1.0	3/4	3/4	4/4	1	2	1/4		1/4	1		5	71	B4	4	62
5	5	19	19	0.5	3/4	3/4	4/4	1	1	1/8		1/8	1		6	78	F#5	5	59
5	5	39/2	39/2	0.5	7/8	7/8	4/4	1	1	1/8		1/8	1		8	80	G#5	5	60
6	6	20	20	1.0	0	0	4/4	2	2	1/4		1/4	1	-1	5	59	B3	3	81
