mc	mn	onset	duration	gracenote	nominal_duration	scalar	tied	tpc	midi	staff	voice	volta
1	1	0	1/2		1/2	1		-1	41	2	2	
1	1	0	1/2		1/2	1		0	48	2	2	
1	1	0	1/4		1/4	1		3	57	2	1	
1	1	0	3/8		1/4	3/2		-1	65	1	2	
1	1	0	1/8		1/8	1		-1	77	1	1	
1	1	1/8	1/16		1/16	1		2	74	1	1	
1	1	3/16	1/16		1/16	1		4	76	1	1	
1	1	1/4	1/4		1/4	1		1	55	2	1	
1	1	1/4	1/4		1/4	1		0	72	1	1	
1	1	3/8	1/8		1/8	1		4	64	1	2	
2	2	0	1/2		1/2	1		-1	41	2	2	
2	2	0	1/2		1/2	1		0	48	2	2	
2	2	0	1/4		1/4	1		3	57	2	1	
2	2	0	3/8		1/4	3/2		-1	65	1	2	
2	2	0	1/16		1/16	1		-1	77	1	1	
2	2	1/16	1/16		1/16	1		2	74	1	1	
2	2	1/8	1/16		1/16	1		-1	77	1	1	
2	2	3/16	0	grace16	1/16	1		4	76	1	1	
2	2	3/16	0	grace16	1/16	1		-1	77	1	1	
2	2	3/16	1/16		1/16	1		4	76	1	1	
2	2	1/4	1/4		1/4	1		1	55	2	1	
2	2	1/4	1/4		1/4	1		0	72	1	1	
2	2	3/8	1/8		1/8	1		4	64	1	2	
3	3	0	1/4		1/4	1		-2	46	2	1	
3	3	0	1/4		1/4	1		-1	53	2	1	
3	3	0	1/4		1/4	1		2	62	2	1	
3	3	0	1/4		1/4	1		-1	65	1	2	
3	3	0	1/4		1/4	1		-2	70	1	2	
3	3	0	1/8		1/8	1		-1	77	1	1	
3	3	1/8	1/16		1/16	1		4	76	1	1	
3	3	3/16	1/16		1/16	1		2	74	1	1	
3	3	1/4	1/8		1/8	1		3	45	2	1	
3	3	1/4	1/8		1/8	1		-1	53	2	1	
3	3	1/4	1/8		1/8	1		0	60	1	2	
3	3	1/4	1/16		1/16	1		0	72	1	1	
3	3	5/16	1/16		1/16	1		-1	65	1	1	
