mc	mn	quarterbeats	duration_qb	mc_onset	mn_onset	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	tied	tpc	midi	name	octave	chord_id
1	1	0	3.0	0	0	6/8	2	2	3/4		1/2	3/2	1	0	48	C3	3	4
1	1	0	1.5	0	0	6/8	2	1	3/8		1/4	3/2		0	60	C4	4	2
1	1	3/2	1.5	3/8	3/8	6/8	2	1	3/8		1/4	3/2		5	59	B3	3	3
1	1	2	0.5	1/2	1/2	6/8	1	1	1/8		1/8	1		0	72	C5	5	0
1	1	5/2	0.5	5/8	5/8	6/8	1	1	1/8		1/8	1		2	74	D5	5	1
2	2	3	3.0	0	0	6/8	2	2	3/4		1/2	3/2	0	0	48	C3	3	17
2	2	3	1.5	0	0	6/8	2	1	3/8		1/4	3/2		3	57	A3	3	15
2	2	3	1.5	0	0	6/8	1	2	3/8		1/4	3/2		-1	65	F4	4	13
2	2	3	0.5	0	0	6/8	1	1	1/8		1/8	1		4	76	E5	5	5
2	2	7/2	0.5	1/8	1/8	6/8	1	1	1/8		1/8	1		0	72	C5	5	6
2	2	4	0.5	1/4	1/4	6/8	1	1	1/8		1/8	1	1	4	76	E5	5	7
2	2	9/2	1.5	3/8	3/8	6/8	2	1	3/8		1/4	3/2		5	59	B3	3	16
2	2	9/2	1.5	3/8	3/8	6/8	1	2	3/8		1/4	3/2		1	67	G4	4	14
2	2	9/2	0.5	3/8	3/8	6/8	1	1	1/8		1/8	1	-1	4	76	E5	5	8
2	2	5	0.0	1/2	1/2	6/8	1	1	0	grace16	1/16	1		2	74	D5	5	9
2	2	5	0.0	1/2	1/2	6/8	1	1	0	grace16	1/16	1		4	76	E5	5	10
2	2	5	0.5	1/2	1/2	6/8	1	1	1/8		1/8	1		2	74	D5	5	11
2	2	11/2	0.5	5/8	5/8	6/8	1	1	1/8		1/8	1		5	71	B4	4	12
3	3	6	3.0	0	0	6/8	2	2	3/4		1/2	3/2	0	0	48	C3	3	27
3	3	6	1.5	0	0	6/8	2	1	3/8		1/4	3/2		1	55	G3	3	25
3	3	6	1.5	0	0	6/8	1	2	3/8		1/4	3/2		4	64	E4	4	23
3	3	6	1.0	0	0	6/8	1	1	1/4		1/4	1		2	74	D5	5	18
3	3	7	0.5	1/4	1/4	6/8	1	1	1/8		1/8	1	1	2	74	D5	5	19
3	3	15/2	1.5	3/8	3/8	6/8	2	1	3/8		1/4	3/2		3	57	A3	3	26
3	3	15/2	1.5	3/8	3/8	6/8	1	2	3/8		1/4	3/2		-1	65	F4	4	24
3	3	15/2	0.5	3/8	3/8	6/8	1	1	1/8		1/8	1	-1	2	74	D5	5	20
3	3	8	0.5	1/2	1/2	6/8	1	1	1/8		1/8	1		0	72	C5	5	21
3	3	17/2	0.5	5/8	5/8	6/8	1	1	1/8		1/8	1		3	69	A4	4	22
4	4	9	3.0	0	0	6/8	2	2	3/4		1/2	3/2	0	0	48	C3	3	38
4	4	9	1.5	0	0	6/8	2	1	3/8		1/4	3/2		-1	53	F3	3	36
4	4	9	1.5	0	0	6/8	1	2	3/8		1/4	3/2		2	62	D4	4	34
4	4	9	0.5	0	0	6/8	1	1	1/8		1/8	1		0	72	C5	5	28
4	4	19/2	0.5	1/8	1/8	6/8	1	1	1/8		1/8	1		3	69	A4	4	29
4	4	10	0.5	1/4	1/4	6/8	1	1	1/8		1/8	1		0	72	C5	5	30
4	4	21/2	1.5	3/8	3/8	6/8	2	1	3/8		1/4	3/2		4	52	E3	3	37
4	4	21/2	1.5	3/8	3/8	6/8	1	2	3/8		1/4	3/2		0	60	C4	4	35
4	4	21/2	0.5	3/8	3/8	6/8	1	1	1/8		1/8	1		5	71	B4	4	31
4	4	11	0.5	1/2	1/2	6/8	1	1	1/8		1/8	1		1	67	G4	4	32
4	4	23/2	0.5	5/8	5/8	6/8	1	1	1/8		1/8	1		5	71	B4	4	33
5	5	12	3.0	0	0	6/8	2	2	3/4		1/2	3/2	-1	0	48	C3	3	48
5	5	12	1.5	0	0	6/8	2	1	3/8		1/4	3/2		2	50	D3	3	46
5	5	12	1.5	0	0	6/8	1	2	3/8		1/4	3/2		5	59	B3	3	44
5	5	12	1.0	0	0	6/8	1	1	1/4		1/4	1		3	69	A4	4	39
5	5	13	0.5	1/4	1/4	6/8	1	1	1/8		1/8	1	1	3	69	A4	4	40
5	5	27/2	1.5	3/8	3/8	6/8	2	1	3/8		1/4	3/2		4	52	E3	3	47
5	5	27/2	1.5	3/8	3/8	6/8	1	2	3/8		1/4	3/2		0	60	C4	4	45
5	5	27/2	0.5	3/8	3/8	6/8	1	1	1/8		1/8	1	-1	3	69	A4	4	41
5	5	14	0.5	1/2	1/2	6/8	1	1	1/8		1/8	1		1	67	G4	4	42
5	5	29/2	0.5	5/8	5/8	6/8	1	1	1/8		1/8	1		4	64	E4	4	43
6	6	15	3.0	0	0	6/8	2	2	3/4		1/2	3/2	1	1	43	G2	2	61
