mc	mn	onset	duration	gracenote	nominal_duration	scalar	tied	tpc	midi	staff	voice	volta
1	1	0	1/4		1/4	1		-3	39	2	1	
1	1	1/4	1/4		1/4	1		-2	46	2	1	
1	1	1/2	1/4		1/4	1		-3	39	2	1	
1	1	3/4	1/4		1/4	1		-2	34	2	1	
2	2	0	1/4		1/4	1		-3	39	2	1	
2	2	1/4	1/4		1/4	1		-2	46	2	1	
2	2	1/2	1/4		1/4	1		-3	39	2	1	
2	2	3/4	1/4		1/4	1		-2	34	2	1	
2	2	3/4	1/8		1/8	1		-3	63	1	1	
2	2	7/8	1/8		1/8	1		-1	65	1	1	
3	3	0	1/4		1/4	1		-3	39	2	1	
3	3	0	1/8		1/8	1		-6	66	1	1	
3	3	0	1/8		1/8	1		-2	70	1	1	
3	3	1/8	1/8		1/8	1		-1	65	1	1	
3	3	1/4	1/4		1/4	1		-2	46	2	1	
3	3	1/4	1/8		1/8	1		-3	63	1	1	
3	3	3/8	1/8		1/8	1		-1	65	1	1	
3	3	1/2	1/4		1/4	1		-3	39	2	1	
3	3	1/2	1/8		1/8	1		-6	66	1	1	
3	3	1/2	1/8		1/8	1		-2	70	1	1	
3	3	5/8	1/8		1/8	1		-1	65	1	1	
3	3	3/4	1/4		1/4	1		-2	34	2	1	
3	3	3/4	1/8		1/8	1		-3	63	1	1	
3	3	7/8	1/8		1/8	1		-1	65	1	1	
4	4	0	1/4		1/4	1		-3	39	2	1	
4	4	0	1/4		1/4	1		-6	66	1	1	
4	4	0	1/4		1/4	1		-2	70	1	1	
4	4	1/4	1/4		1/4	1		-2	46	2	1	
4	4	1/4	1/4		1/4	1		-3	63	1	1	
4	4	1/4	1/4		1/4	1		-6	66	1	1	
4	4	1/2	1/4		1/4	1		-3	39	2	1	
4	4	1/2	1/4		1/4	1		-3	63	1	1	
4	4	1/2	1/4		1/4	1		-6	66	1	1	
4	4	3/4	1/4		1/4	1		-2	34	2	1	
4	4	3/4	1/4		1/4	1		-6	66	1	1	
4	4	3/4	1/4		1/4	1		-2	70	1	1	
5	5	0	1/4		1/4	1		-3	39	2	1	
5	5	0	1/4		1/4	1		-1	65	1	1	
5	5	0	1/4		1/4	1		3	69	1	1	
5	5	1/4	1/4		1/4	1		-2	46	2	1	
5	5	1/4	1/4		1/4	1		0	60	1	1	
5	5	1/4	1/4		1/4	1		-1	65	1	1	
5	5	1/2	1/4		1/4	1		-3	39	2	1	
5	5	1/2	1/4		1/4	1		0	60	1	1	
5	5	1/2	1/4		1/4	1		-1	65	1	1	
5	5	3/4	1/4		1/4	1		-2	34	2	1	
5	5	3/4	1/4		1/4	1		-1	65	1	1	
5	5	3/4	1/4		1/4	1		3	69	1	1	
6	6	0	1/4		1/4	1		-3	39	2	1	
6	6	0	3/4		1/2	3/2		-1	65	1	1	
6	6	0	3/4		1/2	3/2		3	69	1	1	
6	6	1/4	1/4		1/4	1		-2	46	2	1	
6	6	1/2	1/4		1/4	1		-3	39	2	1	
6	6	3/4	1/4		1/4	1		-2	34	2	1	
6	6	3/4	1/8		1/8	1		-4	68	1	1	
6	6	7/8	1/8		1/8	1		-2	70	1	1	
7	7	0	1/4		1/4	1		-3	39	2	1	
7	7	0	1/8		1/8	1		-7	71	1	1	
7	7	0	1/8		1/8	1		-3	75	1	1	
