mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	volta	mc_onset	mn_onset	timesig	staff	voice	duration	tremolo	nominal_duration	scalar	tied	tpc	midi	name	octave	chord_id
1	1	0	0	0.5		0	0	2/4	2	1	1/8		1/8	1		5	71	B4	4	0
1	1	0	0	0.5		0	0	2/4	2	1	1/8		1/8	1		-1	77	F5	5	0
1	1	0	0	0.5		0	0	2/4	2	1	1/8		1/8	1		3	81	A5	5	0
1	1	1/2	1/2	0.5		1/8	1/8	2/4	2	1	1/8		1/8	1		1	55	G3	3	1
1	1	1/2	1/2	0.5		1/8	1/8	2/4	2	1	1/8		1/8	1		2	62	D4	4	1
1	1	1	1	0.5		1/4	1/4	2/4	2	1	1/8		1/8	1		5	83	B5	5	2
1	1	1	1	0.5		1/4	1/4	2/4	2	1	1/8		1/8	1		-1	89	F6	6	2
1	1	1	1	0.5		1/4	1/4	2/4	2	1	1/8		1/8	1		3	93	A6	6	2
1	1	3/2	3/2	0.5		3/8	3/8	2/4	2	1	1/8		1/8	1		1	67	G4	4	3
1	1	3/2	3/2	0.5		3/8	3/8	2/4	2	1	1/8		1/8	1		2	74	D5	5	3
3	3	4	4	0.75		0	0	2/4	2	1	3/16		1/8	3/2		1	55	G3	3	4
3	3	19/4	19/4	0.25		3/16	3/16	2/4	2	1	1/16		1/16	1		0	48	C3	3	5
3	3	5	5	0.75		1/4	1/4	2/4	2	1	3/16		1/8	3/2		1	55	G3	3	6
3	3	23/4	23/4	0.25		7/16	7/16	2/4	2	1	1/16		1/16	1		0	48	C3	3	7
4	4	6	6	0.75		0	0	2/4	2	1	3/16		1/8	3/2		1	55	G3	3	9
4	4	27/4	27/4	0.25		3/16	3/16	2/4	2	1	1/16		1/16	1		0	48	C3	3	10
4	4	7	7	0.75		1/4	1/4	2/4	2	1	3/16		1/8	3/2		1	55	G3	3	11
4	4	31/4	31/4	0.25		7/16	7/16	2/4	2	1	1/16		1/16	1		0	48	C3	3	12
4	4	31/4	31/4	0.25		7/16	7/16	2/4	1	1	1/16		1/16	1		1	79	G5	5	8
5	5	8	8	0.75		0	0	2/4	2	1	3/16		1/8	3/2		1	55	G3	3	18
5	5	8	8	0.5		0	0	2/4	1	1	1/8		1/8	1		2	74	D5	5	13
5	5	8	8	0.5		0	0	2/4	1	1	1/8		1/8	1		-1	77	F5	5	13
5	5	17/2	17/2	0.25		1/8	1/8	2/4	1	1	1/16		1/16	1		-1	77	F5	5	14
5	5	35/4	35/4	0.25		3/16	3/16	2/4	2	1	1/16		1/16	1		0	48	C3	3	19
5	5	35/4	35/4	0.25		3/16	3/16	2/4	1	1	1/16		1/16	1		3	81	A5	5	15
5	5	9	9	0.75		1/4	1/4	2/4	2	1	3/16		1/8	3/2		1	55	G3	3	20
5	5	9	9	0.75		1/4	1/4	2/4	1	1	3/16		1/8	3/2		5	71	B4	4	16
5	5	9	9	0.75		1/4	1/4	2/4	1	1	3/16		1/8	3/2		2	74	D5	5	16
5	5	39/4	39/4	0.25		7/16	7/16	2/4	2	1	1/16		1/16	1		0	48	C3	3	21
5	5	39/4	39/4	0.25		7/16	7/16	2/4	1	1	1/16		1/16	1		-1	77	F5	5	17
6	6	10	10	0.75		0	0	2/4	2	1	3/16		1/8	3/2		1	55	G3	3	27
6	6	10	10	0.5		0	0	2/4	1	1	1/8		1/8	1		0	72	C5	5	22
6	6	10	10	0.5		0	0	2/4	1	1	1/8		1/8	1		4	76	E5	5	22
6	6	21/2	21/2	0.25		1/8	1/8	2/4	1	1	1/16		1/16	1		4	76	E5	5	23
6	6	43/4	43/4	0.25		3/16	3/16	2/4	2	1	1/16		1/16	1		0	48	C3	3	28
6	6	43/4	43/4	0.25		3/16	3/16	2/4	1	1	1/16		1/16	1		1	79	G5	5	24
6	6	11	11	0.75		1/4	1/4	2/4	2	1	3/16		1/8	3/2		1	55	G3	3	29
6	6	11	11	0.75		1/4	1/4	2/4	1	1	3/16		1/8	3/2		3	69	A4	4	25
6	6	11	11	0.75		1/4	1/4	2/4	1	1	3/16		1/8	3/2		0	72	C5	5	25
6	6	47/4	47/4	0.25		7/16	7/16	2/4	2	1	1/16		1/16	1		0	48	C3	3	30
6	6	47/4	47/4	0.25		7/16	7/16	2/4	1	1	1/16		1/16	1		4	76	E5	5	26
7	7	12	12	0.75		0	0	2/4	2	1	3/16		1/8	3/2		1	55	G3	3	37
7	7	12	12	0.5		0	0	2/4	1	1	1/8		1/8	1		5	71	B4	4	31
7	7	12	12	0.5		0	0	2/4	1	1	1/8		1/8	1		2	74	D5	5	31
7	7	25/2	25/2	0.25		1/8	1/8	2/4	1	1	1/16		1/16	1		2	74	D5	5	32
7	7	51/4	51/4	0.25		3/16	3/16	2/4	2	1	1/16		1/16	1		0	48	C3	3	38
7	7	51/4	51/4	0.25		3/16	3/16	2/4	1	1	1/16		1/16	1		-1	77	F5	5	33
7	7	13	13	0.75		1/4	1/4	2/4	2	1	3/16		1/8	3/2		1	55	G3	3	39
7	7	13	13	0.5		1/4	1/4	2/4	1	1	1/8		1/8	1		-1	65	F4	4	34
7	7	13	13	0.5		1/4	1/4	2/4	1	1	1/8		1/8	1		3	69	A4	4	34
7	7	27/2	27/2	0.25		3/8	3/8	2/4	1	1	1/16		1/16	1		3	69	A4	4	35
7	7	55/4	55/4	0.25		7/16	7/16	2/4	2	1	1/16		1/16	1		0	48	C3	3	40
7	7	55/4	55/4	0.25		7/16	7/16	2/4	1	1	1/16		1/16	1		0	72	C5	5	36
8	8	14	14	0.75		0	0	2/4	2	1	3/16		1/8	3/2		1	55	G3	3	46
8	8	14	14	0.5		0	0	2/4	1	1	1/8		1/8	1		1	67	G4	4	41
8	8	14	14	0.5		0	0	2/4	1	1	1/8		1/8	1		5	71	B4	4	41
8	8	29/2	29/2	0.25		1/8	1/8	2/4	1	1	1/16		1/16	1		5	71	B4	4	42
8	8	59/4	59/4	0.25		3/16	3/16	2/4	2	1	1/16		1/16	1		0	48	C3	3	47
8	8	59/4	59/4	0.25		3/16	3/16	2/4	1	1	1/16		1/16	1		2	74	D5	5	43
8	8	15	15	0.75		1/4	1/4	2/4	2	1	3/16		1/8	3/2		1	55	G3	3	48
8	8	15	15	0.5		1/4	1/4	2/4	1	1	1/8		1/8	1		4	64	E4	4	44
8	8	15	15	0.5		1/4	1/4	2/4	1	1	1/8		1/8	1		0	72	C5	5	44
8	8	63/4	63/4	0.25		7/16	7/16	2/4	2	1	1/16		1/16	1		0	48	C3	3	49
