mc	mn	mc_onset	mn_onset	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	tied	tpc	midi	chord_id
1	1	1/4	1/4	2/2	2	1	3/4		1/2	3/2		7	61	1
1	1	1/4	1/4	2/2	2	1	3/4		1/2	3/2		4	64	1
1	1	1/4	1/4	2/2	1	1	3/4		1/2	3/2		8	68	0
1	1	1/4	1/4	2/2	1	1	3/4		1/2	3/2		7	73	0
1	1	1/4	1/4	2/2	1	1	3/4		1/2	3/2		8	80	0
2	2	1/4	1/4	2/2	2	1	3/4		1/2	3/2		6	66	3
2	2	1/4	1/4	2/2	2	1	3/4		1/2	3/2		10	70	3
2	2	1/4	1/4	2/2	1	1	3/4		1/2	3/2		7	73	2
2	2	1/4	1/4	2/2	1	1	3/4		1/2	3/2		6	78	2
2	2	1/4	1/4	2/2	1	1	3/4		1/2	3/2		7	85	2
3	3	0	0	2/2	2	1	1/8		1/8	1		6	42	4
3	3	1/8	1/8	2/2	2	1	1/8		1/8	1		9	51	5
3	3	1/4	1/4	2/2	2	1	1/8		1/8	1		6	42	6
3	3	3/8	3/8	2/2	2	1	1/8		1/8	1		5	35	7
3	3	1/2	1/2	2/2	2	1	1/8		1/8	1		6	42	8
3	3	5/8	5/8	2/2	2	1	1/8		1/8	1		9	51	9
3	3	3/4	3/4	2/2	2	1	1/8		1/8	1		6	42	10
3	3	7/8	7/8	2/2	2	1	1/8		1/8	1		5	35	11
4	4	0	0	2/2	2	1	1/8		1/8	1		6	42	25
4	4	0	0	2/2	1	2	1/8		1/8	1		9	63	17
4	4	0	0	2/2	1	1	1/4		1/4	1		6	66	12
4	4	1/8	1/8	2/2	2	1	1/8		1/8	1		9	51	26
4	4	1/8	1/8	2/2	1	2	1/8		1/8	1		5	59	18
4	4	1/4	1/4	2/2	2	1	1/8		1/8	1		6	42	27
4	4	1/4	1/4	2/2	1	2	1/8		1/8	1		9	63	19
4	4	1/4	1/4	2/2	1	1	1/8		1/8	1		8	68	13
4	4	3/8	3/8	2/2	2	1	1/8		1/8	1		5	35	28
4	4	3/8	3/8	2/2	1	2	1/8		1/8	1		5	59	20
4	4	3/8	3/8	2/2	1	1	1/8		1/8	1		10	70	14
4	4	1/2	1/2	2/2	2	1	1/8		1/8	1		6	42	29
4	4	1/2	1/2	2/2	1	2	1/8		1/8	1		9	63	21
4	4	1/2	1/2	2/2	1	1	1/4		1/4	1		6	66	15
4	4	5/8	5/8	2/2	2	1	1/8		1/8	1		9	51	30
4	4	5/8	5/8	2/2	1	2	1/8		1/8	1		5	59	22
4	4	3/4	3/4	2/2	2	1	1/8		1/8	1		6	42	31
4	4	3/4	3/4	2/2	1	2	1/8		1/8	1		9	63	23
4	4	3/4	3/4	2/2	1	1	1/4		1/4	1		5	71	16
4	4	7/8	7/8	2/2	2	1	1/8		1/8	1		5	35	32
4	4	7/8	7/8	2/2	1	2	1/8		1/8	1		5	59	24
5	5	0	0	2/2	2	1	1/8		1/8	1		6	42	46
5	5	0	0	2/2	1	2	1/8		1/8	1		8	68	38
5	5	0	0	2/2	1	1	1/4		1/4	1		7	73	33
5	5	1/8	1/8	2/2	2	1	1/8		1/8	1		7	49	47
5	5	1/8	1/8	2/2	1	2	1/8		1/8	1		4	64	39
5	5	1/4	1/4	2/2	2	1	1/8		1/8	1		6	42	48
5	5	1/4	1/4	2/2	1	2	1/8		1/8	1		8	68	40
5	5	1/4	1/4	2/2	1	1	1/8		1/8	1		4	76	34
5	5	3/8	3/8	2/2	2	1	1/8		1/8	1		5	35	49
5	5	3/8	3/8	2/2	1	2	1/8		1/8	1		4	64	41
5	5	3/8	3/8	2/2	1	1	1/8		1/8	1		9	75	35
5	5	1/2	1/2	2/2	2	1	1/8		1/8	1		6	42	50
5	5	1/2	1/2	2/2	1	2	1/8		1/8	1		8	68	42
5	5	1/2	1/2	2/2	1	1	1/4		1/4	1		7	73	36
5	5	5/8	5/8	2/2	2	1	1/8		1/8	1		7	49	51
5	5	5/8	5/8	2/2	1	2	1/8		1/8	1		4	64	43
5	5	3/4	3/4	2/2	2	1	1/8		1/8	1		6	42	52
5	5	3/4	3/4	2/2	1	2	1/8		1/8	1		8	68	44
5	5	3/4	3/4	2/2	1	1	1/4		1/4	1		8	68	37
5	5	7/8	7/8	2/2	2	1	1/8		1/8	1		5	35	53
5	5	7/8	7/8	2/2	1	2	1/8		1/8	1		4	64	45
6	6	0	0	2/2	1	2	0	acciaccatura	1/8	1	1	4	64	60
6	6	0	0	2/2	2	1	1/8		1/8	1		6	42	69
6	6	0	0	2/2	1	2	1/8		1/8	1	-1	4	64	61
6	6	0	0	2/2	1	1	1/4		1/4	1		5	71	54
6	6	1/8	1/8	2/2	2	1	1/8		1/8	1		7	49	70
6	6	1/8	1/8	2/2	1	2	1/8		1/8	1		5	59	62
6	6	1/4	1/4	2/2	2	1	1/8		1/8	1		6	42	71
6	6	1/4	1/4	2/2	1	2	1/8		1/8	1		4	64	63
6	6	1/4	1/4	2/2	1	1	1/8		1/8	1		8	68	55
6	6	3/8	3/8	2/2	2	1	1/8		1/8	1		5	35	72
6	6	3/8	3/8	2/2	1	2	1/8		1/8	1		5	59	64
6	6	3/8	3/8	2/2	1	1	1/8		1/8	1		10	70	56
6	6	1/2	1/2	2/2	2	1	1/8		1/8	1		6	42	73
6	6	1/2	1/2	2/2	1	2	1/8		1/8	1		9	63	65
