mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	timesig	staff	voice	duration	nominal_duration	scalar	tied	tpc	midi	name	octave	chord_id
1	1	0	0	2.0	0	0	3/4	2	2	1/2	1/2	1		4	40	E2	2	1
1	1	0	0	3.0	0	0	3/4	2	1	3/4	1/2	3/2		5	47	B2	2	0
1	1	2	2	1.0	1/2	1/2	3/4	2	2	1/4	1/4	1		5	35	B1	1	2
2	2	3	3	2.0	0	0	3/4	2	2	1/2	1/2	1		4	40	E2	2	4
2	2	3	3	3.0	0	0	3/4	2	1	3/4	1/2	3/2		5	47	B2	2	3
2	2	5	5	1.0	1/2	1/2	3/4	2	2	1/4	1/4	1		5	35	B1	1	5
3	3	6	6	2.0	0	0	3/4	2	2	1/2	1/2	1		4	40	E2	2	13
3	3	6	6	3.0	0	0	3/4	2	1	3/4	1/2	3/2		5	47	B2	2	12
3	3	6	6	0.75	0	0	3/4	1	1	3/16	1/8	3/2		1	67	G4	4	6
3	3	6	6	0.75	0	0	3/4	1	1	3/16	1/8	3/2		5	71	B4	4	6
3	3	27/4	27/4	0.25	3/16	3/16	3/4	1	1	1/16	1/16	1		4	64	E4	4	7
3	3	27/4	27/4	0.25	3/16	3/16	3/4	1	1	1/16	1/16	1		0	72	C5	5	7
3	3	7	7	0.75	1/4	1/4	3/4	1	1	3/16	1/8	3/2		1	67	G4	4	8
3	3	7	7	0.75	1/4	1/4	3/4	1	1	3/16	1/8	3/2		5	71	B4	4	8
3	3	31/4	31/4	0.25	7/16	7/16	3/4	1	1	1/16	1/16	1		4	64	E4	4	9
3	3	31/4	31/4	0.25	7/16	7/16	3/4	1	1	1/16	1/16	1		0	72	C5	5	9
3	3	8	8	1.0	1/2	1/2	3/4	2	2	1/4	1/4	1		5	35	B1	1	14
3	3	8	8	0.75	1/2	1/2	3/4	1	1	3/16	1/8	3/2		6	66	F#4	4	10
3	3	8	8	0.75	1/2	1/2	3/4	1	1	3/16	1/8	3/2		3	69	A4	4	10
3	3	35/4	35/4	0.25	11/16	11/16	3/4	1	1	1/16	1/16	1		9	63	D#4	4	11
3	3	35/4	35/4	0.25	11/16	11/16	3/4	1	1	1/16	1/16	1		5	71	B4	4	11
4	4	9	9	2.0	0	0	3/4	2	2	1/2	1/2	1		4	40	E2	2	18
