mc	mn	keysig	timesig	act_dur	offset	voices	repeats	volta	barline	numbering_offset	dont_count	next
1	0	-2	6/8	1/8	5/8	3	firstMeasure				1	2
2	1	-2	6/8	3/4	0	3						3
3	2	-2	6/8	3/4	0	3						4
4	3	-2	6/8	3/4	0	3						5
5	4	-2	6/8	3/4	0	3						6
6	5	-2	6/8	3/4	0	3						7
7	6	-2	6/8	3/4	0	3						8
8	7	-2	6/8	3/4	0	3						9
9	8	-2	6/8	3/4	0	3						10
10	9	-2	6/8	3/4	0	3						11
11	10	-2	6/8	3/4	0	3						12
12	11	-2	6/8	3/4	0	3						13
13	12	-2	6/8	3/4	0	3						14
14	13	-2	6/8	3/4	0	4						15
15	14	-2	6/8	3/4	0	4						16
16	15	-2	6/8	3/4	0	4						17
17	16	-2	6/8	5/8	0	4						18
18	16	-2	6/8	1/8	5/8	4	startRepeat				1	19
19	17	-2	6/8	3/4	0	4						20
20	18	-2	6/8	3/4	0	4						21
21	19	-2	6/8	3/4	0	4						22
22	20	-2	6/8	3/4	0	4						23
23	21	-2	6/8	3/4	0	4						24
24	22	-2	6/8	3/4	0	4						25
25	23	-2	6/8	3/4	0	4						26
26	24	-2	6/8	3/4	0	2						27
27	25	-2	6/8	3/4	0	2						28
28	26	-2	6/8	3/4	0	2						29
29	27	-2	6/8	3/4	0	2						30
30	28	-2	6/8	3/4	0	2						31
31	29	-2	6/8	3/4	0	2						32
32	30	-2	6/8	3/4	0	2						33
33	31	-2	6/8	3/4	0	2						34
34	32	-2	6/8	3/4	0	2						35
35	33	-2	6/8	3/4	0	2						36
36	34	-2	6/8	3/4	0	3						37
37	35	-2	6/8	3/4	0	3						38
38	36	-2	6/8	3/4	0	3						39
39	37	-2	6/8	3/4	0	3						40
40	38	-2	6/8	3/4	0	3						41
41	39	-2	6/8	3/4	0	3						42
42	40	-2	6/8	3/4	0	3						43
43	41	-2	6/8	3/4	0	3						44
44	42	-2	6/8	3/4	0	3						45
45	43	-2	6/8	3/4	0	3						46
46	44	-2	6/8	3/4	0	3						47, 48
47	45	-2	6/8	5/8	0	3	endRepeat	1				18
48	45	-2	6/8	3/4	0	5		2			1.0	49
49	46	-2	6/8	3/4	0	5						50
50	47	-2	6/8	3/4	0	5						51
51	48	-2	6/8	3/4	0	5						52
52	49	-2	6/8	3/4	0	5						53
53	50	-2	6/8	3/4	0	5						54
54	51	-2	6/8	3/4	0	5						55
55	52	-2	6/8	3/4	0	5						56
56	53	-2	6/8	3/4	0	5						57
57	54	-2	6/8	3/4	0	5						58
58	55	-2	6/8	3/4	0	3						59
59	56	-2	6/8	3/4	0	3						60
60	57	-2	6/8	3/4	0	3						61
61	58	-2	6/8	3/4	0	3						62
62	59	-2	6/8	3/4	0	3						63
63	60	-2	6/8	3/4	0	3						64
64	61	-2	6/8	3/4	0	3	lastMeasure		end			-1
