mc	mn	keysig	timesig	act_dur	offset	voices	repeats	volta	barline	numbering_offset	dont_count	next
1	1	5	2/2	1	0	2	firstMeasure					2
2	2	5	2/2	1	0	2						3
3	3	5	2/2	1	0	2						4
4	4	5	2/2	1	0	3						5
5	5	5	2/2	1	0	3						6
6	6	5	2/2	1	0	3						7
7	7	5	2/2	1	0	3						8
8	8	5	2/2	1	0	3						9
9	9	5	2/2	1	0	3						10
10	10	5	2/2	1	0	3						11
11	11	5	2/2	1	0	3						12
12	12	5	2/2	1	0	3						13
13	13	5	2/2	1	0	3						14
14	14	5	2/2	1	0	3						15
15	15	5	2/2	1	0	3						16
16	16	5	2/2	1	0	3						17
17	17	5	2/2	1	0	3						18
18	18	5	2/2	1	0	3						19
19	19	5	2/2	1	0	3						20
20	20	5	2/2	1	0	3						21
21	21	5	2/2	1	0	3						22
22	22	5	2/2	1	0	3						23
23	23	5	2/2	1	0	3						24
24	24	5	2/2	1	0	3						25
25	25	5	2/2	1	0	3						26
26	26	5	2/2	1	0	3						27
27	27	5	2/2	1	0	2						28
28	28	5	2/2	1	0	2						29
29	29	5	2/2	1	0	2						30
30	30	5	2/2	1	0	2						31
31	31	5	2/2	1	0	2						32
32	32	5	2/2	1	0	2						33
33	33	5	2/2	1	0	2						34
34	34	5	2/2	1	0	2						35
35	35	5	2/2	1	0	2						36
36	36	5	2/2	1	0	2						37
37	37	5	2/2	1	0	2						38
38	38	5	2/2	1	0	3						39
39	39	5	2/2	1	0	3						40
40	40	5	2/2	1	0	3						41
41	41	5	2/2	1	0	3						42
42	42	5	2/2	1	0	3						43
43	43	5	2/2	1	0	3						44
44	44	5	2/2	1	0	3						45
45	45	5	2/2	1	0	3						46
46	46	5	2/2	1	0	3						47
47	47	5	2/2	1	0	3						48
48	48	5	2/2	1	0	2						49
49	49	5	2/2	1	0	3						50
50	50	5	2/2	1	0	3						51
51	51	5	2/2	1	0	3						52
52	52	5	2/2	1	0	3						53
53	53	5	2/2	1	0	2						54
54	54	5	2/2	1	0	3						55
55	55	5	2/2	1	0	3						56
56	56	5	2/2	1	0	2						57
57	57	5	2/2	1	0	3						58
58	58	5	2/2	1	0	3						59
59	59	5	2/2	1	0	3						60
60	60	5	2/2	1	0	3						61
61	61	5	2/2	1	0	2						62
62	62	5	2/2	1	0	3						63
63	63	5	2/2	1	0	3						64
64	64	5	2/2	1	0	3						65
65	65	5	2/2	1	0	3						66
66	66	5	2/2	1	0	2						67
67	67	5	2/2	1	0	2						68
68	68	5	2/2	1	0	2						69
69	69	5	2/2	1	0	2						70
70	70	5	2/2	1	0	3						71
71	71	5	2/2	1	0	2						72
72	72	5	2/2	1	0	2						73
73	73	5	2/2	1	0	2						74
74	74	5	2/2	1	0	2						75
75	75	5	2/2	1	0	2						76
76	76	5	2/2	1	0	3						77
77	77	5	2/2	1	0	3	lastMeasure		end			
