mc	mn	quarterbeats	duration_qb	mc_onset	mn_onset	timesig	staff	voice	volta	label	alt_label	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
1	0	0	1.0	0	3/4	4/4	2	1		e.V{		e	i		V	V						{	M	1	1	1, 5, 2		1	1
2	1	1	1.0	0	0	4/4	2	1		i		e	i		i	i							m	1	1	0, -3, 1		0	0
2	1	2	1.0	1/4	1/4	4/4	2	1		i2		e	i		i2	i		2					mm7	1	1	-2, 0, -3, 1		0	-2
2	1	3	1.0	1/2	1/2	4/4	2	1		#vi%7		e	i		#vi%7	#vi	%	7					%7	1	1	3, 0, -3, 1		3	3
2	1	4	1.0	3/4	3/4	4/4	2	1		VI		e	i		VI	VI							M	1	1	-4, 0, -3		-4	-4
3	2	5	1.0	0	0	4/4	2	1		v		e	i		v	v							m	1	1	1, -2, 2		1	1
3	2	6	1.0	1/4	1/4	4/4	2	1		iv		e	i		iv	iv							m	1	1	-1, -4, 0		-1	-1
3	2	7	1.0	1/2	1/2	4/4	2	1		V64(6)		e	i		V64(6)	V		64	6				M	1	1	-3, 1, 5		1	-3
3	2	8	0.5	3/4	3/4	4/4	2	1		V43		e	i		V43	V		43					Mm7	1	1	2, -1, 1, 5		1	2
3	2	17/2	0.5	7/8	7/8	4/4	2	1		#viio65		e	i		#viio65	#vii	o	65					o7	1	1	2, -1, -4, 5		5	2
4	3	9	1.0	0	0	4/4	2	1		bII		e	i		bII	bII							M	1	1	-5, -1, -4		-5	-5
4	3	10	1.0	1/4	1/4	4/4	2	1		VIM7	IVM7/III	e	i		VIM7	VI	M	7					MM7	1	1	-4, 0, -3, 1		-4	-4
4	3	11	1.0	1/2	1/2	4/4	2	1		VII	V/III	e	i		VII	VII							M	1	1	-2, 2, -1		-2	-2
4	3	12	1.0	3/4	3/4	4/4	2	1		iv7		e	i		iv7	iv		7					mm7	1	1	-1, -4, 0, -3		-1	-1
5	4	13	1.0	0	0	4/4	2	1		V		e	i		V	V							M	1	1	1, 5, 2		1	1
5	4	14	2.0	1/4	1/4	4/4	2	1		i[i|PAC}		e	i	i	i	i					PAC	}	m	1	1	0, -3, 1		0	0
5	4	15	0.0	1/2	1/2	4/4	2	1		{		e	i	i								{		1	1				
5	4	16	1.0	3/4	3/4	4/4	2	1		V64		e	i	i	V64	V		64					M	1	1	2, 1, 5		1	2
6	5	17	1.0	0	0	4/4	2	1		VIM65	i(+6)	e	i	i	VIM65	VI	M	65					MM7	1	1	0, -3, 1, -4		-4	0
6	5	18	1.0	1/4	1/4	4/4	2	1		i7		e	i	i	i7	i		7					mm7	1	1	0, -3, 1, -2		0	0
6	5	19	1.0	1/2	1/2	4/4	2	1		i]		e	i	i	i	i							m	1	1	0, -3, 1		0	0
6	5	20	1.0	3/4	3/4	4/4	2	1		ii7(9)		e	i		ii7(9)	ii		7	9				mm7	1	1	2, -1, 3, 0	-3	2	2
7	6	21	1.0	0	0	4/4	2	1		IIIM7		e	i		IIIM7	III	M	7					MM7	1	1	-3, 1, -2, 2		-3	-3
7	6	22	1.0	1/4	1/4	4/4	2	1		iv7		e	i		iv7	iv		7					mm7	1	1	-1, -4, 0, -3		-1	-1
7	6	23	1.0	1/2	1/2	4/4	2	1		v		e	i		v	v							m	1	1	1, -2, 2		1	1
7	6	24	1.0	3/4	3/4	4/4	2	1		V7/VI		e	i		V7/VI	V		7		VI			Mm7	1	1	-3, 1, -2, -5		-3	-3
8	7	25	0.5	0	0	4/4	2	1		bII	IV/VI	e	i		bII	bII							M	1	1	-5, -1, -4		-5	-5
8	7	51/2	0.5	1/8	1/8	4/4	2	1		vii%43/VI		e	i		vii%43/VI	vii	%	43		VI			%7	1	1	-5, -1, 1, -2		1	-5
8	7	26	1.0	1/4	1/4	4/4	2	1		VI	IV/III	e	i		VI	VI							M	1	1	-4, 0, -3		-4	-4
8	7	27	0.5	1/2	1/2	4/4	2	1		VII	V/III	e	i		VII	VII							M	1	1	-2, 2, -1		-2	-2
8	7	55/2	0.5	5/8	5/8	4/4	2	1		IIIM43		e	i		IIIM43	III	M	43					MM7	1	1	-2, 2, -3, 1		-3	-2
8	7	28	1.0	3/4	3/4	4/4	2	1		iv		e	i		iv	iv							m	1	1	-1, -4, 0		-1	-1
9	8	29	1.0	0	0	4/4	2	1		V		e	i		V	V							M	1	1	1, 5, 2		1	1
9	8	30	2.0	1/4	1/4	4/4	2	1		i|PAC}		e	i		i	i					PAC	}	m	1	1	0, -3, 1		0	0
10	8	32	1.0	0	3/4	4/4	2	1		V/III{		e	i		V/III	V				III		{	M	1	1	-2, 2, -1		-2	-2
11	9	33	1.0	0	0	4/4	2	1		I/III		e	i		I/III	I				III			M	1	1	-3, 1, -2		-3	-3
