mc	mn	mc_onset	mn_onset	timesig	staff	voice	volta	label	alt_label	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
1	1	0	0	2/4	2	1		b.i{		b	i		i	i						{	m	1	1	0, -3, 1		0	0
2	2	0	0	2/4	2	1		i(#0)		b	i		i(#0)	i			#0				m	1	1	0, -3, 1		0	0
3	3	0	0	2/4	2	1		i(0)		b	i		i(0)	i			0				m	1	1	0, -3, 1		0	0
4	4	0	0	2/4	2	1		i64(v#6)		b	i		i64(v#6)	i		64	v#6				m	1	1	1, 0, -3	3	0	1
5	5	0	0	2/4	2	1		V(62)		b	i		V(62)	V			62				M	1	1	-4, 5, -3		1	-4
6	6	0	0	2/4	2	1		V(6)		b	i		V(6)	V			6				M	1	1	1, 5, -3		1	1
7	7	0	0	2/4	2	1		viio7(#4)/V		b	i		viio7(#4)/V	vii	o	7	#4	V			o7	1	1	6, 3, 12, -3		6	6
8	8	0	0	2/4	2	1		ii%7		b	i		ii%7	ii	%	7					%7	1	1	2, -1, -4, 0		2	2
8	8	1/4	1/4	2/4	2	1		V7(94)|HC}		b	i		V7(94)	V		7	94		HC	}	Mm7	1	1	1, 0, 2, -1	-4	1	1
9	9	0	0	2/4	2	1		i{		b	i		i	i						{	m	1	1	0, -3, 1		0	0
10	10	0	0	2/4	2	1		i(#0)		b	i		i(#0)	i			#0				m	1	1	0, -3, 1		0	0
11	11	0	0	2/4	2	1		i(0)		b	i		i(0)	i			0				m	1	1	0, -3, 1		0	0
12	12	0	0	2/4	2	1		i64(v#6)		b	i		i64(v#6)	i		64	v#6				m	1	1	1, 0, -3	3	0	1
13	13	0	0	2/4	2	1		V(62)		b	i		V(62)	V			62				M	1	1	-4, 5, -3		1	-4
14	14	0	0	2/4	2	1		V(6)		b	i		V(6)	V			6				M	1	1	1, 5, -3		1	1
15	15	0	0	2/4	2	1		viio7(#4)/V		b	i		viio7(#4)/V	vii	o	7	#4	V			o7	1	1	6, 3, 12, -3		6	6
16	16	0	0	2/4	2	1		ii%7		b	i		ii%7	ii	%	7					%7	1	1	2, -1, -4, 0		2	2
16	16	1/4	1/4	2/4	2	1		V7(94)|HC}		b	i		V7(94)	V		7	94		HC	}	Mm7	1	1	1, 0, 2, -1	-4	1	1
17	17	0	0	2/4	2	1		i(#7){		b	i		i(#7)	i			#7			{	m	1	1	0, -3, 1	5	0	0
17	17	1/4	1/4	2/4	2	1		i(7)		b	i		i(7)	i			7				m	1	1	0, -3, 1	-2	0	0
17	17	3/8	3/8	2/4	2	1		i(v#6)		b	i		i(v#6)	i			v#6				m	1	1	0, -3, 1	3	0	0
18	18	0	0	2/4	2	1		#vii%7	V6(#9)	b	i		#vii%7	#vii	%	7					%7	1	1	5, 2, -1, 3		5	5
18	18	1/4	1/4	2/4	2	1		V6(9)		b	i		V6(9)	V		6	9				M	1	1	5, 2, 1	-4	1	5
18	18	3/8	3/8	2/4	2	1		V6		b	i		V6	V		6					M	1	1	5, 2, 1		1	5
19	19	1/16	1/16	2/4	2	1		i(#7)		b	i		i(#7)	i			#7				m	1	1	0, -3, 1	5	0	0
19	19	1/4	1/4	2/4	2	1		i(7)		b	i		i(7)	i			7				m	1	1	0, -3, 1	-2	0	0
19	19	3/8	3/8	2/4	2	1		i(v#6)		b	i		i(v#6)	i			v#6				m	1	1	0, -3, 1	3	0	0
20	20	0	0	2/4	2	1		#vii%7	V6(#9)	b	i		#vii%7	#vii	%	7					%7	1	1	5, 2, -1, 3		5	5
20	20	1/4	1/4	2/4	2	1		V6(9)		b	i		V6(9)	V		6	9				M	1	1	5, 2, 1	-4	1	5
20	20	3/8	3/8	2/4	2	1		V6		b	i		V6	V		6					M	1	1	5, 2, 1		1	5
21	21	0	0	2/4	2	1		ii(#7)		b	i		ii(#7)	ii			#7				m	1	1	2, -1, 3	7	2	2
