mc	mn	onset	label	globalkey	localkey	pedal	chord	numeral	special	form	figbass	changes	relativeroot	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
1	0	1/2	.d.i6{	d	i		i6	i			6			{	m	1	1	-3, 1, 0		0.0	-3.0
2	1	0	ii%43	d	i		ii%43	ii		%	43				%7	1	1	8, 0, 2, 1		2.0	8.0
2	1	1/4	ii%65	d	i		ii%65	ii		%	65				%7	1	1	1, 8, 0, 2		2.0	1.0
2	1	1/2	#viio6	d	i		#viio6	#vii		o	6				o	1	1	2, -1, 5		5.0	2.0
3	2	0	i6	d	i		i6	i			6				m	1	1	-3, 1, 0		0.0	-3.0
3	2	1/4	i	d	i		i	i							m	1	1	0, -3, 1		0.0	0.0
4	3	0	V[v7(4)	d	i	V	v7(4)	v			7	4			mm7	1	1	1, 0, 2, -1		1.0	1.0
4	3	1/4	v7	d	i	V	v7	v			7				mm7	1	1	1, -2, 2, -1		1.0	1.0
4	3	1/2	VI6	d	i	V	VI6	VI			6				M	1	1	0, -3, -4		-4.0	0.0
5	4	0	V(94)}	d	i	V	V(94)	V				94		}	M	1	1	1, 0, 2	-4	1.0	1.0
5	4	1/4	V]	d	i	V	V	V							M	1	1	1, 5, 2		1.0	1.0
5	4	1/2	i6{	d	i		i6	i			6			{	m	1	1	-3, 1, 0		0.0	-3.0
6	5	0	ii%43	d	i		ii%43	ii		%	43				%7	1	1	8, 0, 2, 1		2.0	8.0
6	5	1/4	ii%65	d	i		ii%65	ii		%	65				%7	1	1	1, 8, 0, 2		2.0	1.0
6	5	1/2	#viio6	d	i		#viio6	#vii		o	6				o	1	1	2, -1, 5		5.0	2.0
7	6	0	i6	d	i		i6	i			6				m	1	1	-3, 1, 0		0.0	-3.0
7	6	1/4	i	d	i		i	i							m	1	1	0, -3, 1		0.0	0.0
8	7	0	i6(11b9)	d	i		i6(11b9)	i			6	11b9			m	1	1	-3, 1, 0	-1, -5	0.0	-3.0
