mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	timesig	staff	voice	label	alt_label	globalkey	localkey	pedal	chord	special	numeral	form	figbass	changes	relativeroot	pedalend	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
1	1	0	0	3.0	0	0	2/4	2	1	e.V{		e	i		V		V							{	M	1	1	1, 5, 2		1	1
2	2	3	3	1.0	1/4	1/4	2/4	2	1	V2		e	i		V2		V		2						Mm7	1	1	-1, 1, 5, 2		1	-1
3	3	4	4	1.0	0	0	2/4	2	1	V64	V43	e	i		V64		V		64						M	1	1	2, 1, 5		1	2
3	3	5	5	1.0	1/4	1/4	2/4	2	1	i6		e	i		i6		i		6						m	1	1	-3, 1, 0		0	-3
4	4	6	6	1.0	0	0	2/4	2	1	i		e	i		i		i								m	1	1	0, -3, 1		0	0
4	4	7	7	1.0	1/4	1/4	2/4	2	1	v6		e	i		v6		v		6						m	1	1	-2, 2, 1		1	-2
5	5	8	8	1.0	0	0	2/4	2	1	v		e	i		v		v								m	1	1	1, -2, 2		1	1
5	5	9	9	1.0	1/4	1/4	2/4	2	1	VIM7		e	i		VIM7		VI	M	7						MM7	1	1	-4, 0, -3, 1		-4	-4
6	6	10	10	1.0	0	0	2/4	2	1	V2		e	i		V2		V		2						Mm7	1	1	-1, 1, 5, 2		1	-1
6	6	11	11	2.0	1/4	1/4	2/4	2	1	V64	V43	e	i		V64		V		64						M	1	1	2, 1, 5		1	2
7	7	13	13	3.0	1/4	1/4	2/4	2	1	V43(b5)}		e	i		V43(b5)		V		43	b5				}	Mm7	1	1	-5, -1, 1, 5		1	-5
9	9	16	16	6.0	0	0	2/4	2	1	i{		e	i		i		i							{	m	1	1	0, -3, 1		0	0
12	12	22	22	3.0	0	0	2/4	2	1	V		e	i		V		V								M	1	1	1, 5, 2		1	1
13	13	25	25	7.0	1/4	1/4	2/4	2	1	V(b5)/V		e	i		V(b5)/V		V			b5	V				M	1	1	2, 6, -4		2	2
17	17	32	32	1.0	0	0	2/4	2	1	V		e	i		V		V								M	1	1	1, 5, 2		1	1
17	17	33	33	2.0	1/4	1/4	2/4	2	1	i		e	i		i		i								m	1	1	0, -3, 1		0	0
18	18	35	35	3.5	1/4	1/4	2/4	2	1	IV6		e	i		IV6		IV		6						M	1	1	3, 0, -1		-1	3
20	20	77/2	77/2	0.5	1/8	1/8	2/4	2	1	iv6		e	i		iv6		iv		6						m	1	1	-4, 0, -1		-1	-4
20	20	39	39	3.0	1/4	1/4	2/4	2	1	V		e	i		V		V								M	1	1	1, 5, 2		1	1
22	22	42	42	2.0	0	0	2/4	2	1	i		e	i		i		i								m	1	1	0, -3, 1		0	0
23	23	44	44	10.0	0	0	2/4	2	1	V43(b5)/V	Fr6	e	i		V43(b5)/V		V		43	b5	V				Mm7	1	1	-4, 0, 2, 6		2	-4
28	28	54	54	1.5	0	0	2/4	2	1	V		e	i		V		V								M	1	1	1, 5, 2		1	1
28	28	111/2	111/2	1.5	3/8	3/8	2/4	2	1	bV		e	i		bV		bV								M	1	1	-6, -2, -5		-6	-6
29	29	57	57	1.5	1/4	1/4	2/4	2	1	IV		e	i		IV		IV								M	1	1	-1, 3, 0		-1	-1
30	30	117/2	117/2	1.5	1/8	1/8	2/4	2	1	bIV		e	i		bIV		bIV								M	1	1	-8, -4, -7		-8	-8
31	31	60	60	2.5	0	0	2/4	2	1	III	i6	e	i		III		III								M	1	1	-3, 1, -2		-3	-3
32	32	125/2	125/2	2.0	1/8	1/8	2/4	2	1	V64		e	i		V64		V		64						M	1	1	2, 1, 5		1	2
33	33	129/2	129/2	4.0	1/8	1/8	2/4	2	1	V64(b5)		e	i		V64(b5)		V		64	b5					M	1	1	-5, 1, 5		1	-5
35	35	137/2	137/2	15.5	1/8	1/8	2/4	2	1	i		e	i		i		i								m	1	1	0, -3, 1		0	0
43	43	84	84	8.0	0	0	2/4	2	1	V|HC}		e	i		V		V						HC	}	M	1	1	1, 5, 2		1	1
47	47	92	92	1.0	0	0	2/4	2	1	i[i{		e	i	i	i		i							{	m	1	1	0, -3, 1		0	0
