mc	mn	onset	label
1	1	0	.bb.i6{
2	2	0	i
2	2	1/2	i(9#64)
2	2	5/8	i(#7)
3	3	0	i
3	3	5/8	i(4#7)
4	4	0	i
4	4	1/2	i(9#64)
4	4	5/8	i(#7)
5	5	0	i
5	5	1/2	V65
6	6	0	i
6	6	1/4	i64
6	6	1/2	III64(b6)
7	7	0	III64
7	7	1/2	III
8	8	1/8	ii2/III
8	8	1/4	V/III[V7/III
8	8	3/8	III64
8	8	1/2	ii6/III
8	8	5/8	V(6)/III]
9	9	0	III
9	9	1/2	V65/III
10	10	0	III}
10	10	1/4	III64
11	11	0	V7(9){
11	11	1/4	#viio7
11	11	1/2	#viio65
12	12	1/2	#viio43
13	13	1/8	V2
13	13	1/4	#viio43
13	13	1/2	#viio2
14	14	1/8	V7
14	14	1/4	#viio43
14	14	1/2	#viio2}
15	15	0	#viio65/iv{
15	15	1/4	#viio7/iv
15	15	1/2	#viio65/iv
16	16	1/2	#viio43/iv
17	17	1/8	V2/iv
17	17	1/4	#viio43/iv
17	17	1/2	#viio2/iv
18	18	1/8	V7/iv
18	18	1/4	#viio43/iv
18	18	1/2	#viio2/iv}
19	19	0	{
19	19	1/8	.bII
19	19	1/4	v%7
19	19	1/2	vii
20	20	0	v%65
20	20	1/4	v%7
20	20	1/2	vii
21	21	1/4	vii43
21	21	1/2	vii2
22	22	0	vo
22	22	1/4	v%43
22	22	1/2	v2
23	23	1/2	#viio(9)/iv
24	24	0	#viio/iv
24	24	1/4	III(b9)
24	24	1/2	III
25	25	0	v64(6)
25	25	1/4	v64
25	25	1/2	vo64(+5)
26	26	0	vo64
26	26	1/4	V43(b9)/iv
26	26	1/2	V65/iv
27	27	0	{
27	27	1/4	iv
28	28	1/2	ii%7
29	29	0	i
29	29	1/4	i64
29	29	1/2	i
30	30	1/2	i64
31	31	0	i
31	31	1/4	i64
31	31	1/2	i}
33	33	0	I.I{
34	34	0	I(+6)
35	35	0	vi6
36	36	0	I(b6)
37	37	0	I
38	38	0	I(+6)
39	39	0	V43/V
40	40	0	V64
41	41	0	V}
42	42	0	ii{
43	43	0	ii(+6)
44	44	0	viio6
45	45	0	.bvii6
46	46	0	ii
47	47	0	ii(+6)
48	48	0	V43/vi
49	49	0	vi64
50	50	0	vi}
51	51	0	ii%65/V{
52	52	0	V43/V
53	53	0	V7(b94)/V
54	54	0	V43/V
55	55	0	ii%7
56	56	0	V43
57	57	0	V7(b94)
58	58	0	V43}
59	59	0	I64{
60	60	0	I(+6)
61	61	0	vi6
62	62	0	V7/IV
63	63	0	IVM7
64	64	0	ii2
65	65	0	V43
66	66	0	I64
67	67	0	I}
68	68	0	ii%65/V{
69	69	0	V43/V
70	70	0	V7(b94)/V
71	71	0	V43/V
72	72	0	ii%7
73	73	0	V43
74	74	0	V7(b94)
75	75	0	V43}
76	76	0	I64{
77	77	0	I(+6)
78	78	0	vi6
79	79	0	V7/IV
80	80	0	IVM7
81	81	0	ii%7
82	82	0	V43
83	83	0	I64
84	84	0	I}
