mc	mn	quarterbeats	duration_qb	mc_onset	mn_onset	timesig	staff	voice	label	alt_label	globalkey	localkey	pedal	chord	special	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
1	1	1/2	2.5	1/8	1/8	3/4	2	1	C.V{		C	I		V		V						{	M	0	0	1, 5, 2		1	1
2	2	3	2.0	0	0	3/4	2	1	V[ii7(9)		C	I	V	ii7(9)		ii		7	9				mm7	0	0	2, -1, 3, 0	4	2	2
2	2	5	1.0	1/2	1/2	3/4	2	1	ii7		C	I	V	ii7		ii		7					mm7	0	0	2, -1, 3, 0		2	2
3	3	6	2.0	0	0	3/4	2	1	ii7(9)		C	I	V	ii7(9)		ii		7	9				mm7	0	0	2, -1, 3, 0	4	2	2
3	3	8	1.0	1/2	1/2	3/4	2	1	ii7		C	I	V	ii7		ii		7					mm7	0	0	2, -1, 3, 0		2	2
4	4	9	2.0	0	0	3/4	2	1	ii7(9)		C	I	V	ii7(9)		ii		7	9				mm7	0	0	2, -1, 3, 0	4	2	2
4	4	11	4.0	1/2	1/2	3/4	2	1	ii7		C	I	V	ii7		ii		7					mm7	0	0	2, -1, 3, 0		2	2
6	6	15	2.0	0	0	3/4	2	1	V7		C	I	V	V7		V		7					Mm7	0	0	1, 5, 2, -1		1	1
6	6	17	2.0	1/2	1/2	3/4	2	1	V7(6)		C	I	V	V7(6)		V		7	6				Mm7	0	0	1, 5, 4, -1		1	1
7	7	19	2.0	1/4	1/4	3/4	2	1	V7]		C	I	V	V7		V		7					Mm7	0	0	1, 5, 2, -1		1	1
8	8	21	3.0	0	0	3/4	2	1	I(764)}		C	I		I(764)		I			764			}	M	0	0	0, -1, 3	5	0	0
9	9	24	3.0	0	0	3/4	2	1	I|PAC		C	I		I		I					PAC		M	0	0	0, 4, 1		0	0
10	10	27	3.0	0	0	3/4	2	1	V2/V{		C	I		V2/V		V		2		V		{	Mm7	0	0	0, 2, 6, 3		2	0
11	11	30	3.0	0	0	3/4	2	1	IM65/V		C	I		IM65/V		I	M	65		V			MM7	0	0	5, 2, 6, 1		1	5
12	12	33	3.0	0	0	3/4	2	1	IVM2/V		C	I		IVM2/V		IV	M	2		V			MM7	0	0	5, 0, 4, 1		0	5
13	13	36	3.0	0	0	3/4	2	1	vii%65/V	ii%65/vi/V	C	I		vii%65/V		vii	%	65		V			%7	0	0	3, 0, 4, 6		6	3
14	14	39	3.0	0	0	3/4	2	1	V2/vi/V		C	I		V2/vi/V		V		2		vi/V			Mm7	0	0	3, 5, 9, 6		5	3
15	15	42	1.0	0	0	3/4	2	1	i6/vi/V		C	I		i6/vi/V		i		6		vi/V			m	0	0	1, 5, 4		4	1
15	15	43	2.0	1/4	1/4	3/4	2	1	IV/vi/V		C	I		IV/vi/V		IV				vi/V			M	0	0	3, 7, 4		3	3
16	16	45	2.0	0	0	3/4	2	1	V7/vi/V		C	I		V7/vi/V		V		7		vi/V			Mm7	0	0	5, 9, 6, 3		5	5
16	16	47	4.0	1/2	1/2	3/4	2	1	i/vi/V|PAC}		C	I		i/vi/V		i				vi/V	PAC	}	m	0	0	4, 1, 5		4	4
17	17	97/2	0.0	1/8	1/8	3/4	2	1	{		C	I										{		0	0				
18	18	51	2.0	0	0	3/4	2	1	V[ii7(9)		C	I	V	ii7(9)		ii		7	9				mm7	0	0	2, -1, 3, 0	4	2	2
