mc	mn	onset	label	alt_label	globalkey	localkey	pedal	chord	numeral	special	form	figbass	changes	relativeroot	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
1	1	0	.d.V{		d	i		V	V						{	M	1	1	1, 5, 2		1.0	1.0
2	2	1/4	i64		d	i		i64	i			64				m	1	1	1, 0, -3		0.0	1.0
2	2	1/2	i		d	i		i	i							m	1	1	0, -3, 1		0.0	0.0
4	4	1/4	v		d	i		v	v							m	1	1	1, -2, 2		1.0	1.0
4	4	1/2	v6		d	i		v6	v			6				m	1	1	-2, 2, 1		1.0	-2.0
6	6	1/4	#vi%2		d	i		#vi%2	#vi		%	2				%7	1	1	1, 3, 2, 9		3.0	1.0
7	7	1/4	VIM2		d	i		VIM2	VI		M	2				MM7	1	1	1, -4, 0, -3		-4.0	1.0
8	8	1/4	v}		d	i		v	v						}	m	1	1	1, -2, 2		1.0	1.0
9	9	0	iv{		d	i		iv	iv						{	m	1	1	-1, -4, 0		-1.0	-1.0
12	12	0	V(6)/III		d	i		V(6)/III	V				6	III		M	1	1	-2, 2, 1		-2.0	-2.0
12	12	1/8	V/III		d	i		V/III	V					III		M	1	1	-2, 2, -1		-2.0	-2.0
12	12	1/4	III64		d	i		III64	III			64				M	1	1	-2, -3, 1		-3.0	-2.0
12	12	1/2	III		d	i		III	III							M	1	1	-3, 1, -2		-3.0	-3.0
13	13	0	.bII		d	i		bII	bII							M	1	1	-5, -1, -4		-5.0	-5.0
16	16	0	V(6)		d	i		V(6)	V				6			M	1	1	1, 5, -3		1.0	1.0
16	16	1/8	V		d	i		V	V							M	1	1	1, 5, 2		1.0	1.0
16	16	1/4	i64}		d	i		i64	i			64			}	m	1	1	1, 0, -3		0.0	1.0
16	16	1/2	i		d	i		i	i							m	1	1	0, -3, 1		0.0	0.0
17	17	0	V[V{		d	i	V	V	V						{	M	1	1	1, 5, 2		1.0	1.0
18	18	1/4	V7		d	i	V	V7	V			7				Mm7	1	1	1, 5, 2, -1		1.0	1.0
18	18	1/2	#vi%2		d	i	V	#vi%2	#vi		%	2				%7	1	1	1, 3, 2, 9		3.0	1.0
19	19	1/2	V		d	i	V	V	V							M	1	1	1, 5, 2		1.0	1.0
20	20	0	iv6		d	i	V	iv6	iv			6				m	1	1	-4, 0, -1		-1.0	-4.0
23	23	1/4	VI6		d	i	V	VI6	VI			6				M	1	1	0, -3, -4		-4.0	0.0
26	26	0	VII6		d	i	V	VII6	VII			6				M	1	1	2, -1, -2		-2.0	2.0
26	26	1/2	i64		d	i	V	i64	i			64				m	1	1	1, 0, -3		0.0	1.0
27	27	0	.bII		d	i	V	bII	bII							M	1	1	-5, -1, -4		-5.0	-5.0
29	29	0	v		d	i	V	v	v							m	1	1	1, -2, 2		1.0	1.0
29	29	1/2	V]		d	i	V	V	V							M	1	1	1, 5, 2		1.0	1.0
30	30	0	iv		d	i		iv	iv							m	1	1	-1, -4, 0		-1.0	-1.0
30	30	1/2	V2		d	i		V2	V			2				Mm7	1	1	-1, 1, 5, 2		1.0	-1.0
31	31	0	i6		d	i		i6	i			6				m	1	1	-3, 1, 0		0.0	-3.0
31	31	1/2	III+		d	i		III+	III		+					+	1	1	-3, 1, 5		-3.0	-3.0
32	32	0	iio		d	i		iio	ii		o					o	1	1	2, -1, -4		2.0	2.0
32	32	1/2	V43}		d	i		V43	V			43			}	Mm7	1	1	2, -1, 1, 5		1.0	2.0
33	33	0	V{		d	i		V	V						{	M	1	1	1, 5, 2		1.0	1.0
34	34	1/4	i64		d	i		i64	i			64				m	1	1	1, 0, -3		0.0	1.0
34	34	1/2	i		d	i		i	i							m	1	1	0, -3, 1		0.0	0.0
36	36	1/4	v		d	i		v	v							m	1	1	1, -2, 2		1.0	1.0
36	36	1/2	v6		d	i		v6	v			6				m	1	1	-2, 2, 1		1.0	-2.0
38	38	1/4	#vi%2		d	i		#vi%2	#vi		%	2				%7	1	1	1, 3, 2, 9		3.0	1.0
39	39	1/4	VIM2		d	i		VIM2	VI		M	2				MM7	1	1	1, -4, 0, -3		-4.0	1.0
40	40	1/4	v}		d	i		v	v						}	m	1	1	1, -2, 2		1.0	1.0
41	41	0	iv{		d	i		iv	iv						{	m	1	1	-1, -4, 0		-1.0	-1.0
42	42	0	iv64		d	i		iv64	iv			64				m	1	1	0, -1, -4		-1.0	0.0
43	43	0	VI64		d	i		VI64	VI			64				M	1	1	-3, -4, 0		-4.0	-3.0
44	44	0	V(6)/III		d	i		V(6)/III	V				6	III		M	1	1	-2, 2, 1		-2.0	-2.0
44	44	1/8	V/III		d	i		V/III	V					III		M	1	1	-2, 2, -1		-2.0	-2.0
44	44	1/4	III64		d	i		III64	III			64				M	1	1	-2, -3, 1		-3.0	-2.0
44	44	1/2	III		d	i		III	III							M	1	1	-3, 1, -2		-3.0	-3.0
45	45	0	.bII		d	i		bII	bII							M	1	1	-5, -1, -4		-5.0	-5.0
46	46	0	.bII64		d	i		bII64	bII			64				M	1	1	-4, -5, -1		-5.0	-4.0
47	47	0	iv64		d	i		iv64	iv			64				m	1	1	0, -1, -4		-1.0	0.0
48	48	0	V(6)		d	i		V(6)	V				6			M	1	1	1, 5, -3		1.0	1.0
48	48	1/8	V		d	i		V	V							M	1	1	1, 5, 2		1.0	1.0
48	48	1/4	i64}		d	i		i64	i			64			}	m	1	1	1, 0, -3		0.0	1.0
48	48	1/2	i		d	i		i	i							m	1	1	0, -3, 1		0.0	0.0
49	49	0	V(6)		d	i		V(6)	V				6			M	1	1	1, 5, -3		1.0	1.0
49	49	1/8	V		d	i		V	V							M	1	1	1, 5, 2		1.0	1.0
49	49	1/4	i64		d	i		i64	i			64				m	1	1	1, 0, -3		0.0	1.0
49	49	1/2	i		d	i		i	i							m	1	1	0, -3, 1		0.0	0.0
50	50	0	i6{		d	i		i6	i			6			{	m	1	1	-3, 1, 0		0.0	-3.0
50	50	1/8	#viio6		d	i		#viio6	#vii		o	6				o	1	1	2, -1, 5		5.0	2.0
50	50	1/4	V(6)		d	i		V(6)	V				6			M	1	1	1, 5, -3		1.0	1.0
50	50	3/8	V		d	i		V	V							M	1	1	1, 5, 2		1.0	1.0
50	50	1/2	i		d	i		i	i							m	1	1	0, -3, 1		0.0	0.0
50	50	5/8	i(9#7)		d	i		i(9#7)	i				9#7			m	1	1	0, -3, 1	2, 5	0.0	0.0
51	51	0	V(6)		d	i		V(6)	V				6			M	1	1	1, 5, -3		1.0	1.0
51	51	1/8	V		d	i		V	V							M	1	1	1, 5, 2		1.0	1.0
51	51	1/4	i		d	i		i	i							m	1	1	0, -3, 1		0.0	0.0
51	51	3/8	i(9#7)		d	i		i(9#7)	i				9#7			m	1	1	0, -3, 1	2, 5	0.0	0.0
51	51	1/2	V(6)		d	i		V(6)	V				6			M	1	1	1, 5, -3		1.0	1.0
51	51	5/8	V		d	i		V	V							M	1	1	1, 5, 2		1.0	1.0
52	52	0	i[i%7		d	i	i	i%7	i		%	7				%7	1	1	0, -1, 6, -2		0.0	0.0
54	54	0	V43/VII		d	i	i	V43/VII	V			43		VII		Mm7	1	1	0, -3, -1, 3		-1.0	0.0
55	55	0	iv43		d	i	i	iv43	iv			43				mm7	1	1	0, -3, -1, -4		-1.0	0.0
56	56	0	#viio43		d	i	i	#viio43	#vii		o	43				o7	1	1	-1, -4, 5, 2		5.0	-1.0
57	57	0	.Ger43/iv]		d	i	i	Ger43/iv	vii	Ger	o	43	b3	V/iv		Mm7	1	1	-1, -4, 5, -5		5.0	-1.0
58	58	0	iv6}	VI}	d	i		iv6	iv			6			}	m	1	1	-4, 0, -1		-1.0	-4.0
59	59	0	I.I[I{		d	I	I	I	I						{	M	1	0	0, 4, 1		0.0	0.0
62	62	0	V(+4)/V		d	I	I	V(+4)/V	V				+4	V		M	1	0	2, 6, 3	1	2.0	2.0
63	63	0	V		d	I	I	V	V							M	1	0	1, 5, 2		1.0	1.0
64	64	0	I}		d	I	I	I	I						}	M	1	0	0, 4, 1		0.0	0.0
65	65	0	{		d	I	I								{		1	0				
66	66	0	V(+4)/V		d	I	I	V(+4)/V	V				+4	V		M	1	0	2, 6, 3	1	2.0	2.0
67	67	0	V		d	I	I	V	V							M	1	0	1, 5, 2		1.0	1.0
68	68	0	I}		d	I	I	I	I						}	M	1	0	0, 4, 1		0.0	0.0
69	69	0	{		d	I	I								{		1	0				
70	70	0	V(+4)/V		d	I	I	V(+4)/V	V				+4	V		M	1	0	2, 6, 3	1	2.0	2.0
71	71	0	V7		d	I	I	V7	V			7				Mm7	1	0	1, 5, 2, -1		1.0	1.0
72	72	0	I}		d	I	I	I	I						}	M	1	0	0, 4, 1		0.0	0.0
73	73	0	{		d	I	I								{		1	0				
74	74	0	V(+4)/V		d	I	I	V(+4)/V	V				+4	V		M	1	0	2, 6, 3	1	2.0	2.0
75	75	0	V7		d	I	I	V7	V			7				Mm7	1	0	1, 5, 2, -1		1.0	1.0
76	76	0	I}		d	I	I	I	I						}	M	1	0	0, 4, 1		0.0	0.0
77	77	0	IV6{		d	I	I	IV6	IV			6			{	M	1	0	3, 0, -1		-1.0	3.0
78	78	0	IM7		d	I	I	IM7	I		M	7				MM7	1	0	0, 4, 1, 5		0.0	0.0
79	79	0	ii2		d	I	I	ii2	ii			2				mm7	1	0	0, 2, -1, 3		2.0	0.0
80	80	0	IM7]		d	I	I	IM7	I		M	7				MM7	1	0	0, 4, 1, 5		0.0	0.0
81	81	0	vi7(9)		d	I		vi7(9)	vi			7	9			mm7	1	0	3, 0, 4, 1	5	3.0	3.0
81	81	1/2	V7/V		d	I		V7/V	V			7		V		Mm7	1	0	2, 6, 3, 0		2.0	2.0
82	82	0	V		d	I		V	V							M	1	0	1, 5, 2		1.0	1.0
