mc	mn	mc_onset	mn_onset	timesig	staff	voice	label	globalkey	localkey	pedal	chord	special	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
1	1	0	0	3/4	1	1	.b.i[i	b	i	i	i		i							m	1	1	0, -3, 1		0	0
3	3	1/2	1/2	3/4	1	1	V7	b	i	i	V7		V		7					Mm7	1	1	1, 5, 2, -1		1	1
4	4	0	0	3/4	1	1	i]	b	i	i	i		i							m	1	1	0, -3, 1		0	0
5	5	0	0	3/4	1	1	.bI+	b	i		bI+		bI	+						+	1	1	-7, -3, 1		-7	-7
6	6	0	0	3/4	1	1	III64	b	i		III64		III		64					M	1	1	-2, -3, 1		-3	-2
7	7	0	0	3/4	1	1	#vi%7	b	i		#vi%7		#vi	%	7					%7	1	1	3, 0, -3, 1		3	3
7	7	1/2	1/2	3/4	1	1	VIM7	b	i		VIM7		VI	M	7					MM7	1	1	-4, 0, -3, 1		-4	-4
8	8	0	0	3/4	1	1	V(4)}	b	i		V(4)		V			4			}	M	1	1	1, 0, 2		1	1
8	8	1/4	1/4	3/4	1	2	V	b	i		V		V							M	1	1	1, 5, 2		1	1
9	9	0	0	3/4	1	1	i[i{	b	i	i	i		i						{	m	1	1	0, -3, 1		0	0
11	11	1/2	1/2	3/4	1	1	V7	b	i	i	V7		V		7					Mm7	1	1	1, 5, 2, -1		1	1
12	12	0	0	3/4	1	1	i]	b	i	i	i		i							m	1	1	0, -3, 1		0	0
13	13	0	0	3/4	1	1	.bI+	b	i		bI+		bI	+						+	1	1	-7, -3, 1		-7	-7
14	14	0	0	3/4	1	1	III64	b	i		III64		III		64					M	1	1	-2, -3, 1		-3	-2
15	15	0	0	3/4	1	1	#vi%7	b	i		#vi%7		#vi	%	7					%7	1	1	3, 0, -3, 1		3	3
15	15	1/2	1/2	3/4	1	1	VIM7	b	i		VIM7		VI	M	7					MM7	1	1	-4, 0, -3, 1		-4	-4
16	16	0	0	3/4	1	1	V(4)}	b	i		V(4)		V			4			}	M	1	1	1, 0, 2		1	1
16	16	1/4	1/4	3/4	1	2	V	b	i		V		V							M	1	1	1, 5, 2		1	1
17	17	0	0	3/4	1	1	V2{	b	i		V2		V		2				{	Mm7	1	1	-1, 1, 5, 2		1	-1
18	18	0	0	3/4	1	1	i6	b	i		i6		i		6					m	1	1	-3, 1, 0		0	-3
19	19	0	0	3/4	1	1	V+2/bII	b	i		V+2/bII		V	+	2		bII			+7	1	1	-6, -4, 0, 4		-4	-6
20	20	0	0	3/4	1	1	.bII6	b	i		bII6		bII		6					M	1	1	-1, -4, -5		-5	-1
21	21	0	0	3/4	1	1	V2/III	b	i		V2/III		V		2		III			Mm7	1	1	-4, -2, 2, -1		-2	-4
22	22	0	0	3/4	1	1	iii6	b	i		iii6		iii		6					m	1	1	-6, -2, -3		-3	-6
23	23	0	0	3/4	1	1	V+2/bIV	b	i		V+2/bIV		V	+	2		bIV			+7	1	1	-9, -7, -3, 1		-7	-9
24	24	0	0	3/4	1	1	.bIV6	b	i		bIV6		bIV		6					M	1	1	-4, -7, -8		-8	-4
25	25	0	0	3/4	1	1	.Ger6/bI	b	i		Ger6/bI	Ger	vii	o	65	b3	V/bI			Ger	1	1	-11, -7, -10, -1		-1	-11
25	25	1/4	1/4	3/4	1	1	.bi43	b	i		bi43		bi		43					mm7	1	1	-6, -9, -7, -10		-7	-6
25	25	1/2	1/2	3/4	1	1	viio7/bV	b	i		viio7/bV		vii	o	7		bV			o7	1	1	-1, -4, -7, -10		-1	-1
26	26	0	0	3/4	1	1	.Ger6/VI	b	i		Ger6/VI	Ger	vii	o	65	b3	V/VI			Ger	1	1	-8, -4, -7, 2		2	-8
26	26	1/4	1/4	3/4	1	1	vi43	b	i		vi43		vi		43					mm7	1	1	-3, -6, -4, -7		-4	-3
