mc	mn	onset	label	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
1	1	0	.D.I{	D	I		I	I					{	M	0	0	0, 4, 1		0.0	0.0
4	4	0	vi65	D	I		vi65	vi		65				mm7	0	0	0, 4, 1, 3		3.0	0.0
4	4	3/4	I	D	I		I	I						M	0	0	0, 4, 1		0.0	0.0
5	5	0	vi7	D	I		vi7	vi		7				mm7	0	0	3, 0, 4, 1		3.0	3.0
5	5	1/2	V7(9)/V	D	I		V7(9)/V	V		7	9	V		Mm7	0	0	2, 6, 3, 0	4	2.0	2.0
6	6	0	V(4)	D	I		V(4)	V			4			M	0	0	1, 0, 2		1.0	1.0
6	6	1/4	V	D	I		V	V						M	0	0	1, 5, 2		1.0	1.0
7	7	0	IV	D	I		IV	IV						M	0	0	-1, 3, 0		-1.0	-1.0
8	8	0	ii7(9)	D	I		ii7(9)	ii		7	9			mm7	0	0	2, -1, 3, 0	4	2.0	2.0
8	8	3/4	IV	D	I		IV	IV						M	0	0	-1, 3, 0		-1.0	-1.0
9	9	0	V7(9)	D	I		V7(9)	V		7	9			Mm7	0	0	1, 5, 2, -1	3	1.0	1.0
10	10	0	I(4)}	D	I		I(4)	I			4		}	M	0	0	0, -1, 1		0.0	0.0
10	10	1/4	I	D	I		I	I						M	0	0	0, 4, 1		0.0	0.0
10	10	3/4	{	D	I								{		0	0				
14	14	0	vi65	D	I		vi65	vi		65				mm7	0	0	0, 4, 1, 3		3.0	0.0
14	14	3/4	I	D	I		I	I						M	0	0	0, 4, 1		0.0	0.0
15	15	0	vi7	D	I		vi7	vi		7				mm7	0	0	3, 0, 4, 1		3.0	3.0
15	15	1/2	V7(9)/V	D	I		V7(9)/V	V		7	9	V		Mm7	0	0	2, 6, 3, 0	4	2.0	2.0
16	16	0	V(4)	D	I		V(4)	V			4			M	0	0	1, 0, 2		1.0	1.0
16	16	1/4	V	D	I		V	V						M	0	0	1, 5, 2		1.0	1.0
17	17	0	IV	D	I		IV	IV						M	0	0	-1, 3, 0		-1.0	-1.0
18	18	0	ii7(9)	D	I		ii7(9)	ii		7	9			mm7	0	0	2, -1, 3, 0	4	2.0	2.0
18	18	3/4	IV	D	I		IV	IV						M	0	0	-1, 3, 0		-1.0	-1.0
19	19	0	V7(9)	D	I		V7(9)	V		7	9			Mm7	0	0	1, 5, 2, -1	3	1.0	1.0
20	20	0	I(4)}	D	I		I(4)	I			4		}	M	0	0	0, -1, 1		0.0	0.0
20	20	1/4	I	D	I		I	I						M	0	0	0, 4, 1		0.0	0.0
21	21	0	V[V{	D	I	V	V	V					{	M	0	0	1, 5, 2		1.0	1.0
22	22	1/4	vi(+4)	D	I	V	vi(+4)	vi			+4			m	0	0	3, 0, 4	2	3.0	3.0
22	22	1/2	V	D	I	V	V	V						M	0	0	1, 5, 2		1.0	1.0
22	22	3/4	vi(+4)]	D	I	V	vi(+4)	vi			+4			m	0	0	3, 0, 4	2	3.0	3.0
23	23	1/8	vii%7/V	D	I		vii%7/V	vii	%	7		V		%7	0	0	6, 5, 12, 4		6.0	6.0
23	23	1/4	V	D	I		V	V						M	0	0	1, 5, 2		1.0	1.0
24	24	0	.bV+	D	I		bV+	bV	+					+	0	0	-6, -2, 2		-6.0	-6.0
24	24	3/4	.bVII	D	I		bVII	bVII						M	0	0	-2, 2, -1		-2.0	-2.0
25	25	0	V(64)/bVII	D	I		V(64)/bVII	V			64	bVII		M	0	0	-1, -2, 2		-1.0	-1.0
25	25	1/2	V7/bVII	D	I		V7/bVII	V		7		bVII		Mm7	0	0	-1, 3, 0, -3		-1.0	-1.0
26	26	0	.bVII[bVII}	D	I	bVII	bVII	bVII					}	M	0	0	-2, 2, -1		-2.0	-2.0
26	26	3/4	{	D	I	bVII							{		0	0				
27	27	1/4	i(+4)	D	I	bVII	i(+4)	i			+4			m	0	0	0, -3, 1	-1	0.0	0.0
27	27	1/2	.bVII	D	I	bVII	bVII	bVII						M	0	0	-2, 2, -1		-2.0	-2.0
27	27	3/4	i(+4)]	D	I	bVII	i(+4)	i			+4			m	0	0	0, -3, 1	-1	0.0	0.0
28	28	1/8	vii%7/bVII	D	I		vii%7/bVII	vii	%	7		bVII		%7	0	0	3, 2, 9, 1		3.0	3.0
28	28	1/4	.bVII	D	I		bVII	bVII						M	0	0	-2, 2, -1		-2.0	-2.0
29	29	0	.bII+64	D	I		bII+64	bII	+	64				+	0	0	3, -5, -1		-5.0	3.0
29	29	3/4	.bII	D	I		bII	bII						M	0	0	-5, -1, -4		-5.0	-5.0
30	30	0	V(64)/bII	D	I		V(64)/bII	V			64	bII		M	0	0	-4, -5, -1		-4.0	-4.0
30	30	1/2	V7/bII	D	I		V7/bII	V		7		bII		Mm7	0	0	-4, 0, -3, -6		-4.0	-4.0
31	31	0	.bII[bII}	D	I	bII	bII	bII					}	M	0	0	-5, -1, -4		-5.0	-5.0
31	31	3/4	V7/bV{	D	I	bII	V7/bV	V		7		bV	{	Mm7	0	0	-5, -1, -4, -7		-5.0	-5.0
33	33	3/4	.bV6	D	I	bII	bV6	bV		6				M	0	0	-2, -5, -6		-6.0	-2.0
35	35	3/4	V7/bI	D	I	bII	V7/bI	V		7		bI		Mm7	0	0	-6, -2, -5, -8		-6.0	-6.0
37	37	3/4	.bI64	D	I	bII	bI64	bI		64				M	0	0	-6, -7, -3		-7.0	-6.0
39	39	3/4	V7/bII]	D	I	bII	V7/bII	V		7		bII		Mm7	0	0	-4, 0, -3, -6		-4.0	-4.0
41	41	3/4	.biii	D	I		biii	biii						m	0	0	-3, -6, -2		-3.0	-3.0
42	42	3/4	.bVI	D	I		bVI	bVI						M	0	0	-4, 0, -3		-4.0	-4.0
43	43	1/2	.bII	D	I		bII	bII						M	0	0	-5, -1, -4		-5.0	-5.0
44	44	1/4	.bV	D	I		bV	bV						M	0	0	-6, -2, -5		-6.0	-6.0
45	45	0	.bVM2	D	I		bVM2	bV	M	2				MM7	0	0	-1, -6, -2, -5		-6.0	-1.0
46	46	0	V2/bI	D	I		V2/bI	V		2		bI		Mm7	0	0	-8, -6, -2, -5		-6.0	-8.0
47	47	0	.biii%7	D	I		biii%7	biii	%	7				%7	0	0	-3, -4, 3, -5		-3.0	-3.0
48	48	0	V43	D	I		V43	V		43				Mm7	0	0	2, -1, 1, 5		1.0	2.0
49	49	0	I}{	D	I		I	I					}{	M	0	0	0, 4, 1		0.0	0.0
50	50	0	vi65	D	I		vi65	vi		65				mm7	0	0	0, 4, 1, 3		3.0	0.0
50	50	3/4	I	D	I		I	I						M	0	0	0, 4, 1		0.0	0.0
51	51	0	vi7	D	I		vi7	vi		7				mm7	0	0	3, 0, 4, 1		3.0	3.0
51	51	1/2	V7(9)/V	D	I		V7(9)/V	V		7	9	V		Mm7	0	0	2, 6, 3, 0	4	2.0	2.0
52	52	0	V(4)	D	I		V(4)	V			4			M	0	0	1, 0, 2		1.0	1.0
52	52	1/4	V	D	I		V	V						M	0	0	1, 5, 2		1.0	1.0
53	53	0	IV	D	I		IV	IV						M	0	0	-1, 3, 0		-1.0	-1.0
54	54	0	ii7(9)	D	I		ii7(9)	ii		7	9			mm7	0	0	2, -1, 3, 0	4	2.0	2.0
54	54	3/4	IV	D	I		IV	IV						M	0	0	-1, 3, 0		-1.0	-1.0
55	55	0	V7(9)	D	I		V7(9)	V		7	9			Mm7	0	0	1, 5, 2, -1	3	1.0	1.0
56	56	0	I(4)}	D	I		I(4)	I			4		}	M	0	0	0, -1, 1		0.0	0.0
56	56	1/4	I	D	I		I	I						M	0	0	0, 4, 1		0.0	0.0
57	57	0	IV.I[I{	D	IV	I	I	I					{	M	0	0	0, 4, 1		0.0	0.0
60	60	0	IM7	D	IV	I	IM7	I	M	7				MM7	0	0	0, 4, 1, 5		0.0	0.0
61	61	0	V7	D	IV	I	V7	V		7				Mm7	0	0	1, 5, 2, -1		1.0	1.0
62	62	0	V7(9)	D	IV	I	V7(9)	V		7	9			Mm7	0	0	1, 5, 2, -1	3	1.0	1.0
63	63	0	vi65]	D	IV	I	vi65	vi		65				mm7	0	0	0, 4, 1, 3		3.0	0.0
64	64	0	vi7	D	IV		vi7	vi		7				mm7	0	0	3, 0, 4, 1		3.0	3.0
65	65	0	V7(6)/V	D	IV		V7(6)/V	V		7	6	V		Mm7	0	0	2, 6, 5, 0		2.0	2.0
65	65	1/8	V7/V	D	IV		V7/V	V		7		V		Mm7	0	0	2, 6, 3, 0		2.0	2.0
65	65	3/8	V7(6)/V	D	IV		V7(6)/V	V		7	6	V		Mm7	0	0	2, 6, 5, 0		2.0	2.0
66	66	0	V	D	IV		V	V						M	0	0	1, 5, 2		1.0	1.0
67	67	0	IVM7	D	IV		IVM7	IV	M	7				MM7	0	0	-1, 3, 0, 4		-1.0	-1.0
68	68	0	vi2	D	IV		vi2	vi		2				mm7	0	0	1, 3, 0, 4		3.0	1.0
69	69	0	iii7	D	IV		iii7	iii		7				mm7	0	0	4, 1, 5, 2		4.0	4.0
70	70	0	V2	D	IV		V2	V		2				Mm7	0	0	-1, 1, 5, 2		1.0	-1.0
71	71	0	ii7	D	IV		ii7	ii		7				mm7	0	0	2, -1, 3, 0		2.0	2.0
72	72	0	ii7(6)	D	IV		ii7(6)	ii		7	6			mm7	0	0	2, -1, 5, 0		2.0	2.0
72	72	3/8	ii7	D	IV		ii7	ii		7				mm7	0	0	2, -1, 3, 0		2.0	2.0
73	73	0	V7(6)	D	IV		V7(6)	V		7	6			Mm7	0	0	1, 5, 4, -1		1.0	1.0
73	73	1/8	V7	D	IV		V7	V		7				Mm7	0	0	1, 5, 2, -1		1.0	1.0
73	73	3/8	V7(6)	D	IV		V7(6)	V		7	6			Mm7	0	0	1, 5, 4, -1		1.0	1.0
74	74	0	I(4)}	D	IV		I(4)	I			4		}	M	0	0	0, -1, 1		0.0	0.0
74	74	1/8	I	D	IV		I	I						M	0	0	0, 4, 1		0.0	0.0
75	75	0	IIIM43{	D	IV		IIIM43	III	M	43			{	MM7	0	0	5, 9, 4, 8		4.0	5.0
78	78	0	IIIM43(13)	D	IV		IIIM43(13)	III	M	43	13			MM7	0	0	5, 9, 4, 8	0	4.0	5.0
79	79	0	V43/#IV	D	IV		V43/#IV	V		43		#IV		Mm7	0	0	8, 5, 7, 11		7.0	8.0
80	80	0	#IV	D	IV		#IV	#IV						M	0	0	6, 10, 7		6.0	6.0
80	80	1/4	#iv7	D	IV		#iv7	#iv		7				mm7	0	0	6, 3, 7, 4		6.0	6.0
