mc	mn	onset	label	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
1	1	0	.Db.I	Db	I		I	I						M	0	0	0, 4, 1		0	0
1	1	1/4	IVM7	Db	I		IVM7	IV	M	7				MM7	0	0	-1, 3, 0, 4		-1	-1
2	2	0	I	Db	I		I	I						M	0	0	0, 4, 1		0	0
2	2	1/4	IVM7	Db	I		IVM7	IV	M	7				MM7	0	0	-1, 3, 0, 4		-1	-1
3	3	0	IM7	Db	I		IM7	I	M	7				MM7	0	0	0, 4, 1, 5		0	0
4	4	0	IM7(#2)	Db	I		IM7(#2)	I	M	7	#2			MM7	0	0	0, 9, 1, 5		0	0
4	4	1/4	I	Db	I		I	I						M	0	0	0, 4, 1		0	0
4	4	1/2	iii64	Db	I		iii64	iii		64				m	0	0	5, 4, 1		4	5
5	5	0	vi	Db	I		vi	vi						m	0	0	3, 0, 4		3	3
5	5	1/4	ii%7	Db	I		ii%7	ii	%	7				%7	0	0	2, 1, 8, 0		2	2
6	6	0	vi	Db	I		vi	vi						m	0	0	3, 0, 4		3	3
6	6	1/4	ii%7	Db	I		ii%7	ii	%	7				%7	0	0	2, 1, 8, 0		2	2
7	7	0	vi7	Db	I		vi7	vi		7				mm7	0	0	3, 0, 4, 1		3	3
7	7	11/16	V7(6)/V	Db	I		V7(6)/V	V		7	6	V		Mm7	0	0	2, 6, 5, 0		2	2
8	8	1/4	V\\	Db	I		V	V					\\	M	0	0	1, 5, 2		1	1
9	9	0	V7	Db	I		V7	V		7				Mm7	0	0	1, 5, 2, -1		1	1
9	9	1/4	V7(94)	Db	I		V7(94)	V		7	94			Mm7	0	0	1, 0, 2, -1	3	1	1
9	9	1/2	ii7	Db	I		ii7	ii		7				mm7	0	0	2, -1, 3, 0		2	2
10	10	0	V7	Db	I		V7	V		7				Mm7	0	0	1, 5, 2, -1		1	1
10	10	1/4	V7(94)	Db	I		V7(94)	V		7	94			Mm7	0	0	1, 0, 2, -1	3	1	1
10	10	1/2	ii7	Db	I		ii7	ii		7				mm7	0	0	2, -1, 3, 0		2	2
11	11	0	V7/#I	Db	I		V7/#I	V		7		#I		Mm7	0	0	8, 12, 9, 6		8	8
11	11	1/4	V7(94)/#I	Db	I		V7(94)/#I	V		7	94	#I		Mm7	0	0	8, 7, 9, 6	10	8	8
11	11	1/2	#ii7	Db	I		#ii7	#ii		7				mm7	0	0	9, 6, 10, 7		9	9
12	12	0	V7/#I	Db	I		V7/#I	V		7		#I		Mm7	0	0	8, 12, 9, 6		8	8
12	12	1/4	V7(94)/#I	Db	I		V7(94)/#I	V		7	94	#I		Mm7	0	0	8, 7, 9, 6	10	8	8
12	12	1/2	#ii7	Db	I		#ii7	#ii		7				mm7	0	0	9, 6, 10, 7		9	9
13	13	0	V7/ii	Db	I		V7/ii	V		7		ii		Mm7	0	0	3, 7, 4, 1		3	3
13	13	1/4	V7(94)/ii	Db	I		V7(94)/ii	V		7	94	ii		Mm7	0	0	3, 2, 4, 1	-2	3	3
13	13	1/2	iii7	Db	I		iii7	iii		7				mm7	0	0	4, 1, 5, 2		4	4
14	14	0	V7/#V	Db	I		V7/#V	V		7		#V		Mm7	0	0	9, 13, 10, 7		9	9
15	15	1/4	V7(94)/#V	Db	I		V7(94)/#V	V		7	94	#V		Mm7	0	0	9, 8, 10, 7	11	9	9
15	15	1/2	#vi7	Db	I		#vi7	#vi		7				mm7	0	0	10, 7, 11, 8		10	10
16	16	0	V7/ii	Db	I		V7/ii	V		7		ii		Mm7	0	0	3, 7, 4, 1		3	3
17	17	0	V43/#IV	Db	I		V43/#IV	V		43		#IV		Mm7	0	0	8, 5, 7, 11		7	8
18	18	0	V7\\	Db	I		V7	V		7			\\	Mm7	0	0	1, 5, 2, -1		1	1
20	20	0	I	Db	I		I	I						M	0	0	0, 4, 1		0	0
20	20	1/4	V7/iii	Db	I		V7/iii	V		7		iii		Mm7	0	0	5, 9, 6, 3		5	5
21	21	0	I	Db	I		I	I						M	0	0	0, 4, 1		0	0
21	21	1/4	V7/iii	Db	I		V7/iii	V		7		iii		Mm7	0	0	5, 9, 6, 3		5	5
22	22	0	vi7	Db	I		vi7	vi		7				mm7	0	0	3, 0, 4, 1		3	3
22	22	11/16	V7(6)/V	Db	I		V7(6)/V	V		7	6	V		Mm7	0	0	2, 6, 5, 0		2	2
23	23	1/4	V\\	Db	I		V	V					\\	M	0	0	1, 5, 2		1	1
24	24	0	IV	Db	I		IV	IV						M	0	0	-1, 3, 0		-1	-1
24	24	1/4	V7/vi	Db	I		V7/vi	V		7		vi		Mm7	0	0	4, 8, 5, 2		4	4
25	25	0	IV	Db	I		IV	IV						M	0	0	-1, 3, 0		-1	-1
25	25	1/4	V7/vi	Db	I		V7/vi	V		7		vi		Mm7	0	0	4, 8, 5, 2		4	4
26	26	0	ii7	Db	I		ii7	ii		7				mm7	0	0	2, -1, 3, 0		2	2
26	26	11/16	V7(6)	Db	I		V7(6)	V		7	6			Mm7	0	0	1, 5, 4, -1		1	1
27	27	1/4	I\\	Db	I		I	I					\\	M	0	0	0, 4, 1		0	0
28	28	0	V7/IV	Db	I		V7/IV	V		7		IV		Mm7	0	0	0, 4, 1, -2		0	0
28	28	1/4	IV	Db	I		IV	IV						M	0	0	-1, 3, 0		-1	-1
29	29	0	V7/vi	Db	I		V7/vi	V		7		vi		Mm7	0	0	4, 8, 5, 2		4	4
