mc	mn	onset	label	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
1	1	0	.e.i	e	i		i	i						m	1	1	0, -3, 1		0	0
3	3	1/2	V7	e	i		V7	V		7				Mm7	1	1	1, 5, 2, -1		1	1
4	4	0	i	e	i		i	i						m	1	1	0, -3, 1		0	0
5	5	1/2	V	e	i		V	V						M	1	1	1, 5, 2		1	1
6	6	0	i	e	i		i	i						m	1	1	0, -3, 1		0	0
7	7	0	v6	e	i		v6	v		6				m	1	1	-2, 2, 1		1	-2
7	7	1/2	v	e	i		v	v						m	1	1	1, -2, 2		1	1
8	8	0	i64(#6)	e	i		i64(#6)	i		64	#6			m	1	1	1, 0, -3	3	0	1
8	8	1/2	i64	e	i		i64	i		64				m	1	1	1, 0, -3		0	1
9	9	0	iv6(9)	e	i		iv6(9)	iv		6	9			m	1	1	-4, 0, -1	1	-1	-4
10	10	0	V	e	i		V	V						M	1	1	1, 5, 2		1	1
11	11	0	VIM7	e	i		VIM7	VI	M	7				MM7	1	1	-4, 0, -3, 1		-4	-4
12	12	0	V/V	e	i		V/V	V				V		M	1	1	2, 6, 3		2	2
12	12	1/4	V7/V	e	i		V7/V	V		7		V		Mm7	1	1	2, 6, 3, 0		2	2
13	13	0	V7	e	i		V7	V		7				Mm7	1	1	1, 5, 2, -1		1	1
14	14	0	i\\	e	i		i	i					\\	m	1	1	0, -3, 1		0	0
15	15	0	III6	e	i		III6	III		6				M	1	1	1, -2, -3		-3	1
16	16	0	V43(94)/III	e	i		V43(94)/III	V		43	94	III		Mm7	1	1	-1, -4, -2, -3	0	-2	-1
16	16	1/2	V7/III	e	i		V7/III	V		7		III		Mm7	1	1	-2, 2, -1, -4		-2	-2
17	17	0	IIIM65	e	i		IIIM65	III	M	65				MM7	1	1	1, -2, 2, -3		-3	1
18	18	0	V43(94)/III	e	i		V43(94)/III	V		43	94	III		Mm7	1	1	-1, -4, -2, -3	0	-2	-1
18	18	1/2	V7/III	e	i		V7/III	V		7		III		Mm7	1	1	-2, 2, -1, -4		-2	-2
19	19	0	i7	e	i		i7	i		7				mm7	1	1	0, -3, 1, -2		0	0
20	20	0	V/VII	e	i		V/VII	V				VII		M	1	1	-1, 3, 0		-1	-1
20	20	1/4	V7/VII	e	i		V7/VII	V		7		VII		Mm7	1	1	-1, 3, 0, -3		-1	-1
21	21	0	V7/III	e	i		V7/III	V		7		III		Mm7	1	1	-2, 2, -1, -4		-2	-2
22	22	0	III	e	i		III	III						M	1	1	-3, 1, -2		-3	-3
23	23	0	VIM43	e	i		VIM43	VI	M	43				MM7	1	1	-3, 1, -4, 0		-4	-3
24	24	0	III	e	i		III	III						M	1	1	-3, 1, -2		-3	-3
25	25	0	VIM43	e	i		VIM43	VI	M	43				MM7	1	1	-3, 1, -4, 0		-4	-3
26	26	0	III	e	i		III	III						M	1	1	-3, 1, -2		-3	-3
28	28	0	V7	e	i		V7	V		7				Mm7	1	1	1, 5, 2, -1		1	1
30	30	0	i	e	i		i	i						m	1	1	0, -3, 1		0	0
30	30	1/2	V7	e	i		V7	V		7				Mm7	1	1	1, 5, 2, -1		1	1
31	31	0	i	e	i		i	i						m	1	1	0, -3, 1		0	0
32	32	1/2	V	e	i		V	V						M	1	1	1, 5, 2		1	1
33	33	0	i	e	i		i	i						m	1	1	0, -3, 1		0	0
34	34	0	v	e	i		v	v						m	1	1	1, -2, 2		1	1
35	35	0	i64(#6)	e	i		i64(#6)	i		64	#6			m	1	1	1, 0, -3	3	0	1
35	35	1/2	i64	e	i		i64	i		64				m	1	1	1, 0, -3		0	1
36	36	0	iv6(9)	e	i		iv6(9)	iv		6	9			m	1	1	-4, 0, -1	1	-1	-4
37	37	0	V	e	i		V	V						M	1	1	1, 5, 2		1	1
38	38	0	VIM7	e	i		VIM7	VI	M	7				MM7	1	1	-4, 0, -3, 1		-4	-4
39	39	0	V/V	e	i		V/V	V				V		M	1	1	2, 6, 3		2	2
39	39	1/4	V7/V	e	i		V7/V	V		7		V		Mm7	1	1	2, 6, 3, 0		2	2
40	40	0	V7	e	i		V7	V		7				Mm7	1	1	1, 5, 2, -1		1	1
41	41	0	i\\	e	i		i	i					\\	m	1	1	0, -3, 1		0	0
