mc	mn	quarterbeats	duration_qb	mc_onset	mn_onset	timesig	staff	voice	label	alt_label	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	pedalend	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
1	1	0	4.0	0	0	2/4	2	1	g.i{		g	i		i	i							{	m	1	1	0, -3, 1		0	0
3	3	4	1.0	0	0	2/4	2	1	iv6		g	i		iv6	iv		6						m	1	1	-4, 0, -1		-1	-4
3	3	5	1.0	1/4	1/4	2/4	2	1	iv6(+#5)		g	i		iv6(+#5)	iv		6	+#5					m	1	1	-4, 0, -1	7	-1	-4
4	4	6	2.0	0	0	2/4	2	1	V}		g	i		V	V							}	M	1	1	1, 5, 2		1	1
5	5	8	0.5	0	0	2/4	2	1	i[i{		g	i	i	i	i							{	m	1	1	0, -3, 1		0	0
5	5	17/2	0.5	1/8	1/8	2/4	2	1	V7		g	i		V7	V		7						Mm7	1	1	1, 5, 2, -1		1	1
5	5	9	0.5	1/4	1/4	2/4	2	1	V(96)		g	i		V(96)	V			96					M	1	1	1, 5, -3	-4	1	1
5	5	19/2	0.5	3/8	3/8	2/4	2	1	V7		g	i		V7	V		7						Mm7	1	1	1, 5, 2, -1		1	1
6	6	10	0.5	0	0	2/4	2	1	i		g	i		i	i								m	1	1	0, -3, 1		0	0
6	6	21/2	0.5	1/8	1/8	2/4	2	1	V(9)		g	i		V(9)	V			9					M	1	1	1, 5, 2	-4	1	1
6	6	11	0.5	1/4	1/4	2/4	2	1	V(964)		g	i		V(964)	V			964					M	1	1	1, 0, -3	-4	1	1
6	6	23/2	0.5	3/8	3/8	2/4	2	1	V(9)		g	i		V(9)	V			9					M	1	1	1, 5, 2	-4	1	1
7	7	12	0.5	0	0	2/4	2	1	i		g	i		i	i								m	1	1	0, -3, 1		0	0
7	7	25/2	0.5	1/8	1/8	2/4	2	1	iv64(+2)		g	i		iv64(+2)	iv		64	+2					m	1	1	0, -1, -4	1	-1	0
7	7	13	0.5	1/4	1/4	2/4	2	1	v7		g	i		v7	v		7						mm7	1	1	1, -2, 2, -1		1	1
7	7	27/2	0.5	3/8	3/8	2/4	2	1	iv64(+2)		g	i		iv64(+2)	iv		64	+2					m	1	1	0, -1, -4	1	-1	0
8	8	14	0.5	0	0	2/4	2	1	i		g	i		i	i								m	1	1	0, -3, 1		0	0
8	8	29/2	0.5	1/8	1/8	2/4	2	1	V		g	i		V	V								M	1	1	1, 5, 2		1	1
8	8	15	0.5	1/4	1/4	2/4	2	1	V7		g	i		V7	V		7						Mm7	1	1	1, 5, 2, -1		1	1
8	8	31/2	1.0	3/8	3/8	2/4	2	1	i|IAC}		g	i		i	i						IAC	}	m	1	1	0, -3, 1		0	0
9	9	16	0.0	0	0	2/4	2	1	{		g	i										{		1	1				
9	9	33/2	0.5	1/8	1/8	2/4	2	1	V7		g	i		V7	V		7						Mm7	1	1	1, 5, 2, -1		1	1
9	9	17	0.5	1/4	1/4	2/4	2	1	V(96)		g	i		V(96)	V			96					M	1	1	1, 5, -3	-4	1	1
9	9	35/2	0.5	3/8	3/8	2/4	2	1	V7		g	i		V7	V		7						Mm7	1	1	1, 5, 2, -1		1	1
10	10	18	0.5	0	0	2/4	2	1	i		g	i		i	i								m	1	1	0, -3, 1		0	0
10	10	37/2	0.5	1/8	1/8	2/4	2	1	V(9)		g	i		V(9)	V			9					M	1	1	1, 5, 2	-4	1	1
10	10	19	0.5	1/4	1/4	2/4	2	1	V(964)		g	i		V(964)	V			964					M	1	1	1, 0, -3	-4	1	1
10	10	39/2	0.5	3/8	3/8	2/4	2	1	V(9)		g	i		V(9)	V			9					M	1	1	1, 5, 2	-4	1	1
11	11	20	0.5	0	0	2/4	2	1	i		g	i		i	i								m	1	1	0, -3, 1		0	0
11	11	41/2	0.5	1/8	1/8	2/4	2	1	iv64(+2)		g	i		iv64(+2)	iv		64	+2					m	1	1	0, -1, -4	1	-1	0
11	11	21	0.5	1/4	1/4	2/4	2	1	v7		g	i		v7	v		7						mm7	1	1	1, -2, 2, -1		1	1
11	11	43/2	0.5	3/8	3/8	2/4	2	1	iv64(+2)		g	i		iv64(+2)	iv		64	+2					m	1	1	0, -1, -4	1	-1	0
12	12	22	0.5	0	0	2/4	2	1	i		g	i		i	i								m	1	1	0, -3, 1		0	0
12	12	45/2	0.5	1/8	1/8	2/4	2	1	V		g	i		V	V								M	1	1	1, 5, 2		1	1
12	12	23	0.5	1/4	1/4	2/4	2	1	V7		g	i		V7	V		7						Mm7	1	1	1, 5, 2, -1		1	1
12	12	47/2	0.5	3/8	3/8	2/4	2	1	i]|IAC}		g	i		i	i					]	IAC	}	m	1	1	0, -3, 1		0	0
13	13	24	1.0	0	0	2/4	2	1	V[V{		g	i	V	V	V							{	M	1	1	1, 5, 2		1	1
13	13	25	0.5	1/4	1/4	2/4	2	1	VIM65	V(94)	g	i		VIM65	VI	M	65						MM7	1	1	0, -3, 1, -4		-4	0
13	13	51/2	1.5	3/8	3/8	2/4	2	1	V65/ii	V(#9#4)	g	i		V65/ii	V		65		ii				Mm7	1	1	7, 4, 1, 3		3	7
14	14	27	0.5	1/4	1/4	2/4	2	1	v64	V(b3)	g	i		v64	v		64						m	1	1	2, 1, -2		1	2
14	14	55/2	2.0	3/8	3/8	2/4	2	1	V+64	V(#5)	g	i		V+64	V	+	64						+	1	1	9, 1, 5		1	9
15	15	59/2	1.0	3/8	3/8	2/4	2	1	I64	V(64)	g	i		I64	I		64						M	1	1	1, 0, 4		0	1
16	16	61/2	1.5	1/8	1/8	2/4	2	1	v%7	V7(b5)	g	i		v%7	v	%	7						%7	1	1	1, -2, -5, -1		1	1
17	17	32	1.0	0	0	2/4	2	1	bII		g	i		bII	bII								M	1	1	-5, -1, -4		-5	-5
17	17	33	0.5	1/4	1/4	2/4	2	1	IV6(9)/bII		g	i		IV6(9)/bII	IV		6	9	bII				M	1	1	-2, -5, -6	-4	-6	-2
17	17	67/2	0.5	3/8	3/8	2/4	2	1	V65/bII		g	i		V65/bII	V		65		bII				Mm7	1	1	0, -3, -6, -4		-4	0
18	18	34	1.0	0	0	2/4	2	1	bII		g	i		bII	bII								M	1	1	-5, -1, -4		-5	-5
18	18	35	0.5	1/4	1/4	2/4	2	1	IV6(9)/bII		g	i		IV6(9)/bII	IV		6	9	bII				M	1	1	-2, -5, -6	-4	-6	-2
18	18	71/2	0.5	3/8	3/8	2/4	2	1	V65/bII		g	i		V65/bII	V		65		bII				Mm7	1	1	0, -3, -6, -4		-4	0
19	19	36	1.0	0	0	2/4	2	1	bII		g	i		bII	bII								M	1	1	-5, -1, -4		-5	-5
19	19	37	1.0	1/4	1/4	2/4	2	1	iv6		g	i		iv6	iv		6						m	1	1	-4, 0, -1		-1	-4
20	20	38	2.0	0	0	2/4	2	1	V7(9)		g	i		V7(9)	V		7	9					Mm7	1	1	1, 5, 2, -1	-4	1	1
21	21	40	1.0	0	0	2/4	2	1	#viio2		g	i		#viio2	#vii	o	2						o7	1	1	-4, 5, 2, -1		5	-4
21	21	41	0.5	1/4	1/4	2/4	2	1	#viio43(b64)		g	i		#viio43(b64)	#vii	o	43	b64					o7	1	1	-6, -4, 5, -3		5	-6
21	21	83/2	0.5	3/8	3/8	2/4	2	1	#viio43}		g	i		#viio43	#vii	o	43					}	o7	1	1	-1, -4, 5, 2		5	-1
22	22	42	0.5	0	0	2/4	2	1	i[i{		g	i	i	i	i							{	m	1	1	0, -3, 1		0	0
22	22	85/2	0.5	1/8	1/8	2/4	2	1	V7		g	i		V7	V		7						Mm7	1	1	1, 5, 2, -1		1	1
22	22	43	0.5	1/4	1/4	2/4	2	1	V(96)		g	i		V(96)	V			96					M	1	1	1, 5, -3	-4	1	1
22	22	87/2	0.5	3/8	3/8	2/4	2	1	V7		g	i		V7	V		7						Mm7	1	1	1, 5, 2, -1		1	1
23	23	44	0.5	0	0	2/4	2	1	i		g	i		i	i								m	1	1	0, -3, 1		0	0
23	23	89/2	0.5	1/8	1/8	2/4	2	1	V(9)		g	i		V(9)	V			9					M	1	1	1, 5, 2	-4	1	1
