mc	mn	mc_onset	mn_onset	timesig	staff	voice	volta	label	alt_label	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
65	64	0	0	2/2	2	1		V2/V		eb	i	V	V2/V	V		2		V			Mm7	1	1	0, 2, 6, 3		2	0
66	65	3/4	3/4	2/2	2	1		iv64	ii%2	eb	i	V	iv64	iv		64					m	1	1	0, -1, -4		-1	0
69	68	0	0	2/2	2	1		V(+4)]		eb	i	V	V(+4)	V			+4				M	1	1	1, 5, 2	0	1	1
71	70	0	0	2/2	2	1		VI		eb	i		VI	VI							M	1	1	-4, 0, -3		-4	-4
72	71	0	0	2/2	2	1		III	V/VI	eb	i		III	III							M	1	1	-3, 1, -2		-3	-3
73	72	0	0	2/2	2	1		bII	IV/VI	eb	i		bII	bII							M	1	1	-5, -1, -4		-5	-5
74	73	0	0	2/2	2	1		VI		eb	i		VI	VI							M	1	1	-4, 0, -3		-4	-4
74	73	3/4	3/4	2/2	2	1		v	III6	eb	i		v	v							m	1	1	1, -2, 2		1	1
75	74	1/2	1/2	2/2	2	1		IV	iio6	eb	i		IV	IV							M	1	1	-1, 3, 0		-1	-1
76	75	0	0	2/2	2	1		III	i6	eb	i		III	III							M	1	1	-3, 1, -2		-3	-3
76	75	1/2	1/2	2/2	2	1		iio	VII6	eb	i		iio	ii	o						o	1	1	2, -1, -4		2	2
78	77	0	0	2/2	2	1		bII	#viio6(b3)	eb	i		bII	bII							M	1	1	-5, -1, -4		-5	-5
79	78	0	0	2/2	2	1		i}		eb	i		i	i						}	m	1	1	0, -3, 1		0	0
