mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	timesig	staff	voice	label	alt_label	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	pedalend	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
1	1	0	0	4.0	0	0	2/4	2	1	g.i{		g	i		i	i							{	m	1	1	0, -3, 1		0	0
3	3	4	4	1.0	0	0	2/4	2	1	iv6		g	i		iv6	iv		6						m	1	1	-4, 0, -1		-1	-4
3	3	5	5	1.0	1/4	1/4	2/4	2	1	iv6(+#5)		g	i		iv6(+#5)	iv		6	+#5					m	1	1	-4, 0, -1	7	-1	-4
4	4	6	6	2.0	0	0	2/4	2	1	V}		g	i		V	V							}	M	1	1	1, 5, 2		1	1
5	5	8	8	0.5	0	0	2/4	2	1	i[i{		g	i	i	i	i							{	m	1	1	0, -3, 1		0	0
5	5	17/2	17/2	0.5	1/8	1/8	2/4	2	1	V7		g	i		V7	V		7						Mm7	1	1	1, 5, 2, -1		1	1
5	5	9	9	0.5	1/4	1/4	2/4	2	1	V(96)		g	i		V(96)	V			96					M	1	1	1, 5, -3	-4	1	1
5	5	19/2	19/2	0.5	3/8	3/8	2/4	2	1	V7		g	i		V7	V		7						Mm7	1	1	1, 5, 2, -1		1	1
6	6	10	10	0.5	0	0	2/4	2	1	i		g	i		i	i								m	1	1	0, -3, 1		0	0
6	6	21/2	21/2	0.5	1/8	1/8	2/4	2	1	V(9)		g	i		V(9)	V			9					M	1	1	1, 5, 2	-4	1	1
6	6	11	11	0.5	1/4	1/4	2/4	2	1	V(964)		g	i		V(964)	V			964					M	1	1	1, 0, -3	-4	1	1
6	6	23/2	23/2	0.5	3/8	3/8	2/4	2	1	V(9)		g	i		V(9)	V			9					M	1	1	1, 5, 2	-4	1	1
7	7	12	12	0.5	0	0	2/4	2	1	i		g	i		i	i								m	1	1	0, -3, 1		0	0
7	7	25/2	25/2	0.5	1/8	1/8	2/4	2	1	iv64(+2)		g	i		iv64(+2)	iv		64	+2					m	1	1	0, -1, -4	1	-1	0
7	7	13	13	0.5	1/4	1/4	2/4	2	1	v7		g	i		v7	v		7						mm7	1	1	1, -2, 2, -1		1	1
7	7	27/2	27/2	0.5	3/8	3/8	2/4	2	1	iv64(+2)		g	i		iv64(+2)	iv		64	+2					m	1	1	0, -1, -4	1	-1	0
8	8	14	14	0.5	0	0	2/4	2	1	i		g	i		i	i								m	1	1	0, -3, 1		0	0
8	8	29/2	29/2	0.5	1/8	1/8	2/4	2	1	V		g	i		V	V								M	1	1	1, 5, 2		1	1
8	8	15	15	0.5	1/4	1/4	2/4	2	1	V7		g	i		V7	V		7						Mm7	1	1	1, 5, 2, -1		1	1
8	8	31/2	31/2	1.0	3/8	3/8	2/4	2	1	i|IAC}		g	i		i	i						IAC	}	m	1	1	0, -3, 1		0	0
9	9	16	16	0.0	0	0	2/4	2	1	{		g	i										{		1	1				
9	9	33/2	33/2	0.5	1/8	1/8	2/4	2	1	V7		g	i		V7	V		7						Mm7	1	1	1, 5, 2, -1		1	1
