mc	mn	quarterbeats	duration_qb	mc_onset	mn_onset	timesig	staff	voice	label	alt_label	globalkey	localkey	pedal	chord	special	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
1	0	0	1.0	0	3/4	4/4	2	1	A.V{		A	I		V		V						{	M	0	0	1, 5, 2		1	1
2	1	1	2.0	0	0	4/4	2	1	I[I		A	I	I	I		I							M	0	0	0, 4, 1		0	0
2	1	3	1.0	1/2	1/2	4/4	2	1	ii		A	I	I	ii		ii							m	0	0	2, -1, 3		2	2
2	1	4	1.0	3/4	3/4	4/4	2	1	V		A	I	I	V		V							M	0	0	1, 5, 2		1	1
3	2	5	1.0	0	0	4/4	2	1	I		A	I	I	I		I							M	0	0	0, 4, 1		0	0
3	2	6	0.5	1/4	1/4	4/4	2	1	ii6		A	I	I	ii6		ii		6					m	0	0	-1, 3, 2		2	-1
3	2	13/2	0.5	3/8	3/8	4/4	2	1	viio6		A	I	I	viio6		vii	o	6					o	0	0	2, -1, 5		5	2
3	2	7	1.0	1/2	1/2	4/4	2	1	I]		A	I	I	I		I							M	0	0	0, 4, 1		0	0
3	2	8	1.0	3/4	3/4	4/4	2	1	IM2		A	I		IM2		I	M	2					MM7	0	0	5, 0, 4, 1		0	5
4	3	9	1.0	0	0	4/4	2	1	vi		A	I		vi		vi							m	0	0	3, 0, 4		3	3
4	3	10	0.5	1/4	1/4	4/4	2	1	V		A	I		V		V							M	0	0	1, 5, 2		1	1
4	3	21/2	0.5	3/8	3/8	4/4	2	1	V6		A	I		V6		V		6					M	0	0	5, 2, 1		1	5
4	3	11	0.5	1/2	1/2	4/4	2	1	vi		A	I		vi		vi							m	0	0	3, 0, 4		3	3
4	3	23/2	0.5	5/8	5/8	4/4	2	1	IV6		A	I		IV6		IV		6					M	0	0	3, 0, -1		-1	3
4	3	12	1.0	3/4	3/4	4/4	2	1	V		A	I		V		V							M	0	0	1, 5, 2		1	1
5	4	13	0.5	0	0	4/4	2	1	IV		A	I		IV		IV							M	0	0	-1, 3, 0		-1	-1
5	4	27/2	0.5	1/8	1/8	4/4	2	1	ii65		A	I		ii65		ii		65					mm7	0	0	-1, 3, 0, 2		2	-1
5	4	14	1.0	1/4	1/4	4/4	2	1	ii7		A	I		ii7		ii		7					mm7	0	0	2, -1, 3, 0		2	2
5	4	15	1.0	1/2	1/2	4/4	2	1	V7(4)}		A	I		V7(4)		V		7	4			}	Mm7	0	0	1, 0, 2, -1		1	1
5	4	16	1.0	3/4	3/4	4/4	2	1	V7|HC		A	I		V7		V		7			HC		Mm7	0	0	1, 5, 2, -1		1	1
5	4	33/2	0.0	7/8	7/8	4/4	2	1	{		A	I										{		0	0				
6	5	17	2.0	0	0	4/4	2	1	I		A	I		I		I							M	0	0	0, 4, 1		0	0
6	5	19	1.0	1/2	1/2	4/4	2	1	ii2		A	I		ii2		ii		2					mm7	0	0	0, 2, -1, 3		2	0
6	5	20	1.0	3/4	3/4	4/4	2	1	V6(13)		A	I		V6(13)		V		6	13				M	0	0	5, 2, 1	4	1	5
7	6	21	1.0	0	0	4/4	2	1	IM2	IVM2/V	A	I		IM2		I	M	2					MM7	0	0	5, 0, 4, 1		0	5
7	6	22	1.0	1/4	1/4	4/4	2	1	V43/V		A	I		V43/V		V		43		V			Mm7	0	0	3, 0, 2, 6		2	3
7	6	23	1.0	1/2	1/2	4/4	2	1	V		A	I		V		V							M	0	0	1, 5, 2		1	1
7	6	24	1.0	3/4	3/4	4/4	2	1	VM2		A	I		VM2		V	M	2					MM7	0	0	6, 1, 5, 2		1	6
8	7	25	1.0	0	0	4/4	2	1	IV		A	I		IV		IV							M	0	0	-1, 3, 0		-1	-1
8	7	26	1.0	1/4	1/4	4/4	2	1	V2		A	I		V2		V		2					Mm7	0	0	-1, 1, 5, 2		1	-1
8	7	27	0.5	1/2	1/2	4/4	2	1	IV		A	I		IV		IV							M	0	0	-1, 3, 0		-1	-1
8	7	55/2	0.5	5/8	5/8	4/4	2	1	IVM2		A	I		IVM2		IV	M	2					MM7	0	0	4, -1, 3, 0		-1	4
8	7	28	0.5	3/4	3/4	4/4	2	1	ii7		A	I		ii7		ii		7					mm7	0	0	2, -1, 3, 0		2	2
8	7	57/2	0.5	7/8	7/8	4/4	2	1	ii7(9)		A	I		ii7(9)		ii		7	9				mm7	0	0	2, -1, 3, 0	4	2	2
9	8	29	0.5	0	0	4/4	2	1	V		A	I		V		V							M	0	0	1, 5, 2		1	1
9	8	59/2	0.5	1/8	1/8	4/4	2	1	V7(9)		A	I		V7(9)		V		7	9				Mm7	0	0	1, 5, 2, -1	3	1	1
9	8	30	2.0	1/4	1/4	4/4	2	1	I|PAC}		A	I		I		I					PAC	}	M	0	0	0, 4, 1		0	0
