mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	timesig	staff	voice	label	alt_label	globalkey	localkey	pedal	chord	special	numeral	form	figbass	changes	relativeroot	pedalend	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
1	0	0	0	4.0	0	1/2	3/4	2	1	e.iv7{		e	i		iv7		iv		7					{	mm7	1	1	-1, -4, 0, -3		-1	-1
3	2	4	4	3.0	0	0	3/4	2	1	i6		e	i		i6		i		6						m	1	1	-3, 1, 0		0	-3
4	3	7	7	3.0	0	0	3/4	2	1	ii%43/VII		e	i		ii%43/VII		ii	%	43		VII				%7	1	1	-6, -2, 0, -3		0	-6
5	4	10	10	3.0	0	0	3/4	2	1	V/VII	IV	e	i		V/VII		V				VII				M	1	1	-1, 3, 0		-1	-1
6	5	13	13	3.0	0	0	3/4	2	1	VI		e	i		VI		VI								M	1	1	-4, 0, -3		-4	-4
7	6	16	16	3.0	0	0	3/4	2	1	V7/V		e	i		V7/V		V		7		V				Mm7	1	1	2, 6, 3, 0		2	2
8	7	19	19	3.0	0	0	3/4	2	1	V7		e	i		V7		V		7						Mm7	1	1	1, 5, 2, -1		1	1
9	8	22	22	3.0	0	0	3/4	2	1	i|PAC}		e	i		i		i						PAC	}	m	1	1	0, -3, 1		0	0
9	8	24	24	0.0	1/2	1/2	3/4	2	1	{		e	i											{		1	1				
10	9	25	25	3.0	0	0	3/4	2	1	iv43		e	i		iv43		iv		43						mm7	1	1	0, -3, -1, -4		-1	0
11	10	28	28	3.0	0	0	3/4	2	1	IIIM43		e	i		IIIM43		III	M	43						MM7	1	1	-2, 2, -3, 1		-3	-2
12	11	31	31	3.0	0	0	3/4	2	1	ii%43		e	i		ii%43		ii	%	43						%7	1	1	-4, 0, 2, -1		2	-4
13	12	34	34	3.0	0	0	3/4	2	1	i43		e	i		i43		i		43						mm7	1	1	1, -2, 0, -3		0	1
14	13	37	37	3.0	0	0	3/4	2	1	#viio43		e	i		#viio43		#vii	o	43						o7	1	1	-1, -4, 5, 2		5	-1
15	14	40	40	3.0	0	0	3/4	2	1	#vi%43	ii%43/V	e	i		#vi%43		#vi	%	43						%7	1	1	-3, 1, 3, 0		3	-3
16	15	43	43	1.0	0	0	3/4	2	1	V64		e	i		V64		V		64						M	1	1	2, 1, 5		1	2
16	15	44	44	1.0	1/4	1/4	3/4	2	1	V2		e	i		V2		V		2						Mm7	1	1	-1, 1, 5, 2		1	-1
16	15	45	45	0.5	1/2	1/2	3/4	2	1	Ger2(2)		e	i		Ger2(2)	Ger	vii	o	2	b32	V				Ger	1	1	-3, 1, -4, 0		6	-3
16	15	91/2	91/2	0.5	5/8	5/8	3/4	2	1	Ger2		e	i		Ger2	Ger	vii	o	2	b3	V				Ger	1	1	-3, 6, -4, 0		6	-3
17	16	46	46	2.0	0	0	3/4	2	1	V|HC}		e	i		V		V						HC	}	M	1	1	1, 5, 2		1	1
17	16	48	48	1.0	1/2	1/2	3/4	2	1	Ger2		e	i		Ger2	Ger	vii	o	2	b3	V				Ger	1	1	-3, 6, -4, 0		6	-3
18	17	49	49	5.0	0	0	3/4	2	1	V|HC		e	i		V		V						HC		M	1	1	1, 5, 2		1	1
19	18	54	54	4.0	1/2	1/2	3/4	2	1	iv7{		e	i		iv7		iv		7					{	mm7	1	1	-1, -4, 0, -3		-1	-1
21	20	58	58	3.0	0	0	3/4	2	1	i6		e	i		i6		i		6						m	1	1	-3, 1, 0		0	-3
22	21	61	61	3.0	0	0	3/4	2	1	ii%43/VII		e	i		ii%43/VII		ii	%	43		VII				%7	1	1	-6, -2, 0, -3		0	-6
23	22	64	64	3.0	0	0	3/4	2	1	V/VII	IV	e	i		V/VII		V				VII				M	1	1	-1, 3, 0		-1	-1
24	23	67	67	3.0	0	0	3/4	2	1	VI		e	i		VI		VI								M	1	1	-4, 0, -3		-4	-4
25	24	70	70	3.0	0	0	3/4	2	1	V7/V		e	i		V7/V		V		7		V				Mm7	1	1	2, 6, 3, 0		2	2
26	25	73	73	3.0	0	0	3/4	2	1	V7		e	i		V7		V		7						Mm7	1	1	1, 5, 2, -1		1	1
27	26	76	76	1.0	0	0	3/4	2	1	i}		e	i		i		i							}	m	1	1	0, -3, 1		0	0
27	26	77	77	1.0	1/4	1/4	3/4	2	1	i(b964)		e	i		i(b964)		i			b964					m	1	1	0, -1, -4	-5	0	0
27	26	78	78	1.0	1/2	1/2	3/4	2	1	i(964)		e	i		i(964)		i			964					m	1	1	0, -1, -4	2	0	0
28	27	79	79	3.0	0	0	3/4	2	1	i|PAC		e	i		i		i						PAC		m	1	1	0, -3, 1		0	0
29	28	82	82	2.0	0	0	3/4	2	1	I.I{		e	I		I		I							{	M	1	0	0, 4, 1		0	0
29	28	84	84	1.0	1/2	1/2	3/4	2	1	I(96+#4)		e	I		I(96+#4)		I			96+#4					M	1	0	0, 4, 3	2, 6	0	0
30	29	85	85	1.0	0	0	3/4	2	1	I		e	I		I		I								M	1	0	0, 4, 1		0	0
30	29	86	86	1.0	1/4	1/4	3/4	2	1	I(96+#4)		e	I		I(96+#4)		I			96+#4					M	1	0	0, 4, 3	2, 6	0	0
30	29	87	87	1.0	1/2	1/2	3/4	2	1	I		e	I		I		I								M	1	0	0, 4, 1		0	0
31	30	88	88	2.0	0	0	3/4	2	1	V		e	I		V		V								M	1	0	1, 5, 2		1	1
31	30	90	90	1.0	1/2	1/2	3/4	2	1	V(96+#4)		e	I		V(96+#4)		V			96+#4					M	1	0	1, 5, 4	3, 7	1	1
32	31	91	91	3.0	0	0	3/4	2	1	V		e	I		V		V								M	1	0	1, 5, 2		1	1
33	32	94	94	2.0	0	0	3/4	2	1	IV		e	I		IV		IV								M	1	0	-1, 3, 0		-1	-1
33	32	96	96	1.0	1/2	1/2	3/4	2	1	IV(96+4)		e	I		IV(96+4)		IV			96+4					M	1	0	-1, 3, 2	1, 5	-1	-1
34	33	97	97	1.0	0	0	3/4	2	1	IV		e	I		IV		IV								M	1	0	-1, 3, 0		-1	-1
34	33	98	98	1.0	1/4	1/4	3/4	2	1	IV(96+4)		e	I		IV(96+4)		IV			96+4					M	1	0	-1, 3, 2	1, 5	-1	-1
34	33	99	99	1.0	1/2	1/2	3/4	2	1	IV		e	I		IV		IV								M	1	0	-1, 3, 0		-1	-1
35	34	100	100	2.0	0	0	3/4	2	1	I		e	I		I		I								M	1	0	0, 4, 1		0	0
35	34	102	102	1.0	1/2	1/2	3/4	2	1	I(96+#4)		e	I		I(96+#4)		I			96+#4					M	1	0	0, 4, 3	2, 6	0	0
36	35	103	103	3.0	0	0	3/4	2	1	I		e	I		I		I								M	1	0	0, 4, 1		0	0
37	36	106	106	2.0	0	0	3/4	2	1	V		e	I		V		V								M	1	0	1, 5, 2		1	1
37	36	108	108	3.0	1/2	1/2	3/4	2	1	ii7		e	I		ii7		ii		7						mm7	1	0	2, -1, 3, 0		2	2
38	37	111	111	1.0	1/2	1/2	3/4	2	1	V		e	I		V		V								M	1	0	1, 5, 2		1	1
39	38	112	112	2.0	0	0	3/4	2	1	V/III		e	I		V/III		V				III				M	1	0	5, 9, 6		5	5
39	38	114	114	3.0	1/2	1/2	3/4	2	1	ii7/III		e	I		ii7/III		ii		7		III				mm7	1	0	6, 3, 7, 4		6	6
40	39	117	117	1.5	1/2	1/2	3/4	2	1	V/III		e	I		V/III		V				III				M	1	0	5, 9, 6		5	5
41	40	237/2	237/2	1.0	1/8	1/8	3/4	2	1	ii/III		e	I		ii/III		ii				III				m	1	0	6, 3, 7		6	6
41	40	239/2	239/2	1.0	3/8	3/8	3/4	2	1	V/III		e	I		V/III		V				III				M	1	0	5, 9, 6		5	5
41	40	241/2	241/2	1.0	5/8	5/8	3/4	2	1	ii/III		e	I		ii/III		ii				III				m	1	0	6, 3, 7		6	6
42	41	243/2	243/2	1.0	1/8	1/8	3/4	2	1	V/III		e	I		V/III		V				III				M	1	0	5, 9, 6		5	5
42	41	245/2	245/2	1.0	3/8	3/8	3/4	2	1	ii/III		e	I		ii/III		ii				III				m	1	0	6, 3, 7		6	6
42	41	247/2	247/2	1.0	5/8	5/8	3/4	2	1	V/III		e	I		V/III		V				III				M	1	0	5, 9, 6		5	5
43	42	249/2	249/2	1.0	1/8	1/8	3/4	2	1	vi		e	I		vi		vi								m	1	0	3, 0, 4		3	3
43	42	251/2	251/2	1.0	3/8	3/8	3/4	2	1	V		e	I		V		V								M	1	0	1, 5, 2		1	1
43	42	253/2	253/2	0.5	5/8	5/8	3/4	2	1	IVM65	I6	e	I		IVM65		IV	M	65						MM7	1	0	3, 0, 4, -1		-1	3
44	43	127	127	0.5	0	0	3/4	2	1	IV6		e	I		IV6		IV		6						M	1	0	3, 0, -1		-1	3
44	43	255/2	255/2	0.5	1/8	1/8	3/4	2	1	iii65	viio6	e	I		iii65		iii		65						mm7	1	0	1, 5, 2, 4		4	1
44	43	128	128	0.5	1/4	1/4	3/4	2	1	iii6		e	I		iii6		iii		6						m	1	0	1, 5, 4		4	1
