mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	timesig	staff	voice	label	alt_label	globalkey	localkey	pedal	chord	special	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
1	1	1	1	11.0	1/4	1/4	6/4	3	1	F#.I{		F#	I		I		I						{	M	0	0	0, 4, 1		0	0
3	3	12	12	4.5	0	0	6/4	3	1	I64		F#	I		I64		I		64					M	0	0	1, 0, 4		0	1
3	3	33/2	33/2	4.5	9/8	9/8	6/4	3	1	vi	I64(6)	F#	I		vi		vi							m	0	0	3, 0, 4		3	3
4	4	21	21	1.5	3/4	3/4	6/4	3	1	I64		F#	I		I64		I		64					M	0	0	1, 0, 4		0	1
4	4	45/2	45/2	1.5	9/8	9/8	6/4	3	1	I6		F#	I		I6		I		6					M	0	0	4, 1, 0		0	4
5	5	24	24	3.0	0	0	6/4	3	1	IV64		F#	I		IV64		IV		64					M	0	0	0, -1, 3		-1	0
5	5	27	27	3.0	3/4	3/4	6/4	3	1	ii		F#	I		ii		ii							m	0	0	2, -1, 3		2	2
6	6	30	30	6.0	0	0	6/4	3	1	I6		F#	I		I6		I		6					M	0	0	4, 1, 0		0	4
7	7	36	36	3.0	0	0	6/4	3	1	I64		F#	I		I64		I		64					M	0	0	1, 0, 4		0	1
7	7	39	39	1.0	3/4	3/4	6/4	3	1	IM2		F#	I		IM2		I	M	2					MM7	0	0	5, 0, 4, 1		0	5
7	7	40	40	1.0	1	1	6/4	3	1	vi	I64(6)	F#	I		vi		vi							m	0	0	3, 0, 4		3	3
7	7	41	41	1.0	5/4	5/4	6/4	3	1	I64		F#	I		I64		I		64					M	0	0	1, 0, 4		0	1
8	8	42	42	1.5	0	0	6/4	3	1	vi	I64(6)	F#	I		vi		vi							m	0	0	3, 0, 4		3	3
8	8	87/2	87/2	1.5	3/8	3/8	6/4	3	1	I64		F#	I		I64		I		64					M	0	0	1, 0, 4		0	1
8	8	45	45	1.5	3/4	3/4	6/4	3	1	I6		F#	I		I6		I		6					M	0	0	4, 1, 0		0	4
8	8	93/2	93/2	1.5	9/8	9/8	6/4	3	1	I		F#	I		I		I							M	0	0	0, 4, 1		0	0
9	9	48	48	3.0	0	0	6/4	3	1	IV64		F#	I		IV64		IV		64					M	0	0	0, -1, 3		-1	0
9	9	51	51	1.0	3/4	3/4	6/4	3	1	IVM2		F#	I		IVM2		IV	M	2					MM7	0	0	4, -1, 3, 0		-1	4
9	9	52	52	1.0	1	1	6/4	3	1	ii	IV64(6)	F#	I		ii		ii							m	0	0	2, -1, 3		2	2
9	9	53	53	1.0	5/4	5/4	6/4	3	1	IV64		F#	I		IV64		IV		64					M	0	0	0, -1, 3		-1	0
10	10	54	54	6.0	0	0	6/4	3	1	I6		F#	I		I6		I		6					M	0	0	4, 1, 0		0	4
11	11	60	60	3.0	0	0	6/4	3	1	I+6	V+/vi	F#	I		I+6		I	+	6					+	0	0	4, 8, 0		0	4
11	11	63	63	3.0	3/4	3/4	6/4	3	1	I+	V+64/vi	F#	I		I+		I	+						+	0	0	0, 4, 8		0	0
12	12	66	66	3.0	0	0	6/4	3	1	vi64		F#	I		vi64		vi		64					m	0	0	4, 3, 0		3	4
12	12	69	69	3.0	3/4	3/4	6/4	3	1	vi		F#	I		vi		vi							m	0	0	3, 0, 4		3	3
13	13	72	72	3.0	0	0	6/4	3	1	I+6	V+/vi	F#	I		I+6		I	+	6					+	0	0	4, 8, 0		0	4
13	13	75	75	3.0	3/4	3/4	6/4	3	1	I+	V+64/vi	F#	I		I+		I	+						+	0	0	0, 4, 8		0	0
14	14	78	78	6.0	0	0	6/4	3	1	vi64		F#	I		vi64		vi		64					m	0	0	4, 3, 0		3	4
15	15	84	84	4.5	0	0	6/4	3	1	V+/vi	bVI64(b6)	F#	I		V+/vi		V	+			vi			+	0	0	4, 8, 12		4	4
15	15	177/2	177/2	1.5	9/8	9/8	6/4	3	1	bVI64		F#	I		bVI64		bVI		64					M	0	0	-3, -4, 0		-4	-3
16	16	90	90	3.0	0	0	6/4	3	1	bIII+	I64(b6)/V	F#	I		bIII+		bIII	+						+	0	0	-3, 1, 5		-3	-3
16	16	93	93	3.0	3/4	3/4	6/4	3	1	I64/V		F#	I		I64/V		I		64		V			M	0	0	2, 1, 5		1	2
17	17	96	96	3.0	0	0	6/4	3	1	V.V+		F#	V		V+		V	+						+	0	0	1, 5, 9		1	1
17	17	99	99	1.5	3/4	3/4	6/4	3	1	V+(2)		F#	V		V+(2)		V	+		2				+	0	0	3, 5, 9		1	3
