mc	mn	mc_onset	mn_onset	timesig	staff	voice	volta	label	alt_label	globalkey	localkey	pedal	chord	special	numeral	form	figbass	changes	relativeroot	pedalend	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
1	0	0	1/2	3/4	2	1		e.iv7{		e	i		iv7		iv		7					{	mm7	1	1	-1, -4, 0, -3		-1	-1
3	2	0	0	3/4	2	1		i6		e	i		i6		i		6						m	1	1	-3, 1, 0		0	-3
4	3	0	0	3/4	2	1		ii%43/VII		e	i		ii%43/VII		ii	%	43		VII				%7	1	1	-6, -2, 0, -3		0	-6
5	4	0	0	3/4	2	1		V/VII	IV	e	i		V/VII		V				VII				M	1	1	-1, 3, 0		-1	-1
6	5	0	0	3/4	2	1		VI		e	i		VI		VI								M	1	1	-4, 0, -3		-4	-4
7	6	0	0	3/4	2	1		V7/V		e	i		V7/V		V		7		V				Mm7	1	1	2, 6, 3, 0		2	2
8	7	0	0	3/4	2	1		V7		e	i		V7		V		7						Mm7	1	1	1, 5, 2, -1		1	1
9	8	0	0	3/4	2	1		i|PAC}		e	i		i		i						PAC	}	m	1	1	0, -3, 1		0	0
9	8	1/2	1/2	3/4	2	1		{		e	i											{		1	1				
10	9	0	0	3/4	2	1		iv43		e	i		iv43		iv		43						mm7	1	1	0, -3, -1, -4		-1	0
11	10	0	0	3/4	2	1		IIIM43		e	i		IIIM43		III	M	43						MM7	1	1	-2, 2, -3, 1		-3	-2
12	11	0	0	3/4	2	1		ii%43		e	i		ii%43		ii	%	43						%7	1	1	-4, 0, 2, -1		2	-4
13	12	0	0	3/4	2	1		i43		e	i		i43		i		43						mm7	1	1	1, -2, 0, -3		0	1
14	13	0	0	3/4	2	1		#viio43		e	i		#viio43		#vii	o	43						o7	1	1	-1, -4, 5, 2		5	-1
15	14	0	0	3/4	2	1		#vi%43	ii%43/V	e	i		#vi%43		#vi	%	43						%7	1	1	-3, 1, 3, 0		3	-3
16	15	0	0	3/4	2	1		V64		e	i		V64		V		64						M	1	1	2, 1, 5		1	2
16	15	1/4	1/4	3/4	2	1		V2		e	i		V2		V		2						Mm7	1	1	-1, 1, 5, 2		1	-1
16	15	1/2	1/2	3/4	2	1		Ger2(2)		e	i		Ger2(2)	Ger	vii	o	2	b32	V				Ger	1	1	-3, 1, -4, 0		6	-3
16	15	5/8	5/8	3/4	2	1		Ger2		e	i		Ger2	Ger	vii	o	2	b3	V				Ger	1	1	-3, 6, -4, 0		6	-3
17	16	0	0	3/4	2	1		V|HC}		e	i		V		V						HC	}	M	1	1	1, 5, 2		1	1
17	16	1/2	1/2	3/4	2	1		Ger2		e	i		Ger2	Ger	vii	o	2	b3	V				Ger	1	1	-3, 6, -4, 0		6	-3
18	17	0	0	3/4	2	1		V|HC		e	i		V		V						HC		M	1	1	1, 5, 2		1	1
19	18	1/2	1/2	3/4	2	1		iv7{		e	i		iv7		iv		7					{	mm7	1	1	-1, -4, 0, -3		-1	-1
21	20	0	0	3/4	2	1		i6		e	i		i6		i		6						m	1	1	-3, 1, 0		0	-3
22	21	0	0	3/4	2	1		ii%43/VII		e	i		ii%43/VII		ii	%	43		VII				%7	1	1	-6, -2, 0, -3		0	-6
23	22	0	0	3/4	2	1		V/VII	IV	e	i		V/VII		V				VII				M	1	1	-1, 3, 0		-1	-1
24	23	0	0	3/4	2	1		VI		e	i		VI		VI								M	1	1	-4, 0, -3		-4	-4
25	24	0	0	3/4	2	1		V7/V		e	i		V7/V		V		7		V				Mm7	1	1	2, 6, 3, 0		2	2
26	25	0	0	3/4	2	1		V7		e	i		V7		V		7						Mm7	1	1	1, 5, 2, -1		1	1
27	26	0	0	3/4	2	1		i}		e	i		i		i							}	m	1	1	0, -3, 1		0	0
27	26	1/4	1/4	3/4	2	1		i(b964)		e	i		i(b964)		i			b964					m	1	1	0, -1, -4	-5	0	0
27	26	1/2	1/2	3/4	2	1		i(964)		e	i		i(964)		i			964					m	1	1	0, -1, -4	2	0	0
28	27	0	0	3/4	2	1		i|PAC		e	i		i		i						PAC		m	1	1	0, -3, 1		0	0
29	28	0	0	3/4	2	1		I.I{		e	I		I		I							{	M	1	0	0, 4, 1		0	0
29	28	1/2	1/2	3/4	2	1		I(96+#4)		e	I		I(96+#4)		I			96+#4					M	1	0	0, 4, 3	2, 6	0	0
30	29	0	0	3/4	2	1		I		e	I		I		I								M	1	0	0, 4, 1		0	0
30	29	1/4	1/4	3/4	2	1		I(96+#4)		e	I		I(96+#4)		I			96+#4					M	1	0	0, 4, 3	2, 6	0	0
30	29	1/2	1/2	3/4	2	1		I		e	I		I		I								M	1	0	0, 4, 1		0	0
31	30	0	0	3/4	2	1		V		e	I		V		V								M	1	0	1, 5, 2		1	1
31	30	1/2	1/2	3/4	2	1		V(96+#4)		e	I		V(96+#4)		V			96+#4					M	1	0	1, 5, 4	3, 7	1	1
32	31	0	0	3/4	2	1		V		e	I		V		V								M	1	0	1, 5, 2		1	1
33	32	0	0	3/4	2	1		IV		e	I		IV		IV								M	1	0	-1, 3, 0		-1	-1
