mc	mn	mc_onset	mn_onset	timesig	staff	voice	volta	label	globalkey	localkey	pedal	chord	special	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
1	1	0	0	6/8	2	1		C.I[I{	C	I	I	I		I						{	M	0	0	0, 4, 1		0	0
1	1	3/8	3/8	6/8	2	1		IM7	C	I	I	IM7		I	M	7					MM7	0	0	0, 4, 1, 5		0	0
2	2	0	0	6/8	2	1		IVM43	C	I	I	IVM43		IV	M	43					MM7	0	0	0, 4, -1, 3		-1	0
2	2	3/8	3/8	6/8	2	1		V6	C	I	I	V6		V		6					M	0	0	5, 2, 1		1	5
3	3	0	0	6/8	2	1		I(9)	C	I	I	I(9)		I			9				M	0	0	0, 4, 1	2	0	0
3	3	3/8	3/8	6/8	2	1		IV64	C	I	I	IV64		IV		64					M	0	0	0, -1, 3		-1	0
4	4	0	0	6/8	2	1		ii65	C	I	I	ii65		ii		65					mm7	0	0	-1, 3, 0, 2		2	-1
4	4	3/8	3/8	6/8	2	1		IM7	C	I	I	IM7		I	M	7					MM7	0	0	0, 4, 1, 5		0	0
5	5	0	0	6/8	2	1		vii%65	C	I	I	vii%65		vii	%	65					%7	0	0	2, -1, 3, 5		5	2
5	5	3/8	3/8	6/8	2	1		I]	C	I	I	I		I							M	0	0	0, 4, 1		0	0
6	6	0	0	6/8	2	1		V[V	C	I	V	V		V							M	0	0	1, 5, 2		1	1
6	6	3/8	3/8	6/8	2	1		V2/V	C	I	V	V2/V		V		2		V			Mm7	0	0	0, 2, 6, 3		2	0
7	7	0	0	6/8	2	1		V	C	I	V	V		V							M	0	0	1, 5, 2		1	1
7	7	3/8	3/8	6/8	2	1		V2/V	C	I	V	V2/V		V		2		V			Mm7	0	0	0, 2, 6, 3		2	0
8	8	0	0	6/8	2	1		V]}	C	I	V	V		V						}	M	0	0	1, 5, 2		1	1
9	9	0	0	6/8	2	1		I[I{	C	I	I	I		I						{	M	0	0	0, 4, 1		0	0
9	9	3/8	3/8	6/8	2	1		IM7	C	I	I	IM7		I	M	7					MM7	0	0	0, 4, 1, 5		0	0
10	10	0	0	6/8	2	1		IVM43	C	I	I	IVM43		IV	M	43					MM7	0	0	0, 4, -1, 3		-1	0
10	10	3/8	3/8	6/8	2	1		V6	C	I	I	V6		V		6					M	0	0	5, 2, 1		1	5
11	11	0	0	6/8	2	1		I(9)	C	I	I	I(9)		I			9				M	0	0	0, 4, 1	2	0	0
11	11	3/8	3/8	6/8	2	1		IV64	C	I	I	IV64		IV		64					M	0	0	0, -1, 3		-1	0
12	12	0	0	6/8	2	1		ii65	C	I	I	ii65		ii		65					mm7	0	0	-1, 3, 0, 2		2	-1
12	12	3/8	3/8	6/8	2	1		IM7	C	I	I	IM7		I	M	7					MM7	0	0	0, 4, 1, 5		0	0
13	13	0	0	6/8	2	1		vii%65	C	I	I	vii%65		vii	%	65					%7	0	0	2, -1, 3, 5		5	2
13	13	3/8	3/8	6/8	2	1		I]	C	I	I	I		I							M	0	0	0, 4, 1		0	0
14	14	0	0	6/8	2	1		V[V	C	I	V	V		V							M	0	0	1, 5, 2		1	1
14	14	3/8	3/8	6/8	2	1		V2/V	C	I	V	V2/V		V		2		V			Mm7	0	0	0, 2, 6, 3		2	0
15	15	0	0	6/8	2	1		V	C	I	V	V		V							M	0	0	1, 5, 2		1	1
15	15	3/8	3/8	6/8	2	1		V2/V	C	I	V	V2/V		V		2		V			Mm7	0	0	0, 2, 6, 3		2	0
16	16	0	0	6/8	2	1		V]}	C	I	V	V		V						}	M	0	0	1, 5, 2		1	1
17	17	1/2	1/2	6/8	2	1		#viio43/vi{	C	I		#viio43/vi		#vii	o	43		vi		{	o7	0	0	2, -1, 8, 5		8	2
18	18	3/8	3/8	6/8	2	1		Ger7/vi	C	I		Ger7/vi	Ger	vii	o	7	b3	V/vi			Ger	0	0	9, -1, 3, 0		9	9
19	19	0	0	6/8	2	1		V/vi	C	I		V/vi		V				vi			M	0	0	4, 8, 5		4	4
20	20	0	0	6/8	2	1		VM43/vi	C	I		VM43/vi		V	M	43		vi			MM7	0	0	5, 9, 4, 8		4	5
20	20	3/8	3/8	6/8	2	1		V7/V/vi	C	I		V7/V/vi		V		7		V/vi			Mm7	0	0	5, 9, 6, 3		5	5
21	21	0	0	6/8	2	1		V/vi	C	I		V/vi		V				vi			M	0	0	4, 8, 5		4	4
21	21	1/2	1/2	6/8	2	1		viio43	C	I		viio43		vii	o	43					o7	0	0	-1, -4, 5, 2		5	-1
22	22	3/8	3/8	6/8	2	1		Ger7	C	I		Ger7	Ger	vii	o	7	b3	V			Ger	0	0	6, -4, 0, -3		6	6
23	23	0	0	6/8	2	1		V	C	I		V		V							M	0	0	1, 5, 2		1	1
24	24	0	0	6/8	2	1		VM43	C	I		VM43		V	M	43					MM7	0	0	2, 6, 1, 5		1	2
24	24	3/8	3/8	6/8	2	1		V7/V	C	I		V7/V		V		7		V			Mm7	0	0	2, 6, 3, 0		2	2
