mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	timesig	staff	voice	label	alt_label	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
1	1	0	0	15.0	0	0	6/8	2	1	A.I(+6){		A	I		I(+6)	I			+6			{	M	0	0	0, 4, 1	3	0	0
6	6	15	15	4.5	0	0	6/8	2	1	V7(4)/iii	VII7(4)	A	I		V7(4)/iii	V		7	4	iii			Mm7	0	0	5, 4, 6, 3		5	5
7	7	39/2	39/2	3.0	3/8	3/8	6/8	2	1	V7(+64)/iii	VII7(+64)	A	I		V7(+64)/iii	V		7	+64	iii			Mm7	0	0	5, 4, 6, 3	1	5	5
8	8	45/2	45/2	3.0	3/8	3/8	6/8	2	1	V7(4)/iii	VII7(4)	A	I		V7(4)/iii	V		7	4	iii			Mm7	0	0	5, 4, 6, 3		5	5
9	9	51/2	51/2	1.5	3/8	3/8	6/8	2	1	V7/iii	VII7	A	I		V7/iii	V		7		iii			Mm7	0	0	5, 9, 6, 3		5	5
10	10	27	27	12.0	0	0	6/8	2	1	vii(+#6)		A	I		vii(+#6)	vii			+#6				m	0	0	5, 2, 6	8	5	5
14	14	39	39	4.5	0	0	6/8	2	1	V7(4)/bIII	bVII7(4)	A	I		V7(4)/bIII	V		7	4	bIII			Mm7	0	0	-2, -3, -1, -4		-2	-2
15	15	87/2	87/2	3.0	3/8	3/8	6/8	2	1	V7(+64)/bIII	bVII7(+64)	A	I		V7(+64)/bIII	V		7	+64	bIII			Mm7	0	0	-2, -3, -1, -4	1	-2	-2
16	16	93/2	93/2	3.0	3/8	3/8	6/8	2	1	V7(4)/bIII	bVII7(4)	A	I		V7(4)/bIII	V		7	4	bIII			Mm7	0	0	-2, -3, -1, -4		-2	-2
17	17	99/2	99/2	1.5	3/8	3/8	6/8	2	1	V7/bIII	bVII7	A	I		V7/bIII	V		7		bIII			Mm7	0	0	-2, 2, -1, -4		-2	-2
18	18	51	51	6.0	0	0	6/8	2	1	vii%43/bIII	ii%43	A	I		vii%43/bIII	vii	%	43		bIII			%7	0	0	-4, 0, 2, -1		2	-4
20	20	57	57	3.0	0	0	6/8	2	1	V		A	I		V	V							M	0	0	1, 5, 2		1	1
21	21	60	60	3.0	0	0	6/8	2	1	iii		A	I		iii	iii							m	0	0	4, 1, 5		4	4
22	22	63	63	3.0	0	0	6/8	2	1	V		A	I		V	V							M	0	0	1, 5, 2		1	1
23	23	66	66	3.0	0	0	6/8	2	1	bIII		A	I		bIII	bIII							M	0	0	-3, 1, -2		-3	-3
24	24	69	69	3.0	0	0	6/8	2	1	I}		A	I		I	I						}	M	0	0	0, 4, 1		0	0
25	25	72	72	2.5	0	0	6/8	2	1	I(#5)		A	I		I(#5)	I			#5				M	0	0	0, 4, 8		0	0
25	25	149/2	149/2	12.5	5/8	5/8	6/8	2	1	I(+6){		A	I		I(+6)	I			+6			{	M	0	0	0, 4, 1	3	0	0
30	30	87	87	4.5	0	0	6/8	2	1	V7(4)/iii	VII7(4)	A	I		V7(4)/iii	V		7	4	iii			Mm7	0	0	5, 4, 6, 3		5	5
