mc	mn	onset	label	alt_label	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
1	1	0	.G.I[I		G	I	I	I	I						M	0	0	0, 4, 1		0	0
3	3	0	I		G	I	I	I	I						M	0	0	0, 4, 1		0	0
3	3	1/2	V7		G	I	I	V7	V		7				Mm7	0	0	1, 5, 2, -1		1	1
4	4	0	I		G	I	I	I	I						M	0	0	0, 4, 1		0	0
4	4	1/2	V7]		G	I	I	V7	V		7				Mm7	0	0	1, 5, 2, -1		1	1
5	5	0	I64		G	I		I64	I		64				M	0	0	1, 0, 4		0	1
5	5	1/4	V7		G	I		V7	V		7				Mm7	0	0	1, 5, 2, -1		1	1
5	5	1/2	I64		G	I		I64	I		64				M	0	0	1, 0, 4		0	1
6	6	0	V7		G	I		V7	V		7				Mm7	0	0	1, 5, 2, -1		1	1
6	6	1/4	I64		G	I		I64	I		64				M	0	0	1, 0, 4		0	1
6	6	1/2	I\\		G	I		I	I					\\	M	0	0	0, 4, 1		0	0
7	7	0	iii[iii		G	I	iii	iii	iii						m	0	0	4, 1, 5		4	4
7	7	1/2	V7/iii		G	I	iii	V7/iii	V		7		iii		Mm7	0	0	5, 9, 6, 3		5	5
8	8	0	iii		G	I	iii	iii	iii						m	0	0	4, 1, 5		4	4
8	8	1/2	V7/iii]		G	I	iii	V7/iii	V		7		iii		Mm7	0	0	5, 9, 6, 3		5	5
9	9	0	iii64		G	I		iii64	iii		64				m	0	0	5, 4, 1		4	5
9	9	1/4	V7/iii		G	I		V7/iii	V		7		iii		Mm7	0	0	5, 9, 6, 3		5	5
9	9	1/2	iii64		G	I		iii64	iii		64				m	0	0	5, 4, 1		4	5
10	10	0	V7/iii		G	I		V7/iii	V		7		iii		Mm7	0	0	5, 9, 6, 3		5	5
10	10	1/4	iii64		G	I		iii64	iii		64				m	0	0	5, 4, 1		4	5
10	10	1/2	iii\\		G	I		iii	iii					\\	m	0	0	4, 1, 5		4	4
11	11	0	V7		G	I		V7	V		7				Mm7	0	0	1, 5, 2, -1		1	1
11	11	1/2	V2(42)		G	I		V2(42)	V		2	42			Mm7	0	0	-1, 3, 0, 2		1	-1
12	12	0	V65(9)		G	I		V65(9)	V		65	9			Mm7	0	0	5, 2, -1, 1	3	1	5
12	12	1/2	V2(94)		G	I		V2(94)	V		2	94			Mm7	0	0	-1, 1, 0, 2	3	1	-1
13	13	0	V43(9)		G	I		V43(9)	V		43	9			Mm7	0	0	2, -1, 1, 5	3	1	2
13	13	1/2	V2(94)		G	I		V2(94)	V		2	94			Mm7	0	0	-1, 1, 0, 2	3	1	-1
14	14	0	V65(9)		G	I		V65(9)	V		65	9			Mm7	0	0	5, 2, -1, 1	3	1	5
14	14	1/2	V43(9)		G	I		V43(9)	V		43	9			Mm7	0	0	2, -1, 1, 5	3	1	2
15	15	0	V7		G	I		V7	V		7				Mm7	0	0	1, 5, 2, -1		1	1
15	15	1/2	V2(42)		G	I		V2(42)	V		2	42			Mm7	0	0	-1, 3, 0, 2		1	-1
16	16	0	V65(9)		G	I		V65(9)	V		65	9			Mm7	0	0	5, 2, -1, 1	3	1	5
16	16	1/2	V2(94)		G	I		V2(94)	V		2	94			Mm7	0	0	-1, 1, 0, 2	3	1	-1
17	17	0	V43(9)		G	I		V43(9)	V		43	9			Mm7	0	0	2, -1, 1, 5	3	1	2
17	17	1/2	V2(94)		G	I		V2(94)	V		2	94			Mm7	0	0	-1, 1, 0, 2	3	1	-1
18	18	0	V65(9)		G	I		V65(9)	V		65	9			Mm7	0	0	5, 2, -1, 1	3	1	5
18	18	1/2	V7		G	I		V7	V		7				Mm7	0	0	1, 5, 2, -1		1	1
19	19	1/4	V7(9)/IV		G	I		V7(9)/IV	V		7	9	IV		Mm7	0	0	0, 4, 1, -2	2	0	0
20	20	0	ii65		G	I		ii65	ii		65				mm7	0	0	-1, 3, 0, 2		2	-1
20	20	1/4	IV		G	I		IV	IV						M	0	0	-1, 3, 0		-1	-1
