mc	mn	mc_onset	mn_onset	timesig	staff	voice	label	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
1	1	0	0	2/4	1	1	.E.I[I{	E	I	I	I	I					{	M	0	0	0, 4, 1		0	0
4	4	0	0	2/4	1	1	ii64(+4)	E	I	I	ii64(+4)	ii		64	+4			m	0	0	3, 2, -1	1	2	3
5	5	0	0	2/4	1	1	V7(96)	E	I	I	V7(96)	V		7	96			Mm7	0	0	1, 5, 4, -1	3	1	1
6	6	0	0	2/4	1	1	I	E	I	I	I	I						M	0	0	0, 4, 1		0	0
8	8	0	0	2/4	1	1	ii64(+4)	E	I	I	ii64(+4)	ii		64	+4			m	0	0	3, 2, -1	1	2	3
9	9	0	0	2/4	1	1	V7(96)	E	I	I	V7(96)	V		7	96			Mm7	0	0	1, 5, 4, -1	3	1	1
10	10	0	0	2/4	1	1	I]}	E	I	I	I	I					}	M	0	0	0, 4, 1		0	0
11	11	0	0	2/4	1	1	V64	E	I		V64	V		64				M	0	0	2, 1, 5		1	2
13	13	0	0	2/4	1	1	V	E	I		V	V						M	0	0	1, 5, 2		1	1
13	13	1/4	1/4	2/4	1	1	V(#119)	E	I		V(#119)	V			#119			M	0	0	1, 5, 2	7, 3	1	1
14	14	0	0	2/4	1	1	V	E	I		V	V						M	0	0	1, 5, 2		1	1
15	15	0	0	2/4	1	1	.bVII64	E	I		bVII64	bVII		64				M	0	0	-1, -2, 2		-2	-1
17	17	0	0	2/4	1	1	.bVII	E	I		bVII	bVII						M	0	0	-2, 2, -1		-2	-2
17	17	1/4	1/4	2/4	1	1	.bVII(#119)	E	I		bVII(#119)	bVII			#119			M	0	0	-2, 2, -1	11, 0	-2	-2
18	18	0	0	2/4	1	1	.bVII	E	I		bVII	bVII						M	0	0	-2, 2, -1		-2	-2
19	19	0	0	2/4	1	1	.bII64	E	I		bII64	bII		64				M	0	0	-4, -5, -1		-5	-4
20	20	0	0	2/4	1	1	.bII	E	I		bII	bII						M	0	0	-5, -1, -4		-5	-5
20	20	1/4	1/4	2/4	1	1	.bvi	E	I		bvi	bvi						m	0	0	-4, -7, -3		-4	-4
21	21	0	0	2/4	1	1	.bII64	E	I		bII64	bII		64				M	0	0	-4, -5, -1		-5	-4
22	22	0	0	2/4	1	1	V7/bV	E	I		V7/bV	V		7		bV		Mm7	0	0	-5, -1, -4, -7		-5	-5
22	22	1/4	1/4	2/4	1	1	.bvi	E	I		bvi	bvi						m	0	0	-4, -7, -3		-4	-4
23	23	0	0	2/4	1	1	V7/bV	E	I		V7/bV	V		7		bV		Mm7	0	0	-5, -1, -4, -7		-5	-5
24	24	3/8	3/8	2/4	1	1	V43/bV	E	I		V43/bV	V		43		bV		Mm7	0	0	-4, -7, -5, -1		-5	-4
25	25	0	0	2/4	1	1	V43	E	I		V43	V		43				Mm7	0	0	2, -1, 1, 5		1	2
26	26	3/8	3/8	2/4	1	1	V7	E	I		V7	V		7				Mm7	0	0	1, 5, 2, -1		1	1
27	27	0	0	2/4	1	1	I[I}{	E	I	I	I	I					}{	M	0	0	0, 4, 1		0	0
28	28	0	0	2/4	1	1	ii6(+4)	E	I	I	ii6(+4)	ii		6	+4			m	0	0	-1, 3, 2	1	2	-1
29	29	0	0	2/4	1	1	V7(96)]	E	I	I	V7(96)	V		7	96			Mm7	0	0	1, 5, 4, -1	3	1	1
30	30	0	0	2/4	1	1	.bVII[bVII	E	I	bVII	bVII	bVII						M	0	0	-2, 2, -1		-2	-2
32	32	0	0	2/4	1	1	i6(+4)	E	I	bVII	i6(+4)	i		6	+4			m	0	0	-3, 1, 0	-1	0	-3
