mc	mn	mc_onset	mn_onset	timesig	staff	voice	volta	label	alt_label	globalkey	localkey	pedal	chord	special	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
1	1	0	0	9/8	2	1		C.I{		C	I		I		I						{	M	0	0	0, 4, 1		0	0
1	1	3/8	3/8	9/8	2	1		IM7		C	I		IM7		I	M	7					MM7	0	0	0, 4, 1, 5		0	0
1	1	3/4	3/4	9/8	2	1		V2/IV		C	I		V2/IV		V		2		IV			Mm7	0	0	-2, 0, 4, 1		0	-2
2	2	0	0	9/8	2	1		vi	I64(6)	C	I		vi		vi							m	0	0	3, 0, 4		3	3
2	2	3/8	3/8	9/8	2	1		I64(b6)		C	I		I64(b6)		I		64	b6				M	0	0	-4, 0, 4		0	-4
2	2	3/4	3/4	9/8	2	1		I64		C	I		I64		I		64					M	0	0	1, 0, 4		0	1
3	3	0	0	9/8	2	1		I		C	I		I		I							M	0	0	0, 4, 1		0	0
3	3	3/8	3/8	9/8	2	1		IM7		C	I		IM7		I	M	7					MM7	0	0	0, 4, 1, 5		0	0
3	3	3/4	3/4	9/8	2	1		V2/IV		C	I		V2/IV		V		2		IV			Mm7	0	0	-2, 0, 4, 1		0	-2
4	4	0	0	9/8	2	1		vi		C	I		vi		vi							m	0	0	3, 0, 4		3	3
4	4	3/8	3/8	9/8	2	1		I64(b6)		C	I		I64(b6)		I		64	b6				M	0	0	-4, 0, 4		0	-4
4	4	3/4	3/4	9/8	2	1		I64		C	I		I64		I		64					M	0	0	1, 0, 4		0	1
5	5	0	0	9/8	2	1		vii%43/V		C	I		vii%43/V		vii	%	43		V			%7	0	0	0, 4, 6, 3		6	0
6	6	0	0	9/8	2	1		vii%7(#9)		C	I		vii%7(#9)		vii	%	7	#9				%7	0	0	5, 2, -1, 3	7	5	5
6	6	3/8	3/8	9/8	2	1		vii%7		C	I		vii%7		vii	%	7					%7	0	0	5, 2, -1, 3		5	5
6	6	3/4	3/4	9/8	2	1		viio7		C	I		viio7		vii	o	7					o7	0	0	5, 2, -1, -4		5	5
7	7	0	0	9/8	2	1		vii%43/IV		C	I		vii%43/IV		vii	%	43		IV			%7	0	0	-2, 2, 4, 1		4	-2
8	8	0	0	9/8	2	1		V.ii%7(9)		C	V		ii%7(9)		ii	%	7	9				%7	0	0	2, -1, -4, 0	4	2	2
8	8	3/8	3/8	9/8	2	1		ii%7		C	V		ii%7		ii	%	7					%7	0	0	2, -1, -4, 0		2	2
8	8	3/4	3/4	9/8	2	1		Ger6/IV		C	V		Ger6/IV	Ger	vii	o	65	b3	V/IV			Ger	0	0	-5, -1, -4, 5		5	-5
9	9	0	0	9/8	2	1		V7		C	V		V7		V		7					Mm7	0	0	1, 5, 2, -1		1	1
10	10	0	0	9/8	2	1		bII6		C	V		bII6		bII		6					M	0	0	-1, -4, -5		-5	-1
11	11	0	0	9/8	2	1		V7		C	V		V7		V		7					Mm7	0	0	1, 5, 2, -1		1	1
12	12	0	0	9/8	2	1		V43/ii		C	V		V43/ii		V		43		ii			Mm7	0	0	4, 1, 3, 7		3	4
12	12	3/4	3/4	9/8	2	1		ii%7		C	V		ii%7		ii	%	7					%7	0	0	2, -1, -4, 0		2	2
13	13	0	0	9/8	2	1		V7		C	V		V7		V		7					Mm7	0	0	1, 5, 2, -1		1	1
14	14	0	0	9/8	2	1		I(9b6)}		C	V		I(9b6)		I			9b6			}	M	0	0	0, 4, -4	2	0	0
14	14	3/8	3/8	9/8	2	1		I(b6)		C	V		I(b6)		I			b6				M	0	0	0, 4, -4		0	0
14	14	3/4	3/4	9/8	2	1		I|PAC		C	V		I		I					PAC		M	0	0	0, 4, 1		0	0
15	15	0	0	9/8	2	1		I.vii%7{		C	I		vii%7		vii	%	7				{	%7	0	0	5, 2, -1, 3		5	5
17	17	0	0	9/8	2	1		vii%65		C	I		vii%65		vii	%	65					%7	0	0	2, -1, 3, 5		5	2
17	17	3/8	3/8	9/8	2	1		V7(9)		C	I		V7(9)		V		7	9				Mm7	0	0	1, 5, 2, -1	3	1	1
18	18	0	0	9/8	2	1		vii%7/bIII		C	I		vii%7/bIII		vii	%	7		bIII			%7	0	0	2, -1, -4, 0		2	2
20	20	0	0	9/8	2	1		vii%65/bIII		C	I		vii%65/bIII		vii	%	65		bIII			%7	0	0	-1, -4, 0, 2		2	-1
20	20	3/8	3/8	9/8	2	1		V7(9)/bIII	Ger6/ii	C	I		V7(9)/bIII		V		7	9	bIII			Mm7	0	0	-2, 2, -1, -4	0	-2	-2
21	21	0	0	6/8	2	1		V7(9)/V/ii}{	Ger6(9)/bVI}{	C	I		V7(9)/V/ii		V		7	9	V/ii		}{	Mm7	0	0	4, 8, 5, 2	6	4	4
23	23	0	0	6/8	2	1		V7(94)/V/ii	Ger6(94)/bVI	C	I		V7(94)/V/ii		V		7	94	V/ii			Mm7	0	0	4, 3, 5, 2	6	4	4
25	25	0	0	6/8	2	1		V43(9)/bII	Ger2(9)	C	I		V43(9)/bII		V		43	9	bII			Mm7	0	0	-3, -6, -4, 0	-2	-4	-3
27	27	0	0	6/8	2	1		V7(9)/V		C	I		V7(9)/V		V		7	9	V			Mm7	0	0	2, 6, 3, 0	4	2	2
29	29	0	0	6/8	2	1		V7(9+64)|HC}		C	I		V7(9+64)		V		7	9+64		HC	}	Mm7	0	0	1, 0, 2, -1	3, 4	1	1
34	34	0	0	9/8	2	1		I{		C	I		I		I						{	M	0	0	0, 4, 1		0	0
34	34	3/8	3/8	9/8	2	1		IM7		C	I		IM7		I	M	7					MM7	0	0	0, 4, 1, 5		0	0
34	34	3/4	3/4	9/8	2	1		V2/IV		C	I		V2/IV		V		2		IV			Mm7	0	0	-2, 0, 4, 1		0	-2
35	35	0	0	9/8	2	1		vi	I64(6)	C	I		vi		vi							m	0	0	3, 0, 4		3	3
35	35	3/8	3/8	9/8	2	1		I64(b6)		C	I		I64(b6)		I		64	b6				M	0	0	-4, 0, 4		0	-4
35	35	3/4	3/4	9/8	2	1		I64		C	I		I64		I		64					M	0	0	1, 0, 4		0	1
36	36	0	0	9/8	2	1		I		C	I		I		I							M	0	0	0, 4, 1		0	0
36	36	3/8	3/8	9/8	2	1		IM7		C	I		IM7		I	M	7					MM7	0	0	0, 4, 1, 5		0	0
36	36	3/4	3/4	9/8	2	1		V2/IV		C	I		V2/IV		V		2		IV			Mm7	0	0	-2, 0, 4, 1		0	-2
37	37	0	0	9/8	2	1		vi	I64(6)	C	I		vi		vi							m	0	0	3, 0, 4		3	3
37	37	3/8	3/8	9/8	2	1		I64(b6)		C	I		I64(b6)		I		64	b6				M	0	0	-4, 0, 4		0	-4
37	37	3/4	3/4	9/8	2	1		I64		C	I		I64		I		64					M	0	0	1, 0, 4		0	1
38	38	0	0	9/8	2	1		vii%43/V		C	I		vii%43/V		vii	%	43		V			%7	0	0	0, 4, 6, 3		6	0
39	39	0	0	9/8	2	1		vii%7(#9)		C	I		vii%7(#9)		vii	%	7	#9				%7	0	0	5, 2, -1, 3	7	5	5
39	39	3/8	3/8	9/8	2	1		vii%7		C	I		vii%7		vii	%	7					%7	0	0	5, 2, -1, 3		5	5
39	39	3/4	3/4	9/8	2	1		viio7		C	I		viio7		vii	o	7					o7	0	0	5, 2, -1, -4		5	5
40	40	0	0	9/8	2	1		vii%43/IV		C	I		vii%43/IV		vii	%	43		IV			%7	0	0	-2, 2, 4, 1		4	-2
41	41	0	0	9/8	2	1		V.ii%7(9)		C	V		ii%7(9)		ii	%	7	9				%7	0	0	2, -1, -4, 0	4	2	2
41	41	3/8	3/8	9/8	2	1		ii%7		C	V		ii%7		ii	%	7					%7	0	0	2, -1, -4, 0		2	2
41	41	3/4	3/4	9/8	2	1		Ger6/IV		C	V		Ger6/IV	Ger	vii	o	65	b3	V/IV			Ger	0	0	-5, -1, -4, 5		5	-5
42	42	0	0	9/8	2	1		V7		C	V		V7		V		7					Mm7	0	0	1, 5, 2, -1		1	1
43	43	0	0	9/8	2	1		I.V7		C	I		V7		V		7					Mm7	0	0	1, 5, 2, -1		1	1
44	44	0	0	9/8	2	1		bII6		C	I		bII6		bII		6					M	0	0	-1, -4, -5		-5	-1
45	45	0	0	9/8	2	1		V7		C	I		V7		V		7					Mm7	0	0	1, 5, 2, -1		1	1
46	46	0	0	9/8	2	1		V43/ii		C	I		V43/ii		V		43		ii			Mm7	0	0	4, 1, 3, 7		3	4
46	46	3/4	3/4	9/8	2	1		ii%7		C	I		ii%7		ii	%	7					%7	0	0	2, -1, -4, 0		2	2
47	47	0	0	9/8	2	1		V7		C	I		V7		V		7					Mm7	0	0	1, 5, 2, -1		1	1
48	48	0	0	9/8	2	1		V43(9)/IV		C	I		V43(9)/IV		V		43	9	IV			Mm7	0	0	1, -2, 0, 4	2	0	1
48	48	3/8	3/8	9/8	2	1		V43/IV		C	I		V43/IV		V		43		IV			Mm7	0	0	1, -2, 0, 4		0	1
48	48	3/4	3/4	9/8	2	1		V43(b5)/IV	Fr6/bVII	C	I		V43(b5)/IV		V		43	b5	IV			Mm7	0	0	-6, -2, 0, 4		0	-6
49	49	0	0	9/8	2	1		V7/bVII		C	I		V7/bVII		V		7		bVII			Mm7	0	0	-1, 3, 0, -3		-1	-1
50	50	0	0	9/8	2	1		V43(9)/bIII		C	I		V43(9)/bIII		V		43	9	bIII			Mm7	0	0	-1, -4, -2, 2	0	-2	-1
50	50	3/8	3/8	9/8	2	1		V43/bIII		C	I		V43/bIII		V		43		bIII			Mm7	0	0	-1, -4, -2, 2		-2	-1
50	50	3/4	3/4	9/8	2	1		V43(b5)/bIII	Fr6/bVI	C	I		V43(b5)/bIII		V		43	b5	bIII			Mm7	0	0	-8, -4, -2, 2		-2	-8
51	51	0	0	9/8	2	1		V7/bVI	Ger6/V	C	I		V7/bVI		V		7		bVI			Mm7	0	0	-3, 1, -2, -5		-3	-3
51	51	3/4	3/4	9/8	2	1		V7/V	Ger6/bV	C	I		V7/V		V		7		V			Mm7	0	0	2, 6, 3, 0		2	2
52	52	0	0	9/8	2	1		V7/bV	Ger6/IV	C	I		V7/bV		V		7		bV			Mm7	0	0	-5, -1, -4, -7		-5	-5
52	52	3/4	3/4	9/8	2	1		V7/IV	Ger6/III	C	I		V7/IV		V		7		IV			Mm7	0	0	0, 4, 1, -2		0	0
53	53	0	0	9/8	2	1		V7/III	Ger6/bIII	C	I		V7/III		V		7		III			Mm7	0	0	5, 9, 6, 3		5	5
53	53	3/8	3/8	9/8	2	1		V7/bIII	Ger6/II	C	I		V7/bIII		V		7		bIII			Mm7	0	0	-2, 2, -1, -4		-2	-2
53	53	3/4	3/4	9/8	2	1		V7/II	Ger6/bII	C	I		V7/II		V		7		II			Mm7	0	0	3, 7, 4, 1		3	3
54	54	0	0	9/8	2	1		V7/bII	Ger6	C	I		V7/bII		V		7		bII			Mm7	0	0	-4, 0, -3, -6		-4	-4
54	54	3/8	3/8	9/8	2	1		V7|HC}		C	I		V7		V		7			HC	}	Mm7	0	0	1, 5, 2, -1		1	1
55	55	1/8	1/8	9/8	2	1		I{		C	I		I		I						{	M	0	0	0, 4, 1		0	0
55	55	3/8	3/8	9/8	2	1		IM2		C	I		IM2		I	M	2					MM7	0	0	5, 0, 4, 1		0	5
55	55	3/4	3/4	9/8	2	1		V2/IV		C	I		V2/IV		V		2		IV			Mm7	0	0	-2, 0, 4, 1		0	-2
56	56	0	0	9/8	2	1		IVM7		C	I		IVM7		IV	M	7					MM7	0	0	-1, 3, 0, 4		-1	-1
59	59	0	0	9/8	2	1		iv7		C	I		iv7		iv		7					mm7	0	0	-1, -4, 0, -3		-1	-1
62	62	0	0	9/8	2	1		I		C	I		I		I							M	0	0	0, 4, 1		0	0
62	62	3/4	3/4	9/8	2	1		V(6)		C	I		V(6)		V			6				M	0	0	1, 5, 4		1	1
63	63	0	0	9/8	2	1		I|IAC}		C	I		I		I					IAC	}	M	0	0	0, 4, 1		0	0
