mc	mn	mc_onset	mn_onset	timesig	staff	voice	volta	label	globalkey	localkey	pedal	chord	special	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
1	0	0	3/4	4/4	2	1		G.V{	G	I		V		V						{	M	0	0	1, 5, 2		1	1
2	1	0	0	4/4	2	1		I	G	I		I		I							M	0	0	0, 4, 1		0	0
2	1	1/4	1/4	4/4	2	1		I6	G	I		I6		I		6					M	0	0	4, 1, 0		0	4
2	1	1/2	1/2	4/4	2	1		ii65	G	I		ii65		ii		65					mm7	0	0	-1, 3, 0, 2		2	-1
2	1	3/4	3/4	4/4	2	1		vi64	G	I		vi64		vi		64					m	0	0	4, 3, 0		3	4
2	1	7/8	7/8	4/4	2	1		ii7	G	I		ii7		ii		7					mm7	0	0	2, -1, 3, 0		2	2
3	2	0	0	4/4	2	1		V(6)	G	I		V(6)		V			6				M	0	0	1, 5, 4		1	1
3	2	1/4	1/4	4/4	2	1		V2	G	I		V2		V		2					Mm7	0	0	-1, 1, 5, 2		1	-1
3	2	1/2	1/2	4/4	2	1		I6	G	I		I6		I		6					M	0	0	4, 1, 0		0	4
4	3	0	0	4/4	2	1		IVM2	G	I		IVM2		IV	M	2					MM7	0	0	4, -1, 3, 0		-1	4
4	3	1/2	1/2	4/4	2	1		ii7	G	I		ii7		ii		7					mm7	0	0	2, -1, 3, 0		2	2
4	3	3/4	3/4	4/4	2	1		viio6	G	I		viio6		vii	o	6					o	0	0	2, -1, 5		5	2
5	4	0	0	4/4	2	1		I	G	I		I		I							M	0	0	0, 4, 1		0	0
5	4	1/2	1/2	4/4	2	1		IM7	G	I		IM7		I	M	7					MM7	0	0	0, 4, 1, 5		0	0
6	5	0	0	4/4	2	1		V2/V	G	I		V2/V		V		2		V			Mm7	0	0	0, 2, 6, 3		2	0
6	5	1/2	1/2	4/4	2	1		VM65	G	I		VM65		V	M	65					MM7	0	0	5, 2, 6, 1		1	5
7	6	0	0	4/4	2	1		IM2	G	I		IM2		I	M	2					MM7	0	0	5, 0, 4, 1		0	5
7	6	1/2	1/2	4/4	2	1		#iv%65	G	I		#iv%65		#iv	%	65					%7	0	0	3, 0, 4, 6		6	3
8	7	0	0	4/4	2	1		vii2	G	I		vii2		vii		2					mm7	0	0	3, 5, 2, 6		5	3
8	7	1/2	1/2	4/4	2	1		iii65	G	I		iii65		iii		65					mm7	0	0	1, 5, 2, 4		4	1
9	8	0	0	4/4	2	1		vi2	G	I		vi2		vi		2					mm7	0	0	1, 3, 0, 4		3	1
9	8	1/2	1/2	4/4	2	1		V43/iii	G	I		V43/iii		V		43		iii			Mm7	0	0	6, 3, 5, 9		5	6
10	9	0	0	4/4	2	1		iii	G	I		iii		iii							m	0	0	4, 1, 5		4	4
10	9	1/2	1/2	4/4	2	1		vi7	G	I		vi7		vi		7					mm7	0	0	3, 0, 4, 1		3	3
10	9	3/4	3/4	4/4	2	1		vi(+#6)	G	I		vi(+#6)		vi			+#6				m	0	0	3, 0, 4	6	3	3
11	10	0	0	4/4	2	1		VII	G	I		VII		VII							M	0	0	5, 9, 6		5	5
11	10	1/4	1/4	4/4	2	1		V/VII	G	I		V/VII		V				VII			M	0	0	6, 10, 7		6	6
11	10	3/4	3/4	4/4	2	1		V6/iii	G	I		V6/iii		V		6		iii			M	0	0	9, 6, 5		5	9
