mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	chord_id	dynamics	articulation	staff_text	slur	decrescendo_hairpin	crescendo_line	crescendo_hairpin
4	3	12	12	0.5	3/4	3/4	Chord	4/4	1	2	1/8		1/8	1	38							
4	3	25/2	25/2	0.5	7/8	7/8	Chord	4/4	1	2	1/8		1/8	1	39							
4	3	12	12	0.5	3/4	3/4	Chord	4/4	2	1	1/8		1/8	1	40							
4	3	25/2	25/2	0.5	7/8	7/8	Chord	4/4	2	1	1/8		1/8	1	41							
4	3	9	9	1.0	0	0	Chord	4/4	2	2	1/4		1/4	1	42							
4	3	10	10	0.5	1/4	1/4	Chord	4/4	2	2	1/8		1/8	1	43							
4	3	21/2	21/2	0.5	3/8	3/8	Chord	4/4	2	2	1/8		1/8	1	44							
4	3	11	11	1.0	1/2	1/2	Chord	4/4	2	2	1/4		1/4	1	45							
4	3	12	12	1.0	3/4	3/4	Chord	4/4	2	2	1/4		1/4	1	46							
5	4	13	13	0.0	0	0	Spanner	4/4	1	1	0								1	0		
5	4	13	13	0.5	0	0	Chord	4/4	1	1	1/8		1/8	1	47				1	0		
5	4	27/2	27/2	0.5	1/8	1/8	Chord	4/4	1	1	1/8		1/8	1	48				1	0		
5	4	14	14	2.0	1/4	1/4	Chord	4/4	1	1	1/2		1/2	1	49					0		
5	4	16	16	0.0	3/4	3/4	Spanner	4/4	1	1	0											
5	4	33/2	33/2	0.5	7/8	7/8	Chord	4/4	1	1	1/8		1/8	1	50				2			
5	4	13	13	4.0	0	0	Chord	4/4	1	2	1		1	1	51							
5	4	13	13	3.0	0	0	Chord	4/4	2	1	3/4		1/2	3/2	52				3			
5	4	16	16	1.0	3/4	3/4	Chord	4/4	2	1	1/4		1/4	1	53							
5	4	13	13	1.0	0	0	Chord	4/4	2	2	1/4		1/4	1	54							
5	4	14	14	1.0	1/4	1/4	Chord	4/4	2	2	1/4		1/4	1	55							
5	4	15	15	2.0	1/2	1/2	Chord	4/4	2	2	1/2		1/2	1	56							
6	5	17	17	0.0	0	0	Spanner	4/4	1	1	0								2			1
6	5	17	17	1.0	0	0	Chord	4/4	1	1	1/4		1/4	1	57				2			1
6	5	18	18	0.5	1/4	1/4	Chord	4/4	1	1	1/8		1/8	1	58				2			1
6	5	37/2	37/2	0.5	3/8	3/8	Chord	4/4	1	1	1/8		1/8	1	59				2			1
6	5	19	19	0.0	1/2	1/2	Spanner	4/4	1	1	0								2			
6	5	19	19	0.5	1/2	1/2	Chord	4/4	1	1	1/8		1/8	1	60				2			
6	5	39/2	39/2	0.5	5/8	5/8	Chord	4/4	1	1	1/8		1/8	1	61				2			
6	5	20	20	0.5	3/4	3/4	Chord	4/4	1	1	1/8		1/8	1	62				2			
6	5	41/2	41/2	0.5	7/8	7/8	Chord	4/4	1	1	1/8		1/8	1	63				2			
6	5	17	17	1.0	0	0	Chord	4/4	1	2	1/4		1/4	1	64							
6	5	18	18	0.5	1/4	1/4	Chord	4/4	1	2	1/8		1/8	1	65							
6	5	37/2	37/2	0.5	3/8	3/8	Chord	4/4	1	2	1/8		1/8	1	66							
6	5	19	19	1.0	1/2	1/2	Chord	4/4	1	2	1/4		1/4	1	67							
6	5	20	20	1.0	3/4	3/4	Chord	4/4	1	2	1/4		1/4	1	68							
6	5	17	17	0.5	0	0	Chord	4/4	2	1	1/8		1/8	1	69							
6	5	35/2	35/2	1.0	1/8	1/8	Chord	4/4	2	1	1/4		1/4	1	70							
6	5	37/2	37/2	0.5	3/8	3/8	Chord	4/4	2	1	1/8		1/8	1	71							
6	5	19	19	2.0	1/2	1/2	Chord	4/4	2	1	1/2		1/2	1	72							
6	5	17	17	2.0	0	0	Chord	4/4	2	2	1/2		1/2	1	73							
6	5	19	19	1.0	1/2	1/2	Chord	4/4	2	2	1/4		1/4	1	74							
6	5	20	20	1.0	3/4	3/4	Chord	4/4	2	2	1/4		1/4	1	75							
7	6	21	21	0.5	0	0	Chord	4/4	1	1	1/8		1/8	1	76				2			
7	6	43/2	43/2	0.5	1/8	1/8	Chord	4/4	1	1	1/8		1/8	1	77				2			
7	6	22	22	0.0	1/4	1/4	Spanner	4/4	1	1	0								2	1		
7	6	22	22	0.0	1/4	1/4	Chord	4/4	1	1	0	grace16	1/16	1	78				2	1		
7	6	22	22	0.0	1/4	1/4	Chord	4/4	1	1	0	grace16	1/16	1	79				2	1		
7	6	22	22	0.5	1/4	1/4	Chord	4/4	1	1	1/8		1/8	1	80				2	1		
7	6	45/2	45/2	0.5	3/8	3/8	Chord	4/4	1	1	1/8		1/8	1	81				2	1		
7	6	23	23	0.0	1/2	1/2	Spanner	4/4	1	1	0											
7	6	23	23	1.5	1/2	1/2	Chord	4/4	1	1	3/8		1/4	3/2	82							
7	6	49/2	49/2	0.5	7/8	7/8	Chord	4/4	1	1	1/8		1/8	1	83				4			
7	6	21	21	1.0	0	0	Chord	4/4	1	2	1/4		1/4	1	84							
7	6	22	22	1.0	1/4	1/4	Chord	4/4	1	2	1/4		1/4	1	85							
7	6	23	23	2.0	1/2	1/2	Chord	4/4	1	2	1/2		1/2	1	86							
7	6	21	21	2.0	0	0	Chord	4/4	2	1	1/2		1/2	1	87							
7	6	23	23	2.0	1/2	1/2	Chord	4/4	2	1	1/2		1/2	1	88							
7	6	21	21	1.0	0	0	Chord	4/4	2	2	1/4		1/4	1	89							
7	6	22	22	1.0	1/4	1/4	Chord	4/4	2	2	1/4		1/4	1	90							
7	6	23	23	1.0	1/2	1/2	Chord	4/4	2	2	1/4		1/4	1	91							
7	6	24	24	1.0	3/4	3/4	Chord	4/4	2	2	1/4		1/4	1	92							
8	7	25	25	1.0	0	0	Chord	4/4	1	1	1/4		1/4	1	93				4			
8	7	26	26	0.0	1/4	1/4	Spanner	4/4	1	1	0								4			2
8	7	26	26	0.5	1/4	1/4	Chord	4/4	1	1	1/8		1/8	1	94				4			2
8	7	53/2	53/2	0.5	3/8	3/8	Chord	4/4	1	1	1/8		1/8	1	95				4			2
8	7	27	27	0.5	1/2	1/2	Chord	4/4	1	1	1/8		1/8	1	96				4			2
8	7	55/2	55/2	0.5	5/8	5/8	Chord	4/4	1	1	1/8		1/8	1	97				4			2
8	7	28	28	0.5	3/4	3/4	Chord	4/4	1	1	1/8		1/8	1	98				4			2
8	7	57/2	57/2	0.0	7/8	7/8	Spanner	4/4	1	1	0								4			
8	7	57/2	57/2	0.5	7/8	7/8	Chord	4/4	1	1	1/8		1/8	1	99				4			
8	7	25	25	1.0	0	0	Chord	4/4	1	2	1/4		1/4	1	100							
8	7	26	26	1.0	1/4	1/4	Chord	4/4	1	2	1/4		1/4	1	101							
8	7	27	27	1.0	1/2	1/2	Chord	4/4	1	2	1/4		1/4	1	102							
8	7	28	28	0.5	3/4	3/4	Chord	4/4	1	2	1/8		1/8	1	103							
8	7	57/2	57/2	0.5	7/8	7/8	Chord	4/4	1	2	1/8		1/8	1	104							
8	7	25	25	1.0	0	0	Chord	4/4	2	1	1/4		1/4	1	105							
8	7	26	26	0.5	1/4	1/4	Chord	4/4	2	1	1/8		1/8	1	106							
8	7	53/2	53/2	0.5	3/8	3/8	Chord	4/4	2	1	1/8		1/8	1	107							
8	7	27	27	1.0	1/2	1/2	Chord	4/4	2	1	1/4		1/4	1	108							
8	7	28	28	0.5	3/4	3/4	Chord	4/4	2	1	1/8		1/8	1	109							
8	7	57/2	57/2	0.5	7/8	7/8	Chord	4/4	2	1	1/8		1/8	1	110							
8	7	25	25	2.0	0	0	Chord	4/4	2	2	1/2		1/2	1	111							
8	7	27	27	0.5	1/2	1/2	Chord	4/4	2	2	1/8		1/8	1	112							
8	7	55/2	55/2	0.5	5/8	5/8	Chord	4/4	2	2	1/8		1/8	1	113							
8	7	28	28	1.0	3/4	3/4	Chord	4/4	2	2	1/4		1/4	1	114							
9	8	29	29	0.0	0	0	Spanner	4/4	1	1	0								4	2		
9	8	29	29	0.0	0	0	Chord	4/4	1	1	0	grace16	1/16	1	115				4	2		
9	8	29	29	0.0	0	0	Chord	4/4	1	1	0	grace16	1/16	1	116				4	2		
9	8	29	29	1.0	0	0	Chord	4/4	1	1	1/4		1/4	1	117				4	2		
9	8	30	30	0.0	1/4	1/4	StaffText	4/4	1	1	0							"<font size=""11.9365""/><font face=""Plantin MT Std""/>meno"				
9	8	30	30	0.0	1/4	1/4	Spanner	4/4	1	1	0											
9	8	30	30	2.0	1/4	1/4	Chord	4/4	1	1	1/2		1/2	1	118							
9	8	32	32	0.0	3/4	3/4	Dynamic	4/4	1	1	0					p						
9	8	32	32	1.0	3/4	3/4	Chord	4/4	1	1	1/4		1/4	1	119				5			
9	8	29	29	0.5	0	0	Chord	4/4	1	2	1/8		1/8	1	120							
9	8	59/2	59/2	0.5	1/8	1/8	Chord	4/4	1	2	1/8		1/8	1	121							
9	8	30	30	2.0	1/4	1/4	Chord	4/4	1	2	1/2		1/2	1	122							
9	8	32	32	1.0	3/4	3/4	Chord	4/4	1	2	1/4		1/4	1	123							
9	8	29	29	0.5	0	0	Chord	4/4	2	1	1/8		1/8	1	124							
9	8	59/2	59/2	0.5	1/8	1/8	Chord	4/4	2	1	1/8		1/8	1	125							
9	8	30	30	2.0	1/4	1/4	Chord	4/4	2	1	1/2		1/2	1	126							
9	8	32	32	1.0	3/4	3/4	Chord	4/4	2	1	1/4		1/4	1	127							
9	8	29	29	1.0	0	0	Chord	4/4	2	2	1/4		1/4	1	128							
9	8	30	30	2.0	1/4	1/4	Chord	4/4	2	2	1/2		1/2	1	129							
9	8	32	32	1.0	3/4	3/4	Chord	4/4	2	2	1/4		1/4	1	130							
10	9	33	33	1.0	0	0	Chord	4/4	1	1	1/4		1/4	1	131				5			
10	9	34	34	0.5	1/4	1/4	Chord	4/4	1	1	1/8		1/8	1	132				5			
10	9	69/2	69/2	0.5	3/8	3/8	Chord	4/4	1	1	1/8		1/8	1	133				5			
10	9	35	35	1.0	1/2	1/2	Chord	4/4	1	1	1/4		1/4	1	134				5			
10	9	36	36	0.5	3/4	3/4	Chord	4/4	1	1	1/8		1/8	1	135				5			
10	9	73/2	73/2	0.5	7/8	7/8	Chord	4/4	1	1	1/8		1/8	1	136				5			
10	9	33	33	1.0	0	0	Chord	4/4	1	2	1/4		1/4	1	137							
10	9	34	34	1.0	1/4	1/4	Chord	4/4	1	2	1/4		1/4	1	138							
10	9	35	35	2.0	1/2	1/2	Chord	4/4	1	2	1/2		1/2	1	139							
10	9	33	33	2.0	0	0	Chord	4/4	2	1	1/2		1/2	1	140				6			
10	9	35	35	1.0	1/2	1/2	Chord	4/4	2	1	1/4		1/4	1	141				6			
10	9	36	36	1.0	3/4	3/4	Chord	4/4	2	1	1/4		1/4	1	142				6			
11	10	37	37	0.0	0	0	Spanner	4/4	1	1	0								5		0	
11	10	37	37	1.0	0	0	Chord	4/4	1	1	1/4		1/4	1	143				5		0	
11	10	38	38	0.5	1/4	1/4	Chord	4/4	1	1	1/8		1/8	1	144				5		0	
11	10	77/2	77/2	0.5	3/8	3/8	Chord	4/4	1	1	1/8		1/8	1	145				5		0	
11	10	39	39	1.5	1/2	1/2	Chord	4/4	1	1	3/8		1/4	3/2	146						0	
11	10	81/2	81/2	0.5	7/8	7/8	Chord	4/4	1	1	1/8		1/8	1	147				7		0	
11	10	37	37	1.0	0	0	Chord	4/4	1	2	1/4		1/4	1	148						0	
11	10	38	38	1.0	1/4	1/4	Chord	4/4	1	2	1/4		1/4	1	149						0	
11	10	39	39	2.0	1/2	1/2	Chord	4/4	1	2	1/2		1/2	1	150						0	
11	10	37	37	0.5	0	0	Chord	4/4	2	1	1/8		1/8	1	151				6			
11	10	75/2	75/2	0.5	1/8	1/8	Chord	4/4	2	1	1/8		1/8	1	152				6			
11	10	38	38	1.0	1/4	1/4	Chord	4/4	2	1	1/4		1/4	1	153				6			
11	10	39	39	2.0	1/2	1/2	Chord	4/4	2	1	1/2		1/2	1	154				6			
11	10	37	37	1.0	0	0	Chord	4/4	2	2	1/4		1/4	1	155							
11	10	38	38	1.0	1/4	1/4	Chord	4/4	2	2	1/4		1/4	1	156							
11	10	39	39	1.0	1/2	1/2	Chord	4/4	2	2	1/4		1/4	1	157							
11	10	40	40	1.0	3/4	3/4	Chord	4/4	2	2	1/4		1/4	1	158							
12	11	41	41	0.0	0	0	StaffText	4/4	1	1	0							più cresc.	7			
12	11	41	41	0.0	0	0	Spanner	4/4	1	1	0								7			
12	11	41	41	1.0	0	0	Chord	4/4	1	1	1/4		1/4	1	159				7			
12	11	42	42	0.5	1/4	1/4	Chord	4/4	1	1	1/8		1/8	1	160				7			
12	11	85/2	85/2	0.5	3/8	3/8	Chord	4/4	1	1	1/8		1/8	1	161				7			
12	11	43	43	1.0	1/2	1/2	Chord	4/4	1	1	1/4		1/4	1	162				7			
12	11	44	44	0.5	3/4	3/4	Chord	4/4	1	1	1/8		1/8	1	163				7			
12	11	89/2	89/2	0.5	7/8	7/8	Chord	4/4	1	1	1/8		1/8	1	164				7			
12	11	41	41	1.0	0	0	Chord	4/4	1	2	1/4		1/4	1	165							
12	11	42	42	1.0	1/4	1/4	Chord	4/4	1	2	1/4		1/4	1	166							
12	11	43	43	1.0	1/2	1/2	Chord	4/4	1	2	1/4		1/4	1	167							
12	11	44	44	1.0	3/4	3/4	Chord	4/4	1	2	1/4		1/4	1	168							
12	11	41	41	1.0	0	0	Chord	4/4	2	1	1/4		1/4	1	169							
12	11	42	42	0.5	1/4	1/4	Chord	4/4	2	1	1/8		1/8	1	170							
12	11	85/2	85/2	0.5	3/8	3/8	Chord	4/4	2	1	1/8		1/8	1	171							
12	11	43	43	1.0	1/2	1/2	Chord	4/4	2	1	1/4		1/4	1	172							
12	11	44	44	1.0	3/4	3/4	Chord	4/4	2	1	1/4		1/4	1	173							
12	11	41	41	1.0	0	0	Chord	4/4	2	2	1/4		1/4	1	174				8			
12	11	42	42	1.0	1/4	1/4	Chord	4/4	2	2	1/4		1/4	1	175				8			
12	11	43	43	0.5	1/2	1/2	Chord	4/4	2	2	1/8		1/8	1	176				8			
12	11	87/2	87/2	0.5	5/8	5/8	Chord	4/4	2	2	1/8		1/8	1	177				8			
12	11	44	44	1.0	3/4	3/4	Chord	4/4	2	2	1/4		1/4	1	178				8			
13	12	45	45	0.0	0	0	Dynamic	4/4	1	1	0					f			7			
13	12	45	45	0.5	0	0	Chord	4/4	1	1	1/8		1/8	1	179				7			
13	12	91/2	91/2	0.5	1/8	1/8	Chord	4/4	1	1	1/8		1/8	1	180				7			
13	12	46	46	0.0	1/4	1/4	Spanner	4/4	1	1	0									3		
13	12	46	46	2.0	1/4	1/4	Chord	4/4	1	1	1/2		1/2	1	181		articAccentAbove			3		
13	12	48	48	0.0	3/4	3/4	Spanner	4/4	1	1	0											
13	12	48	48	1.0	3/4	3/4	Chord	4/4	1	1	1/4		1/4	1	182				9			
13	12	45	45	0.0	0	0	Chord	4/4	1	2	0	acciaccatura	1/8	1	183							
13	12	45	45	0.5	0	0	Chord	4/4	1	2	1/8		1/8	1	184							
13	12	91/2	91/2	0.5	1/8	1/8	Chord	4/4	1	2	1/8		1/8	1	185							
13	12	46	46	2.0	1/4	1/4	Chord	4/4	1	2	1/2		1/2	1	186							
13	12	48	48	1.0	3/4	3/4	Chord	4/4	1	2	1/4		1/4	1	187							
13	12	45	45	0.5	0	0	Chord	4/4	2	1	1/8		1/8	1	188							
13	12	91/2	91/2	0.5	1/8	1/8	Chord	4/4	2	1	1/8		1/8	1	189							
13	12	46	46	2.0	1/4	1/4	Chord	4/4	2	1	1/2		1/2	1	190							
13	12	48	48	1.0	3/4	3/4	Chord	4/4	2	1	1/4		1/4	1	191							
13	12	45	45	1.0	0	0	Chord	4/4	2	2	1/4		1/4	1	192				8			
13	12	46	46	1.0	1/4	1/4	Chord	4/4	2	2	1/4		1/4	1	193		articAccentBelow		8			
13	12	47	47	1.0	1/2	1/2	Chord	4/4	2	2	1/4		1/4	1	194				8			
13	12	48	48	0.5	3/4	3/4	Chord	4/4	2	2	1/8		1/8	1	195				8			
13	12	97/2	97/2	0.5	7/8	7/8	Chord	4/4	2	2	1/8		1/8	1	196				8			
14	13	49	49	1.0	0	0	Chord	4/4	1	1	1/4		1/4	1	197				9			
14	13	50	50	0.0	1/4	1/4	Spanner	4/4	1	1	0								9			3
14	13	50	50	0.5	1/4	1/4	Chord	4/4	1	1	1/8		1/8	1	198				9			3
14	13	101/2	101/2	0.5	3/8	3/8	Chord	4/4	1	1	1/8		1/8	1	199				9			3
14	13	51	51	1.0	1/2	1/2	Chord	4/4	1	1	1/4		1/4	1	200				9			3
14	13	52	52	0.5	3/4	3/4	Chord	4/4	1	1	1/8		1/8	1	201				9			3
14	13	105/2	105/2	0.5	7/8	7/8	Chord	4/4	1	1	1/8		1/8	1	202				9			3
14	13	49	49	1.0	0	0	Chord	4/4	1	2	1/4		1/4	1	203							3
14	13	50	50	0.5	1/4	1/4	Chord	4/4	1	2	1/8		1/8	1	204							3
14	13	101/2	101/2	0.5	3/8	3/8	Chord	4/4	1	2	1/8		1/8	1	205							3
14	13	51	51	1.0	1/2	1/2	Chord	4/4	1	2	1/4		1/4	1	206							3
14	13	52	52	1.0	3/4	3/4	Chord	4/4	1	2	1/4		1/4	1	207							3
14	13	50	50	1.0	1/4	1/4	Chord	4/4	1	3	1/4		1/4	1	208							3
14	13	49	49	0.0	0	0	Dynamic	4/4	2	1	0					p						
14	13	49	49	1.0	0	0	Chord	4/4	2	1	1/4		1/4	1	209							
14	13	50	50	1.0	1/4	1/4	Chord	4/4	2	1	1/4		1/4	1	210							
14	13	51	51	1.0	1/2	1/2	Chord	4/4	2	1	1/4		1/4	1	211							
14	13	52	52	1.0	3/4	3/4	Chord	4/4	2	1	1/4		1/4	1	212							
15	14	53	53	0.0	0	0	Spanner	4/4	1	1	0								9			
15	14	53	53	0.5	0	0	Chord	4/4	1	1	1/8		1/8	1	213				9			
15	14	107/2	107/2	0.0	1/8	1/8	Spanner	4/4	1	1	0								9	4		
15	14	107/2	107/2	0.5	1/8	1/8	Chord	4/4	1	1	1/8		1/8	1	214				9	4		
15	14	54	54	0.5	1/4	1/4	Chord	4/4	1	1	1/8		1/8	1	215				9	4		
15	14	109/2	109/2	0.5	3/8	3/8	Chord	4/4	1	1	1/8		1/8	1	216				9	4		
15	14	55	55	1.5	1/2	1/2	Chord	4/4	1	1	3/8		1/4	3/2	217					4		
15	14	113/2	113/2	0.5	7/8	7/8	Chord	4/4	1	1	1/8		1/8	1	218				10	4		
15	14	53	53	1.0	0	0	Chord	4/4	1	2	1/4		1/4	1	219					4		
15	14	54	54	1.0	1/4	1/4	Chord	4/4	1	2	1/4		1/4	1	220					4		
15	14	56	56	1.0	3/4	3/4	Chord	4/4	1	2	1/4		1/4	1	221					4		
15	14	53	53	1.0	0	0	Chord	4/4	2	1	1/4		1/4	1	222							
15	14	54	54	0.5	1/4	1/4	Chord	4/4	2	1	1/8		1/8	1	223							
15	14	109/2	109/2	0.5	3/8	3/8	Chord	4/4	2	1	1/8		1/8	1	224							
15	14	55	55	1.0	1/2	1/2	Chord	4/4	2	1	1/4		1/4	1	225							
15	14	56	56	1.0	3/4	3/4	Chord	4/4	2	1	1/4		1/4	1	226							
15	14	54	54	1.0	1/4	1/4	Chord	4/4	2	2	1/4		1/4	1	227							
15	14	55	55	1.0	1/2	1/2	Chord	4/4	2	2	1/4		1/4	1	228							
15	14	56	56	1.0	3/4	3/4	Chord	4/4	2	2	1/4		1/4	1	229							
16	15	57	57	0.0	0	0	Spanner	4/4	1	1	0								10			
16	15	57	57	1.0	0	0	Chord	4/4	1	1	1/4		1/4	1	230				10			
16	15	58	58	0.5	1/4	1/4	Chord	4/4	1	1	1/8		1/8	1	231				10			
16	15	117/2	117/2	0.5	3/8	3/8	Chord	4/4	1	1	1/8		1/8	1	232				10			
16	15	59	59	1.0	1/2	1/2	Chord	4/4	1	1	1/4		1/4	1	233				10			
16	15	60	60	0.5	3/4	3/4	Chord	4/4	1	1	1/8		1/8	1	234				10			
16	15	121/2	121/2	0.5	7/8	7/8	Chord	4/4	1	1	1/8		1/8	1	235				10			
16	15	57	57	2.0	0	0	Chord	4/4	1	2	1/2		1/2	1	236							
16	15	59	59	1.0	1/2	1/2	Chord	4/4	1	2	1/4		1/4	1	237							
16	15	60	60	0.5	3/4	3/4	Chord	4/4	1	2	1/8		1/8	1	238							
16	15	121/2	121/2	0.5	7/8	7/8	Chord	4/4	1	2	1/8		1/8	1	239							
16	15	57	57	1.0	0	0	Chord	4/4	2	1	1/4		1/4	1	240		articAccentAbove					
16	15	58	58	0.0	1/4	1/4	StaffText	4/4	2	1	0							"<font size=""11.9365""/><font face=""Plantin MT Std""/>dim."				
16	15	58	58	0.5	1/4	1/4	Chord	4/4	2	1	1/8		1/8	1	241							
16	15	117/2	117/2	0.5	3/8	3/8	Chord	4/4	2	1	1/8		1/8	1	242							
16	15	59	59	1.0	1/2	1/2	Chord	4/4	2	1	1/4		1/4	1	243		articAccentAbove					
16	15	60	60	0.5	3/4	3/4	Chord	4/4	2	1	1/8		1/8	1	244							
16	15	121/2	121/2	0.5	7/8	7/8	Chord	4/4	2	1	1/8		1/8	1	245							
16	15	57	57	4.0	0	0	Chord	4/4	2	2	1		1	1	246							
16	15	57	57	3.0	0	0	Chord	4/4	2	3	3/4		1/2	3/2	247							
17	16	61	61	0.0	0	0	Dynamic	4/4	1	1	0					pp			10			
17	16	61	61	0.0	0	0	Chord	4/4	1	1	0	grace16	1/16	1	248				10			
17	16	61	61	0.0	0	0	Chord	4/4	1	1	0	grace16	1/16	1	249				10			
17	16	61	61	1.0	0	0	Chord	4/4	1	1	1/4		1/4	1	250				10			
17	16	62	62	1.0	1/4	1/4	Chord	4/4	1	1	1/4		1/4	1	251							
17	16	63	63	0.0	1/2	1/2	StaffText	4/4	1	1	0							"<font size=""11.9365""/><font face=""Plantin MT Std""/>meno"				
17	16	63	63	0.5	1/2	1/2	Chord	4/4	1	1	1/8		1/8	1	252							
17	16	64	64	0.0	3/4	3/4	Dynamic	4/4	1	1	0					p						
17	16	64	64	1.0	3/4	3/4	Chord	4/4	1	1	1/4		1/4	1	253				11			
17	16	61	61	0.5	0	0	Chord	4/4	1	2	1/8		1/8	1	254							
17	16	123/2	123/2	0.5	1/8	1/8	Chord	4/4	1	2	1/8		1/8	1	255							
17	16	62	62	1.0	1/4	1/4	Chord	4/4	1	2	1/4		1/4	1	256							
17	16	63	63	0.5	1/2	1/2	Chord	4/4	1	2	1/8		1/8	1	257							
17	16	64	64	1.0	3/4	3/4	Chord	4/4	1	2	1/4		1/4	1	258							
17	16	61	61	0.5	0	0	Chord	4/4	2	1	1/8		1/8	1	259							
17	16	123/2	123/2	0.5	1/8	1/8	Chord	4/4	2	1	1/8		1/8	1	260							
17	16	62	62	1.0	1/4	1/4	Chord	4/4	2	1	1/4		1/4	1	261							
17	16	63	63	0.5	1/2	1/2	Chord	4/4	2	1	1/8		1/8	1	262							
17	16	64	64	1.0	3/4	3/4	Chord	4/4	2	1	1/4		1/4	1	263							
17	16	61	61	2.0	0	0	Chord	4/4	2	2	1/2		1/2	1	264							
17	16	63	63	0.5	1/2	1/2	Chord	4/4	2	2	1/8		1/8	1	265							
17	16	64	64	1.0	3/4	3/4	Chord	4/4	2	2	1/4		1/4	1	266							
18	17	65	65	1.0	0	0	Chord	4/4	1	1	1/4		1/4	1	267				11			
18	17	66	66	0.5	1/4	1/4	Chord	4/4	1	1	1/8		1/8	1	268				11			
