mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	chord_id	dynamics	articulation	staff_text	slur	decrescendo_hairpin
1	1	0	0	0.0	0	0	StaffText	2/4	1	1	0							Allegro		
1	1	0	0	0.0	0	0	Dynamic	2/4	2	1	0					p				
1	1	1	1	0.0	1/4	1/4	Chord	2/4	2	1	0	acciaccatura	1/8	1	0					
1	1	1	1	1.0	1/4	1/4	Chord	2/4	2	1	1/4		1/4	1	1		articAccentBelow			
2	2	2	2	1.0	0	0	Chord	2/4	2	1	1/4		1/4	1	2					
2	2	3	3	0.0	1/4	1/4	Chord	2/4	2	1	0	acciaccatura	1/8	1	3					
2	2	3	3	1.0	1/4	1/4	Chord	2/4	2	1	1/4		1/4	1	4		articAccentBelow			
3	3	4	4	1.0	0	0	Chord	2/4	2	1	1/4		1/4	1	5					
3	3	5	5	0.0	1/4	1/4	Chord	2/4	2	1	0	acciaccatura	1/8	1	6					
3	3	5	5	1.0	1/4	1/4	Chord	2/4	2	1	1/4		1/4	1	7		articAccentBelow			
4	4	6	6	1.0	0	0	Chord	2/4	2	1	1/4		1/4	1	8					
4	4	7	7	0.0	1/4	1/4	Chord	2/4	2	1	0	acciaccatura	1/8	1	9					
4	4	7	7	1.0	1/4	1/4	Chord	2/4	2	1	1/4		1/4	1	10		articAccentBelow			
5	5	8	8	0.5	0	0	Chord	2/4	1	1	1/8		1/8	1	11					
5	5	17/2	17/2	0.25	1/8	1/8	Chord	2/4	1	1	1/16		1/16	1	12					
5	5	35/4	35/4	0.25	3/16	3/16	Chord	2/4	1	1	1/16		1/16	1	13					
5	5	9	9	0.5	1/4	1/4	Chord	2/4	1	1	1/8		1/8	1	14					
5	5	19/2	19/2	0.25	3/8	3/8	Chord	2/4	1	1	1/16		1/16	1	15					
5	5	39/4	39/4	0.25	7/16	7/16	Chord	2/4	1	1	1/16		1/16	1	16					
5	5	9	9	1.0	1/4	1/4	Chord	2/4	1	2	1/4		1/4	1	17					
5	5	8	8	1.0	0	0	Chord	2/4	2	1	1/4		1/4	1	18					
5	5	9	9	0.0	1/4	1/4	Chord	2/4	2	1	0	acciaccatura	1/8	1	19					
5	5	9	9	1.0	1/4	1/4	Chord	2/4	2	1	1/4		1/4	1	20					
6	6	10	10	0.5	0	0	Chord	2/4	1	1	1/8		1/8	1	21					
6	6	21/2	21/2	0.25	1/8	1/8	Chord	2/4	1	1	1/16		1/16	1	22					
6	6	43/4	43/4	0.25	3/16	3/16	Chord	2/4	1	1	1/16		1/16	1	23					
6	6	11	11	0.5	1/4	1/4	Chord	2/4	1	1	1/8		1/8	1	24		articStaccatoBelow			
6	6	23/2	23/2	0.5	3/8	3/8	Chord	2/4	1	1	1/8		1/8	1	25		articAccentBelow			
6	6	10	10	1.0	0	0	Chord	2/4	2	1	1/4		1/4	1	26					
6	6	11	11	0.0	1/4	1/4	Chord	2/4	2	1	0	acciaccatura	1/8	1	27					
6	6	11	11	1.0	1/4	1/4	Chord	2/4	2	1	1/4		1/4	1	28					
7	7	12	12	0.25	0	0	Chord	2/4	1	1	1/16		1/16	1	29					
7	7	49/4	49/4	0.25	1/16	1/16	Chord	2/4	1	1	1/16		1/16	1	30					
7	7	25/2	25/2	0.25	1/8	1/8	Chord	2/4	1	1	1/16		1/16	1	31					
7	7	51/4	51/4	0.25	3/16	3/16	Chord	2/4	1	1	1/16		1/16	1	32					
7	7	13	13	0.25	1/4	1/4	Chord	2/4	1	1	1/16		1/16	1	33					
7	7	53/4	53/4	0.25	5/16	5/16	Chord	2/4	1	1	1/16		1/16	1	34					
7	7	27/2	27/2	0.25	3/8	3/8	Chord	2/4	1	1	1/16		1/16	1	35					
7	7	55/4	55/4	0.25	7/16	7/16	Chord	2/4	1	1	1/16		1/16	1	36					
7	7	12	12	1.0	0	0	Chord	2/4	2	1	1/4		1/4	1	37					
7	7	13	13	0.0	1/4	1/4	Chord	2/4	2	1	0	acciaccatura	1/8	1	38					
7	7	13	13	1.0	1/4	1/4	Chord	2/4	2	1	1/4		1/4	1	39					
8	8	14	14	0.5	0	0	Chord	2/4	1	1	1/8		1/8	1	40					
8	8	29/2	29/2	0.25	1/8	1/8	Chord	2/4	1	1	1/16		1/16	1	41					
8	8	59/4	59/4	0.25	3/16	3/16	Chord	2/4	1	1	1/16		1/16	1	42					
8	8	15	15	0.5	1/4	1/4	Chord	2/4	1	1	1/8		1/8	1	43		articStaccatoBelow			
8	8	31/2	31/2	0.5	3/8	3/8	Chord	2/4	1	1	1/8		1/8	1	44		articAccentBelow			
8	8	14	14	1.0	0	0	Chord	2/4	2	1	1/4		1/4	1	45					
8	8	15	15	0.0	1/4	1/4	Chord	2/4	2	1	0	acciaccatura	1/8	1	46					
8	8	15	15	1.0	1/4	1/4	Chord	2/4	2	1	1/4		1/4	1	47					
9	9	16	16	0.0	0	0	StaffText	2/4	1	1	0							cresc.		
9	9	16	16	0.5	0	0	Chord	2/4	1	1	1/8		1/8	1	48					
9	9	33/2	33/2	0.25	1/8	1/8	Chord	2/4	1	1	1/16		1/16	1	49					
9	9	67/4	67/4	0.25	3/16	3/16	Chord	2/4	1	1	1/16		1/16	1	50					
9	9	17	17	0.5	1/4	1/4	Chord	2/4	1	1	1/8		1/8	1	51					
9	9	35/2	35/2	0.25	3/8	3/8	Chord	2/4	1	1	1/16		1/16	1	52					
9	9	71/4	71/4	0.25	7/16	7/16	Chord	2/4	1	1	1/16		1/16	1	53					
9	9	17	17	1.0	1/4	1/4	Chord	2/4	1	2	1/4		1/4	1	54					
9	9	16	16	1.0	0	0	Chord	2/4	2	1	1/4		1/4	1	55					
9	9	17	17	0.0	1/4	1/4	Chord	2/4	2	1	0	acciaccatura	1/8	1	56					
9	9	17	17	1.0	1/4	1/4	Chord	2/4	2	1	1/4		1/4	1	57					
10	10	18	18	0.5	0	0	Chord	2/4	1	1	1/8		1/8	1	58					
10	10	37/2	37/2	0.25	1/8	1/8	Chord	2/4	1	1	1/16		1/16	1	59					
10	10	75/4	75/4	0.25	3/16	3/16	Chord	2/4	1	1	1/16		1/16	1	60					
10	10	19	19	0.5	1/4	1/4	Chord	2/4	1	1	1/8		1/8	1	61		articStaccatoBelow			
10	10	39/2	39/2	0.5	3/8	3/8	Chord	2/4	1	1	1/8		1/8	1	62		articAccentBelow			
10	10	18	18	1.0	0	0	Chord	2/4	2	1	1/4		1/4	1	63					
10	10	19	19	0.0	1/4	1/4	Chord	2/4	2	1	0	acciaccatura	1/8	1	64					
10	10	19	19	1.0	1/4	1/4	Chord	2/4	2	1	1/4		1/4	1	65					
11	11	20	20	0.25	0	0	Chord	2/4	1	1	1/16		1/16	1	66					
11	11	81/4	81/4	0.25	1/16	1/16	Chord	2/4	1	1	1/16		1/16	1	67					
11	11	41/2	41/2	0.25	1/8	1/8	Chord	2/4	1	1	1/16		1/16	1	68					
11	11	83/4	83/4	0.25	3/16	3/16	Chord	2/4	1	1	1/16		1/16	1	69					
11	11	21	21	0.25	1/4	1/4	Chord	2/4	1	1	1/16		1/16	1	70					
11	11	85/4	85/4	0.25	5/16	5/16	Chord	2/4	1	1	1/16		1/16	1	71					
11	11	43/2	43/2	0.25	3/8	3/8	Chord	2/4	1	1	1/16		1/16	1	72					
11	11	87/4	87/4	0.25	7/16	7/16	Chord	2/4	1	1	1/16		1/16	1	73					
11	11	20	20	1.0	0	0	Chord	2/4	2	1	1/4		1/4	1	74					
11	11	21	21	0.0	1/4	1/4	Chord	2/4	2	1	0	acciaccatura	1/8	1	75					
11	11	21	21	1.0	1/4	1/4	Chord	2/4	2	1	1/4		1/4	1	76					
12	12	22	22	0.5	0	0	Chord	2/4	1	1	1/8		1/8	1	77					
