mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	chord_id	dynamics	articulation	staff_text	tempo	qpm	metronome_base	metronome_number	tempo_visible	crescendo_hairpin
1	1	0	0	0.0	0	0	StaffText	6/8	1	1	0							"<font size=""12.2776""/><font face=""Plantin MT Std""/><b>Allegretto</b>"						
1	1	0	0	0.0	0	0	Tempo	6/8	1	1	0								𝅘𝅥=100	100.0	𝅘𝅥	100.0	1.0	
1	1	0	0	1.5	0	0	Chord	6/8	1	1	3/8		1/4	3/2	0									
1	1	3/2	3/2	1.5	3/8	3/8	Chord	6/8	1	1	3/8		1/4	3/2	1		articAccentAbove							
1	1	0	0	1.0	0	0	Chord	6/8	1	2	1/4		1/4	1	2									
1	1	1	1	0.5	1/4	1/4	Chord	6/8	1	2	1/8		1/8	1	3									
1	1	3/2	3/2	1.0	3/8	3/8	Chord	6/8	1	2	1/4		1/4	1	4									
1	1	5/2	5/2	0.5	5/8	5/8	Chord	6/8	1	2	1/8		1/8	1	5									
1	1	0	0	0.0	0	0	StaffText	6/8	2	1	0							"<font size=""11.2544""/><font face=""Plantin MT Std""/>la melodia ben tenuto"						
1	1	0	0	0.0	0	0	Dynamic	6/8	2	1	0					p								
1	1	0	0	1.0	0	0	Chord	6/8	2	1	1/4		1/4	1	6									
1	1	1	1	0.5	1/4	1/4	Chord	6/8	2	1	1/8		1/8	1	7									
1	1	3/2	3/2	1.0	3/8	3/8	Chord	6/8	2	1	1/4		1/4	1	8									
1	1	5/2	5/2	0.5	5/8	5/8	Chord	6/8	2	1	1/8		1/8	1	9									
2	2	3	3	1.5	0	0	Chord	6/8	1	1	3/8		1/4	3/2	10									
2	2	9/2	9/2	0.0	3/8	3/8	Chord	6/8	1	1	0	acciaccatura	1/8	1	11									
2	2	9/2	9/2	0.5	3/8	3/8	Chord	6/8	1	1	1/8		1/8	1	12									
2	2	5	5	0.5	1/2	1/2	Chord	6/8	1	1	1/8		1/8	1	13									
2	2	11/2	11/2	0.5	5/8	5/8	Chord	6/8	1	1	1/8		1/8	1	14									
2	2	3	3	1.0	0	0	Chord	6/8	1	2	1/4		1/4	1	15									
2	2	4	4	0.5	1/4	1/4	Chord	6/8	1	2	1/8		1/8	1	16									
2	2	9/2	9/2	1.0	3/8	3/8	Chord	6/8	1	2	1/4		1/4	1	17									
2	2	11/2	11/2	0.5	5/8	5/8	Chord	6/8	1	2	1/8		1/8	1	18									
2	2	3	3	1.0	0	0	Chord	6/8	2	1	1/4		1/4	1	19									
2	2	4	4	0.5	1/4	1/4	Chord	6/8	2	1	1/8		1/8	1	20									
2	2	9/2	9/2	1.0	3/8	3/8	Chord	6/8	2	1	1/4		1/4	1	21									
2	2	11/2	11/2	0.5	5/8	5/8	Chord	6/8	2	1	1/8		1/8	1	22									
3	3	6	6	1.5	0	0	Chord	6/8	1	1	3/8		1/4	3/2	23									
3	3	15/2	15/2	1.5	3/8	3/8	Chord	6/8	1	1	3/8		1/4	3/2	24		articAccentAbove							
3	3	6	6	1.0	0	0	Chord	6/8	1	2	1/4		1/4	1	25									
3	3	7	7	0.5	1/4	1/4	Chord	6/8	1	2	1/8		1/8	1	26									
3	3	15/2	15/2	1.0	3/8	3/8	Chord	6/8	1	2	1/4		1/4	1	27									
3	3	17/2	17/2	0.5	5/8	5/8	Chord	6/8	1	2	1/8		1/8	1	28									
3	3	6	6	1.0	0	0	Chord	6/8	2	1	1/4		1/4	1	29									
3	3	7	7	0.5	1/4	1/4	Chord	6/8	2	1	1/8		1/8	1	30									
3	3	15/2	15/2	1.0	3/8	3/8	Chord	6/8	2	1	1/4		1/4	1	31									
3	3	17/2	17/2	0.5	5/8	5/8	Chord	6/8	2	1	1/8		1/8	1	32									
4	4	9	9	1.5	0	0	Chord	6/8	1	1	3/8		1/4	3/2	33									
4	4	21/2	21/2	0.0	3/8	3/8	Chord	6/8	1	1	0	acciaccatura	1/8	1	34									
4	4	21/2	21/2	0.5	3/8	3/8	Chord	6/8	1	1	1/8		1/8	1	35									
4	4	11	11	0.5	1/2	1/2	Chord	6/8	1	1	1/8		1/8	1	36									
4	4	23/2	23/2	0.5	5/8	5/8	Chord	6/8	1	1	1/8		1/8	1	37									
4	4	9	9	1.0	0	0	Chord	6/8	1	2	1/4		1/4	1	38									
4	4	10	10	0.5	1/4	1/4	Chord	6/8	1	2	1/8		1/8	1	39									
4	4	21/2	21/2	1.0	3/8	3/8	Chord	6/8	1	2	1/4		1/4	1	40									
4	4	23/2	23/2	0.5	5/8	5/8	Chord	6/8	1	2	1/8		1/8	1	41									
4	4	9	9	1.0	0	0	Chord	6/8	2	1	1/4		1/4	1	42									
4	4	10	10	0.5	1/4	1/4	Chord	6/8	2	1	1/8		1/8	1	43									
4	4	21/2	21/2	1.0	3/8	3/8	Chord	6/8	2	1	1/4		1/4	1	44									
4	4	23/2	23/2	0.5	5/8	5/8	Chord	6/8	2	1	1/8		1/8	1	45									
5	5	12	12	1.5	0	0	Chord	6/8	1	1	3/8		1/4	3/2	46									
5	5	27/2	27/2	1.5	3/8	3/8	Chord	6/8	1	1	3/8		1/4	3/2	47		articAccentAbove							
5	5	12	12	1.0	0	0	Chord	6/8	1	2	1/4		1/4	1	48									
5	5	13	13	0.5	1/4	1/4	Chord	6/8	1	2	1/8		1/8	1	49									
5	5	27/2	27/2	1.0	3/8	3/8	Chord	6/8	1	2	1/4		1/4	1	50									
5	5	29/2	29/2	0.5	5/8	5/8	Chord	6/8	1	2	1/8		1/8	1	51									
5	5	12	12	1.0	0	0	Chord	6/8	2	1	1/4		1/4	1	52									
5	5	13	13	0.5	1/4	1/4	Chord	6/8	2	1	1/8		1/8	1	53									
5	5	27/2	27/2	1.0	3/8	3/8	Chord	6/8	2	1	1/4		1/4	1	54									
5	5	29/2	29/2	0.5	5/8	5/8	Chord	6/8	2	1	1/8		1/8	1	55									
6	6	15	15	1.5	0	0	Chord	6/8	1	1	3/8		1/4	3/2	56									
6	6	33/2	33/2	0.0	3/8	3/8	Chord	6/8	1	1	0	acciaccatura	1/8	1	57									
6	6	33/2	33/2	0.5	3/8	3/8	Chord	6/8	1	1	1/8		1/8	1	58									
6	6	17	17	0.5	1/2	1/2	Chord	6/8	1	1	1/8		1/8	1	59									
6	6	35/2	35/2	0.5	5/8	5/8	Chord	6/8	1	1	1/8		1/8	1	60									
6	6	15	15	1.0	0	0	Chord	6/8	1	2	1/4		1/4	1	61									
6	6	16	16	0.5	1/4	1/4	Chord	6/8	1	2	1/8		1/8	1	62									
6	6	33/2	33/2	1.0	3/8	3/8	Chord	6/8	1	2	1/4		1/4	1	63									
6	6	35/2	35/2	0.5	5/8	5/8	Chord	6/8	1	2	1/8		1/8	1	64									
6	6	15	15	1.0	0	0	Chord	6/8	2	1	1/4		1/4	1	65									
6	6	16	16	0.5	1/4	1/4	Chord	6/8	2	1	1/8		1/8	1	66									
6	6	33/2	33/2	1.0	3/8	3/8	Chord	6/8	2	1	1/4		1/4	1	67									
6	6	35/2	35/2	0.5	5/8	5/8	Chord	6/8	2	1	1/8		1/8	1	68									
7	7	18	18	1.5	0	0	Chord	6/8	1	1	3/8		1/4	3/2	69									
