mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	nominal_duration	scalar	chord_id	dynamics	articulation	staff_text	tempo	qpm	metronome_base	metronome_number	tempo_visible	slur	decrescendo_hairpin	crescendo_hairpin	pedal	Pedal_<sym>keyboardPedalPed</sym>
4	3	29/3	29/3	0.3333333333333333	2/3	2/3	Chord	3/4	2	1	1/12	1/8	2/3	24										0			
4	3	7	7	3.0	0	0	Chord	3/4	2	2	3/4	1/2	3/2	25										0			
5	4	10	10	1.0	0	0	Chord	3/4	1	1	1/4	1/4	1	26									0				
5	4	11	11	1.0	1/4	1/4	Chord	3/4	1	1	1/4	1/4	1	27													
5	4	12	12	0.5	1/2	1/2	Chord	3/4	1	1	1/8	1/8	1	28													
5	4	25/2	25/2	0.16666666666666666	5/8	5/8	Chord	3/4	1	1	1/24	1/16	2/3	29													
5	4	38/3	38/3	0.16666666666666666	2/3	2/3	Chord	3/4	1	1	1/24	1/16	2/3	30													
5	4	77/6	77/6	0.16666666666666666	17/24	17/24	Chord	3/4	1	1	1/24	1/16	2/3	31													
5	4	10	10	1.0	0	0	Chord	3/4	1	2	1/4	1/4	1	32													
5	4	11	11	1.0	1/4	1/4	Chord	3/4	1	2	1/4	1/4	1	33													
5	4	10	10	0.3333333333333333	0	0	Chord	3/4	2	1	1/12	1/8	2/3	34										0			
5	4	31/3	31/3	0.3333333333333333	1/12	1/12	Chord	3/4	2	1	1/12	1/8	2/3	35										0			
5	4	32/3	32/3	0.3333333333333333	1/6	1/6	Chord	3/4	2	1	1/12	1/8	2/3	36										0			
5	4	11	11	0.0	1/4	1/4	Spanner	3/4	2	1	0																
5	4	11	11	1.0	1/4	1/4	Chord	3/4	2	1	1/4	1/4	1	37													
5	4	10	10	2.0	0	0	Chord	3/4	2	2	1/2	1/2	1	38													
6	5	13	13	2.0	0	0	Chord	3/4	1	1	1/2	1/2	1	39		articAccentBelow											
6	5	15	15	0.5	1/2	1/2	Chord	3/4	1	1	1/8	1/8	1	40													
6	5	31/2	31/2	0.16666666666666666	5/8	5/8	Chord	3/4	1	1	1/24	1/16	2/3	41													
6	5	47/3	47/3	0.16666666666666666	2/3	2/3	Chord	3/4	1	1	1/24	1/16	2/3	42													
6	5	95/6	95/6	0.16666666666666666	17/24	17/24	Chord	3/4	1	1	1/24	1/16	2/3	43													
6	5	13	13	1.0	0	0	Chord	3/4	2	1	1/4	1/4	1	44		articAccentAbove											
6	5	14	14	1.0	1/4	1/4	Chord	3/4	2	1	1/4	1/4	1	45													
7	6	16	16	2.0	0	0	Chord	3/4	1	1	1/2	1/2	1	46		articAccentBelow											
7	6	18	18	0.0	1/2	1/2	Spanner	3/4	1	1	0														1		
7	6	18	18	0.3333333333333333	1/2	1/2	Chord	3/4	1	1	1/12	1/8	2/3	47											1		
7	6	55/3	55/3	0.3333333333333333	7/12	7/12	Chord	3/4	1	1	1/12	1/8	2/3	48											1		
7	6	56/3	56/3	0.3333333333333333	2/3	2/3	Chord	3/4	1	1	1/12	1/8	2/3	49											1		
7	6	16	16	1.0	0	0	Chord	3/4	2	1	1/4	1/4	1	50		articAccentAbove											
7	6	17	17	1.0	1/4	1/4	Chord	3/4	2	1	1/4	1/4	1	51													
8	7	19	19	0.0	0	0	Spanner	3/4	1	1	0																
8	7	19	19	0.0	0	0	Spanner	3/4	1	1	0													1			
8	7	19	19	0.3333333333333333	0	0	Chord	3/4	1	1	1/12	1/8	2/3	52										1			
8	7	58/3	58/3	0.3333333333333333	1/12	1/12	Chord	3/4	1	1	1/12	1/8	2/3	53										1			
8	7	59/3	59/3	0.3333333333333333	1/6	1/6	Chord	3/4	1	1	1/12	1/8	2/3	54										1			
8	7	20	20	0.0	1/4	1/4	Spanner	3/4	1	1	0																
8	7	20	20	1.0	1/4	1/4	Chord	3/4	1	1	1/4	1/4	1	55													
8	7	21	21	0.75	1/2	1/2	Chord	3/4	1	1	3/16	1/8	3/2	56													
8	7	87/4	87/4	0.25	11/16	11/16	Chord	3/4	1	1	1/16	1/16	1	57													
8	7	19	19	1.0	0	0	Chord	3/4	1	2	1/4	1/4	1	58													
8	7	20	20	1.0	1/4	1/4	Chord	3/4	1	2	1/4	1/4	1	59													
8	7	21	21	1.0	1/2	1/2	Chord	3/4	1	2	1/4	1/4	1	60													
8	7	19	19	2.0	0	0	Chord	3/4	2	1	1/2	1/2	1	61													
8	7	21	21	1.0	1/2	1/2	Chord	3/4	2	1	1/4	1/4	1	62													
8	7	19	19	1.5	0	0	Chord	3/4	2	2	3/8	1/4	3/2	63													
8	7	41/2	41/2	0.5	3/8	3/8	Chord	3/4	2	2	1/8	1/8	1	64													
8	7	21	21	1.0	1/2	1/2	Chord	3/4	2	2	1/4	1/4	1	65													
9	8	22	22	2.0	0	0	Chord	3/4	1	1	1/2	1/2	1	66													
9	8	22	22	0.0	0	0	Spanner	3/4	2	1	0															0	0
9	8	22	22	1.0	0	0	Chord	3/4	2	1	1/4	1/4	1	67												0	0
9	8	23	23	1.0	1/4	1/4	Chord	3/4	2	1	1/4	1/4	1	68												0	0
10	8	24	24	0.0	0	1/2	Dynamic	3/4	1	1	0				pp												
10	8	24	24	0.3333333333333333	0	1/2	Chord	3/4	1	1	1/12	1/8	2/3	69													
10	8	73/3	73/3	0.3333333333333333	1/12	7/12	Chord	3/4	1	1	1/12	1/8	2/3	70													
10	8	74/3	74/3	0.3333333333333333	1/6	2/3	Chord	3/4	1	1	1/12	1/8	2/3	71													
10	8	24	24	0.0	0	1/2	Spanner	3/4	2	1	0																
11	9	25	25	0.3333333333333333	0	0	Chord	3/4	1	1	1/12	1/8	2/3	72													
11	9	76/3	76/3	0.3333333333333333	1/12	1/12	Chord	3/4	1	1	1/12	1/8	2/3	73													
11	9	77/3	77/3	0.3333333333333333	1/6	1/6	Chord	3/4	1	1	1/12	1/8	2/3	74													
11	9	26	26	1.0	1/4	1/4	Chord	3/4	1	1	1/4	1/4	1	75													
11	9	27	27	0.0	1/2	1/2	Spanner	3/4	1	1	0														2		
11	9	27	27	0.3333333333333333	1/2	1/2	Chord	3/4	1	1	1/12	1/8	2/3	76											2		
11	9	82/3	82/3	0.3333333333333333	7/12	7/12	Chord	3/4	1	1	1/12	1/8	2/3	77											2		
11	9	83/3	83/3	0.3333333333333333	2/3	2/3	Chord	3/4	1	1	1/12	1/8	2/3	78											2		
11	9	25	25	3.0	0	0	Chord	3/4	1	2	3/4	1/2	3/2	79											2		
11	9	25	25	0.5	0	0	Chord	3/4	2	1	1/8	1/8	1	80													
11	9	51/2	51/2	0.5	1/8	1/8	Chord	3/4	2	1	1/8	1/8	1	81													
11	9	26	26	0.5	1/4	1/4	Chord	3/4	2	1	1/8	1/8	1	82													
11	9	53/2	53/2	0.5	3/8	3/8	Chord	3/4	2	1	1/8	1/8	1	83													
11	9	27	27	0.5	1/2	1/2	Chord	3/4	2	1	1/8	1/8	1	84													
11	9	55/2	55/2	0.5	5/8	5/8	Chord	3/4	2	1	1/8	1/8	1	85													
12	10	28	28	0.0	0	0	Spanner	3/4	1	1	0																
12	10	28	28	0.0	0	0	Spanner	3/4	1	1	0													2			
12	10	28	28	0.3333333333333333	0	0	Chord	3/4	1	1	1/12	1/8	2/3	86										2			
12	10	85/3	85/3	0.3333333333333333	1/12	1/12	Chord	3/4	1	1	1/12	1/8	2/3	87										2			
12	10	86/3	86/3	0.3333333333333333	1/6	1/6	Chord	3/4	1	1	1/12	1/8	2/3	88										2			
12	10	29	29	0.0	1/4	1/4	Spanner	3/4	1	1	0																
12	10	29	29	1.0	1/4	1/4	Chord	3/4	1	1	1/4	1/4	1	89													
12	10	30	30	0.3333333333333333	1/2	1/2	Chord	3/4	1	1	1/12	1/8	2/3	90													
12	10	91/3	91/3	0.3333333333333333	7/12	7/12	Chord	3/4	1	1	1/12	1/8	2/3	91													
12	10	92/3	92/3	0.3333333333333333	2/3	2/3	Chord	3/4	1	1	1/12	1/8	2/3	92													
12	10	28	28	3.0	0	0	Chord	3/4	1	2	3/4	1/2	3/2	93													
12	10	28	28	0.5	0	0	Chord	3/4	2	1	1/8	1/8	1	94													
12	10	57/2	57/2	0.5	1/8	1/8	Chord	3/4	2	1	1/8	1/8	1	95													
12	10	29	29	0.5	1/4	1/4	Chord	3/4	2	1	1/8	1/8	1	96													
12	10	59/2	59/2	0.5	3/8	3/8	Chord	3/4	2	1	1/8	1/8	1	97													
12	10	30	30	0.5	1/2	1/2	Chord	3/4	2	1	1/8	1/8	1	98													
12	10	61/2	61/2	0.5	5/8	5/8	Chord	3/4	2	1	1/8	1/8	1	99													
13	11	31	31	0.3333333333333333	0	0	Chord	3/4	1	1	1/12	1/8	2/3	100													
13	11	94/3	94/3	0.3333333333333333	1/12	1/12	Chord	3/4	1	1	1/12	1/8	2/3	101													
13	11	95/3	95/3	0.3333333333333333	1/6	1/6	Chord	3/4	1	1	1/12	1/8	2/3	102													
13	11	32	32	1.0	1/4	1/4	Chord	3/4	1	1	1/4	1/4	1	103													
13	11	33	33	0.0	1/2	1/2	Spanner	3/4	1	1	0														3		
13	11	33	33	0.3333333333333333	1/2	1/2	Chord	3/4	1	1	1/12	1/8	2/3	104											3		
13	11	100/3	100/3	0.3333333333333333	7/12	7/12	Chord	3/4	1	1	1/12	1/8	2/3	105											3		
13	11	101/3	101/3	0.3333333333333333	2/3	2/3	Chord	3/4	1	1	1/12	1/8	2/3	106											3		
13	11	31	31	3.0	0	0	Chord	3/4	1	2	3/4	1/2	3/2	107											3		
13	11	31	31	0.5	0	0	Chord	3/4	2	1	1/8	1/8	1	108													
13	11	63/2	63/2	0.5	1/8	1/8	Chord	3/4	2	1	1/8	1/8	1	109													
13	11	32	32	0.5	1/4	1/4	Chord	3/4	2	1	1/8	1/8	1	110													
13	11	65/2	65/2	0.5	3/8	3/8	Chord	3/4	2	1	1/8	1/8	1	111													
13	11	33	33	0.5	1/2	1/2	Chord	3/4	2	1	1/8	1/8	1	112													
13	11	67/2	67/2	0.5	5/8	5/8	Chord	3/4	2	1	1/8	1/8	1	113													
14	12	34	34	0.0	0	0	Spanner	3/4	1	1	0																
14	12	34	34	0.0	0	0	Spanner	3/4	1	1	0													3			
14	12	34	34	1.0	0	0	Chord	3/4	1	1	1/4	1/4	1	114										3			
14	12	35	35	2.0	1/4	1/4	Chord	3/4	1	1	1/2	1/2	1	115										3			
14	12	34	34	0.5	0	0	Chord	3/4	2	1	1/8	1/8	1	116													
14	12	69/2	69/2	0.5	1/8	1/8	Chord	3/4	2	1	1/8	1/8	1	117													
14	12	35	35	0.5	1/4	1/4	Chord	3/4	2	1	1/8	1/8	1	118													
14	12	71/2	71/2	0.5	3/8	3/8	Chord	3/4	2	1	1/8	1/8	1	119													
14	12	36	36	0.5	1/2	1/2	Chord	3/4	2	1	1/8	1/8	1	120													
14	12	73/2	73/2	0.5	5/8	5/8	Chord	3/4	2	1	1/8	1/8	1	121													
15	13	37	37	0.0	0	0	Dynamic	3/4	1	1	0				pp												
15	13	37	37	0.0	0	0	Spanner	3/4	1	1	0																
15	13	37	37	0.3333333333333333	0	0	Chord	3/4	1	1	1/12	1/8	2/3	122													
15	13	112/3	112/3	0.3333333333333333	1/12	1/12	Chord	3/4	1	1	1/12	1/8	2/3	123													
15	13	113/3	113/3	0.3333333333333333	1/6	1/6	Chord	3/4	1	1	1/12	1/8	2/3	124													
15	13	38	38	1.0	1/4	1/4	Chord	3/4	1	1	1/4	1/4	1	125													
15	13	39	39	0.3333333333333333	1/2	1/2	Chord	3/4	1	1	1/12	1/8	2/3	126													
15	13	118/3	118/3	0.3333333333333333	7/12	7/12	Chord	3/4	1	1	1/12	1/8	2/3	127													
15	13	119/3	119/3	0.3333333333333333	2/3	2/3	Chord	3/4	1	1	1/12	1/8	2/3	128													
15	13	37	37	3.0	0	0	Chord	3/4	1	2	3/4	1/2	3/2	129													
15	13	37	37	0.5	0	0	Chord	3/4	2	1	1/8	1/8	1	130													
15	13	75/2	75/2	0.5	1/8	1/8	Chord	3/4	2	1	1/8	1/8	1	131													
15	13	38	38	0.5	1/4	1/4	Chord	3/4	2	1	1/8	1/8	1	132													
15	13	77/2	77/2	0.5	3/8	3/8	Chord	3/4	2	1	1/8	1/8	1	133													
15	13	39	39	0.5	1/2	1/2	Chord	3/4	2	1	1/8	1/8	1	134													
15	13	79/2	79/2	0.5	5/8	5/8	Chord	3/4	2	1	1/8	1/8	1	135													
16	14	40	40	0.3333333333333333	0	0	Chord	3/4	1	1	1/12	1/8	2/3	136													
16	14	121/3	121/3	0.3333333333333333	1/12	1/12	Chord	3/4	1	1	1/12	1/8	2/3	137													
16	14	122/3	122/3	0.3333333333333333	1/6	1/6	Chord	3/4	1	1	1/12	1/8	2/3	138													
16	14	41	41	1.0	1/4	1/4	Chord	3/4	1	1	1/4	1/4	1	139													
16	14	42	42	0.3333333333333333	1/2	1/2	Chord	3/4	1	1	1/12	1/8	2/3	140													
16	14	127/3	127/3	0.3333333333333333	7/12	7/12	Chord	3/4	1	1	1/12	1/8	2/3	141													
16	14	128/3	128/3	0.3333333333333333	2/3	2/3	Chord	3/4	1	1	1/12	1/8	2/3	142													
16	14	40	40	3.0	0	0	Chord	3/4	1	2	3/4	1/2	3/2	143													
16	14	40	40	0.5	0	0	Chord	3/4	2	1	1/8	1/8	1	144													
16	14	81/2	81/2	0.5	1/8	1/8	Chord	3/4	2	1	1/8	1/8	1	145													
16	14	41	41	0.5	1/4	1/4	Chord	3/4	2	1	1/8	1/8	1	146													
16	14	83/2	83/2	0.5	3/8	3/8	Chord	3/4	2	1	1/8	1/8	1	147													
16	14	42	42	0.5	1/2	1/2	Chord	3/4	2	1	1/8	1/8	1	148													
16	14	85/2	85/2	0.5	5/8	5/8	Chord	3/4	2	1	1/8	1/8	1	149													
17	15	43	43	0.3333333333333333	0	0	Chord	3/4	1	1	1/12	1/8	2/3	150													
17	15	130/3	130/3	0.3333333333333333	1/12	1/12	Chord	3/4	1	1	1/12	1/8	2/3	151													
17	15	131/3	131/3	0.3333333333333333	1/6	1/6	Chord	3/4	1	1	1/12	1/8	2/3	152													
17	15	44	44	1.0	1/4	1/4	Chord	3/4	1	1	1/4	1/4	1	153													
17	15	45	45	0.3333333333333333	1/2	1/2	Chord	3/4	1	1	1/12	1/8	2/3	154													
17	15	136/3	136/3	0.3333333333333333	7/12	7/12	Chord	3/4	1	1	1/12	1/8	2/3	155													
17	15	137/3	137/3	0.3333333333333333	2/3	2/3	Chord	3/4	1	1	1/12	1/8	2/3	156													
17	15	43	43	2.0	0	0	Chord	3/4	1	2	1/2	1/2	1	157													
17	15	43	43	0.5	0	0	Chord	3/4	2	1	1/8	1/8	1	158													
