mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	chord_id	dynamics	articulation	staff_text	tempo	qpm	metronome_base	metronome_number	tempo_visible	slur	pedal	Pedal_<sym>keyboardPedalPed</sym>	crescendo_hairpin	decrescendo_hairpin
1	1	0	0	0.0	0	0	StaffText	2/4	1	1	0							"<font size=""13""/><font face=""Times New Roman""/>Largo"										
1	1	0	0	0.0	0	0	Dynamic	2/4	1	1	0					p												
1	1	0	0	0.0	0	0	Tempo	2/4	1	1	0								𝅘𝅥𝅮=75	38.0	𝅘𝅥𝅮	75.0	0.0					
1	1	0	0	1.0	0	0	Chord	2/4	1	1	1/4		1/4	1	0									0				
1	1	1	1	0.0	1/4	1/4	Spanner	2/4	1	1	0													0			0	
1	1	1	1	0.75	1/4	1/4	Chord	2/4	1	1	3/16		1/8	3/2	1									0			0	
1	1	7/4	7/4	0.25	7/16	7/16	Chord	2/4	1	1	1/16		1/16	1	2									0			0	
1	1	0	0	1.0	0	0	Chord	2/4	2	1	1/4		1/4	1	3									1				
1	1	1	1	0.75	1/4	1/4	Chord	2/4	2	1	3/16		1/8	3/2	4									1				
1	1	7/4	7/4	0.25	7/16	7/16	Chord	2/4	2	1	1/16		1/16	1	5									1				
2	2	2	2	0.0	0	0	Spanner	2/4	1	1	0													0				
2	2	2	2	0.0	0	0	Spanner	2/4	1	1	0													0				0
2	2	2	2	0.5	0	0	Chord	2/4	1	1	1/8		1/8	1	6									0				0
2	2	5/2	5/2	1.0	1/8	1/8	Chord	2/4	1	1	1/4		1/4	1	7													0
2	2	7/2	7/2	0.0	3/8	3/8	Spanner	2/4	1	1	0																	
2	2	2	2	0.5	0	0	Chord	2/4	2	1	1/8		1/8	1	8									1				
2	2	5/2	5/2	1.0	1/8	1/8	Chord	2/4	2	1	1/4		1/4	1	9													
3	3	4	4	0.0	0	0	Spanner	2/4	1	1	0																1	
3	3	4	4	1.5	0	0	Chord	2/4	1	1	3/8		1/4	3/2	10									2			1	
3	3	11/2	11/2	0.0	3/8	3/8	Spanner	2/4	1	1	0																	
3	3	11/2	11/2	0.0	3/8	3/8	Spanner	2/4	1	1	0																	1
3	3	11/2	11/2	0.5	3/8	3/8	Chord	2/4	1	1	1/8		1/8	1	11													1
3	3	4	4	2.0	0	0	Chord	2/4	1	2	1/2		1/2	1	12													1
3	3	4	4	1.0	0	0	Chord	2/4	2	1	1/4		1/4	1	13									3				
3	3	5	5	1.0	1/4	1/4	Chord	2/4	2	1	1/4		1/4	1	14													
3	3	4	4	2.0	0	0	Chord	2/4	2	2	1/2		1/2	1	15													
4	4	6	6	0.0	0	0	Spanner	2/4	1	1	0																	
4	4	6	6	1.5	0	0	Chord	2/4	1	1	3/8		1/4	3/2	16													
4	4	6	6	1.5	0	0	Chord	2/4	1	2	3/8		1/4	3/2	17													
4	4	6	6	1.5	0	0	Chord	2/4	2	1	3/8		1/4	3/2	18													
4	4	6	6	1.5	0	0	Chord	2/4	2	2	3/8		1/4	3/2	19													
5	5	35/4	35/4	0.0	3/16	3/16	StaffText	2/4	1	1	0							"<font size=""8""/><font face=""Times New Roman""/><i>ten.</i>"										
5	5	35/4	35/4	0.25	3/16	3/16	Chord	2/4	1	1	1/16		1/16	1	20													
5	5	9	9	0.5	1/4	1/4	Chord	2/4	1	1	1/8		1/8	1	21		articAccentAbove							4				
5	5	19/2	19/2	0.5	3/8	3/8	Chord	2/4	1	1	1/8		1/8	1	22													
5	5	17/2	17/2	1.5	1/8	1/8	Chord	2/4	1	2	3/8		1/4	3/2	23													
5	5	17/2	17/2	0.5	1/8	1/8	Chord	2/4	1	3	1/8		1/8	1	24													
5	5	9	9	0.5	1/4	1/4	Chord	2/4	1	3	1/8		1/8	1	25		articAccentBelow											
5	5	19/2	19/2	0.5	3/8	3/8	Chord	2/4	1	3	1/8		1/8	1	26													
5	5	8	8	0.25	0	0	Chord	2/4	2	1	1/16		1/16	1	27													
5	5	33/4	33/4	0.25	1/16	1/16	Chord	2/4	2	1	1/16		1/16	1	28													
5	5	17/2	17/2	0.5	1/8	1/8	Chord	2/4	2	1	1/8		1/8	1	29													
5	5	9	9	1.0	1/4	1/4	Chord	2/4	2	1	1/4		1/4	1	30													
5	5	8	8	2.0	0	0	Chord	2/4	2	2	1/2		1/2	1	31													
6	6	43/4	43/4	0.25	3/16	3/16	Chord	2/4	1	1	1/16		1/16	1	32													
6	6	11	11	0.0	1/4	1/4	StaffText	2/4	1	1	0							"<font size=""9""/><font face=""Times New Roman""/><i>ten.</i>"										
6	6	11	11	0.25	1/4	1/4	Chord	2/4	1	1	1/16		1/16	1	33		articAccentAbove							5				
6	6	45/4	45/4	0.25	5/16	5/16	Chord	2/4	1	1	1/16		1/16	1	34													
6	6	23/2	23/2	0.5	3/8	3/8	Chord	2/4	1	1	1/8		1/8	1	35													
6	6	21/2	21/2	1.5	1/8	1/8	Chord	2/4	1	2	3/8		1/4	3/2	36													
6	6	21/2	21/2	0.5	1/8	1/8	Chord	2/4	1	3	1/8		1/8	1	37													
6	6	11	11	0.5	1/4	1/4	Chord	2/4	1	3	1/8		1/8	1	38		articAccentBelow											
6	6	23/2	23/2	0.5	3/8	3/8	Chord	2/4	1	3	1/8		1/8	1	39													
6	6	10	10	0.25	0	0	Chord	2/4	2	1	1/16		1/16	1	40													
6	6	41/4	41/4	0.25	1/16	1/16	Chord	2/4	2	1	1/16		1/16	1	41													
6	6	21/2	21/2	0.5	1/8	1/8	Chord	2/4	2	1	1/8		1/8	1	42													
6	6	11	11	1.0	1/4	1/4	Chord	2/4	2	1	1/4		1/4	1	43													
6	6	10	10	2.0	0	0	Chord	2/4	2	2	1/2		1/2	1	44													
7	7	51/4	51/4	0.25	3/16	3/16	Chord	2/4	1	1	1/16		1/16	1	45													
7	7	13	13	0.0	1/4	1/4	StaffText	2/4	1	1	0							"<font size=""9""/><font face=""Times New Roman""/><i>ten.</i>"										
7	7	13	13	0.5	1/4	1/4	Chord	2/4	1	1	1/8		1/8	1	46		articAccentAbove							6				
7	7	27/2	27/2	0.5	3/8	3/8	Chord	2/4	1	1	1/8		1/8	1	47													
7	7	25/2	25/2	1.5	1/8	1/8	Chord	2/4	1	2	3/8		1/4	3/2	48													
7	7	25/2	25/2	0.5	1/8	1/8	Chord	2/4	1	3	1/8		1/8	1	49													
7	7	13	13	0.5	1/4	1/4	Chord	2/4	1	3	1/8		1/8	1	50		articAccentBelow											
7	7	27/2	27/2	0.5	3/8	3/8	Chord	2/4	1	3	1/8		1/8	1	51													
7	7	12	12	0.25	0	0	Chord	2/4	2	1	1/16		1/16	1	52													
7	7	49/4	49/4	0.25	1/16	1/16	Chord	2/4	2	1	1/16		1/16	1	53													
7	7	25/2	25/2	0.5	1/8	1/8	Chord	2/4	2	1	1/8		1/8	1	54													
7	7	13	13	1.0	1/4	1/4	Chord	2/4	2	1	1/4		1/4	1	55													
7	7	12	12	2.0	0	0	Chord	2/4	2	2	1/2		1/2	1	56													
8	8	29/2	29/2	0.25	1/8	1/8	Chord	2/4	1	1	1/16		1/16	1	57													
8	8	59/4	59/4	0.25	3/16	3/16	Chord	2/4	1	1	1/16		1/16	1	58													
8	8	15	15	0.0	1/4	1/4	StaffText	2/4	1	1	0							"<font size=""9""/><font face=""Times New Roman""/><i>ten.</i>"										
8	8	15	15	0.375	1/4	1/4	Chord	2/4	1	1	3/32		1/16	3/2	59									7				
8	8	123/8	123/8	0.125	11/32	11/32	Chord	2/4	1	1	1/32		1/32	1	60													
8	8	31/2	31/2	0.5	3/8	3/8	Chord	2/4	1	1	1/8		1/8	1	61													
8	8	15	15	0.5	1/4	1/4	Chord	2/4	1	2	1/8		1/8	1	62													
8	8	31/2	31/2	0.5	3/8	3/8	Chord	2/4	1	2	1/8		1/8	1	63													
8	8	14	14	0.25	0	0	Chord	2/4	2	1	1/16		1/16	1	64													
8	8	57/4	57/4	0.25	1/16	1/16	Chord	2/4	2	1	1/16		1/16	1	65													
8	8	29/2	29/2	0.5	1/8	1/8	Chord	2/4	2	1	1/8		1/8	1	66													
8	8	15	15	1.0	1/4	1/4	Chord	2/4	2	1	1/4		1/4	1	67													
8	8	14	14	2.0	0	0	Chord	2/4	2	2	1/2		1/2	1	68													
9	9	33/2	33/2	0.0	1/8	1/8	Spanner	2/4	1	1	0																2	
9	9	33/2	33/2	0.125	1/8	1/8	Chord	2/4	1	1	1/32		1/32	1	69												2	
9	9	133/8	133/8	0.125	5/32	5/32	Chord	2/4	1	1	1/32		1/32	1	70												2	
9	9	67/4	67/4	0.125	3/16	3/16	Chord	2/4	1	1	1/32		1/32	1	71												2	
9	9	135/8	135/8	0.0	7/32	7/32	Spanner	2/4	1	1	0																	
9	9	135/8	135/8	0.125	7/32	7/32	Chord	2/4	1	1	1/32		1/32	1	72													
9	9	17	17	0.0	1/4	1/4	StaffText	2/4	1	1	0							"<font size=""9""/><font face=""Times New Roman""/><i>ten.</i>"										
9	9	17	17	0.0	1/4	1/4	Spanner	2/4	1	1	0																	2
9	9	17	17	0.0	1/4	1/4	Chord	2/4	1	1	0	grace16	1/16	1	73													2
9	9	17	17	0.0	1/4	1/4	Chord	2/4	1	1	0	grace16	1/16	1	74													2
9	9	17	17	0.5	1/4	1/4	Chord	2/4	1	1	1/8		1/8	1	75									8				2
9	9	35/2	35/2	0.5	3/8	3/8	Chord	2/4	1	1	1/8		1/8	1	76													2
9	9	133/8	133/8	0.125	5/32	5/32	Chord	2/4	1	2	1/32		1/32	1	77													2
9	9	67/4	67/4	0.25	3/16	3/16	Chord	2/4	1	2	1/16		1/16	1	78													2
9	9	17	17	1.0	1/4	1/4	Chord	2/4	1	2	1/4		1/4	1	79		articAccentBelow											2
9	9	33/2	33/2	0.5	1/8	1/8	Chord	2/4	1	3	1/8		1/8	1	80													2
9	9	17	17	0.5	1/4	1/4	Chord	2/4	1	3	1/8		1/8	1	81													2
9	9	35/2	35/2	0.5	3/8	3/8	Chord	2/4	1	3	1/8		1/8	1	82													2
9	9	16	16	0.25	0	0	Chord	2/4	2	1	1/16		1/16	1	83													
9	9	65/4	65/4	0.25	1/16	1/16	Chord	2/4	2	1	1/16		1/16	1	84													
9	9	33/2	33/2	0.5	1/8	1/8	Chord	2/4	2	1	1/8		1/8	1	85													
9	9	17	17	1.0	1/4	1/4	Chord	2/4	2	1	1/4		1/4	1	86													
9	9	16	16	2.0	0	0	Chord	2/4	2	2	1/2		1/2	1	87													
10	10	18	18	0.0	0	0	Spanner	2/4	1	1	0																	
10	10	37/2	37/2	0.0	1/8	1/8	Spanner	2/4	1	1	0																3	
10	10	37/2	37/2	0.125	1/8	1/8	Chord	2/4	1	1	1/32		1/32	1	88												3	
10	10	149/8	149/8	0.125	5/32	5/32	Chord	2/4	1	1	1/32		1/32	1	89												3	
10	10	75/4	75/4	0.125	3/16	3/16	Chord	2/4	1	1	1/32		1/32	1	90												3	
10	10	151/8	151/8	0.125	7/32	7/32	Chord	2/4	1	1	1/32		1/32	1	91												3	
10	10	19	19	0.0	1/4	1/4	StaffText	2/4	1	1	0							"<font size=""8""/><font face=""Times New Roman""/><i>ten.</i>"										
10	10	19	19	0.0	1/4	1/4	Spanner	2/4	1	1	0																	
10	10	19	19	0.0	1/4	1/4	Chord	2/4	1	1	0	grace16	1/16	1	92													
10	10	19	19	0.0	1/4	1/4	Chord	2/4	1	1	0	grace16	1/16	1	93													
10	10	19	19	0.25	1/4	1/4	Chord	2/4	1	1	1/16		1/16	1	94													
10	10	77/4	77/4	0.0	5/16	5/16	Spanner	2/4	1	1	0																	3
10	10	77/4	77/4	0.25	5/16	5/16	Chord	2/4	1	1	1/16		1/16	1	95													3
10	10	39/2	39/2	0.5	3/8	3/8	Chord	2/4	1	1	1/8		1/8	1	96													3
10	10	149/8	149/8	0.125	5/32	5/32	Chord	2/4	1	2	1/32		1/32	1	97													3
10	10	75/4	75/4	0.25	3/16	3/16	Chord	2/4	1	2	1/16		1/16	1	98													3
10	10	19	19	1.0	1/4	1/4	Chord	2/4	1	2	1/4		1/4	1	99													3
10	10	37/2	37/2	0.5	1/8	1/8	Chord	2/4	1	3	1/8		1/8	1	100													3
10	10	19	19	0.5	1/4	1/4	Chord	2/4	1	3	1/8		1/8	1	101		articAccentBelow											3
10	10	39/2	39/2	0.5	3/8	3/8	Chord	2/4	1	3	1/8		1/8	1	102													3
10	10	18	18	0.25	0	0	Chord	2/4	2	1	1/16		1/16	1	103													
10	10	73/4	73/4	0.25	1/16	1/16	Chord	2/4	2	1	1/16		1/16	1	104													
10	10	37/2	37/2	0.5	1/8	1/8	Chord	2/4	2	1	1/8		1/8	1	105													
10	10	19	19	1.0	1/4	1/4	Chord	2/4	2	1	1/4		1/4	1	106													
10	10	18	18	2.0	0	0	Chord	2/4	2	2	1/2		1/2	1	107													
11	11	20	20	0.0	0	0	Spanner	2/4	1	1	0																	
11	11	41/2	41/2	0.0	1/8	1/8	Spanner	2/4	1	1	0																4	
11	11	41/2	41/2	0.125	1/8	1/8	Chord	2/4	1	1	1/32		1/32	1	108												4	
11	11	165/8	165/8	0.125	5/32	5/32	Chord	2/4	1	1	1/32		1/32	1	109												4	
11	11	83/4	83/4	0.125	3/16	3/16	Chord	2/4	1	1	1/32		1/32	1	110												4	
11	11	167/8	167/8	0.125	7/32	7/32	Chord	2/4	1	1	1/32		1/32	1	111												4	
11	11	21	21	0.0	1/4	1/4	StaffText	2/4	1	1	0							"<font size=""8""/><font face=""Times New Roman""/><i>ten.</i>"										
11	11	21	21	0.0	1/4	1/4	Spanner	2/4	1	1	0																	
11	11	21	21	0.0	1/4	1/4	Chord	2/4	1	1	0	grace16	1/16	1	112													
11	11	21	21	0.0	1/4	1/4	Chord	2/4	1	1	0	grace16	1/16	1	113													
11	11	21	21	0.5	1/4	1/4	Chord	2/4	1	1	1/8		1/8	1	114													
11	11	43/2	43/2	0.0	3/8	3/8	Spanner	2/4	1	1	0																	4
11	11	43/2	43/2	0.5	3/8	3/8	Chord	2/4	1	1	1/8		1/8	1	115													4
11	11	165/8	165/8	0.125	5/32	5/32	Chord	2/4	1	2	1/32		1/32	1	116													4
11	11	83/4	83/4	0.25	3/16	3/16	Chord	2/4	1	2	1/16		1/16	1	117													4
11	11	21	21	1.0	1/4	1/4	Chord	2/4	1	2	1/4		1/4	1	118		articAccentBelow											4
11	11	41/2	41/2	0.5	1/8	1/8	Chord	2/4	1	3	1/8		1/8	1	119													4
11	11	21	21	0.5	1/4	1/4	Chord	2/4	1	3	1/8		1/8	1	120													4
11	11	43/2	43/2	0.5	3/8	3/8	Chord	2/4	1	3	1/8		1/8	1	121													4
11	11	20	20	0.25	0	0	Chord	2/4	2	1	1/16		1/16	1	122													
11	11	81/4	81/4	0.25	1/16	1/16	Chord	2/4	2	1	1/16		1/16	1	123													
11	11	41/2	41/2	0.5	1/8	1/8	Chord	2/4	2	1	1/8		1/8	1	124													
11	11	21	21	1.0	1/4	1/4	Chord	2/4	2	1	1/4		1/4	1	125													
11	11	20	20	2.0	0	0	Chord	2/4	2	2	1/2		1/2	1	126													
12	12	22	22	0.0	0	0	Spanner	2/4	1	1	0																	
12	12	45/2	45/2	0.25	1/8	1/8	Chord	2/4	1	1	1/16		1/16	1	127													
12	12	91/4	91/4	0.25	3/16	3/16	Chord	2/4	1	1	1/16		1/16	1	128													
12	12	23	23	0.0	1/4	1/4	StaffText	2/4	1	1	0							"<font size=""8""/><font face=""Times New Roman""/><i>ten.</i>"										
12	12	23	23	0.0	1/4	1/4	Chord	2/4	1	1	0	grace16	1/16	1	129													
12	12	23	23	0.0	1/4	1/4	Chord	2/4	1	1	0	grace16	1/16	1	130													
12	12	23	23	0.25	1/4	1/4	Chord	2/4	1	1	1/16		1/16	1	131									9				
12	12	93/4	93/4	0.25	5/16	5/16	Chord	2/4	1	1	1/16		1/16	1	132													
12	12	47/2	47/2	0.5	3/8	3/8	Chord	2/4	1	1	1/8		1/8	1	133													
12	12	45/2	45/2	0.25	1/8	1/8	Chord	2/4	1	2	1/16		1/16	1	134													
12	12	91/4	91/4	0.25	3/16	3/16	Chord	2/4	1	2	1/16		1/16	1	135													
12	12	23	23	0.5	1/4	1/4	Chord	2/4	1	2	1/8		1/8	1	136													
12	12	47/2	47/2	0.5	3/8	3/8	Chord	2/4	1	2	1/8		1/8	1	137													
12	12	22	22	0.25	0	0	Chord	2/4	2	1	1/16		1/16	1	138													
12	12	89/4	89/4	0.25	1/16	1/16	Chord	2/4	2	1	1/16		1/16	1	139													
12	12	45/2	45/2	0.5	1/8	1/8	Chord	2/4	2	1	1/8		1/8	1	140													
12	12	23	23	1.0	1/4	1/4	Chord	2/4	2	1	1/4		1/4	1	141													
12	12	22	22	2.0	0	0	Chord	2/4	2	2	1/2		1/2	1	142													
13	13	24	24	0.0	0	0	StaffText	2/4	1	1	0							"<font size=""9""/><font face=""Times New Roman""/><i>un poco più mosso</i>"										
13	13	24	24	2.0	0	0	Chord	2/4	1	1	1/2		1/2	1	143													
13	13	97/4	97/4	0.75	1/16	1/16	Chord	2/4	1	2	3/16		1/8	3/2	144													
13	13	25	25	1.0	1/4	1/4	Chord	2/4	1	2	1/4		1/4	1	145													
13	13	24	24	0.0	0	0	Spanner	2/4	2	1	0														0	0		
13	13	49/2	49/2	0.25	1/8	1/8	Chord	2/4	2	1	1/16		1/16	1	146										0	0		
13	13	99/4	99/4	0.25	3/16	3/16	Chord	2/4	2	1	1/16		1/16	1	147										0	0		
13	13	25	25	0.0	1/4	1/4	Spanner	2/4	2	1	0																	
13	13	25	25	0.5	1/4	1/4	Chord	2/4	2	1	1/8		1/8	1	148													
13	13	51/2	51/2	0.5	3/8	3/8	Chord	2/4	2	1	1/8		1/8	1	149													
14	14	26	26	2.0	0	0	Chord	2/4	1	1	1/2		1/2	1	150													
14	14	105/4	105/4	0.0	1/16	1/16	Spanner	2/4	1	1	0																5	
14	14	105/4	105/4	0.75	1/16	1/16	Chord	2/4	1	2	3/16		1/8	3/2	151												5	
14	14	27	27	1.0	1/4	1/4	Chord	2/4	1	2	1/4		1/4	1	152												5	
14	14	26	26	0.0	0	0	Spanner	2/4	2	1	0														1	1		
14	14	53/2	53/2	0.25	1/8	1/8	Chord	2/4	2	1	1/16		1/16	1	153										1	1		
14	14	107/4	107/4	0.25	3/16	3/16	Chord	2/4	2	1	1/16		1/16	1	154										1	1		
14	14	27	27	0.0	1/4	1/4	Spanner	2/4	2	1	0																	
14	14	27	27	0.5	1/4	1/4	Chord	2/4	2	1	1/8		1/8	1	155													
14	14	55/2	55/2	0.5	3/8	3/8	Chord	2/4	2	1	1/8		1/8	1	156													
15	15	28	28	0.0	0	0	StaffText	2/4	1	1	0							"<font size=""9""/><font face=""Times New Roman""/><i>cresc.</i>"										
15	15	28	28	0.0	0	0	Spanner	2/4	1	1	0																	
15	15	28	28	1.0	0	0	Chord	2/4	1	1	1/4		1/4	1	157													
15	15	29	29	1.0	1/4	1/4	Chord	2/4	1	1	1/4		1/4	1	158													
15	15	113/4	113/4	0.75	1/16	1/16	Chord	2/4	1	2	3/16		1/8	3/2	159													
15	15	117/4	117/4	0.75	5/16	5/16	Chord	2/4	1	2	3/16		1/8	3/2	160													
15	15	28	28	0.0	0	0	Spanner	2/4	2	1	0														2	2		
15	15	57/2	57/2	0.25	1/8	1/8	Chord	2/4	2	1	1/16		1/16	1	161										2	2		
15	15	115/4	115/4	0.25	3/16	3/16	Chord	2/4	2	1	1/16		1/16	1	162		articAccentAbove								2	2		
15	15	29	29	0.5	1/4	1/4	Chord	2/4	2	1	1/8		1/8	1	163										2	2		
15	15	59/2	59/2	0.0	3/8	3/8	Spanner	2/4	2	1	0																	
15	15	59/2	59/2	0.0	3/8	3/8	Spanner	2/4	2	1	0														3	3		
15	15	59/2	59/2	0.25	3/8	3/8	Chord	2/4	2	1	1/16		1/16	1	164										3	3		
15	15	119/4	119/4	0.25	7/16	7/16	Chord	2/4	2	1	1/16		1/16	1	165		articAccentAbove								3	3		
16	16	30	30	1.0	0	0	Chord	2/4	1	1	1/4		1/4	1	166													
16	16	31	31	0.0	1/4	1/4	Dynamic	2/4	1	1	0					f												
16	16	31	31	0.5	1/4	1/4	Chord	2/4	1	1	1/8		1/8	1	167		articAccentAbove											
16	16	63/2	63/2	0.5	3/8	3/8	Chord	2/4	1	1	1/8		1/8	1	168		articAccentAbove											
16	16	121/4	121/4	0.75	1/16	1/16	Chord	2/4	1	2	3/16		1/8	3/2	169													
16	16	125/4	125/4	0.5	5/16	5/16	Chord	2/4	1	2	1/8		1/8	1	170													
16	16	127/4	127/4	0.25	7/16	7/16	Chord	2/4	1	2	1/16		1/16	1	171													
16	16	30	30	0.5	0	0	Chord	2/4	2	1	1/8		1/8	1	172										3	3		
16	16	61/2	61/2	0.0	1/8	1/8	Spanner	2/4	2	1	0																	
16	16	61/2	61/2	0.0	1/8	1/8	Spanner	2/4	2	1	0														4	4		
16	16	61/2	61/2	0.25	1/8	1/8	Chord	2/4	2	1	1/16		1/16	1	173										4	4		
16	16	123/4	123/4	0.25	3/16	3/16	Chord	2/4	2	1	1/16		1/16	1	174		articAccentAbove								4	4		
16	16	31	31	1.0	1/4	1/4	Chord	2/4	2	1	1/4		1/4	1	175										4	4		
17	17	32	32	0.0	0	0	Dynamic	2/4	1	1	0					p												
17	17	32	32	2.0	0	0	Chord	2/4	1	1	1/2		1/2	1	176		articAccentAbove											
