mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	chord_id	dynamics	articulation	staff_text	tempo	qpm	metronome_base	metronome_number	tempo_visible	slur	pedal	Pedal_<sym>keyboardPedalPed</sym>	decrescendo_hairpin	crescendo_hairpin
1	1	0	0	0.0	0	0	StaffText	2/4	1	1	0							Lento molto										
1	1	0	0	0.0	0	0	Dynamic	2/4	1	1	0					p												
1	1	0	0	0.0	0	0	StaffText	2/4	1	1	0							molto tranquillo e dolce										
1	1	0	0	0.0	0	0	Tempo	2/4	1	1	0								𝅘𝅥𝅮=54	27.0	𝅘𝅥𝅮	54.0	1.0					
1	1	0	0	0.5	0	0	Chord	2/4	1	1	1/8		1/8	1	0		articTenutoAbove							0				
1	1	1/2	1/2	0.25	1/8	1/8	Chord	2/4	1	1	1/16		1/16	1	1									0				
1	1	3/4	3/4	0.25	3/16	3/16	Chord	2/4	1	1	1/16		1/16	1	2									0				
1	1	1	1	1.0	1/4	1/4	Chord	2/4	1	1	1/4		1/4	1	3													
1	1	0	0	1.5	0	0	Chord	2/4	1	2	3/8		1/4	3/2	4									1				
1	1	3/2	3/2	0.5	3/8	3/8	Chord	2/4	1	2	1/8		1/8	1	5													
1	1	0	0	1.0	0	0	Chord	2/4	2	1	1/4		1/4	1	6									2				
1	1	1	1	1.0	1/4	1/4	Chord	2/4	2	1	1/4		1/4	1	7													
1	1	0	0	2.0	0	0	Chord	2/4	2	2	1/2		1/2	1	8													
2	2	2	2	0.25	0	0	Chord	2/4	1	1	1/16		1/16	1	9		articTenutoAbove							3				
2	2	9/4	9/4	0.25	1/16	1/16	Chord	2/4	1	1	1/16		1/16	1	10									3				
2	2	5/2	5/2	0.25	1/8	1/8	Chord	2/4	1	1	1/16		1/16	1	11									3				
2	2	11/4	11/4	0.0	3/16	3/16	Chord	2/4	1	1	0	grace16	1/16	1	12									3				
2	2	11/4	11/4	0.0	3/16	3/16	Chord	2/4	1	1	0	grace16	1/16	1	13									3				
2	2	11/4	11/4	0.25	3/16	3/16	Chord	2/4	1	1	1/16		1/16	1	14									3				
2	2	3	3	1.0	1/4	1/4	Chord	2/4	1	1	1/4		1/4	1	15													
2	2	2	2	1.5	0	0	Chord	2/4	1	2	3/8		1/4	3/2	16									4				
2	2	7/2	7/2	0.5	3/8	3/8	Chord	2/4	1	2	1/8		1/8	1	17													
2	2	2	2	1.0	0	0	Chord	2/4	2	1	1/4		1/4	1	18									5				
2	2	3	3	1.0	1/4	1/4	Chord	2/4	2	1	1/4		1/4	1	19													
2	2	2	2	2.0	0	0	Chord	2/4	2	2	1/2		1/2	1	20													
3	3	4	4	0.5	0	0	Chord	2/4	1	1	1/8		1/8	1	21		articTenutoAbove							6				
3	3	9/2	9/2	0.25	1/8	1/8	Chord	2/4	1	1	1/16		1/16	1	22									6				
3	3	19/4	19/4	0.25	3/16	3/16	Chord	2/4	1	1	1/16		1/16	1	23									6				
3	3	5	5	0.25	1/4	1/4	Chord	2/4	1	1	1/16		1/16	1	24									6				
3	3	21/4	21/4	0.25	5/16	5/16	Chord	2/4	1	1	1/16		1/16	1	25									6				
3	3	11/2	11/2	0.25	3/8	3/8	Chord	2/4	1	1	1/16		1/16	1	26									6				
3	3	23/4	23/4	0.25	7/16	7/16	Chord	2/4	1	1	1/16		1/16	1	27									6				
3	3	4	4	1.0	0	0	Chord	2/4	1	2	1/4		1/4	1	28													
3	3	5	5	0.5	1/4	1/4	Chord	2/4	1	2	1/8		1/8	1	29													
3	3	11/2	11/2	0.5	3/8	3/8	Chord	2/4	1	2	1/8		1/8	1	30													
3	3	4	4	0.0	0	0	Spanner	2/4	2	1	0														0	0		
3	3	4	4	1.0	0	0	Chord	2/4	2	1	1/4		1/4	1	31		articTenutoAbove								0	0		
3	3	5	5	0.0	1/4	1/4	Spanner	2/4	2	1	0																	
3	3	5	5	0.5	1/4	1/4	Chord	2/4	2	1	1/8		1/8	1	32													
3	3	11/2	11/2	0.5	3/8	3/8	Chord	2/4	2	1	1/8		1/8	1	33													
4	4	6	6	0.5	0	0	Chord	2/4	1	1	1/8		1/8	1	34									6				
4	4	13/2	13/2	1.0	1/8	1/8	Chord	2/4	1	1	1/4		1/4	1	35									6				
4	4	15/2	15/2	0.5	3/8	3/8	Chord	2/4	1	1	1/8		1/8	1	36													
4	4	6	6	2.0	0	0	Chord	2/4	1	2	1/2		1/2	1	37													
4	4	6	6	2.0	0	0	Chord	2/4	2	1	1/2		1/2	1	38													
5	5	8	8	0.5	0	0	Chord	2/4	1	1	1/8		1/8	1	39									7				
5	5	17/2	17/2	0.25	1/8	1/8	Chord	2/4	1	1	1/16		1/16	1	40									7				
5	5	35/4	35/4	0.25	3/16	3/16	Chord	2/4	1	1	1/16		1/16	1	41									7				
5	5	9	9	0.75	1/4	1/4	Chord	2/4	1	1	3/16		1/8	3/2	42									7				
5	5	39/4	39/4	0.25	7/16	7/16	Chord	2/4	1	1	1/16		1/16	1	43									7				
5	5	8	8	1.0	0	0	Chord	2/4	1	2	1/4		1/4	1	44													
5	5	9	9	1.0	1/4	1/4	Chord	2/4	1	2	1/4		1/4	1	45													
5	5	8	8	1.0	0	0	Chord	2/4	2	1	1/4		1/4	1	46													
5	5	19/2	19/2	0.5	3/8	3/8	Chord	2/4	2	1	1/8		1/8	1	47													
5	5	9	9	1.0	1/4	1/4	Chord	2/4	2	2	1/4		1/4	1	48													
6	6	10	10	0.0	0	0	StaffText	2/4	1	1	0							cresc.						7				
6	6	10	10	0.25	0	0	Chord	2/4	1	1	1/16		1/16	1	49									7				
6	6	41/4	41/4	0.25	1/16	1/16	Chord	2/4	1	1	1/16		1/16	1	50									7				
6	6	21/2	21/2	0.16666666666666666	1/8	1/8	Chord	2/4	1	1	1/24		1/16	2/3	51									7				
6	6	32/3	32/3	0.16666666666666666	1/6	1/6	Chord	2/4	1	1	1/24		1/16	2/3	52									7				
6	6	65/6	65/6	0.16666666666666666	5/24	5/24	Chord	2/4	1	1	1/24		1/16	2/3	53									7				
6	6	11	11	0.75	1/4	1/4	Chord	2/4	1	1	3/16		1/8	3/2	54									7				
6	6	47/4	47/4	0.25	7/16	7/16	Chord	2/4	1	1	1/16		1/16	1	55													
6	6	10	10	1.0	0	0	Chord	2/4	1	2	1/4		1/4	1	56													
6	6	11	11	1.0	1/4	1/4	Chord	2/4	1	2	1/4		1/4	1	57													
6	6	10	10	0.25	0	0	Chord	2/4	2	1	1/16		1/16	1	58													
6	6	41/4	41/4	0.25	1/16	1/16	Chord	2/4	2	1	1/16		1/16	1	59													
6	6	11	11	0.5	1/4	1/4	Chord	2/4	2	1	1/8		1/8	1	60													
6	6	23/2	23/2	0.5	3/8	3/8	Chord	2/4	2	1	1/8		1/8	1	61													
6	6	10	10	1.0	0	0	Chord	2/4	2	2	1/4		1/4	1	62													
7	7	12	12	0.25	0	0	Chord	2/4	1	1	1/16		1/16	1	63									8				
7	7	49/4	49/4	0.25	1/16	1/16	Chord	2/4	1	1	1/16		1/16	1	64									8				
7	7	25/2	25/2	0.0	1/8	1/8	Spanner	2/4	1	1	0													8				0
7	7	25/2	25/2	0.25	1/8	1/8	Chord	2/4	1	1	1/16		1/16	1	65									8				0
7	7	51/4	51/4	0.25	3/16	3/16	Chord	2/4	1	1	1/16		1/16	1	66									8				0
7	7	13	13	0.25	1/4	1/4	Chord	2/4	1	1	1/16		1/16	1	67									8				0
7	7	53/4	53/4	0.25	5/16	5/16	Chord	2/4	1	1	1/16		1/16	1	68									8				0
7	7	27/2	27/2	0.25	3/8	3/8	Chord	2/4	1	1	1/16		1/16	1	69									8				0
7	7	55/4	55/4	0.25	7/16	7/16	Chord	2/4	1	1	1/16		1/16	1	70									8				0
7	7	12	12	1.0	0	0	Chord	2/4	1	2	1/4		1/4	1	71													0
7	7	13	13	0.5	1/4	1/4	Chord	2/4	1	2	1/8		1/8	1	72													0
7	7	27/2	27/2	0.5	3/8	3/8	Chord	2/4	1	2	1/8		1/8	1	73													0
7	7	12	12	0.5	0	0	Chord	2/4	2	1	1/8		1/8	1	74													
7	7	25/2	25/2	0.5	1/8	1/8	Chord	2/4	2	1	1/8		1/8	1	75													
7	7	13	13	0.5	1/4	1/4	Chord	2/4	2	1	1/8		1/8	1	76													
7	7	27/2	27/2	0.5	3/8	3/8	Chord	2/4	2	1	1/8		1/8	1	77													
7	7	12	12	2.0	0	0	Chord	2/4	2	2	1/2		1/2	1	78													
8	8	14	14	0.0	0	0	Spanner	2/4	1	1	0													8				
8	8	14	14	0.0	0	0	Spanner	2/4	1	1	0													8			0	
8	8	14	14	1.0	0	0	Chord	2/4	1	1	1/4		1/4	1	79		articAccentAbove							8			0	
8	8	15	15	0.0	1/4	1/4	StaffText	2/4	1	1	0							rit.										
8	8	15	15	0.0	1/4	1/4	Spanner	2/4	1	1	0																	
8	8	15	15	1.0	1/4	1/4	Chord	2/4	1	1	1/4		1/4	1	80													
8	8	14	14	0.5	0	0	Chord	2/4	1	2	1/8		1/8	1	81													
8	8	29/2	29/2	0.5	1/8	1/8	Chord	2/4	1	2	1/8		1/8	1	82													
8	8	15	15	1.0	1/4	1/4	Chord	2/4	1	2	1/4		1/4	1	83													
8	8	14	14	0.0	0	0	Spanner	2/4	2	1	0														1	1		
8	8	14	14	1.0	0	0	Chord	2/4	2	1	1/4		1/4	1	84										1	1		
8	8	15	15	0.0	1/4	1/4	Spanner	2/4	2	1	0																	
8	8	15	15	0.5	1/4	1/4	Chord	2/4	2	1	1/8		1/8	1	85													
8	8	31/2	31/2	0.5	3/8	3/8	Chord	2/4	2	1	1/8		1/8	1	86													
8	8	15	15	1.0	1/4	1/4	Chord	2/4	2	2	1/4		1/4	1	87													
9	9	16	16	0.0	0	0	Dynamic	2/4	1	1	0					pp												
9	9	16	16	0.0	0	0	StaffText	2/4	1	1	0							a tempo										
9	9	16	16	0.5	0	0	Chord	2/4	1	1	1/8		1/8	1	88									9				
9	9	33/2	33/2	0.25	1/8	1/8	Chord	2/4	1	1	1/16		1/16	1	89									9				
9	9	67/4	67/4	0.25	3/16	3/16	Chord	2/4	1	1	1/16		1/16	1	90									9				
9	9	17	17	1.0	1/4	1/4	Chord	2/4	1	1	1/4		1/4	1	91													
9	9	16	16	1.5	0	0	Chord	2/4	1	2	3/8		1/4	3/2	92									10				
9	9	35/2	35/2	0.5	3/8	3/8	Chord	2/4	1	2	1/8		1/8	1	93													
9	9	16	16	0.0	0	0	Spanner	2/4	2	1	0														2	2		
9	9	16	16	1.0	0	0	Chord	2/4	2	1	1/4		1/4	1	94									11	2	2		
9	9	17	17	0.0	1/4	1/4	Spanner	2/4	2	1	0																	
9	9	17	17	1.0	1/4	1/4	Chord	2/4	2	1	1/4		1/4	1	95													
9	9	16	16	2.0	0	0	Chord	2/4	2	2	1/2		1/2	1	96													
10	10	18	18	0.25	0	0	Chord	2/4	1	1	1/16		1/16	1	97									12				
10	10	73/4	73/4	0.25	1/16	1/16	Chord	2/4	1	1	1/16		1/16	1	98									12				
10	10	37/2	37/2	0.25	1/8	1/8	Chord	2/4	1	1	1/16		1/16	1	99									12				
10	10	75/4	75/4	0.0	3/16	3/16	Chord	2/4	1	1	0	grace16	1/16	1	100									12				
10	10	75/4	75/4	0.0	3/16	3/16	Chord	2/4	1	1	0	grace16	1/16	1	101									12				
10	10	75/4	75/4	0.25	3/16	3/16	Chord	2/4	1	1	1/16		1/16	1	102									12				
10	10	19	19	1.0	1/4	1/4	Chord	2/4	1	1	1/4		1/4	1	103													
10	10	18	18	1.5	0	0	Chord	2/4	1	2	3/8		1/4	3/2	104									13				
10	10	39/2	39/2	0.5	3/8	3/8	Chord	2/4	1	2	1/8		1/8	1	105													
10	10	18	18	0.0	0	0	Spanner	2/4	2	1	0														3	3		
10	10	18	18	1.0	0	0	Chord	2/4	2	1	1/4		1/4	1	106									14	3	3		
10	10	19	19	0.0	1/4	1/4	Spanner	2/4	2	1	0																	
10	10	19	19	1.0	1/4	1/4	Chord	2/4	2	1	1/4		1/4	1	107													
10	10	18	18	2.0	0	0	Chord	2/4	2	2	1/2		1/2	1	108													
11	11	20	20	0.5	0	0	Chord	2/4	1	1	1/8		1/8	1	109		articTenutoAbove							15				
11	11	41/2	41/2	0.25	1/8	1/8	Chord	2/4	1	1	1/16		1/16	1	110									15				
11	11	83/4	83/4	0.25	3/16	3/16	Chord	2/4	1	1	1/16		1/16	1	111									15				
11	11	21	21	0.25	1/4	1/4	Chord	2/4	1	1	1/16		1/16	1	112									15				
11	11	85/4	85/4	0.25	5/16	5/16	Chord	2/4	1	1	1/16		1/16	1	113									15				
11	11	43/2	43/2	0.25	3/8	3/8	Chord	2/4	1	1	1/16		1/16	1	114									15				
11	11	87/4	87/4	0.25	7/16	7/16	Chord	2/4	1	1	1/16		1/16	1	115									15				
11	11	20	20	1.0	0	0	Chord	2/4	1	2	1/4		1/4	1	116													
11	11	21	21	0.5	1/4	1/4	Chord	2/4	1	2	1/8		1/8	1	117													
11	11	43/2	43/2	0.5	3/8	3/8	Chord	2/4	1	2	1/8		1/8	1	118													
11	11	20	20	0.0	0	0	Spanner	2/4	2	1	0														4	4		
11	11	20	20	1.0	0	0	Chord	2/4	2	1	1/4		1/4	1	119		articTenutoAbove								4	4		
11	11	21	21	0.0	1/4	1/4	Spanner	2/4	2	1	0																	
11	11	21	21	0.5	1/4	1/4	Chord	2/4	2	1	1/8		1/8	1	120													
11	11	43/2	43/2	0.5	3/8	3/8	Chord	2/4	2	1	1/8		1/8	1	121													
12	12	22	22	0.5	0	0	Chord	2/4	1	1	1/8		1/8	1	122									15				
12	12	45/2	45/2	1.0	1/8	1/8	Chord	2/4	1	1	1/4		1/4	1	123									15				
12	12	47/2	47/2	0.5	3/8	3/8	Chord	2/4	1	1	1/8		1/8	1	124													
12	12	22	22	2.0	0	0	Chord	2/4	1	2	1/2		1/2	1	125													
12	12	22	22	2.0	0	0	Chord	2/4	2	1	1/2		1/2	1	126													
13	13	24	24	0.0	0	0	Dynamic	2/4	1	1	0					pp												
13	13	24	24	0.5	0	0	Chord	2/4	1	1	1/8		1/8	1	127									16				
13	13	49/2	49/2	0.0	1/8	1/8	StaffText	2/4	1	1	0							sempre						16				
13	13	49/2	49/2	0.25	1/8	1/8	Chord	2/4	1	1	1/16		1/16	1	128									16				
13	13	99/4	99/4	0.25	3/16	3/16	Chord	2/4	1	1	1/16		1/16	1	129									16				
13	13	25	25	0.75	1/4	1/4	Chord	2/4	1	1	3/16		1/8	3/2	130									16				
13	13	103/4	103/4	0.25	7/16	7/16	Chord	2/4	1	1	1/16		1/16	1	131									16				
13	13	24	24	1.0	0	0	Chord	2/4	1	2	1/4		1/4	1	132													
13	13	25	25	1.0	1/4	1/4	Chord	2/4	1	2	1/4		1/4	1	133													
13	13	24	24	1.0	0	0	Chord	2/4	2	1	1/4		1/4	1	134													
13	13	51/2	51/2	0.5	3/8	3/8	Chord	2/4	2	1	1/8		1/8	1	135													
13	13	25	25	1.0	1/4	1/4	Chord	2/4	2	2	1/4		1/4	1	136													
14	14	26	26	0.25	0	0	Chord	2/4	1	1	1/16		1/16	1	137									16				
14	14	105/4	105/4	0.25	1/16	1/16	Chord	2/4	1	1	1/16		1/16	1	138									16				
14	14	53/2	53/2	0.16666666666666666	1/8	1/8	Chord	2/4	1	1	1/24		1/16	2/3	139									16				
14	14	80/3	80/3	0.16666666666666666	1/6	1/6	Chord	2/4	1	1	1/24		1/16	2/3	140									16				
14	14	161/6	161/6	0.16666666666666666	5/24	5/24	Chord	2/4	1	1	1/24		1/16	2/3	141									16				
