mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	chord_id	dynamics	articulation	staff_text	system_text	slur	decrescendo_hairpin	crescendo_hairpin	pedal	Pedal_<sym>keyboardPedalPed</sym>
1	1	0	0	0.0	0	0	SystemText	3/4	1	1	0								Allegro moderato					
1	1	0	0	0.0	0	0	Dynamic	3/4	2	1	0					p								
1	1	0	0	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	0					0				
1	1	1	1	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	1									
1	1	2	2	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	2									
2	2	3	3	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	3					1				
2	2	4	4	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	4									
2	2	5	5	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	5									
3	3	6	6	1.0	0	0	Chord	3/4	1	1	1/4		1/4	1	6		articTenutoBelow							
3	3	7	7	0.5	1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	7		articStaccatoBelow							
3	3	15/2	15/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	8		articStaccatoBelow							
3	3	8	8	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	9		articStaccatoBelow							
3	3	6	6	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	10					2				
3	3	7	7	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	11									
3	3	8	8	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	12									
4	4	9	9	1.0	0	0	Chord	3/4	1	1	1/4		1/4	1	13		articTenutoBelow							
4	4	10	10	0.5	1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	14		articStaccatoBelow							
4	4	21/2	21/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	15		articStaccatoBelow							
4	4	11	11	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	16		articStaccatoBelow							
4	4	9	9	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	17					3				
4	4	10	10	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	18									
4	4	11	11	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	19									
5	5	12	12	0.0	0	0	Chord	3/4	1	1	0	acciaccatura	1/8	1	20									
5	5	12	12	1.0	0	0	Chord	3/4	1	1	1/4		1/4	1	21		articStaccatoBelow							
5	5	13	13	2.0	1/4	1/4	Chord	3/4	1	1	1/2		1/2	1	22		articTenutoBelow							
5	5	12	12	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	23					4				
5	5	13	13	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	24									
5	5	14	14	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	25									
6	6	15	15	1.0	0	0	Chord	3/4	1	1	1/4		1/4	1	26									
6	6	15	15	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	27					5				
6	6	16	16	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	28									
6	6	17	17	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	29									
7	7	37/2	37/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	30		articStaccatoBelow							
7	7	19	19	0.5	1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	31		articStaccatoBelow							
7	7	39/2	39/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	32		articStaccatoBelow							
7	7	20	20	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	33					6				
7	7	41/2	41/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	34									
7	7	18	18	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	35					7				
7	7	19	19	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	36									
7	7	20	20	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	37									
8	8	43/2	43/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	38		articStaccatoBelow							
8	8	22	22	0.5	1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	39		articStaccatoBelow							
8	8	45/2	45/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	40		articStaccatoBelow							
8	8	23	23	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	41					8				
8	8	47/2	47/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	42									
8	8	21	21	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	43					9				
8	8	22	22	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	44									
8	8	23	23	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	45									
9	9	24	24	0.0	0	0	Chord	3/4	1	1	0	acciaccatura	1/8	1	46									
9	9	24	24	1.0	0	0	Chord	3/4	1	1	1/4		1/4	1	47		articStaccatoBelow							
9	9	25	25	2.0	1/4	1/4	Chord	3/4	1	1	1/2		1/2	1	48		articTenutoBelow							
9	9	24	24	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	49					10				
9	9	25	25	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	50									
9	9	26	26	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	51									
10	10	27	27	1.0	0	0	Chord	3/4	1	1	1/4		1/4	1	52									
10	10	27	27	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	53					11				
10	10	28	28	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	54									
10	10	29	29	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	55									
11	11	30	30	1.0	0	0	Chord	3/4	1	1	1/4		1/4	1	56		articStaccatoAbove							
11	11	31	31	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	57		articStaccatoAbove							
11	11	32	32	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	58		articStaccatoAbove							
11	11	30	30	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	59		articStaccatoAbove							
11	11	31	31	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	60		articStaccatoAbove							
11	11	32	32	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	61		articStaccatoAbove							
12	12	33	33	0.3333333333333333	0	0	Chord	3/4	1	1	1/12		1/8	2/3	62		articAccentAbove							
12	12	100/3	100/3	0.3333333333333333	1/12	1/12	Chord	3/4	1	1	1/12		1/8	2/3	63									
12	12	101/3	101/3	0.3333333333333333	1/6	1/6	Chord	3/4	1	1	1/12		1/8	2/3	64									
12	12	34	34	2.0	1/4	1/4	Chord	3/4	1	1	1/2		1/2	1	65									
12	12	33	33	3.0	0	0	Chord	3/4	1	2	3/4		1/2	3/2	66									
12	12	33	33	3.0	0	0	Chord	3/4	2	1	3/4		1/2	3/2	67									
13	13	36	36	1.0	0	0	Chord	3/4	1	1	1/4		1/4	1	68		articStaccatoBelow							
13	13	37	37	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	69		articStaccatoBelow							
13	13	38	38	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	70		articStaccatoBelow							
13	13	36	36	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	71		articStaccatoAbove							
13	13	37	37	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	72		articStaccatoAbove							
13	13	38	38	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	73		articStaccatoAbove							
14	14	39	39	0.3333333333333333	0	0	Chord	3/4	1	1	1/12		1/8	2/3	74		articAccentAbove							
14	14	118/3	118/3	0.3333333333333333	1/12	1/12	Chord	3/4	1	1	1/12		1/8	2/3	75									
14	14	119/3	119/3	0.3333333333333333	1/6	1/6	Chord	3/4	1	1	1/12		1/8	2/3	76									
14	14	40	40	2.0	1/4	1/4	Chord	3/4	1	1	1/2		1/2	1	77									
14	14	39	39	3.0	0	0	Chord	3/4	1	2	3/4		1/2	3/2	78									
14	14	39	39	3.0	0	0	Chord	3/4	2	1	3/4		1/2	3/2	79									
15	15	42	42	0.3333333333333333	0	0	Chord	3/4	1	1	1/12		1/8	2/3	80		articAccentAbove							
