mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	volta	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	chord_id	dynamics	articulation	staff_text	slur	pedal	Pedal_<sym>keyboardPedalPed</sym>	decrescendo_hairpin	crescendo_hairpin
9	8	43/2	43/2	1.0		0	0	Chord	6/8	1	2	1/4		1/4	1	51								
9	8	45/2	45/2	0.5		1/4	1/4	Chord	6/8	1	2	1/8		1/8	1	52								
9	8	23	23	1.0		3/8	3/8	Chord	6/8	1	2	1/4		1/4	1	53								
9	8	43/2	43/2	1.5		0	0	Chord	6/8	2	1	3/8		1/4	3/2	54								
9	8	23	23	1.0		3/8	3/8	Chord	6/8	2	1	1/4		1/4	1	55								
10	9	49/2	49/2	1.0		0	0	Chord	6/8	1	1	1/4		1/4	1	56				9				
10	9	51/2	51/2	0.5		1/4	1/4	Chord	6/8	1	1	1/8		1/8	1	57				9				
10	9	26	26	0.0		3/8	3/8	Chord	6/8	1	1	0	grace16	1/16	1	58				9				
10	9	26	26	0.0		3/8	3/8	Chord	6/8	1	1	0	grace16	1/16	1	59				9				
10	9	26	26	1.0		3/8	3/8	Chord	6/8	1	1	1/4		1/4	1	60				9				
10	9	27	27	0.5		5/8	5/8	Chord	6/8	1	1	1/8		1/8	1	61				9				
11	10	55/2	55/2	1.5		0	0	Chord	6/8	1	1	3/8		1/4	3/2	62		articAccentBelow		9				
11	10	29	29	1.0		3/8	3/8	Chord	6/8	1	1	1/4		1/4	1	63								
11	10	30	30	0.0		5/8	5/8	Spanner	6/8	1	1	0												3
11	10	30	30	0.5		5/8	5/8	Chord	6/8	1	1	1/8		1/8	1	64				10				3
11	10	55/2	55/2	1.5		0	0	Chord	6/8	2	1	3/8		1/4	3/2	65				11				
11	10	29	29	1.0		3/8	3/8	Chord	6/8	2	1	1/4		1/4	1	66								
12	11	61/2	61/2	0.5		0	0	Chord	6/8	1	1	1/8		1/8	1	67				10				3
12	11	31	31	0.0		1/8	1/8	Spanner	6/8	1	1	0								10				
12	11	31	31	0.0		1/8	1/8	Spanner	6/8	1	1	0								10			2	
12	11	31	31	0.5		1/8	1/8	Chord	6/8	1	1	1/8		1/8	1	68				10			2	
12	11	63/2	63/2	0.5		1/4	1/4	Chord	6/8	1	1	1/8		1/8	1	69				10			2	
12	11	32	32	0.0		3/8	3/8	Spanner	6/8	1	1	0								10				
12	11	32	32	0.5		3/8	3/8	Chord	6/8	1	1	1/8		1/8	1	70				10				
12	11	65/2	65/2	0.0		1/2	1/2	Chord	6/8	1	1	0	grace16	1/16	1	71				10				
12	11	65/2	65/2	0.0		1/2	1/2	Chord	6/8	1	1	0	grace16	1/16	1	72				10				
12	11	65/2	65/2	0.5		1/2	1/2	Chord	6/8	1	1	1/8		1/8	1	73				10				
12	11	33	33	0.5		5/8	5/8	Chord	6/8	1	1	1/8		1/8	1	74				10				
