mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	volta	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	chord_id	dynamics	articulation	staff_text	slur	pedal	Pedal_<sym>keyboardPedalPed</sym>	decrescendo_hairpin	crescendo_hairpin
29	27	323/4	323/4	0.0		9/16	9/16	Spanner	6/8	1	1	0								33				8
29	27	323/4	323/4	0.1875		9/16	9/16	Chord	6/8	1	1	3/64		1/16	3/4	221		articStaccatoBelow		33				8
29	27	1295/16	1295/16	0.1875		39/64	39/64	Chord	6/8	1	1	3/64		1/16	3/4	222		articStaccatoBelow		33				8
29	27	649/8	649/8	0.1875		21/32	21/32	Chord	6/8	1	1	3/64		1/16	3/4	223		articStaccatoBelow						8
29	27	1301/16	1301/16	0.1875		45/64	45/64	Chord	6/8	1	1	3/64		1/16	3/4	224								8
29	27	80	80	1.5		3/8	3/8	Chord	6/8	2	1	3/8		1/4	3/2	225								
30	28	163/2	163/2	0.0		0	0	Dynamic	6/8	1	1	0					ff							
30	28	163/2	163/2	0.0		0	0	Spanner	6/8	1	1	0												
30	28	163/2	163/2	0.5		0	0	Chord	6/8	1	1	1/8		1/8	1	226				34				
30	28	82	82	0.5		1/8	1/8	Chord	6/8	1	1	1/8		1/8	1	227				34				
30	28	165/2	165/2	0.5		1/4	1/4	Chord	6/8	1	1	1/8		1/8	1	228				34				
30	28	83	83	1.0		3/8	3/8	Chord	6/8	1	1	1/4		1/4	1	229								
30	28	163/2	163/2	0.5		0	0	Chord	6/8	2	1	1/8		1/8	1	230				35				
30	28	82	82	0.5		1/8	1/8	Chord	6/8	2	1	1/8		1/8	1	231				35				
30	28	165/2	165/2	0.5		1/4	1/4	Chord	6/8	2	1	1/8		1/8	1	232				35				
30	28	83	83	1.0		3/8	3/8	Chord	6/8	2	1	1/4		1/4	1	233								
31	29	85	85	0.0		1/8	1/8	StaffText	6/8	1	1	0							"<font size=""9""/><font face=""Times New Roman""/><i>dim.    e    rallent.</i>"					
31	29	85	85	0.5		1/8	1/8	Chord	6/8	1	1	1/8		1/8	1	234				36				
31	29	171/2	171/2	0.5		1/4	1/4	Chord	6/8	1	1	1/8		1/8	1	235				36				
31	29	86	86	1.0		3/8	3/8	Chord	6/8	1	1	1/4		1/4	1	236								
31	29	169/2	169/2	0.5		0	0	Chord	6/8	2	1	1/8		1/8	1	237				37				
31	29	85	85	0.5		1/8	1/8	Chord	6/8	2	1	1/8		1/8	1	238				37				
31	29	171/2	171/2	0.5		1/4	1/4	Chord	6/8	2	1	1/8		1/8	1	239				37				
31	29	86	86	1.0		3/8	3/8	Chord	6/8	2	1	1/4		1/4	1	240								
32	30	88	88	0.5		1/8	1/8	Chord	6/8	1	1	1/8		1/8	1	241				38				
32	30	177/2	177/2	0.5		1/4	1/4	Chord	6/8	1	1	1/8		1/8	1	242				38				
32	30	89	89	1.0		3/8	3/8	Chord	6/8	1	1	1/4		1/4	1	243								
32	30	175/2	175/2	0.5		0	0	Chord	6/8	2	1	1/8		1/8	1	244				39				
32	30	88	88	0.5		1/8	1/8	Chord	6/8	2	1	1/8		1/8	1	245				39				
32	30	177/2	177/2	0.5		1/4	1/4	Chord	6/8	2	1	1/8		1/8	1	246				39				
32	30	89	89	1.0		3/8	3/8	Chord	6/8	2	1	1/4		1/4	1	247								
33	31	91	91	0.5		1/8	1/8	Chord	6/8	1	1	1/8		1/8	1	248				40				
