mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	chord_id	dynamics	articulation	staff_text	slur	pedal	Pedal_<sym>keyboardPedalPed</sym>	decrescendo_hairpin	crescendo_hairpin
1	0	0	0	0.0	0	5/8	StaffText	4/4	1	1	0							"<font size=""13""/><font face=""Times New Roman""/><b>Andante espressivo</b>"					
1	0	0	0	0.0	0	5/8	Dynamic	4/4	1	1	0					p							
1	0	0	0	0.0	0	5/8	StaffText	4/4	1	1	0							"<font size=""9""/><font face=""Times New Roman""/><i>dolce</i>"					
1	0	0	0	0.5	0	5/8	Chord	4/4	1	1	1/8		1/8	1	0				0				
1	0	1/2	1/2	0.5	1/8	3/4	Chord	4/4	1	1	1/8		1/8	1	1				0				
1	0	1	1	0.5	1/4	7/8	Chord	4/4	1	1	1/8		1/8	1	2				0				
2	1	3/2	3/2	4.0	0	0	Chord	4/4	1	1	1		1	1	3				0				
2	1	3/2	3/2	2.0	0	0	Chord	4/4	1	2	1/2		1/2	1	4								
2	1	7/2	7/2	0.5	1/2	1/2	Chord	4/4	1	2	1/8		1/8	1	5								
2	1	4	4	0.5	5/8	5/8	Chord	4/4	1	2	1/8		1/8	1	6								
2	1	9/2	9/2	0.5	3/4	3/4	Chord	4/4	1	2	1/8		1/8	1	7								
2	1	5	5	0.5	7/8	7/8	Chord	4/4	1	2	1/8		1/8	1	8								
2	1	3/2	3/2	4.0	0	0	Chord	4/4	2	1	1		1	1	9				1				
3	2	11/2	11/2	0.5	0	0	Chord	4/4	1	1	1/8		1/8	1	10				0				
3	2	6	6	0.5	1/8	1/8	Chord	4/4	1	1	1/8		1/8	1	11				0				
3	2	13/2	13/2	1.5	1/4	1/4	Chord	4/4	1	1	3/8		1/4	3/2	12								
3	2	8	8	0.5	5/8	5/8	Chord	4/4	1	1	1/8		1/8	1	13				2				
3	2	17/2	17/2	0.5	3/4	3/4	Chord	4/4	1	1	1/8		1/8	1	14				2				
3	2	9	9	0.5	7/8	7/8	Chord	4/4	1	1	1/8		1/8	1	15				2				
3	2	11/2	11/2	4.0	0	0	Chord	4/4	1	2	1		1	1	16								
3	2	11/2	11/2	3.0	0	0	Chord	4/4	2	1	3/4		1/2	3/2	17				3				
3	2	17/2	17/2	1.0	3/4	3/4	Chord	4/4	2	1	1/4		1/4	1	18								
4	3	19/2	19/2	0.0	0	0	Spanner	4/4	1	1	0								2				0
4	3	19/2	19/2	2.0	0	0	Chord	4/4	1	1	1/2		1/2	1	19				2				0
4	3	23/2	23/2	0.5	1/2	1/2	Chord	4/4	1	1	1/8		1/8	1	20				2				0
4	3	12	12	0.5	5/8	5/8	Chord	4/4	1	1	1/8		1/8	1	21				2				0
4	3	25/2	25/2	0.5	3/4	3/4	Chord	4/4	1	1	1/8		1/8	1	22				2				0
4	3	13	13	0.5	7/8	7/8	Chord	4/4	1	1	1/8		1/8	1	23				2				0
4	3	19/2	19/2	2.0	0	0	Chord	4/4	1	2	1/2		1/2	1	24								0
4	3	23/2	23/2	2.0	1/2	1/2	Chord	4/4	1	2	1/2		1/2	1	25								0
4	3	19/2	19/2	2.0	0	0	Chord	4/4	2	1	1/2		1/2	1	26								
4	3	23/2	23/2	2.0	1/2	1/2	Chord	4/4	2	1	1/2		1/2	1	27								
4	3	19/2	19/2	1.0	0	0	Chord	4/4	2	2	1/4		1/4	1	28				4				
4	3	21/2	21/2	1.0	1/4	1/4	Chord	4/4	2	2	1/4		1/4	1	29				4				
4	3	23/2	23/2	2.0	1/2	1/2	Chord	4/4	2	2	1/2		1/2	1	30								
5	4	27/2	27/2	0.0	0	0	Spanner	4/4	1	1	0								2				
