mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	chord_id	dynamics	articulation	staff_text	slur	pedal	Pedal_<sym>keyboardPedalPed</sym>	Ottava:8va	decrescendo_hairpin	crescendo_hairpin	crescendo_line
1	1	0	0	0.0	0	0	StaffText	6/8	1	1	0							"<font size=""13""/><font face=""Times New Roman""/><b>Allegretto marcato</b>"							
1	1	0	0	0.0	0	0	Dynamic	6/8	1	1	0					fp									
1	1	2	2	0.5	1/2	1/2	Chord	6/8	1	1	1/8		1/8	1	0				0						
1	1	5/2	5/2	0.5	5/8	5/8	Chord	6/8	1	1	1/8		1/8	1	1				0						
1	1	0	0	1.5	0	0	Chord	6/8	2	1	3/8		1/4	3/2	2										
1	1	3/2	3/2	1.5	3/8	3/8	Chord	6/8	2	1	3/8		1/4	3/2	3										
1	1	0	0	3.0	0	0	Chord	6/8	2	2	3/4		1/2	3/2	4										
2	2	3	3	0.5	0	0	Chord	6/8	1	1	1/8		1/8	1	5				0						
2	2	7/2	7/2	0.5	1/8	1/8	Chord	6/8	1	1	1/8		1/8	1	6				0						
2	2	4	4	0.5	1/4	1/4	Chord	6/8	1	1	1/8		1/8	1	7				0						
2	2	9/2	9/2	0.5	3/8	3/8	Chord	6/8	1	1	1/8		1/8	1	8				0						
2	2	5	5	0.0	1/2	1/2	Chord	6/8	1	1	0	grace16	1/16	1	9				0						
2	2	5	5	0.0	1/2	1/2	Chord	6/8	1	1	0	grace16	1/16	1	10				0						
2	2	5	5	0.5	1/2	1/2	Chord	6/8	1	1	1/8		1/8	1	11				0						
2	2	11/2	11/2	0.5	5/8	5/8	Chord	6/8	1	1	1/8		1/8	1	12				0						
2	2	3	3	1.5	0	0	Chord	6/8	1	2	3/8		1/4	3/2	13										
2	2	9/2	9/2	1.5	3/8	3/8	Chord	6/8	1	2	3/8		1/4	3/2	14										
2	2	3	3	1.5	0	0	Chord	6/8	2	1	3/8		1/4	3/2	15										
2	2	9/2	9/2	1.5	3/8	3/8	Chord	6/8	2	1	3/8		1/4	3/2	16										
2	2	3	3	3.0	0	0	Chord	6/8	2	2	3/4		1/2	3/2	17										
3	3	6	6	1.0	0	0	Chord	6/8	1	1	1/4		1/4	1	18		articStaccatoAbove								
3	3	7	7	0.5	1/4	1/4	Chord	6/8	1	1	1/8		1/8	1	19		articAccentAbove		1						
3	3	15/2	15/2	0.5	3/8	3/8	Chord	6/8	1	1	1/8		1/8	1	20				1						
3	3	8	8	0.5	1/2	1/2	Chord	6/8	1	1	1/8		1/8	1	21				1						
