mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	chord_id	dynamics	articulation	staff_text	slur	pedal	Pedal_<sym>keyboardPedalPed</sym>	Ottava:8va	decrescendo_hairpin	crescendo_hairpin
1	0	0	0	0.0	0	11/16	StaffText	3/4	1	1	0							"<font size=""13""/><font face=""Times New Roman""/><b>Allegretto con moto</b>"						
1	0	0	0	0.0	0	11/16	Dynamic	3/4	1	1	0					p								
1	0	0	0	0.25	0	11/16	Chord	3/4	1	1	1/16		1/16	1	0				0					
2	1	1/4	1/4	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	1									
2	1	1	1	0.25	3/16	3/16	Chord	3/4	1	1	1/16		1/16	1	2				1					
2	1	5/4	5/4	0.5	1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	3									
2	1	3	3	0.25	11/16	11/16	Chord	3/4	1	1	1/16		1/16	1	4				2					
3	2	13/4	13/4	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	5									
3	2	4	4	0.25	3/16	3/16	Chord	3/4	1	1	1/16		1/16	1	6									
3	2	17/4	17/4	0.5	1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	7									
3	2	6	6	0.0	11/16	11/16	StaffText	3/4	1	1	0							"<font size=""13""/><font face=""Times New Roman""/><b>Allegro</b>"						
3	2	6	6	0.25	11/16	11/16	Chord	3/4	1	1	1/16		1/16	1	8				3					
4	3	25/4	25/4	0.0	0	0	StaffText	3/4	1	1	0							"<font size=""10""/><font face=""Times New Roman""/><i>leggiero</i>"						
4	3	25/4	25/4	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	9									
4	3	7	7	0.25	3/16	3/16	Chord	3/4	1	1	1/16		1/16	1	10				4					
4	3	29/4	29/4	0.5	1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	11									
4	3	8	8	0.25	7/16	7/16	Chord	3/4	1	1	1/16		1/16	1	12				5					
4	3	33/4	33/4	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	13									
4	3	9	9	0.25	11/16	11/16	Chord	3/4	1	1	1/16		1/16	1	14				6					
4	3	25/4	25/4	0.0	0	0	Spanner	3/4	2	1	0									0	0			
4	3	25/4	25/4	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	15		articStaccatoBelow			0	0			
4	3	29/4	29/4	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	16		articStaccatoAbove			0	0			
4	3	33/4	33/4	0.0	1/2	1/2	Spanner	3/4	2	1	0													
5	4	37/4	37/4	2.0	0	0	Chord	3/4	1	1	1/2		1/2	1	17		articAccentAbove							
5	4	12	12	0.25	11/16	11/16	Chord	3/4	1	1	1/16		1/16	1	18				7					
5	4	37/4	37/4	1.0	0	0	Chord	3/4	1	2	1/4		1/4	1	19				8					
5	4	41/4	41/4	1.0	1/4	1/4	Chord	3/4	1	2	1/4		1/4	1	20		articStaccatoBelow							
5	4	37/4	37/4	0.0	0	0	Spanner	3/4	2	1	0									1	1			
5	4	37/4	37/4	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	21		articStaccatoBelow			1	1			
5	4	41/4	41/4	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	22		articStaccatoAbove			1	1			
5	4	45/4	45/4	0.0	1/2	1/2	Spanner	3/4	2	1	0													
6	5	49/4	49/4	2.0	0	0	Chord	3/4	1	1	1/2		1/2	1	23		articAccentAbove							
6	5	15	15	0.25	11/16	11/16	Chord	3/4	1	1	1/16		1/16	1	24				9					
6	5	49/4	49/4	1.0	0	0	Chord	3/4	1	2	1/4		1/4	1	25				10					
6	5	53/4	53/4	1.0	1/4	1/4	Chord	3/4	1	2	1/4		1/4	1	26		articStaccatoBelow							
6	5	49/4	49/4	0.0	0	0	Spanner	3/4	2	1	0									2	2			
