mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	nominal_duration	scalar	chord_id	dynamics	articulation	system_text	tempo	qpm	metronome_base	metronome_number	tempo_visible	slur
1	1	0	0	0.0	0	0	Dynamic	3/4	1	1	0				fz								
1	1	0	0	0.0	0	0	SystemText	3/4	1	1	0						Presto marcato						
1	1	0	0	0.0	0	0	Tempo	3/4	1	1	0							𝅗𝅥.=50	150.0	𝅗𝅥.	50.0	0.0	
1	1	0	0	3.0	0	0	Chord	3/4	1	1	3/4	1/2	3/2	0									
1	1	0	0	1.0	0	0	Chord	3/4	1	2	1/4	1/4	1	1									
1	1	1	1	0.5	1/4	1/4	Chord	3/4	1	2	1/8	1/8	1	2									
1	1	3/2	3/2	0.5	3/8	3/8	Chord	3/4	1	2	1/8	1/8	1	3									
1	1	2	2	0.3333333333333333	1/2	1/2	Chord	3/4	1	2	1/12	1/8	2/3	4									
1	1	7/3	7/3	0.3333333333333333	7/12	7/12	Chord	3/4	1	2	1/12	1/8	2/3	5									
1	1	8/3	8/3	0.3333333333333333	2/3	2/3	Chord	3/4	1	2	1/12	1/8	2/3	6									
1	1	0	0	3.0	0	0	Chord	3/4	2	1	3/4	1/2	3/2	7									
2	2	3	3	3.0	0	0	Chord	3/4	1	1	3/4	1/2	3/2	8									
2	2	3	3	1.0	0	0	Chord	3/4	1	2	1/4	1/4	1	9									
2	2	4	4	1.0	1/4	1/4	Chord	3/4	1	2	1/4	1/4	1	10									
2	2	5	5	1.0	1/2	1/2	Chord	3/4	1	2	1/4	1/4	1	11									
2	2	3	3	3.0	0	0	Chord	3/4	2	1	3/4	1/2	3/2	12									
3	3	6	6	0.0	0	0	Dynamic	3/4	1	1	0				fz								
3	3	6	6	3.0	0	0	Chord	3/4	1	1	3/4	1/2	3/2	13									
3	3	6	6	1.0	0	0	Chord	3/4	1	2	1/4	1/4	1	14									
3	3	7	7	0.5	1/4	1/4	Chord	3/4	1	2	1/8	1/8	1	15									
3	3	15/2	15/2	0.5	3/8	3/8	Chord	3/4	1	2	1/8	1/8	1	16									
3	3	8	8	0.3333333333333333	1/2	1/2	Chord	3/4	1	2	1/12	1/8	2/3	17									
3	3	25/3	25/3	0.3333333333333333	7/12	7/12	Chord	3/4	1	2	1/12	1/8	2/3	18									
3	3	26/3	26/3	0.3333333333333333	2/3	2/3	Chord	3/4	1	2	1/12	1/8	2/3	19									
