mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	chord_id	dynamics	articulation	staff_text	slur	pedal	Pedal_<sym>keyboardPedalPed</sym>	decrescendo_hairpin	crescendo_hairpin
1	1	0	0	0.0	0	0	StaffText	2/4	1	1	0							"<font size=""13""/><font face=""Times New Roman""/><b>Poco Andante e molto espressivo</b>"					
1	1	0	0	0.0	0	0	Dynamic	2/4	2	1	0					p							
1	1	0	0	0.5	0	0	Chord	2/4	2	1	1/8		1/8	1	0				0				
1	1	1/2	1/2	0.5	1/8	1/8	Chord	2/4	2	1	1/8		1/8	1	1				0				
1	1	1	1	0.5	1/4	1/4	Chord	2/4	2	1	1/8		1/8	1	2				0				
1	1	3/2	3/2	0.5	3/8	3/8	Chord	2/4	2	1	1/8		1/8	1	3								
2	2	2	2	0.5	0	0	Chord	2/4	2	1	1/8		1/8	1	4				1				
2	2	5/2	5/2	0.5	1/8	1/8	Chord	2/4	2	1	1/8		1/8	1	5				1				
2	2	3	3	0.5	1/4	1/4	Chord	2/4	2	1	1/8		1/8	1	6				1				
2	2	7/2	7/2	0.5	3/8	3/8	Chord	2/4	2	1	1/8		1/8	1	7								
3	3	5	5	0.0	1/4	1/4	StaffText	2/4	1	1	0							"<font size=""9""/><font face=""Times New Roman""/><i>cantab.</i>"					
3	3	5	5	1.0	1/4	1/4	Chord	2/4	1	1	1/4		1/4	1	8				2				
3	3	4	4	0.5	0	0	Chord	2/4	2	1	1/8		1/8	1	9				3				
3	3	9/2	9/2	0.5	1/8	1/8	Chord	2/4	2	1	1/8		1/8	1	10				3				
3	3	5	5	0.5	1/4	1/4	Chord	2/4	2	1	1/8		1/8	1	11				3				
3	3	11/2	11/2	0.5	3/8	3/8	Chord	2/4	2	1	1/8		1/8	1	12								
4	4	6	6	2.0	0	0	Chord	2/4	1	1	1/2		1/2	1	13								
4	4	6	6	0.5	0	0	Chord	2/4	2	1	1/8		1/8	1	14				4				
4	4	13/2	13/2	0.5	1/8	1/8	Chord	2/4	2	1	1/8		1/8	1	15				4				
4	4	7	7	0.5	1/4	1/4	Chord	2/4	2	1	1/8		1/8	1	16				4				
4	4	15/2	15/2	0.5	3/8	3/8	Chord	2/4	2	1	1/8		1/8	1	17								
5	5	17/2	17/2	0.0	1/8	1/8	Spanner	2/4	1	1	0												0
5	5	17/2	17/2	0.5	1/8	1/8	Chord	2/4	1	1	1/8		1/8	1	18								0
5	5	9	9	0.5	1/4	1/4	Chord	2/4	1	1	1/8		1/8	1	19								0
5	5	19/2	19/2	0.5	3/8	3/8	Chord	2/4	1	1	1/8		1/8	1	20								0
5	5	19/2	19/2	0.5	3/8	3/8	Chord	2/4	1	2	1/8		1/8	1	21								0
5	5	8	8	0.5	0	0	Chord	2/4	2	1	1/8		1/8	1	22				5				
5	5	17/2	17/2	0.5	1/8	1/8	Chord	2/4	2	1	1/8		1/8	1	23				5				
5	5	9	9	0.5	1/4	1/4	Chord	2/4	2	1	1/8		1/8	1	24				5				
5	5	19/2	19/2	0.5	3/8	3/8	Chord	2/4	2	1	1/8		1/8	1	25								
6	6	10	10	0.0	0	0	Spanner	2/4	1	1	0												
6	6	10	10	0.0	0	0	Spanner	2/4	1	1	0											0	
6	6	10	10	1.0	0	0	Chord	2/4	1	1	1/4		1/4	1	26				6			0	
6	6	11	11	1.0	1/4	1/4	Chord	2/4	1	1	1/4		1/4	1	27							0	
6	6	10	10	2.0	0	0	Chord	2/4	1	2	1/2		1/2	1	28							0	
6	6	10	10	0.5	0	0	Chord	2/4	2	1	1/8		1/8	1	29								
6	6	21/2	21/2	0.5	1/8	1/8	Chord	2/4	2	1	1/8		1/8	1	30								
6	6	11	11	0.5	1/4	1/4	Chord	2/4	2	1	1/8		1/8	1	31								
6	6	23/2	23/2	0.5	3/8	3/8	Chord	2/4	2	1	1/8		1/8	1	32								
7	7	12	12	0.0	0	0	Spanner	2/4	1	1	0												
7	7	13	13	1.0	1/4	1/4	Chord	2/4	1	1	1/4		1/4	1	33				7				
7	7	12	12	0.5	0	0	Chord	2/4	2	1	1/8		1/8	1	34								
7	7	25/2	25/2	0.5	1/8	1/8	Chord	2/4	2	1	1/8		1/8	1	35								
7	7	13	13	0.5	1/4	1/4	Chord	2/4	2	1	1/8		1/8	1	36								
7	7	27/2	27/2	0.5	3/8	3/8	Chord	2/4	2	1	1/8		1/8	1	37								
8	8	14	14	2.0	0	0	Chord	2/4	1	1	1/2		1/2	1	38								
8	8	14	14	0.5	0	0	Chord	2/4	2	1	1/8		1/8	1	39								
8	8	29/2	29/2	0.5	1/8	1/8	Chord	2/4	2	1	1/8		1/8	1	40								
8	8	15	15	0.5	1/4	1/4	Chord	2/4	2	1	1/8		1/8	1	41								
8	8	31/2	31/2	0.5	3/8	3/8	Chord	2/4	2	1	1/8		1/8	1	42								
9	9	16	16	0.0	0	0	Spanner	2/4	1	1	0												1
9	9	33/2	33/2	0.5	1/8	1/8	Chord	2/4	1	1	1/8		1/8	1	43								1
9	9	17	17	0.5	1/4	1/4	Chord	2/4	1	1	1/8		1/8	1	44								1
9	9	35/2	35/2	0.5	3/8	3/8	Chord	2/4	1	1	1/8		1/8	1	45								1
