mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	nominal_duration	scalar	chord_id	dynamics	articulation	staff_text	tempo	qpm	metronome_base	metronome_number	tempo_visible	slur	decrescendo_hairpin	crescendo_hairpin
1	1	0	0	0.0	0	0	StaffText	4/4	1	1	0						"<b><font size=""13.0217""/><font face=""Plantin MT Std""/>Andante espressivo</b>"								
1	1	0	0	0.0	0	0	Tempo	4/4	1	1	0							𝅘𝅥=50	50.0	𝅘𝅥	50.0	0.0			
1	1	1	1	0.0	1/4	1/4	Dynamic	4/4	1	1	0				p										
1	1	1	1	1.0	1/4	1/4	Chord	4/4	1	1	1/4	1/4	1	0		articAccentBelow							0		
1	1	2	2	0.5	1/2	1/2	Chord	4/4	1	1	1/8	1/8	1	1									0		
1	1	5/2	5/2	0.5	5/8	5/8	Chord	4/4	1	1	1/8	1/8	1	2									0		
1	1	3	3	0.0	3/4	3/4	Spanner	4/4	1	1	0												0		0
1	1	3	3	0.5	3/4	3/4	Chord	4/4	1	1	1/8	1/8	1	3									0		0
1	1	7/2	7/2	0.0	7/8	7/8	Spanner	4/4	1	1	0												0		
1	1	7/2	7/2	0.5	7/8	7/8	Chord	4/4	1	1	1/8	1/8	1	4									0		
2	2	4	4	0.0	0	0	Spanner	4/4	1	1	0												0	0	
2	2	4	4	0.5	0	0	Chord	4/4	1	1	1/8	1/8	1	5									0	0	
2	2	9/2	9/2	0.5	1/8	1/8	Chord	4/4	1	1	1/8	1/8	1	6									0	0	
2	2	5	5	0.0	1/4	1/4	Spanner	4/4	1	1	0												0		
2	2	5	5	2.0	1/4	1/4	Chord	4/4	1	1	1/2	1/2	1	7		articAccentBelow							0		
2	2	7	7	1.0	3/4	3/4	Chord	4/4	1	1	1/4	1/4	1	8											
3	3	17/2	17/2	0.5	1/8	1/8	Chord	4/4	2	1	1/8	1/8	1	9									1		
3	3	9	9	0.5	1/4	1/4	Chord	4/4	2	1	1/8	1/8	1	10									1		
3	3	19/2	19/2	0.5	3/8	3/8	Chord	4/4	2	1	1/8	1/8	1	11											
3	3	21/2	21/2	0.5	5/8	5/8	Chord	4/4	2	1	1/8	1/8	1	12									2		
3	3	11	11	0.5	3/4	3/4	Chord	4/4	2	1	1/8	1/8	1	13									2		
3	3	23/2	23/2	0.5	7/8	7/8	Chord	4/4	2	1	1/8	1/8	1	14											
4	4	12	12	0.0	0	0	Dynamic	4/4	1	1	0				p										
4	4	12	12	0.0	0	0	StaffText	4/4	1	1	0						cantabile								
4	4	12	12	1.75	0	0	Chord	4/4	1	1	7/16	1/4	7/4	15									3		
4	4	55/4	55/4	0.125	7/16	7/16	Chord	4/4	1	1	1/32	1/32	1	16									3		
4	4	111/8	111/8	0.125	15/32	15/32	Chord	4/4	1	1	1/32	1/32	1	17									3		
4	4	14	14	2.0	1/2	1/2	Chord	4/4	1	1	1/2	1/2	1	18											
4	4	25/2	25/2	0.5	1/8	1/8	Chord	4/4	2	1	1/8	1/8	1	19									4		
4	4	13	13	0.5	1/4	1/4	Chord	4/4	2	1	1/8	1/8	1	20									4		
4	4	27/2	27/2	0.5	3/8	3/8	Chord	4/4	2	1	1/8	1/8	1	21											
4	4	29/2	29/2	0.5	5/8	5/8	Chord	4/4	2	1	1/8	1/8	1	22									5		
4	4	15	15	0.5	3/4	3/4	Chord	4/4	2	1	1/8	1/8	1	23									5		
4	4	31/2	31/2	0.5	7/8	7/8	Chord	4/4	2	1	1/8	1/8	1	24											
5	5	16	16	1.0	0	0	Chord	4/4	1	1	1/4	1/4	1	25									6		
