mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	volta	mc_onset	mn_onset	event	timesig	staff	voice	duration	tremolo	nominal_duration	scalar	chord_id	dynamics	articulation	staff_text	tempo	qpm	metronome_base	metronome_number	tempo_visible	slur	Ottava:8va	pedal	Pedal_<sym>keyboardPedalPed</sym>	crescendo_hairpin
1	1	0	0	0.0		0	0	StaffText	2/4	1	1	0							"<b><font size=""14""/><font face=""Times New Roman""/>Allegro molto</b>"										
1	1	0	0	0.0		0	0	Tempo	2/4	1	1	0								𝅘𝅥=184	184.0	𝅘𝅥	184.0	0.0					
1	1	0	0	0.0		0	0	Dynamic	2/4	2	1	0					ff												
1	1	0	0	0.5		0	0	Chord	2/4	2	1	1/8		1/8	1	0		articAccentStaccatoAbove											
1	1	1/2	1/2	0.5		1/8	1/8	Chord	2/4	2	1	1/8		1/8	1	1													
1	1	1	1	0.5		1/4	1/4	Chord	2/4	2	1	1/8		1/8	1	2		articAccentStaccatoAbove											
1	1	3/2	3/2	0.5		3/8	3/8	Chord	2/4	2	1	1/8		1/8	1	3													
2	2	4	4	0.0		1/2	1/2	StaffText	2/4	1	1	0							"<b><font size=""13""/><font face=""Times New Roman""/>Allegro moderato e marcato</b>"										
3	3	4	4	0.0		0	0	Tempo	2/4	1	1	0								𝅘𝅥=116	116.0	𝅘𝅥	116.0	0.0					
3	3	4	4	0.0		0	0	Dynamic	2/4	2	1	0					p												
3	3	4	4	0.75		0	0	Chord	2/4	2	1	3/16		1/8	3/2	4		articAccentAbove											
3	3	19/4	19/4	0.25		3/16	3/16	Chord	2/4	2	1	1/16		1/16	1	5		articStaccatoAbove											
3	3	5	5	0.75		1/4	1/4	Chord	2/4	2	1	3/16		1/8	3/2	6		articAccentAbove											
3	3	23/4	23/4	0.25		7/16	7/16	Chord	2/4	2	1	1/16		1/16	1	7													
4	4	31/4	31/4	0.25		7/16	7/16	Chord	2/4	1	1	1/16		1/16	1	8									0				
4	4	6	6	0.75		0	0	Chord	2/4	2	1	3/16		1/8	3/2	9		articAccentAbove											
4	4	27/4	27/4	0.25		3/16	3/16	Chord	2/4	2	1	1/16		1/16	1	10													
4	4	7	7	0.75		1/4	1/4	Chord	2/4	2	1	3/16		1/8	3/2	11		articAccentAbove											
4	4	31/4	31/4	0.25		7/16	7/16	Chord	2/4	2	1	1/16		1/16	1	12													
