mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	chord_id	dynamics	articulation	staff_text	slur	pedal	Pedal_<sym>keyboardPedalPed</sym>	crescendo_hairpin
1	0	0	0	0.0	0	3/8	StaffText	2/4	1	1	0							"<font size=""11""/><font face=""Times New Roman""/><b>Allegretto e dolce</b>"				
1	0	0	0	0.5	0	3/8	Chord	2/4	1	1	1/8		1/8	1	0							
2	1	1/2	1/2	0.75	0	0	Chord	2/4	1	1	3/16		1/8	3/2	1							
2	1	5/4	5/4	0.25	3/16	3/16	Chord	2/4	1	1	1/16		1/16	1	2							
2	1	3/2	3/2	0.5	1/4	1/4	Chord	2/4	1	1	1/8		1/8	1	3							
2	1	2	2	0.5	3/8	3/8	Chord	2/4	1	1	1/8		1/8	1	4							
2	1	1/2	1/2	0.5	0	0	Chord	2/4	2	1	1/8		1/8	1	5				0			
2	1	1	1	0.5	1/8	1/8	Chord	2/4	2	1	1/8		1/8	1	6							
2	1	3/2	3/2	0.5	1/4	1/4	Chord	2/4	2	1	1/8		1/8	1	7				1			
2	1	2	2	0.5	3/8	3/8	Chord	2/4	2	1	1/8		1/8	1	8							
3	2	5/2	5/2	0.0	0	0	Chord	2/4	1	1	0	acciaccatura	1/8	1	9							
3	2	5/2	5/2	0.5	0	0	Chord	2/4	1	1	1/8		1/8	1	10		articStaccatoAbove					
3	2	3	3	0.5	1/8	1/8	Chord	2/4	1	1	1/8		1/8	1	11							
3	2	7/2	7/2	1.0	1/4	1/4	Chord	2/4	1	1	1/4		1/4	1	12		articAccentAbove					
3	2	5/2	5/2	0.5	0	0	Chord	2/4	2	1	1/8		1/8	1	13				2			
3	2	3	3	0.5	1/8	1/8	Chord	2/4	2	1	1/8		1/8	1	14							
3	2	7/2	7/2	0.5	1/4	1/4	Chord	2/4	2	1	1/8		1/8	1	15				3			
3	2	4	4	0.5	3/8	3/8	Chord	2/4	2	1	1/8		1/8	1	16							
4	3	9/2	9/2	0.0	0	0	Chord	2/4	1	1	0	acciaccatura	1/8	1	17							
4	3	9/2	9/2	0.5	0	0	Chord	2/4	1	1	1/8		1/8	1	18		articStaccatoAbove					
4	3	5	5	0.5	1/8	1/8	Chord	2/4	1	1	1/8		1/8	1	19							
4	3	11/2	11/2	1.0	1/4	1/4	Chord	2/4	1	1	1/4		1/4	1	20		articAccentAbove					
4	3	9/2	9/2	0.5	0	0	Chord	2/4	2	1	1/8		1/8	1	21				4			
4	3	5	5	0.5	1/8	1/8	Chord	2/4	2	1	1/8		1/8	1	22							
4	3	11/2	11/2	0.5	1/4	1/4	Chord	2/4	2	1	1/8		1/8	1	23				5			
4	3	6	6	0.5	3/8	3/8	Chord	2/4	2	1	1/8		1/8	1	24							
5	4	13/2	13/2	0.0	0	0	Chord	2/4	1	1	0	acciaccatura	1/8	1	25							
5	4	13/2	13/2	0.5	0	0	Chord	2/4	1	1	1/8		1/8	1	26		articStaccatoBelow					
5	4	7	7	0.5	1/8	1/8	Chord	2/4	1	1	1/8		1/8	1	27							
5	4	15/2	15/2	0.5	1/4	1/4	Chord	2/4	1	1	1/8		1/8	1	28							
5	4	8	8	0.5	3/8	3/8	Chord	2/4	1	1	1/8		1/8	1	29							
5	4	13/2	13/2	0.5	0	0	Chord	2/4	2	1	1/8		1/8	1	30				6			
5	4	7	7	0.5	1/8	1/8	Chord	2/4	2	1	1/8		1/8	1	31							
5	4	15/2	15/2	0.5	1/4	1/4	Chord	2/4	2	1	1/8		1/8	1	32				7			
5	4	8	8	0.5	3/8	3/8	Chord	2/4	2	1	1/8		1/8	1	33							
6	5	17/2	17/2	0.0	0	0	Chord	2/4	1	1	0	acciaccatura	1/8	1	34							
6	5	17/2	17/2	0.75	0	0	Chord	2/4	1	1	3/16		1/8	3/2	35				8			
6	5	37/4	37/4	0.25	3/16	3/16	Chord	2/4	1	1	1/16		1/16	1	36				8			
6	5	19/2	19/2	0.0	1/4	1/4	Chord	2/4	1	1	0	acciaccatura	1/8	1	37				8			
6	5	19/2	19/2	0.25	1/4	1/4	Chord	2/4	1	1	1/16		1/16	1	38				8			
6	5	39/4	39/4	0.25	5/16	5/16	Chord	2/4	1	1	1/16		1/16	1	39				8			
6	5	10	10	0.25	3/8	3/8	Chord	2/4	1	1	1/16		1/16	1	40				8			
6	5	41/4	41/4	0.25	7/16	7/16	Chord	2/4	1	1	1/16		1/16	1	41				8			
6	5	17/2	17/2	0.5	0	0	Chord	2/4	2	1	1/8		1/8	1	42				9			
6	5	9	9	0.5	1/8	1/8	Chord	2/4	2	1	1/8		1/8	1	43							
6	5	19/2	19/2	0.5	1/4	1/4	Chord	2/4	2	1	1/8		1/8	1	44				10			
6	5	10	10	0.5	3/8	3/8	Chord	2/4	2	1	1/8		1/8	1	45							
7	6	21/2	21/2	0.0	0	0	Chord	2/4	1	1	0	acciaccatura	1/8	1	46							
7	6	21/2	21/2	0.5	0	0	Chord	2/4	1	1	1/8		1/8	1	47		articStaccatoAbove					
7	6	11	11	0.5	1/8	1/8	Chord	2/4	1	1	1/8		1/8	1	48							
7	6	23/2	23/2	1.0	1/4	1/4	Chord	2/4	1	1	1/4		1/4	1	49		articAccentAbove					
7	6	21/2	21/2	0.5	0	0	Chord	2/4	2	1	1/8		1/8	1	50				11			
